Target_genes	Tfcp2l1|Average	SRX9345864|ES_cells	SRX9345866|ES_cells	SRX2229890|Kidney	STRING
Sema4b	1914.666667	2770	2814	160	0
Arhgap17	1884.333333	2866	2787	0	0
Tcstv3	1831.000000	1890	1613	1990	0
Tbrg1	1825.666667	2822	2655	0	0
Ndufb4	1818.333333	2835	2620	0	0
Rbm26	1808.333333	2923	2502	0	0
Ly75	1797.000000	2647	2744	0	0
Tep1	1780.000000	2848	2492	0	0
Aph1b	1765.000000	2531	2567	197	0
Slc29a1	1728.000000	2466	2718	0	0
Mymx	1728.000000	2466	2718	0	0
Emd	1726.666667	2795	2201	184	0
Kif13b	1724.000000	2727	2445	0	0
Rassf7	1718.000000	2607	2547	0	0
Dhx32	1708.000000	2724	2400	0	0
Scgb3a1	1706.666667	2595	2525	0	0
Nt5dc1	1700.333333	2696	2405	0	0
Ube2b	1695.666667	2718	2369	0	0
Cdkl3	1695.666667	2718	2369	0	0
Jup	1687.000000	2599	2462	0	0
Lpar2	1682.000000	2738	2308	0	0
Uba2	1677.666667	2596	2437	0	0
Nr2c2ap	1659.666667	2396	2583	0	0
S100a13	1658.666667	2709	2267	0	0
S100a1	1658.666667	2709	2267	0	0
Chtop	1658.666667	2709	2267	0	0
Tepp	1652.000000	2684	2272	0	0
Cngb1	1652.000000	2684	2272	0	0
Stard6	1649.333333	2769	2179	0	0
4930503L19Rik	1649.333333	2769	2179	0	0
Gjb3	1644.000000	2270	2662	0	0
Gls	1632.000000	2866	2030	0	0
Rab15	1623.333333	2380	2490	0	0
Slc12a9	1615.333333	2501	2345	0	0
Ostf1	1611.333333	2515	2319	0	0
Nmrk1	1611.333333	2515	2319	0	0
Spats2	1609.333333	2576	2252	0	0
Atp6v1b1	1609.333333	2334	2494	0	0
Trim34a	1602.000000	2265	2541	0	0
Pkn1	1602.000000	2562	2244	0	0
Capn1	1598.666667	2763	2033	0	0
Aym1	1593.000000	2719	2060	0	0
Pomt2	1592.000000	2752	2024	0	0
Gstz1	1592.000000	2752	2024	0	0
Exoc2	1584.333333	2797	1721	235	0
Gm10130	1577.333333	2348	2384	0	0
Lactb2	1570.000000	2633	2077	0	0
Mthfd1	1555.333333	2559	1959	148	0
Odc1	1549.000000	2477	1569	601	0
Atp6v0d1	1547.000000	2499	2142	0	0
Agrp	1547.000000	2499	2142	0	0
Prkcd	1542.666667	2605	2023	0	0
Ppp1r14d	1541.666667	2304	2321	0	0
Rln1	1541.000000	2348	2078	197	0
Sp2	1528.666667	2467	2119	0	0
Ago2	1525.000000	2026	2549	0	0
Sh3tc1	1510.666667	2428	1830	274	0
Emp2	1507.666667	2527	1996	0	0
Tlcd1	1506.666667	2298	2222	0	0
Nek8	1506.666667	2298	2222	0	0
Phyhd1	1505.000000	2128	2387	0	0
Rab5c	1500.000000	2560	1940	0	0
Adipor2	1498.333333	1940	2555	0	0
Slc2a1	1492.333333	2347	2130	0	0
Dynlt1b	1488.666667	2288	2178	0	0
Klhdc7a	1484.333333	2137	2107	209	0
Trim6	1479.000000	2283	2154	0	0
Ubl5	1476.333333	2446	1983	0	0
Fbxl12	1476.333333	2446	1983	0	0
Slc44a2	1474.333333	2572	1851	0	0
Ckmt1	1470.666667	2442	1970	0	0
Rnf169	1469.333333	2128	2280	0	0
Prkab1	1468.666667	2496	1910	0	0
Ccdc166	1468.333333	2645	1760	0	0
Sh3bp1	1468.000000	2127	2277	0	0
Abhd6	1467.333333	2239	1591	572	0
Tdh	1465.000000	2330	2065	0	0
Trim54	1463.333333	2359	2031	0	0
Kdm2b	1463.333333	2143	2247	0	0
Mtif2	1462.000000	2506	1880	0	0
Med18	1460.666667	2427	1955	0	0
Psmg3	1456.666667	2329	2041	0	0
Rbpj	1455.333333	2214	2152	0	0
Wscd2	1453.333333	2385	1975	0	0
Arfgef2	1451.000000	2449	1904	0	0
Gpx1	1450.000000	2148	2202	0	0
Sirpa	1445.333333	2372	1964	0	0
Heatr5b	1441.333333	2299	2025	0	0
Gpatch11	1441.333333	2299	2025	0	0
Cobl	1439.333333	2098	2220	0	0
Hspa14	1434.666667	1855	2449	0	0
Cdnf	1434.666667	1855	2449	0	0
Rnf183	1432.666667	2259	2039	0	0
Ppp1r3c	1418.666667	2567	1689	0	0
Nbeal1	1417.666667	2582	1671	0	0
Ccser2	1417.333333	2120	2132	0	0
Ccs	1413.000000	2368	1871	0	0
Ccdc87	1413.000000	2368	1871	0	0
Rph3a	1408.000000	2226	1998	0	0
Ptp4a2	1408.000000	2189	1869	166	0
Sirt3	1407.333333	2251	1971	0	0
Psmd13	1407.333333	2251	1971	0	0
