Target_genes	Tfeb|Average	SRX11188545|Epicardial_cells	STRING
Cldn34d	1104.000000	1104	0
Tcstv3	974.000000	974	0
Brox	690.000000	690	0
Aida	690.000000	690	0
Oasl1	406.000000	406	0
Bnc1	369.000000	369	0
Asmt	354.000000	354	0
Ajuba	343.000000	343	0
Lrrc8b	322.000000	322	0
Tmem125	317.000000	317	0
Adm	301.000000	301	0
Rasgrp3	290.000000	290	0
Eno2	279.000000	279	0
Cdh12	278.000000	278	0
Kdm2a	275.000000	275	0
Kpna1	274.000000	274	0
Slc1a2	273.000000	273	0
Hes1	273.000000	273	0
Vasn	264.000000	264	0
Gpr146	260.000000	260	0
Gpr88	259.000000	259	0
Cdt1	257.000000	257	0
Medag	251.000000	251	0
Bhlhe40	251.000000	251	0
Wbp1l	250.000000	250	0
Igsf8	250.000000	250	0
Rbpj	232.000000	232	0
Nemf	218.000000	218	0
Rps29	216.000000	216	0
Ube2h	214.000000	214	0
Wdr86	212.000000	212	0
Ptma	208.000000	208	0
Ahnak2	207.000000	207	0
Nfix	202.000000	202	0
Sh3tc2	201.000000	201	0
Npas1	200.000000	200	0
Zcchc3	198.000000	198	0
Myrf	198.000000	198	0
6820408C15Rik	198.000000	198	0
Kifc3	197.000000	197	0
Kifc1	189.000000	189	0
Mthfd1l	187.000000	187	0
Cldn12	178.000000	178	0
Dlx2	177.000000	177	0
Trpm3	176.000000	176	0
Ptpre	175.000000	175	0
Lats2	175.000000	175	0
Runx1t1	174.000000	174	0
Syde2	168.000000	168	0
Sprr2a2	168.000000	168	0
Sprr2a1	168.000000	168	0
Ptpn21	166.000000	166	0
Stx4a	165.000000	165	0
Map1s	165.000000	165	0
Nr4a3	164.000000	164	0
Tspan4	163.000000	163	0
Polr2l	163.000000	163	0
Trf	161.000000	161	0
Sspn	161.000000	161	0
Tmem147	159.000000	159	0
Pcbp1	158.000000	158	0
Kmt2e	158.000000	158	0
App	153.000000	153	0
Mapk6	152.000000	152	0
Fam222a	150.000000	150	0
Aff4	147.000000	147	0
Arsa	145.000000	145	0
Hmgb1	140.000000	140	0
Snx18	139.000000	139	0
Rusc2	139.000000	139	0
Rrn3	139.000000	139	0
Ugdh	138.000000	138	0
Ifngr2	138.000000	138	0
Slco5a1	137.000000	137	0
Optc	137.000000	137	0
Irf2bp2	137.000000	137	0
Sprr2a3	136.000000	136	0
Mgat3	136.000000	136	0
Ddi2	136.000000	136	0
Plcd3	135.000000	135	0
Klf10	135.000000	135	0
Acbd4	135.000000	135	0
Tmem45a2	134.000000	134	0
Gm20346	134.000000	134	0
Des	134.000000	134	0
Anp32a	134.000000	134	0
Gse1	133.000000	133	0
Upk1b	131.000000	131	0
Kifc5b	130.000000	130	0
Fam83a	130.000000	130	0
D16Ertd472e	130.000000	130	0
Wwc2	129.000000	129	0
Mbd6	129.000000	129	0
Ddit3	129.000000	129	0
Cep295	128.000000	128	0
Nab2	126.000000	126	0
Stard10	125.000000	125	0
Anxa1	123.000000	123	0
Hrob	122.000000	122	0
Serpina12	121.000000	121	0
Il22ra1	121.000000	121	0
Cdkn1a	120.000000	120	0
Slc35c2	119.000000	119	0
Rhbdd3	119.000000	119	0
Ewsr1	119.000000	119	0
Prr14l	118.000000	118	0
Necap1	117.000000	117	0
Gata4	116.000000	116	0
Naa50	115.000000	115	0
Insig1	115.000000	115	0
Atp6v1a	115.000000	115	0
Ubald1	114.000000	114	0
Garre1	114.000000	114	0
Smpd5	113.000000	113	0
Padi3	112.000000	112	0
Haao	112.000000	112	0
Dlx4	112.000000	112	0
Sh2d5	111.000000	111	0
Prkce	111.000000	111	0
Raph1	106.000000	106	0
Myo1c	105.000000	105	0
Adcy7	105.000000	105	0
Pik3ip1	104.000000	104	0
Fam162a	104.000000	104	0
Ccdc58	104.000000	104	0
Gpam	102.000000	102	0
Gm572	102.000000	102	0
Ccdc50	101.000000	101	0
Scx	99.000000	99	0
Plekha7	99.000000	99	0
Scarf2	97.000000	97	0
Nol4l	96.000000	96	0
Vps26c	94.000000	94	0
Slc29a1	94.000000	94	0
Ugt1a6a	92.000000	92	0
Tmem120b	92.000000	92	0
Pip4p2	92.000000	92	0
Ppl	89.000000	89	0
Nr1h4	88.000000	88	0
Tmem134	87.000000	87	0
Ldb1	87.000000	87	0
Aip	87.000000	87	0
Egr2	85.000000	85	0
Prep	84.000000	84	0
Agmat	84.000000	84	0
Pef1	82.000000	82	0
Apba1	81.000000	81	0
Dyrk1a	80.000000	80	0
Ugt1a6b	73.000000	73	0
Prss12	73.000000	73	0
Mylk3	72.000000	72	0
Id3	72.000000	72	0
Ppp1r15b	61.000000	61	0
Ppargc1a	0.000000	0	435
Abca1	0.000000	0	405
