Target_genes	Thap1|Average	SRX20869753|ES_cells	SRX20869754|ES_cells	SRX20869755|ES_cells	SRX8772302|MEF	STRING
Shprh	2188.750000	3118	3068	2078	491	0
Sys1	2106.750000	3134	3010	1712	571	0
Tubd1	2028.000000	2761	2596	1961	794	0
Rps6kb1	2028.000000	2761	2596	1961	794	0
Oxa1l	2001.750000	2953	2837	989	1228	0
Sdhaf3	1989.000000	3223	3193	0	1540	0
Acp2	1909.250000	3040	2959	0	1638	0
Mff	1890.250000	3110	3027	0	1424	0
Tmem101	1886.250000	2992	2864	0	1689	0
Hacd2	1885.000000	3172	3057	0	1311	0
Skiv2l	1875.750000	3193	3106	0	1204	0
Nelfe	1875.750000	3193	3106	0	1204	0
Os9	1861.750000	3067	2919	0	1461	0
Aars2	1855.500000	2860	2858	0	1704	0
Dnajb6	1851.750000	3066	3023	0	1318	0
Ube2v1	1849.750000	3206	3131	0	1062	0
Rab18	1840.500000	3144	3020	0	1198	0
Ahcyl1	1840.500000	3168	2995	0	1199	0
Cep250	1836.250000	2863	2761	187	1534	0
Tab3	1833.750000	3118	3126	0	1091	0
Rpl27	1829.000000	3189	3021	0	1106	0
Zbtb17	1828.750000	3046	3146	0	1123	0
Psmd7	1825.500000	2997	2891	0	1414	0
Tmem104	1803.250000	3223	3176	0	814	0
Nat9	1803.250000	3223	3176	0	814	0
Usp31	1801.500000	3048	2886	0	1272	0
Osbpl11	1799.750000	3060	2920	0	1219	0
Bloc1s5	1799.000000	2953	2858	0	1385	0
Ube3c	1796.000000	2828	3038	0	1318	0
Mtfp1	1792.000000	3079	2939	0	1150	0
Szrd1	1788.250000	3003	2929	0	1221	0
Slc25a44	1781.500000	2900	2921	0	1305	0
Fam98a	1779.500000	2894	2872	153	1199	0
Tor1aip2	1778.750000	2385	2634	992	1104	0
Tor1aip1	1778.750000	2385	2634	992	1104	0
Ercc6l2	1772.750000	3064	3153	0	874	0
Nup35	1754.500000	2998	2814	0	1206	0
Tomm40l	1753.750000	2844	2685	0	1486	0
Apoa2	1753.750000	2844	2685	0	1486	0
Imp4	1749.750000	2873	2782	0	1344	0
Ccdc115	1749.750000	2873	2782	0	1344	0
Tm9sf4	1748.750000	2782	2735	0	1478	0
Slc12a9	1745.750000	2987	2870	368	758	0
Rae1	1743.750000	2986	2899	213	877	0
Fadd	1740.000000	2922	2779	228	1031	0
Zfp384	1739.500000	2841	2721	0	1396	0
Usp21	1738.750000	2940	2882	650	483	0
Chfr	1731.750000	3046	2931	0	950	0
Ndufs2	1729.000000	2847	2707	0	1362	0
Adamts4	1729.000000	2847	2707	0	1362	0
Katnb1	1727.000000	2731	2560	115	1502	0
Celsr3	1726.750000	2720	2633	1228	326	0
