Target_genes	Trp53|Average	SRX20177969|Alveolar_organoids	SRX20177971|Alveolar_organoids	SRX20177973|Alveolar_organoids	SRX20177975|Alveolar_organoids	SRX13124073|Astrocytes	SRX13124074|Astrocytes	SRX13124075|Astrocytes	SRX13124077|Astrocytes	SRX13124078|Astrocytes	SRX13124080|Astrocytes	SRX13124081|Astrocytes	SRX13124082|Astrocytes	SRX13124084|Astrocytes	SRX13124085|Astrocytes	SRX13124086|Astrocytes	SRX13124088|Astrocytes	SRX13124089|Astrocytes	SRX13124090|Astrocytes	SRX13124092|Astrocytes	SRX13124093|Astrocytes	SRX13124094|Astrocytes	SRX13124096|Astrocytes	SRX13124097|Astrocytes	SRX13124098|Astrocytes	SRX13124100|Astrocytes	SRX13124101|Astrocytes	SRX14203722|Astrocytes	SRX20927693|B16	SRX20927694|B16	SRX10550254|Ba/F3	SRX10550255|Ba/F3	SRX9982608|Back_skin	SRX9982609|Back_skin	SRX9982610|Back_skin	SRX9982611|Back_skin	SRX8875615|Breast_tumor	SRX8875616|Breast_tumor	SRX8875617|Breast_tumor	SRX8875618|Breast_tumor	SRX8875619|Breast_tumor	SRX8875620|Breast_tumor	SRX8875621|Breast_tumor	SRX8875622|Breast_tumor	SRX8875623|Breast_tumor	SRX8875624|Breast_tumor	SRX8875625|Breast_tumor	SRX8875626|Breast_tumor	SRX8875627|Breast_tumor	SRX8875628|Breast_tumor	SRX8875629|Breast_tumor	SRX8875630|Breast_tumor	SRX8875631|Breast_tumor	SRX8875632|Breast_tumor	SRX14495051|Colon_epthelial_cells	SRX1080400|Embryoid_Bodies	SRX1080401|Embryoid_Bodies	SRX335560|Embryonic_kidney	SRX10310862|ES_cells	SRX10310863|ES_cells	SRX13063203|ES_cells	SRX13063204|ES_cells	SRX13063205|ES_cells	SRX13063206|ES_cells	SRX13063207|ES_cells	SRX13063208|ES_cells	SRX13063209|ES_cells	SRX13063210|ES_cells	SRX13113713|ES_cells	SRX13113714|ES_cells	SRX14812466|ES_cells	SRX14812467|ES_cells	SRX14812468|ES_cells	SRX14812469|ES_cells	SRX14812478|ES_cells	SRX14812479|ES_cells	SRX14812480|ES_cells	SRX14812481|ES_cells	SRX14812482|ES_cells	SRX14812483|ES_cells	SRX14812484|ES_cells	SRX14812485|ES_cells	SRX14812505|ES_cells	SRX14812506|ES_cells	SRX14812507|ES_cells	SRX14812508|ES_cells	SRX14812511|ES_cells	SRX14812512|ES_cells	SRX14812513|ES_cells	SRX14812514|ES_cells	SRX14927585|ES_cells	SRX14927586|ES_cells	SRX19611558|ES_cells	SRX19611559|ES_cells	SRX7001433|ES_cells	SRX769393|ES_cells	SRX10550256|HPC-7	SRX9697337|Lung_adenocarcinoma	SRX9697338|Lung_adenocarcinoma	SRX9697343|Lung_adenocarcinoma	SRX9697344|Lung_adenocarcinoma	SRX9697339|Lymphoma	SRX9697340|Lymphoma	SRX9697345|Lymphoma	SRX9697346|Lymphoma	SRX11724948|Macrophages	SRX2991451|Macrophages	SRX2991452|Macrophages	SRX2991453|Macrophages	SRX2991454|Macrophages	SRX2991455|Macrophages	SRX2170268|Mammary_cells	SRX2170269|Mammary_cells	SRX2170271|Mammary_cells	SRX2170272|Mammary_cells	SRX1588750|Mammary_glands	SRX270554|MEF	SRX270556|MEF	SRX483599|MEF	SRX18990882|mESC_derived_neural_cells	SRX18990883|mESC_derived_neural_cells	SRX17122861|Osteosarcoma	SRX9697341|Sarcoma	SRX9697342|Sarcoma	SRX9697347|Sarcoma	SRX9697348|Sarcoma	SRX18696492|Thymus	SRX18696493|Thymus	SRX6068088|White_adipose_tissue	SRX6068090|White_adipose_tissue	SRX6068092|White_adipose_tissue	STRING
Tcstv3	1401.715385	2650	2505	2539	2490	775	968	513	1460	1715	1186	1222	1217	722	1060	1063	405	528	645	1070	1494	808	1024	1150	906	948	855	0	0	0	711	0	0	0	0	0	2382	1719	1779	1679	1714	1718	1723	1722	1736	2267	1707	1748	1689	1797	1684	1773	1762	1747	0	2222	2317	1206	2023	2257	467	562	570	607	214	355	556	499	1970	2163	2069	2016	1949	1764	1780	2216	2185	1823	2042	1976	1965	1789	1849	1871	2033	2051	1953	972	1385	1005	711	743	1857	1807	1243	2179	1703	1722	1786	1841	1622	1991	1721	1543	1520	619	1198	2227	2213	2414	2034	1526	1340	1171	1574	1278	1067	316	1322	1933	1929	1050	2046	1781	1510	380	1619	1405	2211	1216	1199	0
Cldn34d	1154.800000	2161	1818	1966	1931	979	1018	421	1949	1716	2579	1854	2630	2083	2578	2294	265	600	1170	2730	2172	2027	2435	2668	2298	1499	511	659	2131	2488	2087	1369	0	0	200	236	1620	953	981	1121	778	988	1133	1119	770	1239	933	883	921	781	869	1070	861	1131	2307	1009	1016	319	1197	1632	477	546	647	630	641	687	685	641	0	1253	1228	1302	1200	1107	310	800	1108	651	1420	1364	1502	1660	1136	1387	1309	1183	230	288	412	216	2166	1991	1894	1768	2706	1181	1742	338	232	113	306	342	280	0	0	1951	856	1270	1317	1342	1278	856	1014	1041	1222	408	464	221	465	1559	1601	2156	176	0	150	0	2203	2472	1768	1025	1077	0
Brox	979.646154	674	738	547	577	1052	990	479	1066	815	2575	2427	2728	2158	2758	2180	397	751	908	2367	1658	2004	1753	2298	1780	1416	433	789	1259	840	1869	1486	0	0	1124	300	1657	705	732	762	659	579	711	698	872	1710	690	881	627	748	522	743	747	778	1566	1033	1032	118	1363	1370	166	0	0	0	191	223	0	0	2389	960	1358	1235	1451	1343	638	1060	1507	832	339	374	451	543	622	738	634	645	110	123	189	125	2078	2066	1112	1240	2351	1119	2319	743	912	616	624	476	827	172	0	1734	546	1160	1203	920	956	1395	1579	1346	1968	629	200	217	197	589	496	773	1624	821	826	0	1870	1783	1533	812	777	0
Aida	979.646154	674	738	547	577	1052	990	479	1066	815	2575	2427	2728	2158	2758	2180	397	751	908	2367	1658	2004	1753	2298	1780	1416	433	789	1259	840	1869	1486	0	0	1124	300	1657	705	732	762	659	579	711	698	872	1710	690	881	627	748	522	743	747	778	1566	1033	1032	118	1363	1370	166	0	0	0	191	223	0	0	2389	960	1358	1235	1451	1343	638	1060	1507	832	339	374	451	543	622	738	634	645	110	123	189	125	2078	2066	1112	1240	2351	1119	2319	743	912	616	624	476	827	172	0	1734	546	1160	1203	920	956	1395	1579	1346	1968	629	200	217	197	589	496	773	1624	821	826	0	1870	1783	1533	812	777	0
Zmat3	895.930769	695	484	2274	2168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	684	652	0	3121	3487	0	0	0	0	1768	0	0	0	0	0	0	0	0	2585	0	0	0	0	0	0	0	0	462	1691	1627	290	1638	1147	0	0	0	0	0	0	0	0	2064	267	2233	2184	2000	1886	2391	2639	2649	2397	2021	2342	2111	1377	1295	1506	1318	1820	787	797	1133	544	2410	2590	1040	1632	3720	2710	2819	0	0	467	1617	0	0	643	0	0	0	1377	1554	742	1158	3841	4334	4596	4552	0	1968	0	1973	2820	2753	0	0	0	0	0	0	0	2124	497	0	0
Dyrk3	888.253846	756	573	2136	2013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	0	2951	3132	0	0	0	0	1621	0	0	0	0	0	0	0	0	2262	0	0	0	0	0	0	0	0	1207	1521	1462	137	1615	618	0	0	0	0	0	0	0	0	2381	434	2374	2277	1825	1889	2856	2683	2573	2763	2381	2300	2496	1996	1666	1707	1721	1901	857	1281	1356	646	2679	2614	739	1332	3409	2449	2662	0	0	0	0	0	0	0	0	0	0	1744	2144	1283	1648	3862	4276	4375	4402	0	1343	0	1344	2734	2698	0	0	0	0	0	0	0	2221	538	0	0
Cdkn1a	826.200000	163	167	1565	1559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1607	379	0	2598	2625	0	0	0	0	1286	0	0	0	0	0	0	0	0	1609	0	0	0	0	0	0	0	0	497	1317	1276	0	1795	1203	0	0	0	0	0	0	0	0	2164	349	1868	2058	2024	1957	2355	2208	2041	2284	2170	2084	2170	1606	1694	1742	1732	1861	724	505	1217	602	2608	2872	1329	1713	2782	2124	2365	379	534	740	2213	645	716	707	0	0	113	1250	1607	1286	1378	2776	2942	3743	3344	0	1587	0	1590	1917	2099	0	463	480	183	0	0	0	1588	272	0	647
Olfr543	811.569231	233	0	1691	1676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	648	0	885	1520	0	0	0	0	979	0	0	0	0	0	0	0	0	1799	0	0	0	0	0	0	0	0	162	1370	1626	0	2261	1240	0	0	0	0	0	0	0	0	2737	412	2606	2630	2566	2421	2918	2808	2609	2695	2263	2411	2681	2041	2035	1979	1755	2205	1604	1430	2491	1286	1820	2484	358	538	3641	2719	926	0	0	0	203	0	0	0	0	0	0	127	339	136	199	3776	3925	3472	4336	0	1801	0	1799	2790	2862	0	0	0	0	0	0	0	2274	123	0	0
Agmat	808.246154	0	0	425	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2336	3261	0	0	0	0	647	0	0	0	0	0	0	0	0	777	0	0	0	0	0	0	0	0	435	1368	1651	0	3277	2666	0	0	0	0	0	0	0	0	2642	413	2614	2710	2565	2364	2548	2595	2395	2664	2629	2610	2761	2280	2146	2476	1972	2126	2309	1688	2786	2185	2023	2011	928	1349	3549	1943	1486	0	0	0	416	0	0	182	0	0	0	356	782	324	526	2696	2080	3323	4142	0	916	0	884	2883	2856	0	0	0	202	0	0	0	585	0	0	0
Bax	801.569231	278	157	1347	1513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2366	360	0	2954	3186	0	0	0	0	1097	0	0	0	0	0	0	0	0	2235	0	0	0	0	0	0	0	0	753	1856	2004	0	869	451	0	0	0	0	0	0	0	0	2612	491	1522	1785	1240	964	2605	2621	2473	2433	1616	1933	1870	792	663	973	789	1201	840	867	962	644	2766	3000	159	200	3741	1979	2431	0	0	228	325	0	0	155	0	0	144	2119	2439	1859	1847	3960	4380	4093	4233	0	1581	0	1585	2637	2630	103	0	0	161	0	0	0	2019	108	0	0
