Target_genes	Usf1|Average	SRX142512|C2C12	SRX142513|C2C12	SRX6784089|CH12	SRX6784090|CH12	SRX5027410|ES_cells	SRX6784044|MEL	SRX6784045|MEL	STRING
Ubxn1	2792.571429	2453	3137	2780	2786	3101	2827	2464	0
Vps33a	2771.000000	2478	3041	2743	2734	3268	2756	2377	0
Zbtb40	2756.428571	2423	3051	2796	2815	3569	2402	2239	0
Mapre1	2753.428571	2378	2986	2788	2812	2939	2821	2550	0
Atp6v1h	2748.428571	2369	3057	2742	2838	2868	2827	2538	0
Vps50	2744.428571	2515	3112	2730	2796	2618	2813	2627	0
Hepacam2	2744.428571	2515	3112	2730	2796	2618	2813	2627	0
Nagpa	2720.857143	2520	3010	2625	2527	3157	2815	2392	0
Tasp1	2714.857143	2419	3036	2755	2705	3012	2682	2395	0
Clcn7	2689.285714	2409	3057	2774	2712	2804	2749	2320	0
Dph2	2688.571429	2283	2658	2700	2622	3579	2663	2315	0
B4galt2	2688.571429	2283	2658	2700	2622	3579	2663	2315	0
Atp6v0b	2688.571429	2283	2658	2700	2622	3579	2663	2315	0
Mcoln1	2687.285714	2262	2923	2773	2822	2720	2854	2457	0
Nrd1	2677.714286	2228	2683	2585	2749	2916	2905	2678	0
Aldh3a2	2674.571429	2337	3074	2663	2625	2980	2699	2344	0
Ip6k1	2670.142857	2322	3124	2575	2786	2494	2863	2527	0
Nup188	2667.285714	2326	2632	2694	2723	3117	2758	2421	0
Dolk	2667.285714	2326	2632	2694	2723	3117	2758	2421	0
Lztfl1	2661.285714	2357	3076	2743	2737	2523	2795	2398	0
Gtf2f1	2655.285714	2336	3013	2676	2824	2317	2874	2547	0
Stmn1	2654.428571	2074	2873	2658	2747	3203	2724	2302	0
Rpusd4	2643.000000	2018	2820	2702	2772	3297	2649	2243	0
Fam118b	2643.000000	2018	2820	2702	2772	3297	2649	2243	0
Kdm4c	2634.142857	2045	2780	2757	2766	2884	2823	2384	0
Mthfr	2633.571429	2251	2909	2520	2473	3528	2547	2207	0
Clcn6	2633.571429	2251	2909	2520	2473	3528	2547	2207	0
1700037H04Rik	2629.000000	2223	2908	2618	2811	2396	2872	2575	0
Pspn	2627.857143	1987	2873	2702	2819	2579	2777	2658	0
Alkbh7	2627.857143	1987	2873	2702	2819	2579	2777	2658	0
Mien1	2626.571429	2069	2834	2743	2724	2900	2746	2370	0
Slc35a5	2622.428571	2116	2975	2548	2542	2962	2823	2391	0
Atg3	2622.428571	2116	2975	2548	2542	2962	2823	2391	0
Trappc8	2614.142857	2330	2603	2703	2724	2814	2702	2423	0
Pycr2	2611.714286	2250	2950	2665	2772	2602	2722	2321	0
Wdr19	2609.285714	2243	2969	2731	2788	2093	2859	2582	0
Depdc1b	2602.285714	2202	2882	2630	2758	2650	2744	2350	0
Dyrk1a	2598.857143	2393	2656	2566	2716	2389	2895	2577	0
Slc36a1	2596.285714	2247	2821	2625	2584	3288	2527	2082	0
Morc2a	2594.142857	2190	2824	2453	2588	3096	2674	2334	0
Slc38a7	2592.000000	2297	2930	2657	2701	2157	2770	2632	0
Ccnyl1	2589.714286	2059	2876	2613	2725	2672	2771	2412	0
Washc2	2574.571429	2249	2834	2558	2451	3278	2578	2074	0
Fam187a	2573.714286	2347	3060	2628	2565	2506	2638	2272	0
Eftud2	2573.714286	2347	3060	2628	2565	2506	2638	2272	0
Ccdc103	2573.714286	2347	3060	2628	2565	2506	2638	2272	0
Tmem19	2565.714286	2220	2909	2601	2822	1980	2827	2601	0
C87436	2560.714286	2293	2921	2510	2503	2856	2636	2206	0
Slfn14	2559.857143	2330	2804	2594	2645	2590	2670	2286	0
Prr5l	2554.714286	2266	2906	2676	2695	2158	2758	2424	0
Commd9	2554.714286	2266	2906	2676	2695	2158	2758	2424	0
Neurl2	2550.142857	2350	2975	2397	2445	3233	2459	1992	0
Ctsa	2550.142857	2350	2975	2397	2445	3233	2459	1992	0
Vps11	2545.857143	2409	2788	2757	2715	2088	2747	2317	0
Tbc1d13	2541.285714	2205	2771	2680	2728	2361	2731	2313	0
Marchf8	2539.000000	2034	2695	2712	2689	2785	2732	2126	0
Eef2	2533.571429	1882	2730	2704	2656	2918	2618	2227	0
Ankrd12	2533.571429	2072	2698	2598	2648	2747	2651	2321	0
Dctn4	2532.571429	2094	2942	2681	2638	2354	2712	2307	0
Rdh5	2530.285714	2090	2637	2668	2567	2846	2660	2244	0
Bloc1s1	2530.285714	2090	2637	2668	2567	2846	2660	2244	0
Med28	2525.142857	2225	2946	2579	2575	2670	2590	2091	0
Retreg2	2524.714286	2229	2946	2694	2699	2207	2678	2220	0
Cnppd1	2524.714286	2229	2946	2694	2699	2207	2678	2220	0
Spryd4	2522.285714	2121	2835	2447	2614	2428	2659	2552	0
Tpp1	2520.142857	2352	2996	2689	2785	1390	2883	2546	0
