Target_genes	Zbtb16|Average	SRX1284245|Spermatogonia	SRX1284246|Spermatogonia	SRX1284247|Spermatogonia	STRING
Uchl1	2624.000000	2431	2380	3061	0
Ptcd2	2541.666667	2429	2288	2908	0
Mrps27	2541.666667	2429	2288	2908	0
Por	2526.666667	2359	2272	2949	0
Psmb2	2523.333333	2594	2246	2730	0
Asah1	2511.000000	2257	2302	2974	0
Iqch	2495.666667	2191	2285	3011	0
Aagab	2495.666667	2191	2285	3011	0
Cdk12	2476.666667	2427	2223	2780	0
Mia2	2471.333333	2264	2394	2756	0
Denr	2456.666667	2647	2277	2446	0
Cnot6	2435.000000	2347	2055	2903	0
Taf15	2393.000000	2380	2060	2739	0
Cenpe	2392.000000	2166	2204	2806	0
Oga	2385.666667	2309	2171	2677	0
Styxl1	2380.666667	2445	2124	2573	0
Mdh2	2380.666667	2445	2124	2573	0
Adgrv1	2369.666667	2077	2082	2950	0
Qrich1	2367.666667	2450	2195	2458	0
Dut	2365.333333	2058	2146	2892	0
Atp5b	2349.333333	2084	2139	2825	0
Rbm39	2343.333333	2236	2231	2563	0
Akirin1	2339.000000	2345	1995	2677	0
Sod2	2337.333333	2192	2229	2591	0
Nol8	2318.666667	2205	1937	2814	0
Cenpp	2318.666667	2205	1937	2814	0
Arrdc4	2299.333333	2109	1980	2809	0
Sp2	2291.666667	2031	2193	2651	0
Lrpprc	2228.666667	1747	2175	2764	0
Tcp11l2	2208.333333	1885	2223	2517	0
Dnmt1	2200.666667	2078	1955	2569	0
Prkci	2197.333333	1716	2149	2727	0
Rita1	2192.666667	2003	2154	2421	0
Ddx54	2192.666667	2003	2154	2421	0
Prkdc	2190.666667	1911	2124	2537	0
Mcm4	2190.666667	1911	2124	2537	0
Dpp9	2189.666667	1951	1966	2652	0
Cmc2	2185.000000	1632	2179	2744	0
Cenpn	2185.000000	1632	2179	2744	0
Oxr1	2183.333333	1656	2140	2754	0
Tcp11	2174.666667	2134	1730	2660	0
Septin11	2172.000000	1595	2163	2758	0
Wdr77	2171.666667	2313	1956	2246	0
Atp5pb	2171.666667	2313	1956	2246	0
Scamp5	2163.333333	2279	1946	2265	0
Flad1	2163.333333	2134	1859	2497	0
Them6	2161.333333	1917	1915	2652	0
Supt5	2140.333333	2281	1922	2218	0
Rps19	2138.666667	2209	2173	2034	0
Dohh	2134.333333	1936	1986	2481	0
Sash1	2124.333333	1637	1986	2750	0
Uba1	2121.666667	1774	1916	2675	0
Pik3r3	2120.000000	1724	2040	2596	0
Sharpin	2116.333333	1951	1819	2579	0
Maf1	2116.333333	1951	1819	2579	0
Gm35339	2116.333333	1951	1819	2579	0
Uqcrh	2115.666667	1465	2138	2744	0
Lrrc41	2115.666667	1465	2138	2744	0
Dot1l	2088.666667	2029	1606	2631	0
BC005537	2086.666667	1663	2082	2515	0
Txnip	2084.666667	2028	1775	2451	0
Rraga	2084.333333	2212	1844	2197	0
Tst	2083.333333	1493	2013	2744	0
Mpst	2083.333333	1493	2013	2744	0
Mapk8ip1	2082.333333	1885	1836	2526	0
Noct	2080.666667	1532	1932	2778	0
Gipc1	2069.666667	1760	1960	2489	0
Tcstv3	2067.333333	1831	2112	2259	0
Nmral1	2065.000000	1527	1934	2734	0
Slbp	2064.000000	1780	1841	2571	0
Smc3	2058.666667	1662	1968	2546	0
Ppp1r13l	2055.666667	1587	1864	2716	0
Cd3eap	2055.666667	1587	1864	2716	0
Atg12	2054.000000	1349	2070	2743	0
Ap3s1	2054.000000	1349	2070	2743	0
Rnasek	2053.333333	1451	2019	2690	0
0610010K14Rik	2053.333333	1451	2019	2690	0
Mlst8	2052.666667	1484	1985	2689	0
Map7d1	2051.000000	1498	1952	2703	0
Ankrd54	2042.000000	1702	1821	2603	0
Bzw2	2036.666667	1569	2032	2509	0
Ankmy2	2036.666667	1569	2032	2509	0
Tigd5	2035.000000	1433	2077	2595	0
Eef1d	2035.000000	1433	2077	2595	0
Phrf1	2031.666667	1525	1925	2645	0
Tepsin	2030.666667	1852	1854	2386	0
Ndufaf8	2030.666667	1852	1854	2386	0
Paxip1	2029.666667	1504	1973	2612	0
Frat2	2028.333333	1431	2073	2581	0
Cdiptos	2027.666667	1532	2022	2529	0
Cdipt	2027.666667	1532	2022	2529	0
Fus	2027.333333	1539	1906	2637	0
Pfdn4	2026.666667	1552	1936	2592	0
Uchl3	2019.000000	1441	2078	2538	0
Hyal2	2015.000000	1403	2010	2632	0
Uros	2008.333333	1510	1850	2665	0
Bccip	2008.333333	1510	1850	2665	0
Dgat2	2002.000000	1456	1937	2613	0
Ireb2	2001.666667	2181	1843	1981	0
Eed	1999.666667	1381	1970	2648	0
Cd164	1995.666667	1617	1845	2525	0
Aldh4a1	1992.000000	1541	1921	2514	0
Tada3	1990.000000	1617	1922	2431	0
Arpc4	1990.000000	1617	1922	2431	0
Psmd5	1984.000000	2042	1637	2273	0
Cutal	1984.000000	2042	1637	2273	0
Gm21677	1979.333333	1718	1628	2592	0
Cln8	1978.666667	1475	1818	2643	0
Hdac2	1977.333333	1320	1920	2692	0
Nr6a1	1968.666667	1692	1806	2408	0
Hspa4	1959.333333	2050	1732	2096	0
Abhd2	1952.333333	1705	1594	2558	0
Gm21704	1951.000000	1718	1628	2507	0
Gm21693	1951.000000	1718	1628	2507	0
Ercc6l2	1950.000000	1953	1812	2085	0
Ccdc85c	1943.666667	1771	1561	2499	0
Nop14	1939.666667	1963	1634	2222	0
Grk4	1939.666667	1963	1634	2222	0
Git2	1939.666667	1854	1816	2149	0
Ankrd13a	1939.666667	1854	1816	2149	0
Ndufb1	1939.000000	1350	1811	2656	0
Cpsf2	1939.000000	1350	1811	2656	0
Rbmy	1938.666667	1630	1594	2592	0
Gm21708	1938.666667	1630	1594	2592	0
Nphp4	1915.666667	1375	1973	2399	0
Kcnab2	1915.666667	1375	1973	2399	0
Rnf5	1915.333333	1708	1736	2302	0
Agpat1	1915.333333	1708	1736	2302	0
Gm3376	1914.333333	1630	1594	2519	0
Fam180a	1914.000000	2140	1473	2129	0
Rfx1	1910.333333	1832	1627	2272	0
Atrnl1	1904.333333	1406	1654	2653	0
Sec23ip	1904.000000	1725	1922	2065	0
Mcmbp	1904.000000	1725	1922	2065	0
Ppm1l	1903.000000	1178	1818	2713	0
Akap11	1899.000000	1908	1791	1998	0
Diaph1	1891.666667	1577	1674	2424	0
Prox2	1886.333333	1708	1609	2342	0
Myl12a	1886.333333	1277	1820	2562	0
Dlst	1886.333333	1708	1609	2342	0
Micos10	1872.333333	2061	1533	2023	0
Frat1	1869.000000	1199	1755	2653	0
Mat2a	1862.666667	1384	1874	2330	0
Psip1	1859.000000	1262	1664	2651	0
Rps3a1	1853.333333	1747	1619	2194	0
Gm4064	1843.333333	1605	1441	2484	0
Gm10352	1843.333333	1605	1441	2484	0
Gm10256	1843.333333	1605	1441	2484	0
Pknox1	1842.000000	1584	1668	2274	0
Raly	1840.666667	1563	1560	2399	0
Atg101	1839.666667	1278	1802	2439	0
Nfatc2ip	1836.333333	1871	1512	2126	0
Gm5165	1834.000000	1666	1570	2266	0
Mms22l	1823.666667	1990	1630	1851	0
Ankfy1	1820.666667	1947	1670	1845	0
Madd	1814.666667	1747	1667	2030	0
Katnb1	1810.000000	1884	1518	2028	0
Trir	1804.666667	1477	1688	2249	0
Get3	1804.666667	1477	1688	2249	0
Mtmr14	1803.666667	1671	1648	2092	0
Srek1ip1	1801.333333	1303	1685	2416	0
Rpl19	1801.333333	1307	1826	2271	0
Cwc27	1801.333333	1303	1685	2416	0
Cacnb1	1801.333333	1307	1826	2271	0
Stxbp4	1794.000000	1998	1622	1762	0
Cox11	1794.000000	1998	1622	1762	0
Tom1	1786.666667	1770	1553	2037	0
Tjp3	1786.000000	1422	1742	2194	0
Pip5k1c	1786.000000	1422	1742	2194	0
Ncoa4	1785.000000	1886	1691	1778	0
Mis12	1780.000000	1540	1506	2294	0
Derl2	1780.000000	1540	1506	2294	0
Ss18	1778.666667	1073	1665	2598	0
Recql	1777.000000	1843	1401	2087	0
Golt1b	1777.000000	1843	1401	2087	0
Atp6v0c	1776.333333	1143	1719	2467	0
Cspp1	1773.666667	1285	1622	2414	0
Cops5	1773.666667	1285	1622	2414	0
Arf3	1773.666667	1865	1591	1865	0
Eif4a3	1771.000000	1671	1429	2213	0
G3bp1	1770.333333	1464	1545	2302	0
Polg	1769.333333	1704	1762	1842	0
Rab5b	1764.333333	1578	1373	2342	0
Lamp1	1762.000000	1638	1553	2095	0
Ube2c	1759.000000	1708	1417	2152	0
Mgrn1	1757.000000	1111	1732	2428	0
Hap1	1755.000000	1345	1648	2272	0
Zfp526	1753.333333	1301	1702	2257	0
Dedd2	1753.333333	1301	1702	2257	0
Selenow	1752.666667	1095	1476	2687	0
Slc26a8	1750.000000	1795	1598	1857	0
Mapk14	1750.000000	1795	1598	1857	0
Tmem94	1746.666667	1710	1350	2180	0
Nudt2	1745.333333	1802	1386	2048	0
Kif24	1745.333333	1802	1386	2048	0
Eif3b	1743.666667	1391	1696	2144	0
Prkaca	1740.666667	1726	1305	2191	0
Dnm2	1737.000000	1668	1590	1953	0
Evi5l	1733.000000	1509	1396	2294	0
Ptcd3	1732.333333	1189	1721	2287	0
Polr1a	1732.333333	1189	1721	2287	0
Nsun3	1731.333333	1929	1577	1688	0
Gm51425	1720.333333	1581	1478	2102	0
Flcn	1719.333333	1305	1814	2039	0
Mrps11	1711.666667	1176	1646	2313	0
Mrpl46	1711.666667	1176	1646	2313	0
Fam227a	1704.333333	1208	1557	2348	0
Cby1	1704.333333	1208	1557	2348	0
Sigmar1	1696.666667	1707	1397	1986	0
Galnt10	1694.333333	1348	1548	2187	0
Rpl22	1690.666667	1402	1659	2011	0
Arntl	1682.000000	1525	1333	2188	0
Per2	1681.000000	1495	1437	2111	0
Ube2a	1678.666667	1489	1216	2331	0
Ttll7	1671.333333	1042	1564	2408	0
Hnrnpc	1669.333333	1558	1307	2143	0
Ube2d3	1668.000000	1625	1355	2024	0
Ankhd1	1661.333333	1370	1435	2179	0
Gnb2	1660.333333	1337	1495	2149	0
Srxn1	1660.000000	1007	1482	2491	0
Wasl	1657.333333	1434	1426	2112	0
Rusc2	1654.666667	1535	1348	2081	0
Iqce	1654.000000	1263	1694	2005	0
Brat1	1654.000000	1263	1694	2005	0
Ptdss1	1642.666667	1105	1501	2322	0
Mterf3	1642.666667	1105	1501	2322	0
Wdr27	1641.666667	1628	1446	1851	0
1600012H06Rik	1641.666667	1628	1446	1851	0
Uqcrq	1640.333333	1630	1310	1981	0
Gdf9	1640.333333	1630	1310	1981	0
Ephb2	1639.666667	1028	1367	2524	0
Pitpnm1	1638.000000	1493	1349	2072	0
Cdk2ap2	1638.000000	1493	1349	2072	0
Tmem88	1637.333333	1812	1485	1615	0
Naa38	1637.333333	1812	1485	1615	0
Cyb5d1	1637.333333	1812	1485	1615	0
Fbxo33	1636.333333	1067	1474	2368	0
Rnpc3	1632.000000	1670	1609	1617	0
Lsg1	1627.333333	1099	1576	2207	0
Mks1	1617.666667	1685	1133	2035	0
Puf60	1617.000000	1687	1509	1655	0
Tmem260	1612.666667	1053	1372	2413	0
Rab28	1609.666667	1115	1535	2179	0
Golm2	1607.666667	1704	1461	1658	0
Bcl6	1600.666667	925	1430	2447	0
Dolpp1	1599.000000	1621	1350	1826	0
Map3k7	1579.333333	1418	1279	2041	0
Zswim4	1577.666667	1452	1359	1922	0
Fam53c	1569.333333	1020	1506	2182	0
Ddhd2	1565.000000	1687	1381	1627	0
Nudt1	1564.000000	1833	1412	1447	0
Mettl16	1564.000000	1788	1384	1520	0
Calm3	1562.000000	1070	1456	2160	0
Fubp1	1555.666667	1619	1339	1709	0
Dnajb4	1555.666667	1619	1339	1709	0
Kmt2a	1555.000000	806	1365	2494	0
Ppp4r3b	1551.000000	1556	1324	1773	0
Pnn	1550.333333	1346	1270	2035	0
Hdac1	1546.000000	1376	1256	2006	0
Naa35	1541.333333	1573	1531	1520	0
Cdt1	1539.000000	1420	1395	1802	0
Osbp	1538.666667	1231	1307	2078	0
Ttf1	1533.333333	937	1441	2222	0
Cfap77	1533.333333	937	1441	2222	0
Paip2b	1532.333333	1592	1204	1801	0
Rmnd5a	1528.666667	1310	1483	1793	0
Prdm10	1528.666667	1409	1416	1761	0
Stag3	1525.333333	1459	1441	1676	0
Gpc2	1525.333333	1459	1441	1676	0
H3c4	1522.666667	1531	1484	1553	0
H2bc8	1522.666667	1531	1484	1553	0
H2bc7	1522.666667	1531	1484	1553	0
H2ac8	1522.666667	1531	1484	1553	0
H2ac7	1522.666667	1531	1484	1553	0
Tcerg1	1521.666667	1355	1165	2045	0
Slc39a3	1517.666667	1364	1254	1935	0
Haspin	1517.666667	1400	1407	1746	0
Ly6g6f	1517.333333	1172	1406	1974	0
Abhd16a	1517.333333	1172	1406	1974	0
Fchsd2	1517.000000	1263	1445	1843	0
