Target_genes	Zbtb17|Average	SRX543056|70Z/3	SRX3113700|B_cells	SRX821473|Medulloblastoma	SRX821476|Medulloblastoma	SRX821479|Medulloblastoma	SRX3113698|MEF	SRX543048|P6D4	STRING
Cox19	2676.428571	1310	4836	1555	2417	2505	2797	3315	0
Palb2	2644.571429	769	4964	1701	2720	2854	3093	2411	0
Dctn5	2644.571429	769	4964	1701	2720	2854	3093	2411	0
Vamp4	2461.285714	1468	4616	1401	1653	2327	1478	4286	0
Rpl22	2448.285714	322	5201	1636	2657	2814	3338	1170	0
C2cd5	2397.000000	850	5069	1562	1649	2556	2283	2810	0
Vps28	2377.000000	524	4680	1517	1643	2056	3244	2975	0
Snrpb2	2365.857143	498	4890	1733	2068	2683	2821	1868	0
Exoc2	2326.285714	911	4685	1603	1762	2096	2441	2786	0
Mettl25	2278.428571	220	5232	1765	2074	2666	1669	2323	0
Ccdc59	2278.428571	220	5232	1765	2074	2666	1669	2323	0
Rbm48	2270.571429	579	4579	1555	2006	2338	2291	2546	0
Pex1	2270.571429	579	4579	1555	2006	2338	2291	2546	0
Psmd3	2233.000000	412	4935	1622	1806	2301	3261	1294	0
Rtn4rl1	2229.857143	472	4770	1560	2302	2439	2670	1396	0
Dph1	2229.857143	472	4770	1560	2302	2439	2670	1396	0
Rbsn	2217.142857	724	4661	1638	1755	2426	2552	1764	0
Ambra1	2217.142857	224	4852	1549	2327	2533	2965	1070	0
Mlst8	2208.428571	409	4737	1515	2328	2486	2126	1858	0
Bricd5	2208.428571	409	4737	1515	2328	2486	2126	1858	0
Vps13d	2201.285714	512	5164	1673	1689	2097	2683	1591	0
Taok3	2192.714286	741	4867	1457	1316	2071	1952	2945	0
Suds3	2192.714286	741	4867	1457	1316	2071	1952	2945	0
Ercc2	2175.000000	260	4980	1607	2186	2361	2710	1121	0
Yars	2152.571429	440	4727	1507	1871	2166	2504	1853	0
S100pbp	2152.571429	440	4727	1507	1871	2166	2504	1853	0
Znhit3	2138.857143	180	4935	1512	2356	2643	2908	438	0
Tmbim4	2113.285714	628	4960	1718	1776	2341	3370	0	0
Taf3	2111.285714	456	4902	1684	1423	2016	2180	2118	0
Psma1	2094.000000	538	4858	1575	1547	1985	2500	1655	0
Gne	2085.285714	668	3497	1509	1497	2110	1740	3576	0
Raf1	2083.142857	632	4970	1537	1485	2083	1712	2163	0
Pomt1	2053.571429	679	4860	1440	1416	1644	2419	1917	0
Pdcd5	2046.571429	339	4629	1562	1713	2032	2457	1594	0
U2surp	2023.857143	264	4779	1674	1686	2009	2082	1673	0
Mmadhc	2022.000000	305	4788	1667	1919	2261	2001	1213	0
Cstf1	2002.857143	408	4748	1487	1966	2255	1930	1226	0
Aurka	2002.857143	408	4748	1487	1966	2255	1930	1226	0
Pex14	1989.428571	195	4498	1567	1682	2086	2705	1193	0
Dffa	1989.428571	195	4498	1567	1682	2086	2705	1193	0
Hdgf	1968.000000	613	3154	1427	1515	1866	1806	3395	0
Kdm8	1950.142857	206	4776	1560	1800	2076	2356	877	0
Tmem167b	1946.285714	147	4876	1678	1721	1919	2314	969	0
Klhdc10	1943.428571	357	4794	1480	1269	2105	2546	1053	0
Fan1	1939.857143	166	4519	1540	1966	2459	2475	454	0
Vps72	1919.857143	363	4170	1264	1503	1834	2888	1417	0
Pip5k1a	1919.857143	363	4170	1264	1503	1834	2888	1417	0
Dcp1b	1912.857143	419	4948	1607	1217	2017	1187	1995	0
Eif2b3	1905.857143	338	4668	1616	1859	2255	1794	811	0
Ptcd1	1900.142857	379	3593	1780	1855	2134	2245	1315	0
Cpsf4	1900.142857	379	3593	1780	1855	2134	2245	1315	0
Pex16	1865.857143	231	4457	1525	1717	2240	1976	915	0
Large2	1865.857143	231	4457	1525	1717	2240	1976	915	0
Rpl9	1863.000000	257	4819	1643	1762	1758	2205	597	0
Lias	1863.000000	257	4819	1643	1762	1758	2205	597	0
Ndufa5	1861.428571	343	4884	1629	1614	2195	1639	726	0
Asb15	1861.428571	343	4884	1629	1614	2195	1639	726	0
Lsm5	1860.571429	177	4969	1695	1194	1556	2874	559	0
Hmgxb4	1850.857143	235	4588	1723	1715	1785	1343	1567	0
Shox2	1824.857143	272	4642	1476	1236	1457	2362	1329	0
Rsrc1	1824.857143	272	4642	1476	1236	1457	2362	1329	0
Snrpa1	1823.142857	191	4817	1579	1554	2094	1628	899	0
Cct8	1795.714286	238	4879	1783	1363	1495	1393	1419	0
Rwdd1	1795.000000	241	4945	1460	1084	1424	1622	1789	0
Dctn6	1777.000000	298	3870	1580	1804	2246	1758	883	0
Pus10	1772.142857	339	4456	1386	1071	1435	1309	2409	0
Ino80	1736.285714	147	3843	1444	1106	1707	1625	2282	0
Snx18	1731.142857	0	3159	1673	1258	1450	1735	2843	0
Pgd	1723.000000	409	4591	1420	941	1319	1526	1855	0
Prdm4	1705.571429	173	4658	1640	1408	1703	1120	1237	0
Sos1	1693.571429	227	4512	1491	1220	1502	1492	1411	0
Tbc1d14	1679.571429	377	2826	1618	1634	2062	1761	1479	0
Mrps23	1601.142857	393	4257	1525	1369	1362	1307	995	0
Lrp12	1594.285714	0	726	1527	1655	2043	1732	3477	0
Gins3	1572.285714	0	4798	1704	1220	1050	1923	311	0
Snx12	1545.428571	0	4864	1845	1134	1424	1551	0	0
Rasal2	1521.714286	261	4205	1629	1431	2031	1095	0	0
Mrps15	1482.142857	308	1576	1715	1321	1725	1994	1736	0
Rad54l	1478.571429	246	1775	1650	1894	2084	2358	343	0
Wiz	1470.000000	213	2603	1636	983	1868	1487	1500	0
Kmt2a	1467.142857	0	3940	1357	1262	1946	1765	0	0
Surf6	1444.428571	169	3849	1744	1305	1398	1330	316	0
Heatr5a	1442.428571	271	2798	1735	1215	1682	1232	1164	0
Brd3os	1434.857143	140	3781	1542	1434	1569	1578	0	0
Cltc	1431.285714	0	4484	1660	1162	1459	1254	0	0
Lactb	1424.857143	206	3067	1592	1043	1419	1217	1430	0
Cpped1	1392.285714	203	4333	1333	485	884	953	1555	0
Gnai3	1355.714286	0	4144	1368	1561	1672	745	0	0
Tcea1	1351.285714	253	2923	1753	762	1360	1430	978	0
Fbxw5	1341.142857	155	3745	1412	559	924	953	1640	0
C8g	1341.142857	155	3745	1412	559	924	953	1640	0
Glrx3	1319.000000	202	3642	1692	689	1283	310	1415	0
Pcnx3	1310.714286	0	3634	1589	1350	1173	1429	0	0
Map3k11	1310.714286	0	3634	1589	1350	1173	1429	0	0
Rnf8	1299.285714	0	3940	1622	1066	1294	292	881	0
Dclre1b	1273.000000	298	3601	1741	571	1006	934	760	0
Ap4b1	1273.000000	298	3601	1741	571	1006	934	760	0
Pet117	1272.714286	182	3020	1655	925	1404	1199	524	0
Kat14	1272.714286	182	3020	1655	925	1404	1199	524	0
Trmt1	1259.000000	297	2568	1483	922	1128	1421	994	0
Nacc1	1259.000000	297	2568	1483	922	1128	1421	994	0
Tmem134	1248.714286	338	2438	1734	917	1137	693	1484	0
Aip	1248.714286	338	2438	1734	917	1137	693	1484	0
Fkbpl	1246.428571	0	3614	1467	1063	1418	1163	0	0
Atf6b	1246.428571	0	3614	1467	1063	1418	1163	0	0
Pikfyve	1236.142857	227	4005	1380	508	774	1213	546	0
Idh1	1236.142857	227	4005	1380	508	774	1213	546	0
Tex2	1206.571429	0	1145	1667	990	1739	1812	1093	0
Tpk1	1183.142857	309	1425	1702	613	1603	639	1991	0
Pla2g15	1180.000000	202	3422	1569	772	611	1194	490	0
Tcstv3	1169.285714	836	1642	1138	557	598	1522	1892	0
Kmt2d	1144.428571	0	4654	1448	432	725	752	0	0
Cep70	1130.428571	0	3737	1841	547	758	218	812	0
Ttc37	1125.285714	0	1097	1748	1637	1606	1638	151	0
Arsk	1125.285714	0	1097	1748	1637	1606	1638	151	0
Rev3l	1116.571429	224	1927	1584	755	1320	689	1317	0
9430038I01Rik	1116.428571	0	3223	1710	919	1519	237	207	0
Clcc1	1109.428571	297	756	1583	841	1664	519	2106	0
Ogt	1107.285714	0	3643	1858	515	874	861	0	0
Wdr12	1101.285714	0	3804	1553	710	1018	624	0	0
Carf	1101.285714	0	3804	1553	710	1018	624	0	0
Mtf2	1093.285714	0	4636	1669	246	399	703	0	0
Zfp335	1042.285714	0	4267	1289	420	639	681	0	0
Gnb2	1041.000000	0	4276	1394	374	700	543	0	0
Tob2	1027.571429	0	4180	1384	236	516	877	0	0
Hipk1	1027.285714	155	2350	1776	733	1169	337	671	0
Tsc1	1015.428571	0	4404	1040	292	502	870	0	0
Ccng2	1013.142857	0	4192	707	553	805	835	0	0
