Target_genes	Zbtb24|Average	SRX4815301|ES_cells	SRX4815303|ES_cells	STRING
Oasl1	634.000000	615	653	0
Olfr806	610.500000	519	702	0
Tcstv3	604.500000	557	652	0
Wwox	577.500000	532	623	0
Cdca7	527.500000	551	504	435
Abhd6	514.000000	502	526	0
Cldn34d	437.500000	392	483	0
Ostc	426.000000	492	360	0
Arid5b	410.500000	464	357	0
Riok2	402.000000	431	373	0
Prepl	380.000000	435	325	0
Camkmt	380.000000	435	325	0
Esr1	372.500000	329	416	0
Rnf187	371.000000	413	329	0
Vmn2r4	361.500000	308	415	0
Dtnb	349.000000	324	374	0
Rpl32	326.500000	360	293	0
Axin2	313.000000	388	238	0
Acsf3	292.500000	211	374	0
Wapl	280.500000	322	239	0
Tmem125	275.000000	251	299	0
Taf6	274.000000	357	191	0
Cnpy4	274.000000	357	191	0
Vmn2r102	271.500000	165	378	0
Asmt	235.000000	246	224	0
Wasf1	216.500000	228	205	0
Tent5c	216.500000	205	228	0
Cdc40	216.500000	228	205	0
Spdef	212.000000	304	120	0
Ankar	204.500000	204	205	0
Fam227b	199.000000	398	0	0
Dtwd1	199.000000	398	0	0
Slc24a1	198.500000	158	239	0
Ints14	198.500000	158	239	0
Nemf	189.000000	378	0	0
Rps29	182.500000	365	0	0
Brox	182.000000	203	161	0
Aida	182.000000	203	161	0
Dnmt3a	169.000000	164	174	0
Prkdc	168.500000	337	0	0
Crebzf	160.000000	169	151	0
Rasip1	149.000000	298	0	0
Izumo1	149.000000	298	0	0
Tmem192	137.000000	128	146	0
Plin2	135.500000	157	114	0
Lypd11	124.500000	0	249	0
Gdf11	107.500000	149	66	0
Dlg5	104.500000	90	119	0
Malt1	102.500000	205	0	0
Plekhd1	98.500000	197	0	0
Eloc	97.000000	97	97	0
Gcgr	89.500000	179	0	0
Fcho2	87.500000	97	78	0
Vstm4	84.000000	168	0	0
Prox1	83.500000	0	167	0
Cdh12	80.000000	0	160	0
Phf5a	76.000000	152	0	0
Aco2	76.000000	152	0	0
Phox2a	75.500000	0	151	0
Zfp57	75.000000	0	150	0
Ube2q2	74.500000	149	0	0
Zfp507	71.500000	0	143	0
Aldh2	69.500000	139	0	0
Nefl	67.000000	134	0	0
Hlx	66.500000	0	133	0
Kifbp	57.500000	115	0	0
Slc25a44	55.500000	0	111	0
Slc27a5	52.000000	104	0	0
Pax8	51.000000	102	0	0
Wdr88	50.000000	0	100	0
Trim44	50.000000	0	100	0
Pkm	50.000000	100	0	0
Fut7	45.000000	90	0	0
Abca2	45.000000	90	0	0
Fam76a	44.000000	88	0	0
Kat2b	34.500000	69	0	0
Fev	32.500000	65	0	0
