Target_genes	Zeb1|Average	SRX5485183|Embryonic_brains	STRING
Cldn34d	1129.000000	1129	0
Brox	1109.000000	1109	0
Aida	1109.000000	1109	0
Tcstv3	640.000000	640	0
Tmem125	476.000000	476	0
Gm11213	392.000000	392	0
Sfi1	246.000000	246	0
Gm4981	231.000000	231	0
Phyhipl	146.000000	146	0
Tsga10	139.000000	139	0
Gm17019	135.000000	135	0
Gm3739	134.000000	134	0
Fdft1	127.000000	127	0
Fcgr3	126.000000	126	0
Unc5d	121.000000	121	0
9230019H11Rik	111.000000	111	0
Myo1d	101.000000	101	0
Fnbp1l	101.000000	101	0
Tmem87b	97.000000	97	0
Lrrc8b	84.000000	84	0
Dux	84.000000	84	0
Hook1	75.000000	75	0
Cdh1	0.000000	0	739
Ar	0.000000	0	525
Dnmt1	0.000000	0	481
Trp73	0.000000	0	471
Grhl2	0.000000	0	462
Shc1	0.000000	0	451
Notch3	0.000000	0	441
Serpine1	0.000000	0	435
Pkp3	0.000000	0	426
Neurog3	0.000000	0	426
Ajap1	0.000000	0	426
Epcam	0.000000	0	413
Mgmt	0.000000	0	401
Hif1a	0.000000	0	401
