Target_genes	Zfp217|Average	SRX868619|ES_cells	STRING
Tti2	2672.000000	2672	0
Poldip3	2470.000000	2470	0
Eapp	2398.000000	2398	0
Tmem107	2355.000000	2355	0
Gtf3c6	2340.000000	2340	0
Alyref2	2302.000000	2302	0
Tcstv3	2281.000000	2281	0
Taf12	2256.000000	2256	0
Ptpn6	2241.000000	2241	0
Grcc10	2241.000000	2241	0
H3f3b	2179.000000	2179	0
H3c6	2127.000000	2127	0
Rdm1	2094.000000	2094	0
H4f16	2018.000000	2018	0
H2aj	2018.000000	2018	0
BC107364	1959.000000	1959	0
H1f2	1945.000000	1945	0
Jund	1897.000000	1897	0
Iqcn	1897.000000	1897	0
H4c14	1862.000000	1862	0
Slc35g3	1844.000000	1844	0
Polr2a	1844.000000	1844	0
H2bc4	1829.000000	1829	0
H2ac6	1829.000000	1829	0
H3c13	1766.000000	1766	0
H2bc18	1766.000000	1766	0
H4c4	1740.000000	1740	0
H2bc6	1740.000000	1740	0
Sirt4	1737.000000	1737	0
Tex14	1695.000000	1695	0
Nabp1	1664.000000	1664	0
H4c11	1659.000000	1659	0
H4c3	1651.000000	1651	0
H1f6	1651.000000	1651	0
Tob1	1630.000000	1630	0
Mknk2	1607.000000	1607	0
Sde2	1593.000000	1593	0
Caprin2	1584.000000	1584	0
Txnip	1569.000000	1569	0
H2bc12	1564.000000	1564	0
H2ac12	1564.000000	1564	0
Znfx1	1547.000000	1547	0
H2ax	1535.000000	1535	0
Arrdc2	1518.000000	1518	0
H4c8	1502.000000	1502	0
H3c8	1502.000000	1502	0
H2ac10	1502.000000	1502	0
H4c6	1463.000000	1463	0
H1f3	1463.000000	1463	0
Slc38a2	1462.000000	1462	0
H3c15	1452.000000	1452	0
H3c14	1452.000000	1452	0
H2ac19	1452.000000	1452	0
H2ac18	1452.000000	1452	0
Arl15	1443.000000	1443	0
H4c12	1440.000000	1440	0
H2bc15	1440.000000	1440	0
H2ac15	1440.000000	1440	0
H1f4	1424.000000	1424	0
Eif4a1	1412.000000	1412	0
Gadd45a	1411.000000	1411	0
Ftl1	1383.000000	1383	0
H3c7	1382.000000	1382	0
H2bc9	1382.000000	1382	0
H4c9	1378.000000	1378	0
H2bc11	1378.000000	1378	0
H2ac11	1378.000000	1378	0
Ubb	1371.000000	1371	0
Actb	1331.000000	1331	0
Arl6ip1	1328.000000	1328	0
Rpl3	1327.000000	1327	0
Mphosph9	1323.000000	1323	0
2810006K23Rik	1323.000000	1323	0
H2bc21	1312.000000	1312	0
H2ac21	1312.000000	1312	0
H2ac20	1312.000000	1312	0
H3c11	1310.000000	1310	0
H1f5	1310.000000	1310	0
Ing1	1305.000000	1305	0
Med21	1264.000000	1264	0
Slc2a3	1260.000000	1260	0
Ttc25	1254.000000	1254	0
H4c18	1254.000000	1254	0
H4bc24	1254.000000	1254	0
H2bc23	1254.000000	1254	0
H2ac24	1254.000000	1254	0
H2ac23	1254.000000	1254	0
H4c17	1249.000000	1249	0
Gadd45b	1237.000000	1237	0
Dhx8	1236.000000	1236	0
Gapdh	1222.000000	1222	0
Hsp90aa1	1221.000000	1221	0
Ndc1	1218.000000	1218	0
Mat2a	1214.000000	1214	0
Calr	1211.000000	1211	0
H2-DMa	1200.000000	1200	0
Brd2	1200.000000	1200	0
H4c2	1190.000000	1190	0
H3c2	1190.000000	1190	0
H2ac4	1190.000000	1190	0
Tsc22d1	1175.000000	1175	0
Ddit4	1169.000000	1169	0
Gtf2a1	1159.000000	1159	0
H2aw	1155.000000	1155	0
Tcte3	1151.000000	1151	0
Gm3448	1151.000000	1151	0
Gm3435	1151.000000	1151	0
Gm3417	1151.000000	1151	0
Cd81	1141.000000	1141	0
Zfp36l1	1135.000000	1135	0
H2bc22	1129.000000	1129	0
H2ac22	1129.000000	1129	0
Marcksl1	1122.000000	1122	0
H4c1	1120.000000	1120	0
H3c1	1120.000000	1120	0
Tnrc6c	1117.000000	1117	0
Eef1a1	1115.000000	1115	0
H2bc1	1113.000000	1113	0
H2ac1	1113.000000	1113	0
Mbd6	1112.000000	1112	0
Ddit3	1112.000000	1112	0
H3c4	1103.000000	1103	0
H2bc8	1103.000000	1103	0
H2bc7	1103.000000	1103	0
H2ac8	1103.000000	1103	0
H2ac7	1103.000000	1103	0
Baiap2	1095.000000	1095	0
H3c10	1093.000000	1093	0
H2bc13	1093.000000	1093	0
H2ac13	1093.000000	1093	0
Ptma	1091.000000	1091	0
Appbp2	1078.000000	1078	0
Zfp963	1075.000000	1075	0
Csrnp2	1068.000000	1068	0
Taf4b	1057.000000	1057	0
9030025P20Rik	1057.000000	1057	0
H3c3	1053.000000	1053	0
H2bc3	1053.000000	1053	0
Sqstm1	1043.000000	1043	0
H2bc14	1043.000000	1043	0
Pdlim7	1041.000000	1041	0
Hmga1b	1040.000000	1040	0
Hmga1	1040.000000	1040	0
Ermard	1039.000000	1039	0
Tfcp2l1	1037.000000	1037	0
Prdx1	1036.000000	1036	0
Taf13	1033.000000	1033	0
Id1	1026.000000	1026	0
D230025D16Rik	1021.000000	1021	0
Fgf4	1020.000000	1020	0
Mdm1	1019.000000	1019	0
Arid5a	1014.000000	1014	0
Btg2	1006.000000	1006	0
Slbp	999.000000	999	0
Btg1	999.000000	999	0
B230219D22Rik	991.000000	991	0
Oaz1	976.000000	976	0
Ldhd	975.000000	975	0
Klf2	975.000000	975	0
Hexim1	974.000000	974	0
Pla2g1b	973.000000	973	0
Zbtb37	969.000000	969	0
Stmn1	967.000000	967	0
Pnp	966.000000	966	0
H1f1	964.000000	964	0
Sgk1	962.000000	962	0
Sox2	952.000000	952	0
Pabpc1	951.000000	951	0
Tubb4b	947.000000	947	0
Mapk1	945.000000	945	0
Errfi1	943.000000	943	0
Slc7a5	937.000000	937	0
Zswim7	936.000000	936	0
Ttc19	936.000000	936	0
Arl4d	936.000000	936	0
Ubc	935.000000	935	0
Calm1	934.000000	934	0
Vamp1	931.000000	931	0
Hibadh	931.000000	931	0
Nde1	927.000000	927	0
Marf1	927.000000	927	0
Gfpt2	923.000000	923	0
Cdkn1a	923.000000	923	0
Dnaja1	918.000000	918	0
Ddhd2	917.000000	917	0
Srsf2	913.000000	913	0
Mfsd11	913.000000	913	0
Ints6	907.000000	907	0
Ifrd1	906.000000	906	0
Dynlt1b	906.000000	906	0
Skp1	905.000000	905	0
Ppp1r8	904.000000	904	0
Glul	901.000000	901	0
Tpi1	898.000000	898	0
Rnf19b	891.000000	891	0
Tmem177	890.000000	890	0
C2cd4b	890.000000	890	0
Tcf15	886.000000	886	0
Rnaset2b	875.000000	875	0
Rnaset2a	875.000000	875	0
Ywhag	874.000000	874	0
Ier2	871.000000	871	0
2410141K09Rik	870.000000	870	0
Ppia	868.000000	868	0
Cdc34	867.000000	867	0
Nufip2	863.000000	863	0
Rab11fip3	862.000000	862	0
Rgcc	859.000000	859	0
Hnrnpab	858.000000	858	0
Hhex	856.000000	856	0
Pithd1	854.000000	854	0
Odc1	853.000000	853	0
Taok1	852.000000	852	0
Sfi1	849.000000	849	0
Csrp2	846.000000	846	0
Twsg1	844.000000	844	0
Srsf7	843.000000	843	0
Fam53c	843.000000	843	0
Wsb1	840.000000	840	0
Rnf149	840.000000	840	0
Tsg101	834.000000	834	0
Npm1	833.000000	833	0
Slc66a1	827.000000	827	0
Polr3d	827.000000	827	0
Hspa5	827.000000	827	0
Akr7a5	827.000000	827	0
Ube2s	826.000000	826	0
Apoe	820.000000	820	0
Luzp1	819.000000	819	0
Gtf2b	818.000000	818	0
Ccdc107	817.000000	817	0
Atad1	817.000000	817	0
Cox6b2	815.000000	815	0
Map2k2	813.000000	813	0
Eif4g2	810.000000	810	0
Zc3h10	808.000000	808	0
Taf11	808.000000	808	0
Rpl41	808.000000	808	0
Anks1	808.000000	808	0
Gpx1	803.000000	803	0
Fam174c	801.000000	801	0
Cirbp	801.000000	801	0
Vegfa	800.000000	800	0
Rsrp1	798.000000	798	0
Slc25a39	793.000000	793	0
Calu	793.000000	793	0
Phf10	792.000000	792	0
Slc3a2	791.000000	791	0
Mob1a	789.000000	789	0
Kdm4c	789.000000	789	0
Stx12	787.000000	787	0
Klf11	786.000000	786	0
Pafah1b1	785.000000	785	0
Malsu1	783.000000	783	0
Crkl	783.000000	783	0
Ctsl	782.000000	782	0
Ankfy1	782.000000	782	0
Rapgef6	781.000000	781	0
Cdk10	781.000000	781	0
2410002F23Rik	780.000000	780	0
Sdc4	777.000000	777	0
Eef1akmt1	776.000000	776	0
Dnajb9	775.000000	775	0
Rbm28	774.000000	774	0
Sgf29	773.000000	773	0
Tuba1b	772.000000	772	0
Bsg	771.000000	771	0
Aldoa	771.000000	771	0
Tra2b	770.000000	770	0
Sin3b	769.000000	769	0
Pkp2	769.000000	769	0
Dynll1	769.000000	769	0
Cited2	767.000000	767	0
Ddx11	765.000000	765	0
Ier5l	764.000000	764	0
Hsp90ab1	764.000000	764	0
Tubb6	763.000000	763	0
Sh3bp4	763.000000	763	0
Ctdsp2	762.000000	762	0
Pole4	759.000000	759	0
Ctnnb1	759.000000	759	0
Msh3	757.000000	757	0
Dhfr	757.000000	757	0
Tmsb10	756.000000	756	0
Cep85	756.000000	756	0
Klhl21	755.000000	755	0
Ier3	755.000000	755	0
Flot1	755.000000	755	0
Fus	754.000000	754	0
Washc4	751.000000	751	0
B4galt3	751.000000	751	0
Hnrnph1	750.000000	750	0
Ddx5	750.000000	750	0
Cep95	750.000000	750	0
Nop2	749.000000	749	0
Paip2b	748.000000	748	0
Erdr1	748.000000	748	0
Tuba4a	747.000000	747	0
A630095N17Rik	747.000000	747	0
Rbm12	746.000000	746	0
Ppp1r2	746.000000	746	0
Icam1	746.000000	746	0
Cpne1	746.000000	746	0
Ahcy	746.000000	746	0
Ogfod3	745.000000	745	0
Hexdc	745.000000	745	0
Sfpq	742.000000	742	0
L2hgdh	742.000000	742	0
Dmac2l	742.000000	742	0
Tex19.1	741.000000	741	0
Tent4b	741.000000	741	0
Uchl1	740.000000	740	0
Ap2a2	740.000000	740	0
Slc2a1	737.000000	737	0
Paip2	737.000000	737	0
Cdc42se2	737.000000	737	0
Bcl2l13	737.000000	737	0
Amd2	737.000000	737	0
Amd1	737.000000	737	0
Rpusd4	736.000000	736	0
Fam118b	736.000000	736	0
Cpsf6	736.000000	736	0
Rps12	734.000000	734	0
Ttc41	733.000000	733	0
Rhbdf1	733.000000	733	0
Mpg	733.000000	733	0
Hsp90b1	733.000000	733	0
Snx6	732.000000	732	0
Jpt1	731.000000	731	0
Topbp1	730.000000	730	0
Ldhb	730.000000	730	0
Ccnt1	730.000000	730	0
4930415O20Rik	730.000000	730	0
Zfp830	727.000000	727	0
Cct6b	727.000000	727	0
Zfand5	725.000000	725	0
Slc31a1	725.000000	725	0
Fzd5	725.000000	725	0
Fkbp15	725.000000	725	0
Pmpca	724.000000	724	0
Entr1	724.000000	724	0
Ankle1	724.000000	724	0
Sf3b1	723.000000	723	0
Ccsap	723.000000	723	0
Spag1	722.000000	722	0
Sertad1	722.000000	722	0
Polr2k	722.000000	722	0
Thap11	721.000000	721	0
Prpf3	721.000000	721	0
Pkm	721.000000	721	0
Cenpt	721.000000	721	0
Sub1	719.000000	719	0
Klf10	719.000000	719	0
Arc	719.000000	719	0
Kctd20	718.000000	718	0
Cdpf1	717.000000	717	0
Slc26a8	716.000000	716	0
Mapk14	716.000000	716	0
Dgat2	716.000000	716	0
Slc25a4	715.000000	715	0
Nckipsd	714.000000	714	0
Prpf40b	713.000000	713	0
Glce	713.000000	713	0
Wdr55	712.000000	712	0
Mfsd5	712.000000	712	0
Srsf5	709.000000	709	0
Acly	709.000000	709	0
Srsf3	708.000000	708	0
Pkd1	707.000000	707	0
Atp13a1	705.000000	705	0
Vac14	703.000000	703	0
Srp54c	702.000000	702	0
