Target_genes	Zfp407|Average	SRX22153387|3T3-L1	STRING
Dnajc16	3589.000000	3589	0
Casp9	3589.000000	3589	0
Btrc	3559.000000	3559	0
Ccnt1	3429.000000	3429	0
4930415O20Rik	3429.000000	3429	0
Gtpbp2	3420.000000	3420	0
Mmachc	3411.000000	3411	0
Ccdc163	3411.000000	3411	0
Fyco1	3398.000000	3398	0
Tmem104	3395.000000	3395	0
Nat9	3395.000000	3395	0
Gorasp2	3360.000000	3360	0
Map2k7	3350.000000	3350	0
Rab5if	3325.000000	3325	0
Fbxw11	3325.000000	3325	0
Ep400	3295.000000	3295	0
Tmed2	3290.000000	3290	0
Bod1l	3290.000000	3290	0
Erc1	3284.000000	3284	0
Mtmr10	3269.000000	3269	0
Fra10ac1	3269.000000	3269	0
Zfp846	3264.000000	3264	0
Crebl2	3261.000000	3261	0
Rnf7	3252.000000	3252	0
Pop7	3241.000000	3241	0
Ap4e1	3235.000000	3235	0
Pafah2	3227.000000	3227	0
Asb7	3221.000000	3221	0
Rab1a	3207.000000	3207	0
Calcoco1	3206.000000	3206	0
Car5a	3201.000000	3201	0
Banp	3201.000000	3201	0
9430015G10Rik	3198.000000	3198	0
Slc25a32	3194.000000	3194	0
Dcaf13	3194.000000	3194	0
Opa1	3187.000000	3187	0
Stk32c	3176.000000	3176	0
Lrrc27	3176.000000	3176	0
Rpia	3166.000000	3166	0
Get1	3157.000000	3157	0
Josd2	3150.000000	3150	0
Aspdh	3150.000000	3150	0
Fitm2	3147.000000	3147	0
Armc1	3147.000000	3147	0
Ifrd2	3140.000000	3140	0
Cox5a	3131.000000	3131	0
Ttc14	3130.000000	3130	0
Dhx16	3117.000000	3117	0
Wbp4	3106.000000	3106	0
Elf1	3106.000000	3106	0
Ciz1	3096.000000	3096	0
Mccc1	3092.000000	3092	0
Snrpc	3078.000000	3078	0
Cog7	3072.000000	3072	0
Mvk	3059.000000	3059	0
Mmab	3059.000000	3059	0
Bbs5	3054.000000	3054	0
Ccpg1os	3042.000000	3042	0
Ccpg1	3042.000000	3042	0
Ddx41	3036.000000	3036	0
Nop14	3032.000000	3032	0
Grk4	3032.000000	3032	0
Ddx23	3018.000000	3018	0
Timm13	3017.000000	3017	0
N4bp2l2	3017.000000	3017	0
Lars	3016.000000	3016	0
Nedd8	3014.000000	3014	0
Gmpr2	3014.000000	3014	0
St3gal2	3010.000000	3010	0
Nup205	2997.000000	2997	0
M6pr	2992.000000	2992	0
Tpp2	2990.000000	2990	0
Aaas	2986.000000	2986	0
Lcorl	2983.000000	2983	0
Zcwpw2	2979.000000	2979	0
Azi2	2979.000000	2979	0
Zfyve1	2978.000000	2978	0
Med6	2977.000000	2977	0
Borcs7	2977.000000	2977	0
Gpn3	2970.000000	2970	0
Fam216a	2970.000000	2970	0
Dis3l2	2970.000000	2970	0
Tsnaxip1	2967.000000	2967	0
Ranbp10	2967.000000	2967	0
Pemt	2961.000000	2961	0
Xpc	2958.000000	2958	0
Lsm3	2958.000000	2958	0
Tmtc3	2954.000000	2954	0
Cep290	2954.000000	2954	0
Sass6	2952.000000	2952	0
Atg4c	2952.000000	2952	0
Otud4	2950.000000	2950	0
Zfp511	2938.000000	2938	0
Tubgcp2	2938.000000	2938	0
Scrib	2938.000000	2938	0
Nudt5	2936.000000	2936	0
Cdc123	2936.000000	2936	0
Prcc	2934.000000	2934	0
Cluh	2928.000000	2928	0
Klhl18	2925.000000	2925	0
Kif9	2925.000000	2925	0
Vta1	2918.000000	2918	0
Mff	2917.000000	2917	0
Atp6v1h	2916.000000	2916	0
Tmem248	2910.000000	2910	0
Chmp4b	2909.000000	2909	0
Rps24	2907.000000	2907	0
Polr3a	2907.000000	2907	0
Rps12	2905.000000	2905	0
Slc4a2	2903.000000	2903	0
Cdk5	2903.000000	2903	0
Epg5	2898.000000	2898	0
Ufl1	2897.000000	2897	0
Erlec1	2895.000000	2895	0
Asb3	2895.000000	2895	0
Cul2	2894.000000	2894	0
Nutf2	2893.000000	2893	0
Rptor	2892.000000	2892	0
Gtf2b	2887.000000	2887	0
Nudcd1	2886.000000	2886	0
Eny2	2886.000000	2886	0
Htra2	2882.000000	2882	0
Dqx1	2882.000000	2882	0
Tchp	2877.000000	2877	0
Retsat	2877.000000	2877	0
Elmod3	2877.000000	2877	0
Ppp4r3b	2875.000000	2875	0
Pyroxd1	2874.000000	2874	0
Tmed5	2867.000000	2867	0
Ccdc18	2867.000000	2867	0
Max	2866.000000	2866	0
Cep128	2865.000000	2865	0
Stxbp4	2863.000000	2863	0
Cox11	2863.000000	2863	0
Ppp1r15b	2862.000000	2862	0
Dgat1	2861.000000	2861	0
Tmem39b	2859.000000	2859	0
Mapkbp1	2859.000000	2859	0
Cdk7	2856.000000	2856	0
Wdpcp	2855.000000	2855	0
Mdh1	2855.000000	2855	0
Sepsecs	2854.000000	2854	0
Zbtb26	2848.000000	2848	0
Rabgap1	2848.000000	2848	0
Ppp6c	2843.000000	2843	0
Ndc1	2842.000000	2842	0
