Target_genes	Arid3a|Average	SRX2388539|ES_cells	SRX520224|ES_cells	SRX520225|ES_cells	SRX2388546|Trophoblast_stem_cells	SRX3730213|Trophoblast_stem_cells	STRING
Npas4	988.8	844	0	0	2049	2051	0
Smim17	952.2	557	0	0	2102	2102	0
Cacng2	817.6	408	0	0	1840	1840	0
Tcstv3	813.8	0	2348	1619	0	102	0
Nkx1-1	674.0	155	0	0	1610	1605	0
Cldn34d	634.2	985	434	0	862	890	0
Glra1	614.0	314	0	0	1378	1378	0
Kpna1	607.6	746	96	0	1083	1113	0
Iqsec3	606.2	429	88	0	1257	1257	0
Lin28a	586.4	209	0	0	1362	1361	0
Xkr7	578.4	310	0	0	1291	1291	0
Rbm25	542.2	111	306	0	1138	1156	0
Il31ra	538.8	666	317	0	840	871	0
Scrt1	538.2	208	0	0	1239	1244	0
Celsr3	531.0	141	0	0	1257	1257	0
Fam227a	526.0	0	482	0	1069	1079	0
Cby1	526.0	0	482	0	1069	1079	0
Ppfibp2	499.2	0	0	0	1248	1248	0
Ogt	492.8	0	252	0	1103	1109	0
Rpl38	489.2	0	0	0	1222	1224	0
Snap25	481.6	0	0	0	1204	1204	0
Smim11	476.4	217	709	0	728	728	0
Sh3gl1	459.8	0	212	0	1044	1043	0
Chaf1a	459.8	0	212	0	1044	1043	0
Cd300ld3	454.8	0	0	0	1137	1137	0
Barhl1	454.0	98	0	0	1086	1086	0
Tas1r3	453.6	360	0	0	954	954	0
Uqcrc1	447.4	0	299	0	967	971	0
Gprin1	446.8	146	0	0	1044	1044	0
Gm3448	435.2	277	498	0	664	737	0
Gm3417	435.2	277	498	0	664	737	0
Vstm2l	428.4	184	0	0	979	979	0
Tcte3	420.0	201	498	0	664	737	0
Sspn	419.6	305	390	0	679	724	0
Dlgap3	405.2	0	122	0	952	952	0
Polr2e	404.4	88	347	0	795	792	0
Gm3435	404.4	201	498	0	664	659	0
Cyb5r4	403.2	170	0	0	923	923	0
Golga7b	398.2	220	120	0	829	822	0
Ermard	395.2	149	448	0	642	737	0
Cacng3	387.2	0	0	0	968	968	0
Ruvbl2	373.8	0	164	0	853	852	0
Gys1	373.8	0	164	0	853	852	0
9030025P20Rik	370.6	277	458	0	557	561	0
Snrpc	355.2	149	135	0	746	746	0
Zfp317	349.8	0	140	0	804	805	0
Hexim2	338.8	87	337	0	635	635	0
Uspl1	338.6	0	172	0	761	760	0
Endov	338.4	0	0	0	846	846	0
