Target_genes	Bach1|Average	SRX7433236|ES_cells	SRX5508931|Lung_tumors	SRX5508932|Lung_tumors	SRX5508933|Lung_tumors	SRX5508934|Lung_tumors	SRX5508935|Lung_tumors	SRX5508936|Lung_tumors	SRX5508937|Lung_tumors	SRX1629384|M1	SRX2200548|Pro-B_cells	STRING
Cldn34d	1595.7	459	1881	1872	1685	1757	1902	1376	1776	1359	1890	0
Washc2	1348.4	0	2020	1677	1952	2401	2391	1689	1219	135	0	0
Marchf8	1257.3	0	1823	1461	1784	1967	2135	2053	1213	137	0	0
Atp6v0c	1227.2	0	2161	1884	2194	1796	2020	1388	829	0	0	0
Amdhd2	1227.2	0	2161	1884	2194	1796	2020	1388	829	0	0	0
Dph2	1210.0	0	1778	1962	1847	2057	2308	1233	915	0	0	0
B4galt2	1210.0	0	1778	1962	1847	2057	2308	1233	915	0	0	0
Atp6v0b	1210.0	0	1778	1962	1847	2057	2308	1233	915	0	0	0
Mfsd1	1193.3	0	1700	1636	1747	2172	2317	1268	961	132	0	0
Brox	1189.8	0	911	1298	1160	1631	1554	1216	1209	542	2377	0
Aida	1189.8	0	911	1298	1160	1631	1554	1216	1209	542	2377	0
Gclm	1185.8	0	1283	1183	1403	1882	1194	1883	190	2840	0	0
Ilf3	1185.6	0	1476	1408	1872	2149	2294	1434	1070	153	0	0
Gclc	1104.9	132	1028	1165	1429	1688	1454	1418	595	2140	0	0
Zmym6	1089.4	0	1456	1604	1859	1835	2152	1206	782	0	0	0
Fth1	1085.5	151	1089	1160	1351	1396	1344	835	435	3008	86	0
Ftl1	1035.2	111	1216	940	1222	1396	1668	976	797	2026	0	0
Rmnd1	1007.4	0	1029	931	1464	1610	1782	1397	768	1093	0	0
Armt1	1007.4	0	1029	931	1464	1610	1782	1397	768	1093	0	0
Lamp1	975.7	0	1251	1428	1614	1884	1454	1271	855	0	0	0
Hmox1	964.5	381	986	712	1061	1312	1320	955	450	2468	0	521
Slc48a1	939.4	0	1038	921	978	1142	1191	845	376	2780	123	0
Mthfr	921.9	0	1330	1134	1511	1606	1885	874	748	131	0	0
Clcn6	921.9	0	1330	1134	1511	1606	1885	874	748	131	0	0
Slc7a11	877.8	0	1216	844	970	1413	1558	852	164	1761	0	0
Ankrd55	872.0	0	1282	734	1125	1375	1468	612	369	1755	0	0
Mcoln1	863.8	0	1053	1122	1474	1789	1470	1076	561	93	0	0
Zbtb40	858.1	0	1037	738	892	1136	1437	336	396	2486	123	0
Gstp2	844.9	0	1226	1181	1494	1582	1831	973	162	0	0	0
Hps1	834.1	0	947	1165	1656	1676	1420	882	595	0	0	0
Ube2q1	831.4	0	1166	962	1092	1687	1419	892	841	255	0	0
Tomt	830.1	0	1066	1034	1248	1619	1578	831	708	217	0	0
Lamtor1	830.1	0	1066	1034	1248	1619	1578	831	708	217	0	0
4930503B20Rik	823.3	0	810	570	652	1420	1365	376	240	2800	0	0
Nagpa	812.6	0	1228	910	1424	1459	1645	768	692	0	0	0
Vps33a	809.6	0	1167	997	1262	1364	1473	1048	585	200	0	0
Ccl1	799.5	284	0	762	829	1011	1385	417	565	2552	190	0
Rpusd4	795.5	0	938	839	1275	1357	1531	1015	847	153	0	0
Fam118b	795.5	0	938	839	1275	1357	1531	1015	847	153	0	0
Spata25	789.7	0	1264	948	1256	1574	1450	835	570	0	0	0
Neurl2	789.7	0	1264	948	1256	1574	1450	835	570	0	0	0
Ctsa	789.7	0	1264	948	1256	1574	1450	835	570	0	0	0
Rcbtb1	782.1	0	795	901	1308	1586	1188	1300	597	146	0	0
Marchf9	776.0	0	1151	604	1138	1506	1367	1064	703	227	0	0
Cdk4	776.0	0	1151	604	1138	1506	1367	1064	703	227	0	0
Slc36a1	752.4	0	971	837	1155	1516	1632	937	476	0	0	0
Sumf1	750.1	0	1196	728	827	1550	1269	1160	663	108	0	0
Atp6v1h	742.9	0	820	1193	1116	1389	1602	826	341	142	0	0
Sqstm1	709.0	0	941	703	899	1309	1279	1006	468	485	0	0
Cyb5a	705.6	0	1001	441	790	1121	1396	702	150	1455	0	0
Bax	691.5	0	827	830	1214	1257	1357	869	448	113	0	0
Osgep	673.5	0	888	915	1366	1188	1277	585	401	115	0	0
Apex1	673.5	0	888	915	1366	1188	1277	585	401	115	0	0
Sgo1	672.5	0	1200	804	918	1232	1123	758	491	199	0	0
Pip4p1	671.9	0	843	926	1306	1094	1320	674	413	143	0	0
Clcn7	670.4	0	1149	509	964	1304	1335	873	570	0	0	0
Med28	667.4	0	932	885	1269	1068	1293	673	459	95	0	0
Pla2g6	666.5	0	920	437	523	1062	1083	404	184	2052	0	0
Atxn3	653.6	0	945	497	1095	1206	1297	885	611	0	0	0
Lexm	650.8	0	828	769	990	1270	1211	614	82	744	0	0
Ankrd12	644.8	0	899	756	1067	1208	860	1122	536	0	0	0
Retreg2	634.6	0	772	525	1100	1289	1138	895	461	166	0	0
Cnppd1	634.6	0	772	525	1100	1289	1138	895	461	166	0	0
Trmo	634.0	0	1209	579	876	1063	1217	585	428	383	0	0
Wdr81	629.1	0	880	564	1064	1141	1322	894	426	0	0	0
Phf23	628.8	0	843	873	831	1374	1239	738	390	0	0	0
Dvl2	628.8	0	843	873	831	1374	1239	738	390	0	0	0
Cep162	621.7	0	826	598	1036	1267	1214	786	490	0	0	0
Pgd	620.6	0	881	788	699	1175	1295	453	221	694	0	0
Syngap1	614.9	0	911	685	1035	1072	1171	730	463	82	0	0
Cuta	614.9	0	911	685	1035	1072	1171	730	463	82	0	0
Atp6v1c1	591.0	0	640	800	993	1143	1191	628	515	0	0	0
Tcstv3	587.3	0	228	501	640	292	449	265	378	1028	2092	0
Morc2a	585.6	0	676	718	1012	1043	1109	672	497	129	0	0
Dnajc13	584.3	0	742	693	941	1297	1103	486	581	0	0	0
Pak6	583.9	0	847	322	677	970	790	354	341	1538	0	0
Rragc	581.1	0	628	738	1385	852	1215	588	405	0	0	0
Rab18	578.6	0	645	321	578	565	683	412	112	2470	0	0
Hps5	576.1	0	727	541	783	1131	1020	955	479	125	0	0
Gtf2h1	576.1	0	727	541	783	1131	1020	955	479	125	0	0
Akr1b8	567.4	0	1129	612	643	1260	1171	632	227	0	0	0
Slc35a5	566.2	0	832	376	943	1185	1236	519	472	99	0	0
Atg3	566.2	0	832	376	943	1185	1236	519	472	99	0	0
Sod2	564.2	0	563	186	333	671	905	211	0	2773	0	0
Rdh5	557.9	0	770	528	959	1037	1093	664	528	0	0	0
Bloc1s1	557.9	0	770	528	959	1037	1093	664	528	0	0	0
Rad9a	557.1	0	737	613	1056	991	1154	587	433	0	0	0
Kpna1	556.7	0	710	911	737	688	789	649	811	272	0	0
Gm3776	554.9	0	951	478	679	1235	1333	772	101	0	0	0
Lrp8	532.5	0	647	354	786	747	869	300	249	1373	0	0
Aox1	525.6	0	843	339	571	840	1330	263	148	922	0	0
Zfp507	522.3	0	528	601	902	965	1026	579	469	153	0	0
Hexa	521.2	0	130	910	982	1379	820	307	596	88	0	0
Ap5z1	518.3	0	923	499	830	829	1095	589	290	128	0	0
Atp6v0d1	517.1	0	406	773	752	898	1174	611	395	162	0	0
Agrp	517.1	0	406	773	752	898	1174	611	395	162	0	0
Prdx1	505.1	163	484	235	547	723	440	401	236	1822	0	0
Gsta2	498.7	0	971	452	718	921	1415	510	0	0	0	0
Eif4g1	497.8	0	566	480	954	1070	923	409	440	136	0	0
Vps11	497.1	0	896	486	791	1056	854	469	327	92	0	0
Mtdh	493.5	0	585	699	797	769	1025	510	422	128	0	0
Tmem125	486.9	0	238	595	582	292	451	453	515	433	1310	0
Gns	482.1	0	120	292	305	1349	1259	977	519	0	0	0
Stmn1	475.6	0	759	594	813	947	971	282	262	128	0	0
Srsf2	474.5	0	737	573	735	685	976	511	294	234	0	0
