Target_genes	Bcl6|Average	SRX094460|Liver	SRX094461|Liver	SRX094462|Liver	SRX094463|Liver	SRX094464|Liver	SRX094465|Liver	SRX094466|Liver	SRX016344|Macrophages	SRX028980|Macrophages	SRX028981|Macrophages	SRX112905|Macrophages	SRX6095747|mESC_derived_neural_cells	SRX6095749|mESC_derived_neural_cells	SRX6095751|mESC_derived_neural_cells	ERX383750|Pancreas	ERX383751|Pancreas	SRX1158860|Tfh	SRX353402|Th9	SRX353403|Th9	SRX1158861|Unclassified	STRING
Tcstv3	1214.1	1172	1128	664	743	1860	1225	1376	623	573	712	1247	1787	1802	1505	1665	1590	1541	547	308	2214	0
Socs2	880.4	2635	1931	0	2439	866	820	393	185	148	0	434	2644	2391	2578	0	0	0	144	0	0	454
Psmc6	401.2	1626	2093	838	778	1170	1073	130	0	0	0	202	114	0	0	0	0	0	0	0	0	0
Wrnip1	372.85	1239	1687	596	340	571	379	0	229	157	51	1003	482	244	375	0	0	0	0	104	0	0
Rps28	356.8	1762	1743	1046	800	1018	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndufa7	356.8	1762	1743	1046	800	1018	767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd6	343.4	143	227	210	256	658	416	456	600	429	488	474	333	342	335	0	0	517	181	0	803	0
Olfr806	323.85	297	197	0	256	659	376	522	517	344	333	476	418	362	248	0	0	616	0	0	856	0
Wwox	318.85	311	349	205	312	561	398	477	570	289	541	558	199	235	240	0	0	466	0	0	666	0
Cldn34d	318.4	360	433	370	318	0	173	130	365	564	448	374	208	245	0	0	1601	312	0	157	310	0
Cish	314.7	1295	648	412	730	481	923	332	0	0	0	90	434	317	442	0	0	0	0	190	0	0
Snx14	298.7	1478	1926	877	442	647	435	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0
Brox	285.85	143	166	221	245	0	158	469	380	343	387	240	0	162	0	342	676	244	269	1065	207	0
Aida	285.85	143	166	221	245	0	158	469	380	343	387	240	0	162	0	342	676	244	269	1065	207	0
Por	264.35	1279	1625	892	817	0	0	0	0	0	0	0	232	0	0	0	0	259	0	0	183	0
Arid3b	259.8	976	1340	389	536	487	488	0	0	0	0	438	251	90	201	0	0	0	0	0	0	0
Dctn6	259.0	1384	1326	771	535	680	365	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0
Fam71e1	257.9	1297	1257	437	646	591	772	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emc10	257.9	1297	1257	437	646	591	772	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem125	255.5	0	84	0	0	133	187	250	156	248	190	180	0	0	0	809	743	577	403	556	594	0
Asmt	237.65	145	151	199	192	0	118	0	121	402	265	304	255	271	0	0	309	421	346	499	755	0
Scfd2	237.05	1160	1312	657	291	378	0	0	0	0	0	218	199	224	302	0	0	0	0	0	0	0
Fip1l1	237.05	1160	1312	657	291	378	0	0	0	0	0	218	199	224	302	0	0	0	0	0	0	0
Tchp	234.0	1260	1319	358	291	730	399	0	0	0	0	138	0	0	185	0	0	0	0	0	0	0
Wbp1l	221.5	1131	1300	460	235	451	361	0	0	0	0	0	0	0	0	0	0	227	0	155	110	0
Dennd1a	207.2	1467	1561	708	0	207	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Faap20	196.3	1122	1250	245	288	354	347	0	0	0	0	0	0	0	0	0	0	157	0	0	163	0
Slc25a30	195.8	770	1400	921	144	0	0	0	0	0	0	0	0	0	0	0	0	481	0	0	200	0
Aadacl2fm1	177.6	213	224	0	0	526	339	384	0	0	0	470	0	0	147	0	0	442	0	0	807	0
Snai3	176.15	569	801	118	359	467	619	191	0	0	0	127	0	0	0	0	0	111	0	0	161	0
Rnasel	171.0	208	328	0	0	0	0	0	0	135	0	474	673	478	696	0	0	111	150	167	0	0
Dpp9	170.45	1272	719	169	512	0	333	0	0	123	0	281	0	0	0	0	0	0	0	0	0	0
Kpna1	167.05	119	0	0	129	0	0	0	267	302	257	487	0	0	0	0	0	157	290	1333	0	0
Igfals	165.3	1586	621	0	591	147	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esr1	162.35	0	0	0	0	397	257	350	395	265	316	481	0	0	0	0	0	337	0	0	449	0
Htatip2	154.35	1235	1143	375	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndrg2	150.95	1064	1249	538	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oasl1	150.5	195	152	143	0	229	0	286	352	389	286	131	117	0	0	0	0	387	0	0	343	0
Lifr	146.2	1129	670	257	232	137	0	0	0	0	0	0	0	0	0	0	0	297	0	0	202	0
Syne3	144.7	793	960	455	347	120	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamb3	143.4	793	1255	820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shmt1	142.15	803	729	155	275	198	343	0	0	0	0	0	0	0	203	0	0	137	0	0	0	0
Igf2	140.85	904	1377	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mvd	138.65	889	825	298	285	217	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp292	137.4	245	489	0	235	174	0	0	0	105	0	170	295	407	628	0	0	0	0	0	0	0
Eloc	135.1	947	926	354	278	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0
Nkx2-1	131.45	663	872	393	240	298	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhof	130.8	224	263	131	0	0	0	0	0	0	0	0	664	561	549	0	0	114	0	0	110	0
Zfp113	130.2	750	597	348	154	441	174	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taar7a	124.7	0	0	0	0	0	0	0	0	0	0	0	285	245	223	0	0	800	219	169	553	0
Taar6	124.7	0	0	0	0	0	0	0	0	0	0	0	285	245	223	0	0	800	219	169	553	0
Spry1	124.4	832	956	207	0	251	131	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0
Vmn2r4	123.6	0	0	0	0	0	0	0	238	161	187	0	0	0	0	0	0	979	0	0	907	0
Notch1	123.25	470	737	286	190	418	234	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0
Nnt	123.15	617	681	201	108	211	198	0	0	0	0	0	0	0	0	0	0	251	0	0	196	0
Per1	123.05	474	568	159	0	631	400	129	0	0	0	0	0	0	0	0	0	0	0	100	0	0
Cp	122.95	1010	963	370	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prickle1	121.65	633	666	0	756	137	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp4a10	121.55	846	1021	353	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgfbi	120.9	746	1001	358	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	98	0
Trf	119.7	712	433	228	257	0	311	216	0	0	0	0	0	0	0	0	0	102	0	0	135	0
Ttc41	117.55	645	384	265	0	213	150	0	0	0	0	0	0	0	0	0	0	442	0	0	252	0
Nup62	117.0	753	1135	0	269	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il4i1b	117.0	753	1135	0	269	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atf5	117.0	753	1135	0	269	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp385b	116.75	447	696	300	0	238	138	0	0	0	0	0	0	0	0	0	0	328	0	0	188	0
Snrpc	115.5	814	741	305	0	221	0	0	0	0	0	105	0	0	0	0	0	0	0	0	124	0
Crebzf	113.9	466	484	177	0	0	0	0	0	0	169	86	0	0	225	0	0	380	0	0	291	0
Amt	110.8	565	932	371	0	0	0	0	0	0	0	231	0	0	0	0	0	117	0	0	0	0
Eci3	110.7	835	532	175	332	163	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dad1	110.65	881	644	318	0	233	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0
Abhd4	110.65	881	644	318	0	233	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0
Atp2b2	109.4	507	769	307	262	0	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	0
Slc4a4	108.85	884	868	258	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ptcd2	108.2	644	776	224	0	246	99	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0
Mrps27	108.2	644	776	224	0	246	99	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0
Cdkn1a	107.25	484	633	169	109	176	344	0	0	0	0	0	0	0	0	0	0	230	0	0	0	0
Taok3	106.55	618	785	200	240	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	129	0
Ell	105.95	633	656	352	170	129	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ahcyl1	105.4	562	821	225	195	159	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il31ra	104.95	0	0	0	0	0	0	0	0	197	187	368	0	0	0	0	0	164	232	951	0	0
