Target_genes	Bhlhe40|Average	SRX3927757|Bone_Marrow_Cells	SRX3927758|Bone_Marrow_Cells	SRX10809293|B_cells	SRX10809294|B_cells	SRX3927759|CD4+_T_cells	SRX3927760|CD4+_T_cells	SRX140385|CH12	SRX15941724|Liver	SRX15941726|Liver	SRX5299298|Macrophages	SRX5299300|Macrophages	SRX6608073|Macrophages	SRX188814|MEL	SRX3730216|Trophoblast_stem_cells	SRX3730217|Trophoblast_stem_cells	STRING
Tcstv3	1331.0	2675	2710	392	500	2034	1796	2006	691	885	2211	1989	806	1270	0	0	0
Pip4p1	1055.866667	147	0	962	1394	2567	111	1543	1428	1316	697	2951	873	1849	0	0	0
Cldn34d	1020.8	2006	1990	502	508	575	411	1435	956	615	1279	1376	924	1221	979	535	0
Cstf1	931.666667	238	0	652	938	2440	114	2144	354	417	1125	2924	549	2080	0	0	0
Aurka	931.666667	238	0	652	938	2440	114	2144	354	417	1125	2924	549	2080	0	0	0
Kdm4b	905.866667	0	0	908	1249	1516	0	2041	868	897	870	2587	682	1970	0	0	0
Rps24	893.133333	140	0	773	953	1074	315	2171	605	621	1310	2701	683	2051	0	0	0
Polr3a	893.133333	140	0	773	953	1074	315	2171	605	621	1310	2701	683	2051	0	0	0
Brox	793.733333	981	892	618	485	566	311	1725	1109	319	885	1441	739	1324	332	179	0
Aida	793.733333	981	892	618	485	566	311	1725	1109	319	885	1441	739	1324	332	179	0
Bnip3	780.933333	0	0	498	528	2139	0	1833	290	147	1008	2762	577	1932	0	0	0
Ip6k1	759.666667	0	0	1022	1305	1197	0	2176	200	172	482	1921	669	2251	0	0	0
Zfp292	759.333333	100	0	426	510	2226	0	1829	395	493	590	2543	554	1724	0	0	0
Washc1	730.266667	163	0	324	532	1500	0	2095	396	451	659	2377	447	2010	0	0	0
Btaf1	728.333333	142	0	487	596	1379	0	1932	116	464	927	2764	433	1685	0	0	0
Pes1	727.533333	106	0	687	1157	1113	0	1729	830	749	513	1570	759	1700	0	0	0
Tjp3	715.733333	0	0	844	1113	1719	0	1773	334	242	386	1418	732	2175	0	0	0
Pip5k1c	715.733333	0	0	844	1113	1719	0	1773	334	242	386	1418	732	2175	0	0	0
Eid1	707.533333	151	0	277	275	2328	0	2191	0	0	767	2371	457	1796	0	0	0
Cnpy3	702.866667	0	0	576	566	1527	0	1522	364	294	723	2475	501	1995	0	0	0
Senp8	699.333333	0	0	856	817	1287	0	2145	268	183	560	1917	541	1916	0	0	0
Myo9a	699.333333	0	0	856	817	1287	0	2145	268	183	560	1917	541	1916	0	0	0
Cks2	696.666667	0	0	640	757	1433	0	1879	760	643	863	1316	596	1563	0	0	0
Atp6v1h	693.8	0	0	408	669	1030	0	2130	348	294	823	2029	451	2225	0	0	0
Cited2	684.466667	137	0	707	865	1309	0	1598	461	520	761	1791	622	1496	0	0	0
Stmn1	678.4	0	0	538	712	1449	0	2154	128	190	411	2225	421	1948	0	0	0
Zfp36	678.2	214	0	527	830	1725	0	1080	244	383	836	2382	525	1427	0	0	0
Dpy19l3	675.6	0	0	696	780	1358	116	1954	192	186	1024	1740	218	1870	0	0	0
Mrpl54	673.866667	0	0	562	705	985	0	1958	596	630	503	1758	558	1853	0	0	0
Apba3	673.866667	0	0	562	705	985	0	1958	596	630	503	1758	558	1853	0	0	0
Ppp1r37	670.6	0	0	495	559	1383	0	2283	947	668	547	1393	479	1305	0	0	0
Lamp1	664.266667	82	0	485	653	1498	127	1911	0	0	495	2216	512	1985	0	0	0
3110082I17Rik	657.866667	0	0	480	637	1266	0	2104	507	438	509	1583	383	1961	0	0	0
Ankrd12	657.533333	98	0	524	514	2091	0	1961	0	0	496	1729	489	1961	0	0	0
Get4	649.533333	0	0	455	566	1184	0	2319	0	0	526	2134	390	2169	0	0	0
Morc2a	649.133333	0	0	748	1013	1155	0	1850	299	248	371	1623	468	1962	0	0	0
Pgap2	641.866667	0	0	250	453	1296	0	1928	463	595	1000	1974	391	1278	0	0	0
Nup98	641.666667	0	0	247	453	1296	0	1928	463	595	1000	1974	391	1278	0	0	0
Top3a	637.4	0	0	935	1220	1369	0	1643	177	252	436	1181	719	1629	0	0	0
Smcr8	637.4	0	0	935	1220	1369	0	1643	177	252	436	1181	719	1629	0	0	0
Adck5	630.866667	0	0	576	658	901	0	2431	211	345	432	1161	468	2280	0	0	0
Foxo3	626.933333	0	0	266	451	1397	0	1416	236	202	1246	2455	227	1508	0	0	0
Hat1	626.866667	0	0	568	760	773	0	2060	240	356	469	1842	445	1890	0	0	0
Mfsd1	618.066667	210	0	506	604	1102	0	1876	306	273	119	1687	631	1957	0	0	0
Srd5a3	618.0	0	0	306	494	1062	0	2234	243	199	588	2226	241	1677	0	0	0
Ube2q1	616.533333	0	0	519	568	1548	0	1795	161	0	357	1980	594	1726	0	0	0
Hdgf	608.333333	0	0	596	737	584	0	1890	500	517	551	1591	519	1547	93	0	0
Tsn	606.466667	0	0	231	361	1257	0	2307	318	416	779	1570	223	1635	0	0	0
Tmem248	606.333333	0	0	666	621	976	0	2163	0	167	459	1616	413	2014	0	0	0
Ccdc126	602.533333	0	0	700	848	717	0	2412	518	404	204	716	354	2165	0	0	0
Yy1	601.133333	82	0	354	690	1021	0	2001	0	285	628	1811	550	1440	155	0	0
Gpn3	599.4	0	0	840	975	853	0	2385	551	567	232	789	500	1299	0	0	0
Fam216a	599.4	0	0	840	975	853	0	2385	551	567	232	789	500	1299	0	0	0
Matr3	598.466667	0	0	462	646	1754	0	1567	208	324	446	1915	416	1239	0	0	0
Lonp1	592.133333	0	0	503	588	1027	0	1933	410	270	318	1435	458	1940	0	0	0
Catsperd	592.133333	0	0	503	588	1027	0	1933	410	270	318	1435	458	1940	0	0	0
Oser1	588.2	0	0	630	742	861	0	2029	268	227	295	1408	443	1920	0	0	0
Usp53	583.866667	0	0	169	391	603	0	2089	140	244	839	2344	206	1733	0	0	0
