Target_genes	Cebpg|Average	SRX1437952|MEF	STRING
Arl14ep	2068.0	2068	0
Slc7a11	2041.0	2041	0
Chac1	1977.0	1977	0
Sesn2	1778.0	1778	0
Rcc2	1718.0	1718	0
Psmc6	1716.0	1716	0
Slc3a2	1714.0	1714	0
Hspa5	1673.0	1673	0
Sars	1650.0	1650	0
Psat1	1604.0	1604	0
Nup62	1569.0	1569	0
Il4i1b	1569.0	1569	0
Atf5	1569.0	1569	0
Nfil3	1566.0	1566	0
Tsc22d3	1546.0	1546	0
Taf15	1535.0	1535	0
Tcstv3	1511.0	1511	0
Gpt2	1456.0	1456	0
Ddx19b	1436.0	1436	0
Aars	1436.0	1436	0
Shmt2	1395.0	1395	0
Hspa9	1392.0	1392	0
Rin1	1360.0	1360	0
Sos1	1320.0	1320	0
Eif4ebp1	1306.0	1306	0
Nfe2l1	1288.0	1288	0
Klhl33	1275.0	1275	0
Pck2	1255.0	1255	0
Stk40	1241.0	1241	0
Eif3c	1236.0	1236	0
Tbpl1	1223.0	1223	0
Mthfd2	1223.0	1223	0
Prss36	1215.0	1215	0
Soat2	1211.0	1211	0
Irf2bp2	1176.0	1176	0
Herpud1	1143.0	1143	0
Cldn34d	1132.0	1132	0
Dleu7	1088.0	1088	0
Kdm6b	1062.0	1062	0
H4c14	1047.0	1047	0
Vldlr	1035.0	1035	0
Lsm14a	1034.0	1034	0
Slc1a7	999.0	999	0
Asns	980.0	980	0
Setd5	971.0	971	0
Arhgef2	969.0	969	0
Pdap1	943.0	943	0
Bud31	943.0	943	0
Rars	914.0	914	0
Ppp1r15b	910.0	910	0
Agap1	900.0	900	0
Gadd45a	897.0	897	0
Heatr4	854.0	854	0
Acot2	854.0	854	0
Lars	846.0	846	0
Ddit4	817.0	817	0
Yars	801.0	801	0
S100pbp	801.0	801	0
Trib3	794.0	794	0
Btbd19	786.0	786	0
Nupr1	785.0	785	0
Samd4	730.0	730	0
Sel1l	725.0	725	0
Slc38a7	720.0	720	0
Clcn3	717.0	717	0
Gramd1b	714.0	714	0
Got1	712.0	712	0
Rab3c	710.0	710	0
Glce	680.0	680	0
Htatip2	667.0	667	0
Leprotl1	658.0	658	0
Eif1	647.0	647	0
Slc1a5	645.0	645	0
Sprr2a2	639.0	639	0
Sprr2a1	639.0	639	0
Uqcrq	622.0	622	0
Gdf9	622.0	622	0
Mrtfb	617.0	617	0
Cpox	613.0	613	0
Tas2r143	610.0	610	0
Ccl20	598.0	598	0
Iars	594.0	594	0
Pycr1	584.0	584	0
Myadml2	584.0	584	0
Tbl1x	583.0	583	0
Knl1	580.0	580	0
Shisal2a	573.0	573	0
Cars	568.0	568	0
Gdf15	567.0	567	0
Dhrs7	562.0	562	0
Vdac3	546.0	546	0
Txndc12	540.0	540	0
Btf3l4	540.0	540	0
Cebpb	538.0	538	0
Fads3	526.0	526	0
Fut1	519.0	519	0
Fgf21	519.0	519	0
Phyhd1	517.0	517	0
Ywhag	513.0	513	0
Abhd6	511.0	511	0
Zfp385b	502.0	502	0
Clic4	495.0	495	0
Aldh1l2	494.0	494	0
Mbnl2	491.0	491	0
Osbpl8	489.0	489	0
Atf3	483.0	483	0
Bcat1	482.0	482	0
Wwox	479.0	479	0
Sqstm1	477.0	477	0
Phf10	475.0	475	0
Olfr806	468.0	468	0
Oasl1	466.0	466	0
Tars	459.0	459	0
Gtpbp2	459.0	459	0
Serpinf1	454.0	454	0
Trim66	451.0	451	0
Rheb	447.0	447	0
Sprr2a3	446.0	446	0
Mars1	446.0	446	0
Pafah1b2	444.0	444	0
Tcea1	438.0	438	0
Niban1	436.0	436	0
Lmbrd1	436.0	436	0
Ero1a	432.0	432	0
Krtap19-9b	418.0	418	0
Ppp2r5a	416.0	416	0
Pnp	415.0	415	0
Fdxr	411.0	411	0
Trim46	406.0	406	0
Krtcap2	406.0	406	0
H4f16	405.0	405	0
H2aj	405.0	405	0
Gnpnat1	404.0	404	0
Nars	402.0	402	0
Kif21b	398.0	398	0
Eprs	397.0	397	0
Kifc1	396.0	396	0
Cabp1	396.0	396	0
Il1rl2	390.0	390	0
Rpia	386.0	386	0
Comt	385.0	385	0
Vmn2r6	381.0	381	0
Ier2	380.0	380	0
Mthfr	376.0	376	0
Clcn6	376.0	376	0
Ccn4	372.0	372	0
B4galnt2	372.0	372	0
Rbm39	364.0	364	0
Rhbdd1	363.0	363	0
Zfp598	360.0	360	0
Vezt	357.0	357	0
Fgd6	357.0	357	0
Hax1	356.0	356	0
Ssrp1	352.0	352	0
P2rx3	352.0	352	0
Cdkl4	346.0	346	0
Rad23b	342.0	342	0
Hdac4	340.0	340	0
Ptgs2	339.0	339	0
Klf3	337.0	337	0
Etv5	337.0	337	0
Bcl2l15	336.0	336	0
Pld1	335.0	335	0
Rpl13a	332.0	332	0
Iah1	325.0	325	0
Ran	324.0	324	0
Ptpn12	324.0	324	0
Rbm4	322.0	322	0
Herpud2	322.0	322	0
Cotl1	322.0	322	0
Mettl9	321.0	321	0
Itsn1	321.0	321	0
Cryzl1	321.0	321	0
Kifc5b	318.0	318	0
Adh7	315.0	315	0
Pdhb	314.0	314	0
Ttc9c	313.0	313	0
Tnfaip2	313.0	313	0
Hnrnpul2	313.0	313	0
Lonp1	309.0	309	0
Catsperd	309.0	309	0
Ndufa4l2	303.0	303	0
Spty2d1	302.0	302	0
Cebpg	302.0	302	0
Aldh18a1	300.0	300	0
Gpr153	299.0	299	0
Atg16l1	298.0	298	0
Uhrf1bp1	297.0	297	0
Prickle1	297.0	297	0
Tmem125	295.0	295	0
Slc25a28	295.0	295	0
Aadacl2fm1	294.0	294	0
Cast	291.0	291	0
Tnfaip6	290.0	290	0
Daam1	288.0	288	0
Slc1a4	287.0	287	0
Tmem126a	286.0	286	0
Wdr25	285.0	285	0
Wars	285.0	285	0
Aff1	284.0	284	0
Brox	283.0	283	0
Aida	283.0	283	0
Ogfod1	282.0	282	0
Nudt21	282.0	282	0
Cxadr	280.0	280	0
Spata1	279.0	279	0
Gng5	279.0	279	0
Fut2	279.0	279	0
Has2	278.0	278	0
Fbxo11	276.0	276	0
Asmt	270.0	270	0
Arhgap12	270.0	270	0
Zfp672	267.0	267	0
Sh3bp5l	267.0	267	0
Vmn2r102	266.0	266	0
Abraxas1	266.0	266	0
Pdgfc	262.0	262	0
Abhd11	262.0	262	0
Shroom2	261.0	261	0
Runx3	261.0	261	0
Rabepk	261.0	261	0
Prrc1	261.0	261	0
Mid1ip1	261.0	261	0
Eda2r	261.0	261	0
Esr1	258.0	258	0
Gars	257.0	257	0
Trem3	256.0	256	0
Sf3b2	256.0	256	0
Gal3st3	256.0	256	0
Fam227b	253.0	253	0
Dtwd1	253.0	253	0
Slc25a39	250.0	250	0
Slc38a2	248.0	248	0
Zfc3h1	247.0	247	0
Thap2	247.0	247	0
Slc19a2	247.0	247	0
Mtus1	247.0	247	0
Fadd	246.0	246	0
Atg10	246.0	246	0
Xpot	245.0	245	0
Inpp5b	245.0	245	0
Chd2	244.0	244	0
Xbp1	240.0	240	0
Klf4	237.0	237	0
Plekhh3	236.0	236	0
Igsf23	236.0	236	0
Cntnap1	236.0	236	0
Ccr10	236.0	236	0
Sh2d6	235.0	235	0
Poli	235.0	235	0
Myc	235.0	235	0
Ptx3	232.0	232	0
Itgb7	229.0	229	0
Armc5	228.0	228	0
9130023H24Rik	228.0	228	0
Vars	224.0	224	0
Slc9a9	224.0	224	0
D17H6S56E-5	224.0	224	0
Map3k20	223.0	223	0
Kmt5a	223.0	223	0
Wfdc17	222.0	222	0
Sltm	222.0	222	0
Mbd6	222.0	222	0
Ddit3	222.0	222	0
Rtn3	219.0	219	0
Nr6a1	218.0	218	0
Cth	218.0	218	0
Snai2	216.0	216	0
Cdr2l	215.0	215	0
Apbb1ip	215.0	215	0
Zbtb18	214.0	214	0
Taco1	213.0	213	0
Stbd1	212.0	212	0
Piezo1	212.0	212	0
Morf4l2	212.0	212	0
Klhdc1	212.0	212	0
Prss56	211.0	211	0
Nsun4	211.0	211	0
Apbb2	210.0	210	0
D5Ertd579e	209.0	209	0
Ghitm	207.0	207	0
Tet3	206.0	206	0
Oaz2	206.0	206	0
Ptpn22	204.0	204	0
Eps15	204.0	204	0
Ank2	203.0	203	0
Siah1a	202.0	202	0
