Target_genes	Chd1|Average	SRX188823|CH12	SRX188825|MEL	STRING
Sspn	2159.0	1927	2391	0
Rita1	1995.5	1949	2042	0
Ddx54	1995.5	1949	2042	0
Tcp11l2	1778.0	1624	1932	0
Cenpe	1758.0	1699	1817	0
Tst	1754.5	1841	1668	0
Mpst	1754.5	1841	1668	0
Aldh4a1	1754.0	1665	1843	0
Oga	1738.0	1558	1918	0
Prkdc	1737.0	1611	1863	0
Mcm4	1737.0	1611	1863	0
Atg101	1703.0	1600	1806	0
Ptcd2	1693.5	1434	1953	0
Mrps27	1693.5	1434	1953	0
Them6	1680.5	1551	1810	0
Uqcrh	1673.0	1791	1555	0
Lrrc41	1673.0	1791	1555	0
Cmc2	1663.5	1570	1757	0
Cenpn	1663.5	1570	1757	0
Dpp9	1657.0	1351	1963	0
Ppp1r13l	1650.5	1536	1765	0
Nr6a1	1650.5	1383	1918	0
Cd3eap	1650.5	1536	1765	0
Hyal2	1646.5	1475	1818	0
Flcn	1641.5	1622	1661	0
Lsg1	1639.5	1614	1665	0
Gipc1	1638.0	1556	1720	0
Asah1	1622.0	1312	1932	0
Tada3	1617.5	1539	1696	0
Sod2	1617.5	1417	1818	0
Arpc4	1617.5	1539	1696	0
Phrf1	1616.0	1529	1703	0
Mrps11	1612.0	1454	1770	0
Mrpl46	1612.0	1454	1770	0
Cnot6	1611.5	1443	1780	0
Taf15	1606.5	1521	1692	0
Dgat2	1604.0	1366	1842	0
Cdiptos	1598.5	1546	1651	0
Cdipt	1598.5	1546	1651	0
Uchl3	1573.5	1396	1751	0
Pik3r3	1558.0	1426	1690	0
Tigd5	1556.5	1441	1672	0
Eef1d	1556.5	1441	1672	0
Por	1550.0	1499	1601	0
Prkci	1543.0	1275	1811	0
Calm3	1539.0	1380	1698	0
Iqch	1522.5	1362	1683	0
Aagab	1522.5	1362	1683	0
Rnasek	1517.5	1397	1638	0
0610010K14Rik	1517.5	1397	1638	0
Pfdn4	1509.5	1436	1583	0
Srpk2	1498.5	1073	1924	0
Eed	1498.5	1277	1720	0
Lrpprc	1480.5	1316	1645	0
Cct5	1478.0	1313	1643	0
Atpsckmt	1478.0	1313	1643	0
Trir	1474.5	1454	1495	0
Get3	1474.5	1454	1495	0
Gnb2	1473.0	1378	1568	0
Oxr1	1467.5	1193	1742	0
Dohh	1464.5	1313	1616	0
BC005537	1453.5	1441	1466	0
Uba1	1453.0	1094	1812	0
Mlst8	1450.0	1412	1488	0
Dnmt1	1433.0	1245	1621	0
Galnt10	1418.0	1410	1426	0
Uros	1415.0	1210	1620	0
Rpl19	1415.0	1441	1389	0
Cacnb1	1415.0	1441	1389	0
Bzw2	1415.0	1166	1664	0
Bccip	1415.0	1210	1620	0
Ankmy2	1415.0	1166	1664	0
Tcstv3	1405.5	1757	1054	0
Septin11	1405.5	1157	1654	0
Dut	1400.0	1189	1611	0
Hap1	1394.5	1101	1688	0
Smc3	1384.5	1207	1562	0
Frat1	1376.0	1401	1351	0
Madd	1366.5	1315	1418	0
Spata17	1362.0	1101	1623	0
Gpatch2	1362.0	1101	1623	0
Timeless	1359.0	1233	1485	0
Rpl22	1339.0	1256	1422	0
Wasf2	1336.0	1108	1564	0
Kpna1	1335.5	1205	1466	0
Ptcd3	1331.5	1205	1458	0
Polr1a	1331.5	1205	1458	0
Srek1ip1	1320.5	1282	1359	0
Cwc27	1320.5	1282	1359	0
Rab28	1303.5	1144	1463	0
Il31ra	1303.5	1270	1337	0
Eif3b	1301.5	1209	1394	0
Fam53c	1300.5	1168	1433	0
Noct	1298.5	1216	1381	0
Tbc1d17	1282.0	1261	1303	0
Akt1s1	1282.0	1261	1303	0
Ttf1	1277.5	1204	1351	0
Cldn34d	1277.5	1439	1116	0
Cfap77	1277.5	1204	1351	0
