Target_genes	Ctnnb1|Average	SRX3720913|Branchial_arch	SRX3720914|Branchial_arch	SRX11540052|EpiLC	SRX11540053|EpiLC	SRX11540054|EpiLC	SRX11540064|EpiLC	SRX11540065|EpiLC	SRX11540066|EpiLC	SRX11540076|EpiLC	SRX11540077|EpiLC	SRX11540078|EpiLC	SRX9641176|EpiLC	SRX9641177|EpiLC	SRX9641178|EpiLC	SRX9641179|EpiLC	SRX9641180|EpiLC	SRX9641181|EpiLC	SRX9641208|EpiLC	SRX9641209|EpiLC	SRX9641210|EpiLC	SRX9101842|ES_cells	SRX9101843|ES_cells	SRX9101868|ES_cells	SRX9101869|ES_cells	SRX9101878|ES_cells	SRX9101879|ES_cells	SRX9641160|ES_cells	SRX9641161|ES_cells	SRX9641162|ES_cells	SRX25842405|Forelimb	SRX25842406|Forelimb	SRX25842411|Forelimb	SRX25842412|Forelimb	SRX1293143|Hematopoietic_Stem_Cells	SRX1293144|Hematopoietic_Stem_Cells	SRX1293145|Hematopoietic_Stem_Cells	SRX116906|Hepatocytes	SRX9986622|Liver	SRX9986624|Liver	SRX9986626|Liver	SRX6818033|Mesenchymal_stem_cells	SRX6818034|Mesenchymal_stem_cells	SRX6818035|Mesenchymal_stem_cells	SRX6818036|Mesenchymal_stem_cells	SRX5723671|mIMCD-3	SRX5723672|mIMCD-3	SRX5723673|mIMCD-3	SRX5723674|mIMCD-3	SRX5723677|mIMCD-3	SRX5723678|mIMCD-3	SRX5723679|mIMCD-3	SRX5723680|mIMCD-3	SRX172938|Nephron_progenitor	SRX172939|Nephron_progenitor	SRX5825950|Nephron_progenitor	SRX5825951|Nephron_progenitor	SRX5825972|Nephron_progenitor	SRX5825973|Nephron_progenitor	SRX5825994|Nephron_progenitor	SRX5825995|Nephron_progenitor	SRX7856417|Trophoblast_stem_cells	SRX7856418|Trophoblast_stem_cells	STRING
Tcstv3	1494.806452	897	964	2673	2660	2453	2633	2629	2582	2638	2186	2736	2528	2469	2367	2512	2445	2499	2186	2425	2353	2331	2301	1229	1238	1306	1289	2401	2417	2414	1033	1224	1342	1255	166	209	0	969	1650	1659	1927	1680	1269	1558	1529	813	839	762	836	794	711	800	787	836	1554	543	251	490	210	479	254	315	173	0
Cldn34d	885.774194	390	387	1154	1374	1373	1017	1537	827	1384	337	347	407	577	708	313	584	165	1436	832	930	1309	1358	925	806	475	627	1015	473	790	1371	1391	1135	1184	320	495	171	141	1378	1677	1514	1631	954	1641	1789	703	650	746	709	666	693	676	681	817	403	890	752	1443	1292	1046	1205	426	471	0
Brox	473.870968	372	238	327	275	200	309	427	174	432	72	0	129	117	103	78	0	0	354	0	169	982	1101	487	464	230	307	182	0	112	995	1230	922	712	257	200	0	261	1153	1483	1176	1219	562	1651	1780	381	409	397	477	416	408	407	413	430	588	618	235	819	635	422	801	282	0	0
Aida	473.870968	372	238	327	275	200	309	427	174	432	72	0	129	117	103	78	0	0	354	0	169	982	1101	487	464	230	307	182	0	112	995	1230	922	712	257	200	0	261	1153	1483	1176	1219	562	1651	1780	381	409	397	477	416	408	407	413	430	588	618	235	819	635	422	801	282	0	0
Gbx2	462.290323	0	0	1782	1747	1875	1717	1475	1837	1682	604	1463	1058	516	1719	559	1245	523	2091	1950	2008	146	160	0	0	0	0	1080	449	976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhob	454.66129	0	0	1388	1358	1610	1770	1332	1822	1740	630	1116	1177	784	1967	785	720	485	2055	1789	1894	410	265	0	0	0	0	1254	411	900	137	201	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0
Sp5	436.403226	0	0	1480	1405	1794	1200	1329	1378	1484	587	1082	790	874	1306	709	1014	694	1754	1405	1119	154	107	0	0	0	0	1083	226	782	483	583	0	0	0	0	0	237	63	137	98	0	0	590	0	0	0	0	0	0	0	0	0	189	0	0	0	123	143	309	346	0	0	0
Lef1	408.580645	0	0	368	498	928	634	595	666	699	0	488	541	456	1235	635	639	342	1192	515	756	114	123	0	0	0	0	575	205	633	956	958	0	0	0	0	0	319	0	0	0	0	0	1500	544	939	973	983	978	944	952	985	949	0	122	0	0	132	119	142	0	0	0	476
Sprr2a3	399.66129	0	0	188	121	126	1991	1536	2259	1671	758	2049	1715	727	2233	235	260	390	2308	2477	2263	0	0	0	0	0	0	718	174	580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sprr2a2	398.548387	0	0	117	117	190	1981	1425	2197	1523	783	2119	1798	722	2279	252	375	375	2370	2324	2245	0	0	0	0	0	0	712	209	597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
