Target_genes	Dbp|Average	DRX178619|Liver	DRX178621|Liver	DRX178627|Liver	DRX178629|Liver	STRING
Them5	2608.25	2826	2473	1895	3239	0
Slc47a1	2578.25	2813	1997	2469	3034	0
Ccdc141	2404.0	2524	1986	1949	3157	0
Nfe2	2246.75	2233	1493	1366	3895	0
Slc38a4	2216.25	2330	1881	1988	2666	0
Clu	2152.25	2506	1671	1487	2945	0
Prps1l1	2084.75	2242	1697	1641	2759	0
Rnf13	2066.25	1752	1136	1679	3698	0
Sar1b	2031.75	2070	1710	1671	2676	0
Psmd4	2031.75	1758	1235	1539	3595	0
Sec24a	2024.5	2332	1677	1621	2468	0
Sox6	2004.75	2006	1671	1516	2826	0
Ireb2	2001.75	2140	1593	1621	2653	0
Sipa1l2	1995.5	2415	1486	1289	2792	0
Ankrd46	1976.75	1946	1559	1460	2942	0
Ssbp3	1884.0	2225	1461	1207	2643	0
Btbd19	1846.0	2163	1147	1307	2767	0
Hjurp	1844.0	1830	1678	1270	2598	0
A730008H23Rik	1844.0	1830	1678	1270	2598	0
Stub1	1835.75	1905	1029	1314	3095	0
Jmjd8	1835.75	1905	1029	1314	3095	0
Tchhl1	1833.5	2186	1657	1345	2146	0
Nepro	1816.0	1857	1624	1532	2251	0
Aldh3b1	1814.25	1623	943	1067	3624	0
Gcnt2	1795.0	1979	1682	1254	2265	0
Rnf5	1777.25	1733	1291	1330	2755	0
Agpat1	1777.25	1733	1291	1330	2755	0
Paqr7	1776.75	1436	714	1139	3818	0
Nudt5	1761.0	3486	0	0	3558	0
Nectin1	1737.75	1745	1739	1327	2140	0
Man1a	1737.75	2138	1499	1336	1978	0
Gtdc1	1720.5	1986	1730	1108	2058	0
Gpt2	1710.5	1608	1417	1454	2363	0
Stk25	1686.5	1331	829	848	3738	0
Prss8	1671.25	2194	1318	1249	1924	0
Slc25a31	1665.0	1627	1288	1416	2329	0
Slco1a4	1657.25	1928	1451	1249	2001	0
Pabpn1	1654.5	1124	1013	1308	3173	0
Hrg	1647.75	1543	1205	1603	2240	0
Ttc39a	1631.0	1765	1367	1278	2114	0
Per1	1630.0	1599	1001	1111	2809	0
Akr1d1	1616.0	1883	1521	1032	2028	0
Tfam	1582.25	1889	1271	1166	2003	0
Tmprss4	1561.75	1610	962	1514	2161	0
Bcar3	1558.5	1639	1341	1196	2058	0
Ripk4	1551.75	1615	1058	1424	2110	0
Vnn3	1546.0	1971	964	1307	1942	0
Lrrc61	1546.0	1508	887	906	2883	0
Mocs2	1525.25	1357	1292	1302	2150	0
Pbld2	1524.25	1630	673	766	3028	0
Hnrnph3	1524.25	1630	673	766	3028	0
Lonrf1	1518.5	965	604	1105	3400	0
Cfb	1505.25	1584	894	830	2713	0
Tspan31	1504.0	1682	1283	1174	1877	0
Slc25a15	1501.5	1787	1025	1168	2026	0
Prepl	1481.0	930	513	1219	3262	0
Camkmt	1481.0	930	513	1219	3262	0
Prpsap1	1463.0	1626	1178	1052	1996	0
Polr3gl	1462.75	1673	1153	972	2053	0
Ankrd34a	1462.75	1673	1153	972	2053	0
Bcar1	1462.0	1479	855	1136	2378	0
Tor1a	1458.5	1776	1084	1154	1820	0
Prlr	1451.75	1478	933	1254	2142	0
C77080	1444.75	1421	735	597	3026	0
Cyp2b10	1440.0	1552	972	1089	2147	0
Brox	1438.5	1470	1052	1669	1563	0
Aida	1438.5	1470	1052	1669	1563	0
Zfand4	1436.5	1703	1176	1064	1803	0
Ldah	1431.75	1641	1131	1043	1912	0
Chpt1	1430.75	1735	1003	1044	1941	0
Rap2a	1426.5	1056	512	731	3407	0
Cpsf4l	1415.75	1012	754	1082	2815	0
Nudt19	1399.75	1797	1143	966	1693	0
Neu2	1398.25	1391	903	851	2448	0
1700001J03Rik	1384.5	1747	1278	881	1632	0
Clec7a	1382.25	1358	1294	912	1965	0
Cyp2d26	1380.5	1461	1005	1214	1842	0
Asrgl1	1378.0	2060	1357	709	1386	0
Spred1	1373.0	1650	791	769	2282	0
Sil1	1370.5	1289	779	1174	2240	0
Mphosph10	1363.5	863	526	610	3455	0
Mcee	1363.5	863	526	610	3455	0
Prg4	1361.0	1341	1299	1047	1757	0
Ptprs	1358.25	1082	470	566	3315	0
Meis1	1351.75	1300	578	748	2781	0
Plcb1	1350.5	889	627	714	3172	0
Slc22a5	1346.75	1633	1002	1093	1659	0
Dars2	1346.25	1253	578	677	2877	0
Cldn34d	1344.75	1257	1253	1354	1515	0
Trim41	1344.25	1425	1158	989	1805	0
Nadk2	1343.0	1616	1202	990	1564	0
Cyp26a1	1342.5	1281	1035	931	2123	0
Top1	1338.75	1089	498	651	3117	0
Gpld1	1333.0	1635	863	1039	1795	0
Aldh5a1	1333.0	1635	863	1039	1795	0
Ndfip1	1329.5	1322	1454	858	1684	0
Dbp	1311.25	1181	734	735	2595	0
Car11	1311.25	1181	734	735	2595	0
Nsun4	1307.5	1347	951	826	2106	0
Man1b1	1297.25	1584	321	353	2931	0
Prcc	1288.25	1332	859	1092	1870	0
Agmat	1286.5	1427	944	796	1979	0
Tbc1d10b	1283.5	1305	1022	848	1959	0
Mylpf	1283.5	1305	1022	848	1959	0
Spc24	1282.5	1318	1194	1015	1603	0
Leng9	1270.0	1133	360	522	3065	0
C9	1268.5	1727	1392	799	1156	0
Rp9	1266.0	1358	758	750	2198	0
Eif4ebp3	1265.5	1518	887	874	1783	0
Hnrnpf	1264.5	1504	1104	770	1680	0
Cyp2c54	1258.25	1419	1074	917	1623	0
Cyp4v3	1247.25	1140	1030	1190	1629	0
Mef2a	1246.5	1167	953	1116	1750	0
Ttpa	1246.0	1257	1263	860	1604	0
Sardh	1241.25	1215	780	757	2213	0
Clk4	1241.25	824	376	642	3123	0
BC049762	1241.25	824	376	642	3123	0
Olfr1036	1240.5	1509	1039	827	1587	0
Fyco1	1239.25	1182	610	520	2645	0
Plppr2	1234.75	873	707	542	2817	0
Cgn	1234.75	1155	834	950	2000	0
Sephs2	1234.0	1442	1045	905	1544	0
Aqp9	1231.25	1503	1241	914	1267	0
Pnkd	1227.0	1336	1131	988	1453	0
Suclg2	1222.5	1364	968	966	1592	0
Ubqln1	1217.5	1432	909	851	1678	0
Acsm5	1215.0	1444	1069	722	1625	0
Slc22a7	1214.5	1680	1027	364	1787	0
Acsl5	1210.25	1279	948	909	1705	0
Zfyve9	1208.25	1345	911	886	1691	0
Qtrt2	1206.0	1097	940	636	2151	0
Ccdc191	1206.0	1097	940	636	2151	0
Rdh7	1198.5	1294	817	769	1914	0
Ackr2	1198.0	1054	820	1015	1903	0
Srd5a2	1196.5	1089	826	1024	1847	0
Trim26	1192.5	1251	1109	816	1594	0
Stat3	1192.0	1348	948	858	1614	0
Cd47	1191.75	1141	1217	722	1687	0
Trim24	1188.0	1308	832	943	1669	0
Etfrf1	1187.25	999	596	553	2601	0
Casc1	1187.25	999	596	553	2601	0
Snai3	1186.0	1164	639	775	2166	0
Mat1a	1181.5	1288	896	947	1595	0
Sbk1	1176.25	1062	915	835	1893	0
Jazf1	1173.75	1482	657	878	1678	0
Hsd17b13	1171.75	1482	759	765	1681	0
Akr1c14	1168.75	1416	899	868	1492	0
Rnf170	1165.25	1258	995	976	1432	0
Hook3	1165.25	1258	995	976	1432	0
Car1	1165.25	1224	1083	764	1590	0
Trim69	1160.5	1296	855	776	1715	0
Cd82	1158.75	1412	725	695	1803	0
Trp53inp1	1154.0	1168	901	934	1613	0
Nfyb	1151.0	1176	738	1058	1632	0
Pigr	1150.0	1306	760	766	1768	0
Wdr91	1145.0	1299	857	787	1637	0
Tmem189	1144.25	854	420	579	2724	0
Nudt7	1143.0	1345	892	911	1424	0
Fmo2	1142.0	1340	906	918	1404	0
Stbd1	1139.5	1248	970	787	1553	0
Eola1	1137.5	1241	963	727	1619	0
Fam181a	1137.25	1158	707	708	1976	0
Arhgap32	1128.75	1337	694	779	1705	0
Ppp1r3g	1128.5	1222	1009	903	1380	0
Fgl1	1126.75	1260	1018	730	1499	0
Pten	1126.5	798	480	810	2418	0
Aoc1	1120.0	1360	657	667	1796	0
Fosl2	1117.0	1327	1087	714	1340	0
Mal2	1112.0	1243	842	610	1753	0
Selenbp1	1107.75	1066	727	537	2101	0
Rbfox2	1106.0	1281	920	776	1447	0
Zbtb21	1105.75	1078	1105	833	1407	0
Galnt9	1101.75	1170	512	727	1998	0
Gzf1	1101.25	518	363	565	2959	0
Uqcrq	1098.25	924	691	640	2138	0
Gdf9	1098.25	924	691	640	2138	0
Lztfl1	1097.5	812	272	397	2909	0
Pik3r1	1093.75	1238	855	754	1528	0
Ttc39c	1091.75	1124	639	1168	1436	0
Kpna3	1090.25	1260	934	679	1488	0
Pcdh1	1087.5	1070	654	688	1938	0
Fcgrt	1081.75	1006	780	541	2000	0
Xrcc1	1081.5	1332	827	779	1388	0
Homer2	1080.5	1163	786	665	1708	0
Errfi1	1079.75	1290	943	859	1227	0
Riok2	1079.25	1194	834	788	1501	0
Atf7ip	1078.25	811	607	331	2564	0
Abcg8	1075.25	931	543	835	1992	0
Abcg5	1075.25	931	543	835	1992	0
Cyp2c37	1065.75	1157	987	872	1247	0
Mbp	1065.25	870	804	575	2012	0
Ccdc15	1062.25	971	935	777	1566	0
Tmem53	1059.75	1504	947	696	1092	0
Armh1	1059.75	1504	947	696	1092	0
Dido1	1059.25	1326	723	712	1476	0
Trak1	1057.5	1193	414	538	2085	0
Cyp2d22	1055.75	1096	649	630	1848	0
Prtn3	1055.25	1142	578	647	1854	0
Plppr3	1055.25	1142	578	647	1854	0
Slc10a1	1051.25	1311	574	566	1754	0
Prox2	1050.5	1036	779	732	1655	0
Rnase4	1050.0	1083	727	813	1577	0
Ang	1050.0	1083	727	813	1577	0
Slc25a25	1046.5	1398	817	694	1277	0
Birc2	1046.0	816	412	482	2474	0
Dennd4a	1045.0	949	764	934	1533	0
AI987944	1044.75	1020	671	802	1686	0
Tmem222	1041.5	1207	678	776	1505	0
Pck1	1037.25	938	577	839	1795	0
Fhit	1037.0	1164	1096	695	1193	0
Ifrd1	1035.5	764	435	608	2335	0
Hcar2	1030.5	1265	686	721	1450	0
Cetn4	1022.25	1160	867	769	1293	0
Bbs12	1022.25	1160	867	769	1293	0
Akt2	1020.25	1178	673	786	1444	0
Rbm48	1019.25	1018	1039	775	1245	0
Pex1	1019.25	1018	1039	775	1245	0
Inf2	1018.0	803	710	585	1974	0
Glyctk	1016.75	1098	636	681	1652	0
Cic	1015.5	878	761	817	1606	0
Dact2	1015.25	980	669	761	1651	0
Rbp1	1014.0	786	510	898	1862	0
Rabggta	1011.0	1102	838	822	1282	0
Ndst1	1009.0	1014	476	662	1884	0
Dio1	1009.0	1401	797	728	1110	0
Hgsnat	1007.5	1186	966	614	1264	0
Tmem135	1006.75	946	572	554	1955	0
Fzd4	1006.75	946	572	554	1955	0
Ces1b	1006.75	1089	853	728	1357	0
Gm33989	1004.25	1203	797	731	1286	0
Marveld1	1003.75	1287	710	777	1241	0
Phf2	1001.75	985	509	742	1771	0
Ipmk	1001.25	1239	1008	596	1162	0
Cisd1	1001.25	1239	1008	596	1162	0
Acnat2	1001.0	922	970	835	1277	0
Acmsd	998.5	1038	807	763	1386	0
Ric8a	995.75	1040	418	576	1949	0
Bet1l	995.75	1040	418	576	1949	0
Tgfbr2	994.25	1332	734	574	1337	0
Parp16	993.25	1215	515	568	1675	0
Fktn	991.75	525	273	282	2887	0
Herpud1	991.5	881	362	453	2270	0
Kansl1	985.75	1400	897	520	1126	0
Igsf23	985.75	890	612	1022	1419	0
Cyp3a11	984.5	1111	771	683	1373	0
Nudt13	984.25	1395	671	630	1241	0
Mrfap1	982.75	1183	731	557	1460	0
Ttll5	982.5	826	847	771	1486	0
Erg28	982.5	826	847	771	1486	0
Slc39a13	979.75	1005	787	648	1479	0
Bhlhe40	979.5	470	222	485	2741	0
Mgst1	978.75	1128	905	632	1250	0
Tmem125	978.5	855	580	711	1768	0
Adcy10	975.0	1057	796	718	1329	0
Id1	974.0	679	385	645	2187	0
Zfp740	973.75	1077	712	598	1508	0
Ptprd	969.5	1263	599	680	1336	0
Rorc	968.75	1049	810	787	1229	0
C2cd4d	968.75	1049	810	787	1229	0
P2ry1	967.75	937	223	406	2305	0
Slc66a2	967.5	851	738	882	1399	0
Acat2	967.5	764	529	555	2022	0
Cyp2b9	963.0	855	785	792	1420	0
Yif1b	962.0	446	515	526	2361	0
Rnf43	961.5	1073	573	993	1207	0
L3mbtl3	961.0	961	560	464	1859	0
Thnsl1	960.0	966	557	343	1974	0
Enkur	960.0	966	557	343	1974	0
Kcnk4	957.5	1122	713	648	1347	0
Bckdhb	957.5	883	849	697	1401	0
E2f8	957.0	1362	729	600	1137	0
Ifi47	956.0	1149	858	602	1215	0
Ddo	948.25	933	582	570	1708	0
Timm21	948.0	894	625	639	1634	0
Fbxo15	948.0	894	625	639	1634	0
Tiparp	947.0	1030	299	292	2167	0
5031439G07Rik	942.0	843	591	453	1881	0
Ctdsp2	941.75	873	588	688	1618	0
Sult2a8	939.0	936	675	683	1462	0
Ptpn12	938.5	923	884	718	1229	0
Rtp3	937.75	889	690	749	1423	0
Psma4	936.0	1235	727	564	1218	0
Apoe	936.0	689	433	530	2092	0
AY074887	936.0	1235	727	564	1218	0
Aktip	935.5	471	388	440	2443	0
Polg2	934.25	1070	833	740	1094	0
Atp6v1b1	933.0	1238	678	465	1351	0
Sarnp	932.5	729	469	394	2138	0
Ormdl2	932.5	729	469	394	2138	0
Slc27a5	931.5	1097	503	596	1530	0
Fam53b	931.25	1106	696	658	1265	0
Cbll1	931.25	1245	819	446	1215	0
Tmbim6	930.25	982	722	792	1225	0
Swap70	930.25	1009	757	590	1365	0
Lman2	929.25	1152	857	632	1076	0
Stard3	928.5	1051	437	512	1714	0
Cfap126	926.5	921	730	700	1355	0
Erlin1	926.0	1102	666	535	1401	0
Srebf2	925.0	967	642	538	1553	0
Ctsl	924.75	931	382	406	1980	0
Vcp	922.0	1324	934	482	948	0
Fancg	922.0	1324	934	482	948	0
