Target_genes	E2f4|Average	SRX019013|3T3-L1	SRX142538|C2C12	SRX140375|CH12	SRX122394|Dendritic_Cells	SRX122395|Dendritic_Cells	SRX122396|Dendritic_Cells	SRX122397|Dendritic_Cells	SRX319552|ES_cells	SRX019010|Hepatocytes	SRX027460|iPS_cells	SRX1532691|Liver	SRX1532692|Liver	SRX1532693|Liver	SRX1532694|Liver	SRX18205314|Liver	SRX18205316|Liver	SRX140377|MEL	STRING
H2ax	1512.294118	1638	1620	2015	398	130	150	369	911	2593	2818	1763	2243	748	1889	1745	2434	2245	0
E2f3	1451.941176	1640	1750	1880	491	261	326	510	908	3099	3083	1334	2223	686	1836	1025	1580	2051	0
Kif20a	1319.235294	1496	1947	1083	393	137	248	541	262	2980	3048	1493	2324	583	1777	1103	1980	1032	0
Brd8	1319.235294	1496	1947	1083	393	137	248	541	262	2980	3048	1493	2324	583	1777	1103	1980	1032	0
Zfpl1	1305.117647	1888	1887	1173	485	87	216	392	365	3284	3250	1287	2008	460	1231	1176	1683	1315	0
Cdca5	1305.117647	1888	1887	1173	485	87	216	392	365	3284	3250	1287	2008	460	1231	1176	1683	1315	0
Tmem262	1300.0	1888	1887	1173	485	0	216	392	365	3284	3250	1287	2008	460	1231	1176	1683	1315	0
Pclaf	1271.529412	990	1727	1714	568	0	317	397	563	2741	2888	1069	1872	519	1102	1209	1920	2020	0
Kif2c	1260.529412	2056	1926	1537	535	107	194	419	287	2516	3250	1336	1638	159	1367	924	1618	1560	0
Mcm3	1256.764706	1242	1658	1989	290	0	185	269	1459	2848	2417	731	1489	237	1089	1017	2122	2323	0
Ttc24	1239.941176	1751	1958	953	443	0	102	354	394	2431	3253	1532	1848	331	1290	1104	1821	1514	0
Iqgap3	1239.941176	1751	1958	953	443	0	102	354	394	2431	3253	1532	1848	331	1290	1104	1821	1514	0
Ltn1	1224.0	1648	1763	1983	398	123	133	367	435	2776	2643	1029	1205	134	923	1134	1766	2348	0
Bub1	1213.058824	2145	1909	236	680	148	218	426	351	3345	3139	1253	2270	383	1434	801	1518	366	0
Nbr1	1199.529412	1631	1972	1344	422	92	154	224	1099	2440	3040	998	1562	222	1008	961	1380	1843	0
Brca1	1199.529412	1631	1972	1344	422	92	154	224	1099	2440	3040	998	1562	222	1008	961	1380	1843	0
Shcbp1	1158.176471	1762	1870	1507	360	143	134	424	0	2723	3036	861	1661	379	1054	1153	1651	971	0
Usp5	1151.117647	1354	1817	592	497	175	224	532	534	2867	2871	1144	1865	454	1482	1027	1609	525	0
Cdca3	1151.117647	1354	1817	592	497	175	224	532	534	2867	2871	1144	1865	454	1482	1027	1609	525	0
Depdc1a	1150.294118	1502	1754	922	406	163	246	350	159	3042	2625	1353	1914	409	1474	899	1685	652	0
Ttk	1148.941176	1913	1934	442	629	213	203	551	386	3201	2954	1180	1798	230	1087	845	1320	646	0
Gins3	1139.941176	1981	1890	1262	212	0	0	0	486	2890	3473	637	1416	197	1036	847	1536	1516	0
Espl1	1130.941176	1951	1732	1008	464	99	186	259	316	3200	2680	919	1581	206	990	887	1515	1233	0
Ppwd1	1130.823529	1721	1778	1037	155	95	193	324	612	3234	2757	783	1435	0	960	891	1634	1615	0
Cenpk	1130.823529	1721	1778	1037	155	95	193	324	612	3234	2757	783	1435	0	960	891	1634	1615	0
Ttf2	1113.647059	1442	1737	1024	256	0	211	353	524	3259	2997	928	1622	222	935	927	1704	791	0
Incenp	1109.352941	1469	1659	1075	316	83	212	458	325	2869	2814	840	1554	218	1055	1024	1752	1136	0
H4c8	1108.764706	1296	1324	1022	517	96	278	499	0	3136	2130	1189	2005	467	1292	964	1611	1023	0
H3c8	1108.764706	1296	1324	1022	517	96	278	499	0	3136	2130	1189	2005	467	1292	964	1611	1023	0
H2ac10	1108.764706	1296	1324	1022	517	96	278	499	0	3136	2130	1189	2005	467	1292	964	1611	1023	0
Neil3	1108.058824	1121	1726	585	557	109	236	500	357	2790	3011	714	1792	374	1033	1150	1860	922	0
H3c15	1098.705882	1513	1667	749	0	95	119	321	826	2427	1759	1401	1450	635	1156	1181	2135	1244	0
H3c14	1098.705882	1513	1667	749	0	95	119	321	826	2427	1759	1401	1450	635	1156	1181	2135	1244	0
H2ac19	1098.705882	1513	1667	749	0	95	119	321	826	2427	1759	1401	1450	635	1156	1181	2135	1244	0
H2ac18	1098.705882	1513	1667	749	0	95	119	321	826	2427	1759	1401	1450	635	1156	1181	2135	1244	0
Mms22l	1086.352941	1676	1908	1147	132	100	109	364	700	3158	2379	652	1491	0	712	908	1462	1570	0
H2bc12	1070.235294	829	1529	1249	378	93	182	357	222	2484	2016	1403	1740	488	1308	1075	1926	915	0
H2ac12	1070.235294	829	1529	1249	378	93	182	357	222	2484	2016	1403	1740	488	1308	1075	1926	915	0
Kif14	1063.0	1867	1888	557	395	96	281	297	387	3024	3047	864	1242	0	769	855	1832	670	0
Cdc7	1052.411765	1498	1768	785	260	96	0	342	285	2889	2607	877	1333	277	978	945	1987	964	0
Birc5	1050.823529	2030	1868	720	274	0	131	291	395	2777	1602	1197	1611	223	1212	1029	1727	777	0
Hjurp	1047.176471	1698	1588	677	495	179	222	569	241	2777	3501	855	1240	93	923	714	1284	746	0
A730008H23Rik	1047.176471	1698	1588	677	495	179	222	569	241	2777	3501	855	1240	93	923	714	1284	746	0
Msh5	1044.0	1309	1589	1071	298	0	135	267	728	2663	2514	1067	1692	271	1340	778	1230	796	0
Clic1	1044.0	1309	1589	1071	298	0	135	267	728	2663	2514	1067	1692	271	1340	778	1230	796	0
Rrm2	1007.823529	1525	1402	719	135	0	179	363	400	2805	2468	815	1960	172	1016	786	1568	820	0
Cenpf	1003.176471	2271	1830	189	454	97	282	312	340	2521	3006	988	1377	264	984	647	1223	269	0
Ahctf1	999.294118	1130	1726	1018	162	0	0	286	416	2384	2911	1197	1610	202	1186	539	1408	813	0
Mis18a	989.235294	1754	1765	1039	314	119	164	285	277	2724	2647	758	1529	256	977	453	1324	432	0
Diaph3	987.235294	1324	1702	696	145	0	166	211	560	3077	2778	732	1603	242	899	464	1311	873	0
Parpbp	982.352941	1521	1760	567	343	65	125	299	0	2962	2966	917	1692	298	1197	639	1057	292	0
Nup37	982.352941	1521	1760	567	343	65	125	299	0	2962	2966	917	1692	298	1197	639	1057	292	0
Yme1l1	970.0	1647	1791	405	211	0	169	384	146	3136	2442	680	1619	395	973	646	1333	513	0
Mastl	970.0	1647	1791	405	211	0	169	384	146	3136	2442	680	1619	395	973	646	1333	513	0
Cenph	969.823529	1483	1801	1203	459	0	124	455	534	2439	2799	353	788	0	543	830	1420	1256	0
Fam76b	965.823529	1066	1508	988	0	0	0	211	451	2394	2438	1067	1300	446	1085	709	1374	1382	0
Cep57	965.823529	1066	1508	988	0	0	0	211	451	2394	2438	1067	1300	446	1085	709	1374	1382	0
Ndc80	965.647059	2075	1969	603	360	65	193	311	208	2636	3032	951	999	0	648	662	1325	379	0
Cdca8	951.823529	1655	1689	737	301	71	133	392	0	3094	2295	856	1421	275	806	816	1282	358	0
9930104L06Rik	951.823529	1655	1689	737	301	71	133	392	0	3094	2295	856	1421	275	806	816	1282	358	0
Ttc32	946.588235	1219	1698	1548	172	0	142	189	208	1633	1956	1173	1739	317	1477	631	977	1013	0
Ticrr	936.117647	1481	1737	882	280	0	124	314	459	2505	2489	672	1063	0	720	671	1347	1170	0
Lrrc49	934.235294	1666	1960	580	343	56	134	479	0	2911	2674	523	1199	188	729	741	1293	406	0
Kctd9	933.588235	1601	1795	232	390	251	195	239	0	3077	2711	805	1337	181	734	791	1345	187	0
Cdca2	933.588235	1601	1795	232	390	251	195	239	0	3077	2711	805	1337	181	734	791	1345	187	0
H4c2	932.529412	1150	1172	1065	217	0	80	182	836	2135	2700	643	618	62	699	1055	1955	1284	0
H4c1	932.529412	1150	1172	1065	217	0	80	182	836	2135	2700	643	618	62	699	1055	1955	1284	0
H3c1	932.529412	1150	1172	1065	217	0	80	182	836	2135	2700	643	618	62	699	1055	1955	1284	0
H1f1	932.529412	1150	1172	1065	217	0	80	182	836	2135	2700	643	618	62	699	1055	1955	1284	0
Cmc2	932.529412	1625	1520	281	452	99	178	204	340	2834	2531	939	1630	176	673	608	1278	485	0
Cenpn	932.529412	1625	1520	281	452	99	178	204	340	2834	2531	939	1630	176	673	608	1278	485	0
Polq	929.588235	1828	1767	860	355	126	118	491	0	2618	2911	412	1082	0	683	648	1392	512	0
Mtfr2	929.352941	1048	1656	621	197	0	0	179	270	2541	2844	1048	1608	269	1332	453	1001	732	0
Plk1	919.0	1393	1771	586	381	166	160	340	157	2679	3148	674	980	141	712	635	1320	380	0
Rrm1	912.882353	1525	1529	1335	273	101	120	314	369	2821	2204	577	948	0	631	468	935	1369	0
Rhno1	906.941176	1932	1936	519	0	0	0	192	349	2387	1642	932	1504	252	973	821	1323	656	0
Foxm1	906.941176	1932	1936	519	0	0	0	192	349	2387	1642	932	1504	252	973	821	1323	656	0
Sgo1	898.352941	1788	1788	288	341	0	94	300	231	2740	2470	823	1264	179	952	612	1226	176	0
Atad5	890.411765	1189	1776	1190	0	0	93	189	599	1590	2967	680	1008	89	510	592	1153	1512	0
Cdk1	889.941176	800	1354	1201	253	0	105	197	327	2245	2977	583	899	0	658	853	1272	1405	0
Gins2	887.823529	1162	1254	1076	145	0	0	158	622	2327	2701	475	724	0	422	994	1469	1564	0
Rad54b	885.705882	1757	1371	432	211	0	131	125	328	3034	2267	631	1254	261	722	568	1503	462	0
Trip13	884.294118	1938	1996	323	227	127	186	259	214	2928	2369	578	1168	106	751	511	1063	289	0
Brd9	884.294118	1938	1996	323	227	127	186	259	214	2928	2369	578	1168	106	751	511	1063	289	0
Kif18b	883.529412	1588	1732	393	414	140	143	259	0	2617	2509	754	1390	136	1142	485	1022	296	0
Mettl4	881.529412	1401	1960	665	267	93	117	244	311	2593	3111	608	908	0	432	749	1179	348	0
Mybl2	876.470588	1587	1735	684	161	0	138	349	307	2447	2751	490	685	0	493	661	1311	1101	0
Dlgap5	868.705882	1250	1801	850	345	0	0	183	108	2536	2916	737	785	117	786	784	1056	514	0
Traip	862.235294	1534	1798	893	291	131	98	296	123	2423	2752	860	700	0	459	543	1232	525	0
Smc6	861.941176	1244	1742	536	354	105	217	296	0	2263	3035	776	1071	207	929	599	974	305	0
Gen1	861.941176	1244	1742	536	354	105	217	296	0	2263	3035	776	1071	207	929	599	974	305	0
Sass6	855.647059	1583	1655	705	258	0	100	421	206	2999	2717	529	1054	203	791	338	538	449	0
Shc1	849.588235	1293	1715	499	341	0	230	358	0	2956	2196	698	1648	168	828	485	807	221	0
Cks1b	849.588235	1293	1715	499	341	0	230	358	0	2956	2196	698	1648	168	828	485	807	221	0
Ctnna3	840.352941	953	1814	571	180	0	144	163	0	2373	2315	831	1139	140	888	820	1546	409	0
Hinfp	836.235294	875	1251	859	0	0	0	134	319	2942	2285	631	1011	203	658	703	1460	885	0
Rfc3	831.529412	1291	1421	1780	137	0	0	0	461	1998	2430	157	280	0	209	602	1270	2100	0
Cmss1	829.705882	1269	1702	737	295	121	246	533	0	2458	1873	514	1361	130	802	749	905	410	0
Slf1	825.352941	1093	1750	1261	0	0	0	127	442	2183	2145	343	435	0	168	827	1236	2021	0
2210408I21Rik	825.352941	1093	1750	1261	0	0	0	127	442	2183	2145	343	435	0	168	827	1236	2021	0
Rfc4	823.882353	1759	1699	1167	125	0	0	0	450	1728	2673	297	731	0	298	759	839	1481	0
Cldn34d	822.235294	195	248	1302	584	280	337	352	0	168	113	1220	1233	1077	1483	2010	2444	932	0
Uhrf1	821.058824	1502	1545	856	187	0	87	216	288	2373	2212	707	894	0	649	463	992	987	0
Arrdc5	821.058824	1502	1545	856	187	0	87	216	288	2373	2212	707	894	0	649	463	992	987	0
Haspin	816.588235	1490	1863	735	244	116	151	369	166	2390	1697	649	725	0	421	685	1318	863	0
Gmnn	813.529412	1570	1371	739	246	56	129	276	316	2553	2344	363	638	0	424	635	1111	1059	0
Mad2l1	810.705882	1573	1553	413	233	0	97	374	225	2679	2525	498	1013	218	681	398	991	311	0
Clspn	805.588235	1331	1329	519	227	0	216	268	290	2527	2732	722	727	120	541	500	911	735	0
Rpn2	804.941176	1782	1765	379	274	0	0	338	127	2157	2396	777	1043	0	715	594	1228	109	0
Mroh8	804.941176	1782	1765	379	274	0	0	338	127	2157	2396	777	1043	0	715	594	1228	109	0
Ckap5	804.470588	1267	1920	715	263	0	130	263	0	2683	2985	815	617	0	411	378	889	340	0
Mcph1	796.941176	1594	1714	173	391	117	224	163	131	2123	1691	632	1465	282	893	487	1220	248	0
Nol8	792.529412	1683	1867	509	258	0	159	292	213	2255	2493	310	339	0	304	710	1440	641	0
Cenpp	792.529412	1683	1867	509	258	0	159	292	213	2255	2493	310	339	0	304	710	1440	641	0
Hikeshi	791.941176	877	1753	735	324	180	96	295	0	2748	1742	854	1268	196	819	439	776	361	0
Poc1a	790.823529	1748	1728	438	369	97	103	258	141	2623	2571	378	529	0	465	583	1221	192	0
Prcp	787.823529	1327	1860	417	230	118	193	281	0	2352	2224	530	1273	0	603	597	1193	195	0
Ddias	787.823529	1327	1860	417	230	118	193	281	0	2352	2224	530	1273	0	603	597	1193	195	0
Nolc1	786.294118	1388	1152	1583	0	0	0	188	540	2214	1753	372	450	0	503	467	893	1864	0
Vars	785.235294	1921	1833	366	0	0	94	72	829	2258	1354	595	886	150	428	727	1489	347	0
