Target_genes	Egr2|Average	SRX270569|CD4+_T_cells	SRX270570|CD4+_T_cells	SRX6491107|CD8+_T_cells	SRX122432|Dendritic_Cells	SRX122433|Dendritic_Cells	SRX122434|Dendritic_Cells	SRX122435|Dendritic_Cells	SRX8379010|Macrophages	SRX8379011|Macrophages	SRX8379012|Macrophages	SRX8379013|Macrophages	SRX8379014|Macrophages	SRX8379015|Macrophages	SRX9311757|Macrophages	SRX9311758|Macrophages	SRX9311759|Macrophages	SRX9311760|Macrophages	SRX9311761|Macrophages	SRX9311762|Macrophages	SRX9311763|Macrophages	SRX9311764|Macrophages	SRX9311765|Macrophages	SRX9311766|Macrophages	SRX9311767|Macrophages	SRX9311768|Macrophages	SRX9311769|Macrophages	SRX9311770|Macrophages	SRX9311771|Macrophages	SRX9311772|Macrophages	SRX9311773|Macrophages	SRX9311774|Macrophages	SRX9311775|Macrophages	SRX9311776|Macrophages	SRX9311777|Macrophages	SRX9311778|Macrophages	SRX9311779|Macrophages	SRX9311780|Macrophages	SRX110637|Natural_Killer_T-Cells	SRX110636|Thymocytes	SRX329255|T_cells	SRX329256|T_cells	SRX329257|T_cells	STRING
Faf1	1615.47619	2679	3015	389	0	0	0	0	0	0	700	0	1895	1358	2669	2867	2229	2875	3100	3047	2683	3151	3496	2776	3334	2735	3392	557	3416	1971	1087	271	2456	1726	1995	226	3206	2206	0	0	0	0	343	0
Dynlt1b	1402.904762	3567	4369	0	0	0	0	0	0	0	527	0	852	583	2767	2570	1581	2790	1986	3025	2822	2383	3260	2628	3238	2610	3043	534	3236	1597	476	131	862	364	2098	489	2396	1877	0	0	0	0	261	0
Lysmd3	1242.452381	2269	3475	144	0	0	0	0	0	0	282	0	977	614	2718	2526	1520	2457	1947	2364	2756	2805	3151	1660	3368	1495	2713	190	3176	1070	577	167	1589	788	963	100	2636	1447	0	0	0	0	239	0
Nab1	1230.333333	2438	1950	408	0	0	0	0	0	0	967	0	1605	257	1961	2503	1925	2184	1759	1983	1996	2447	2811	2085	2584	1694	2689	546	2488	1482	1098	246	1803	992	2373	394	2448	1558	0	0	0	0	0	0
Rgl1	1220.952381	2292	3382	0	0	0	0	0	0	0	368	0	1101	949	2620	2506	1301	2144	1879	1926	2716	2607	2703	1834	3040	1180	2420	272	3078	1097	774	203	1498	1141	1290	235	2861	1753	0	0	0	0	110	0
Arpc5	1220.952381	2292	3382	0	0	0	0	0	0	0	368	0	1101	949	2620	2506	1301	2144	1879	1926	2716	2607	2703	1834	3040	1180	2420	272	3078	1097	774	203	1498	1141	1290	235	2861	1753	0	0	0	0	110	0
Sirt1	1209.571429	565	591	146	0	0	0	0	0	0	717	0	1824	0	2438	2668	1920	2247	2029	2705	2791	2712	3170	1700	3327	1697	2823	330	3377	1101	979	200	1779	981	1576	224	2905	1280	0	0	0	0	0	0
Crebrf	1131.190476	3319	3050	0	0	0	185	0	0	0	452	168	994	848	2357	2299	1375	2326	1565	2679	2395	2266	2608	1195	2733	986	2286	109	2731	602	579	0	1181	570	1396	184	2463	1432	0	177	0	0	0	0
Sp4	1105.952381	2395	3310	205	0	0	0	0	0	0	376	0	1371	1112	2197	2244	1621	2409	2177	2274	1959	2320	2664	1207	2518	1157	2117	199	2423	1029	381	0	1201	553	771	86	2453	1449	0	0	0	0	272	0
Srsf9	1065.595238	858	1533	0	0	0	0	0	0	0	562	121	737	783	2407	2074	1465	2281	1919	2577	2635	2358	2577	1314	2963	1421	2303	236	2899	922	569	0	1561	668	1145	0	2796	1071	0	0	0	0	0	0
