Target_genes	Elf1|Average	SRX184866|CD4+_T_cells	SRX6783984|CH12	SRX6783985|CH12	SRX12734917|Granulocyte-Macrophage_Progenitor_Cells	SRX12734918|Granulocyte-Macrophage_Progenitor_Cells	SRX12734919|Granulocyte-Macrophage_Progenitor_Cells	SRX12734920|Granulocyte-Macrophage_Progenitor_Cells	SRX12734921|Granulocyte-Macrophage_Progenitor_Cells	SRX12734922|Granulocyte-Macrophage_Progenitor_Cells	SRX2242846|Macrophages	SRX6783941|MEL	SRX6783942|MEL	SRX184865|Treg	DRX285483|Unclassified	DRX285485|Unclassified	STRING
Gm3448	1766.866667	1836	2600	2546	1872	1932	2579	1997	1058	2108	2844	2248	1823	901	0	159	0
Gm3417	1766.866667	1836	2600	2546	1872	1932	2579	1997	1058	2108	2844	2248	1823	901	0	159	0
Tcte3	1744.4	1836	2600	2546	1840	1932	2563	1753	1058	2096	2844	2215	1823	901	0	159	0
9030025P20Rik	1731.4	1804	2581	2520	1872	1900	2579	1997	970	2108	2805	2248	1793	683	0	111	0
Gm3435	1715.666667	1546	2589	2546	1840	1893	2563	1732	1058	2096	2844	2168	1823	901	0	136	0
Ermard	1675.066667	1836	2600	2477	1494	1932	2442	1753	936	1871	2789	2215	1782	840	0	159	0
Cldn34d	1569.466667	1300	811	695	2709	2161	2614	1969	2743	2328	2323	357	633	1042	997	860	0
Mterf1a	1547.666667	1672	2577	2698	1204	1187	2040	1170	771	1404	3050	2385	2143	914	0	0	0
Sec31a	1531.333333	2311	2256	2573	1097	1358	1783	1340	707	1702	3059	1969	1726	1089	0	0	0
Mterf1b	1515.666667	1448	2541	2666	1267	1178	1641	1307	761	1409	3029	2510	2196	782	0	0	0
Hjurp	1511.133333	1030	1632	1890	2079	2130	2756	2453	1763	2597	1972	876	913	576	0	0	0
A730008H23Rik	1511.133333	1030	1632	1890	2079	2130	2756	2453	1763	2597	1972	876	913	576	0	0	0
Eif2s1	1417.933333	1807	2334	2450	1013	821	1920	1284	843	1410	2840	1821	1689	1037	0	0	0
Atp6v1d	1417.933333	1807	2334	2450	1013	821	1920	1284	843	1410	2840	1821	1689	1037	0	0	0
Btbd19	1369.666667	455	2085	2156	1483	914	2539	1331	1329	1945	2122	2110	1909	167	0	0	0
Tfip11	1365.333333	1646	2500	2642	604	842	1344	1222	504	1446	2741	2196	1993	800	0	0	0
Fam172a	1358.333333	2148	2817	2753	580	583	664	461	250	664	3189	2634	2322	1310	0	0	0
Fam207a	1307.0	2087	2379	2625	527	869	1100	788	397	1068	3107	1893	1804	961	0	0	0
Ubxn1	1306.0	1398	2230	2483	958	1293	1711	1251	763	1781	2178	1536	1521	487	0	0	0
Tatdn1	1290.933333	2051	2594	2548	597	639	1107	730	312	820	2903	2216	2007	840	0	0	0
Ndufb9	1290.933333	2051	2594	2548	597	639	1107	730	312	820	2903	2216	2007	840	0	0	0
Sec61a1	1289.933333	1568	2235	2333	865	1039	1367	1121	473	1509	2752	1717	1804	566	0	0	0
Atg7	1287.666667	1117	2816	2723	707	686	1089	783	455	931	2620	2528	2273	587	0	0	0
Zfpl1	1271.6	1230	2207	2338	913	1048	1540	1097	701	1515	2454	1634	1862	535	0	0	0
Tmem262	1271.6	1230	2207	2338	913	1048	1540	1097	701	1515	2454	1634	1862	535	0	0	0
Cdca5	1271.6	1230	2207	2338	913	1048	1540	1097	701	1515	2454	1634	1862	535	0	0	0
Ciao3	1271.4	1676	2902	2925	339	486	641	557	256	644	3082	2552	2409	602	0	0	0
Nadsyn1	1270.866667	1395	2271	2538	708	929	1514	974	466	1245	2757	1885	1751	630	0	0	0
Dhcr7	1270.866667	1395	2271	2538	708	929	1514	974	466	1245	2757	1885	1751	630	0	0	0
Mien1	1267.466667	1927	2687	2709	426	524	1247	567	336	669	3093	2070	1806	951	0	0	0
Kifc1	1261.933333	1303	1602	2032	1196	1181	2028	1470	869	1680	2247	1419	1332	570	0	0	0
Trnt1	1251.133333	1824	2630	2645	495	389	787	539	243	766	3112	2294	2116	927	0	0	0
Sf3b5	1247.466667	1551	2774	2760	388	509	756	567	229	638	3122	2365	2330	723	0	0	0
Haus6	1231.6	1923	2428	2407	559	702	1139	714	332	998	2616	1929	1887	840	0	0	0
Mbd6	1221.8	764	2060	2173	1418	1457	1743	1310	980	1859	1702	1425	1159	277	0	0	0
Ddit3	1221.8	764	2060	2173	1418	1457	1743	1310	980	1859	1702	1425	1159	277	0	0	0
Edem2	1219.133333	1525	2831	2764	249	353	557	370	248	343	3104	2777	2394	772	0	0	0
Unc50	1218.8	944	2399	2470	920	1143	1296	885	712	1321	2109	1971	1708	404	0	0	0
Coa5	1218.8	944	2399	2470	920	1143	1296	885	712	1321	2109	1971	1708	404	0	0	0
Vps4b	1218.533333	1839	2279	2175	664	466	1266	704	419	606	2658	2136	1873	1193	0	0	0
Slc38a10	1210.0	1859	2548	2490	342	515	732	498	197	795	2770	2349	2007	1048	0	0	0
Rab18	1202.6	848	2617	2598	810	972	1117	808	333	1071	2637	2098	1875	255	0	0	0
Tssk6	1198.066667	1592	2432	2336	665	622	1228	618	305	688	2630	2131	2069	655	0	0	0
Ndufa13	1198.066667	1592	2432	2336	665	622	1228	618	305	688	2630	2131	2069	655	0	0	0
Skiv2l	1197.6	1536	2377	2600	540	792	1218	726	293	998	2296	2127	2014	447	0	0	0
Nelfe	1197.6	1536	2377	2600	540	792	1218	726	293	998	2296	2127	2014	447	0	0	0
Brox	1197.066667	1225	399	518	2357	1446	1612	1133	2690	1781	1725	477	704	906	551	432	0
Aida	1197.066667	1225	399	518	2357	1446	1612	1133	2690	1781	1725	477	704	906	551	432	0
Palb2	1193.6	1482	2295	2536	636	804	1129	788	359	876	2824	1676	1842	657	0	0	0
Icmt	1193.6	1148	2203	2503	709	1048	1364	861	333	1243	2333	1736	1895	528	0	0	0
Dctn5	1193.6	1482	2295	2536	636	804	1129	788	359	876	2824	1676	1842	657	0	0	0
Gars	1193.333333	1255	2514	2444	835	700	1180	742	439	993	2435	1891	1876	596	0	0	0
Dguok	1192.2	1233	2255	2298	639	859	1629	1176	360	979	2478	1771	1521	685	0	0	0
Rpl27	1191.666667	1390	2658	2465	399	634	907	488	223	579	2915	2519	2035	663	0	0	0
Cox18	1184.666667	1073	1424	1575	1527	1625	2420	1440	856	2021	1904	736	699	470	0	0	0
Wdr27	1177.466667	1084	2077	2261	858	970	1790	1140	399	1276	2317	1631	1425	434	0	0	0
1600012H06Rik	1177.466667	1084	2077	2261	858	970	1790	1140	399	1276	2317	1631	1425	434	0	0	0
Tomm7	1175.133333	358	2502	2403	831	887	1507	1003	333	1170	2029	2360	2244	0	0	0	0
Cd2bp2	1174.733333	1628	2456	2417	498	526	1171	550	361	776	2665	1962	1849	762	0	0	0
Tfg	1170.466667	858	2313	2510	993	933	1445	704	664	1236	2619	1226	1597	459	0	0	0
Trmt6	1170.333333	1376	2623	2634	442	677	872	678	202	876	2804	2033	1784	554	0	0	0
Mcm8	1170.333333	1376	2623	2634	442	677	872	678	202	876	2804	2033	1784	554	0	0	0
Slc29a3	1168.333333	1743	2784	2712	292	380	565	488	169	422	2905	2087	2139	839	0	0	0
Slx1b	1167.666667	2016	2410	2501	302	337	641	278	207	498	2974	2349	2084	918	0	0	0
Bola2	1167.666667	2016	2410	2501	302	337	641	278	207	498	2974	2349	2084	918	0	0	0
Ep400	1161.066667	1086	2070	2090	931	1130	1522	1063	683	1589	2015	1284	1418	535	0	0	0
Rtf2	1159.266667	1103	2339	2414	738	889	1106	735	277	1102	2206	1906	1923	651	0	0	0
Zc3h3	1156.733333	1407	2321	2497	544	705	1094	583	354	874	2452	1820	2068	632	0	0	0
Gpatch2l	1155.4	1675	2065	2231	723	854	1230	841	545	1152	2566	1410	1380	659	0	0	0
Ing4	1155.133333	1936	2385	2437	468	503	948	435	295	858	2105	2013	1775	1169	0	0	0
Wdhd1	1154.533333	960	2180	2148	738	963	1746	1043	578	1089	2540	1394	1423	516	0	0	0
Socs4	1154.533333	960	2180	2148	738	963	1746	1043	578	1089	2540	1394	1423	516	0	0	0
Zfp180	1154.4	1907	2391	2444	207	271	692	341	134	282	3089	2094	2268	1135	0	61	0
Hps5	1153.6	1220	1827	2171	838	963	1390	942	620	1370	2363	1408	1438	754	0	0	0
Gtf2h1	1153.6	1220	1827	2171	838	963	1390	942	620	1370	2363	1408	1438	754	0	0	0
Ddx24	1152.4	1881	2104	2355	617	761	1146	843	407	1074	2550	1255	1144	1149	0	0	0
Leng8	1150.133333	1119	2213	2512	563	681	946	734	389	1297	2773	1617	2091	317	0	0	0
Hgs	1150.066667	1141	2363	2380	626	810	1066	710	260	965	2596	1982	1644	708	0	0	0
Arl16	1150.066667	1141	2363	2380	626	810	1066	710	260	965	2596	1982	1644	708	0	0	0
Uvssa	1149.933333	778	1173	1313	1421	1945	2431	1762	1073	2287	1254	703	877	232	0	0	0
Fbxw2	1148.933333	1269	2361	2470	613	709	885	578	170	792	2762	1886	2095	644	0	0	0
Spdye4b	1148.866667	1124	2349	2477	668	690	1110	808	341	903	2624	1848	1933	358	0	0	0
Rbak	1148.866667	1124	2349	2477	668	690	1110	808	341	903	2624	1848	1933	358	0	0	0
Rps12	1148.666667	1263	2457	2591	699	711	991	498	486	979	2556	1803	1714	482	0	0	0
Man1b1	1148.266667	486	1415	1300	1568	1472	2594	1802	1125	2180	1263	841	1010	168	0	0	0
Epn1	1147.6	1384	2256	2433	529	852	1238	787	512	1125	2207	1663	1817	411	0	0	0
Sft2d1	1146.333333	1026	2091	2378	1292	1356	1573	779	588	1766	1488	1196	1183	479	0	0	0
Vta1	1145.666667	1507	2574	2640	342	479	661	256	391	492	3157	2077	1892	717	0	0	0
Cox5b	1145.466667	1390	1914	2376	707	815	1484	993	452	1078	2354	1485	1485	649	0	0	0
Phospho2	1145.4	1245	2323	2503	528	480	1035	748	457	879	2699	1760	1820	704	0	0	0
Ccdc173	1145.4	1245	2323	2503	528	480	1035	748	457	879	2699	1760	1820	704	0	0	0
Ldah	1138.066667	1452	2618	2622	387	326	652	413	265	348	3030	2071	2170	717	0	0	0
Kifc5b	1137.066667	1190	1825	2072	772	994	1532	808	656	1353	2391	1570	1537	356	0	0	0
Zfp384	1135.666667	1901	2237	2307	497	359	1098	577	327	699	2662	1888	1696	787	0	0	0
Trmt44	1131.666667	1342	2636	2765	387	264	525	314	164	385	3096	2311	2048	738	0	0	0
Rapgef6	1129.533333	1037	1946	1999	1115	1316	1809	1264	739	1656	1385	1192	1048	437	0	0	0
Rad21	1129.533333	823	1881	1983	1075	1070	1859	1013	732	1687	1640	1507	1299	374	0	0	0
Taf12	1126.866667	1789	2183	2259	581	691	931	560	392	937	2937	1354	1499	790	0	0	0
Snrpc	1126.133333	1174	2264	2434	712	604	1223	729	411	841	2284	1765	1877	574	0	0	0
Gtf2h3	1120.866667	729	1741	2149	942	1448	1490	1180	579	1473	1900	1436	1480	266	0	0	0
Eif2b1	1120.866667	729	1741	2149	942	1448	1490	1180	579	1473	1900	1436	1480	266	0	0	0
Secisbp2	1120.133333	1240	2399	2521	595	740	1088	768	213	538	2404	1925	1909	462	0	0	0
Vps41	1115.6	1875	2796	2816	237	0	0	0	0	251	3054	2110	2347	1248	0	0	0
Cfap410	1115.0	1610	2406	2694	421	584	685	599	0	620	2740	1812	2035	519	0	0	0
BC031181	1112.2	1759	2394	2435	549	501	844	495	176	735	2993	1433	1578	791	0	0	0
Zfp513	1112.0	1660	2169	2287	327	576	640	517	187	695	2819	2026	1826	951	0	0	0
Tmem198b	1110.933333	1681	2362	2525	456	577	939	620	304	861	2110	1628	1878	723	0	0	0
Dnajc14	1110.933333	1681	2362	2525	456	577	939	620	304	861	2110	1628	1878	723	0	0	0
Tedc1	1108.933333	1943	2249	2163	499	551	654	456	137	637	2808	2094	1712	731	0	0	0
Crip1	1108.933333	1943	2249	2163	499	551	654	456	137	637	2808	2094	1712	731	0	0	0
Fam219a	1103.4	1508	2336	2395	493	581	842	574	247	871	2528	1725	1736	715	0	0	0
Dnaic1	1103.4	1508	2336	2395	493	581	842	574	247	871	2528	1725	1736	715	0	0	0
Exoc1	1102.0	922	2279	2361	492	614	1121	688	301	764	2343	2092	1916	637	0	0	0
Diaph1	1100.933333	1421	2391	2639	442	539	792	447	192	712	2621	1939	1776	603	0	0	0
Slc25a32	1099.733333	1209	2145	2274	692	728	1042	863	324	1098	2029	1784	1808	500	0	0	0
Dcaf13	1099.733333	1209	2145	2274	692	728	1042	863	324	1098	2029	1784	1808	500	0	0	0
Sys1	1098.333333	923	2301	2209	674	691	1137	728	343	1216	2170	1840	1868	375	0	0	0
