Target_genes	Elf4|Average	SRX2242847|Macrophages	SRX2242848|Macrophages	SRX2242849|Macrophages	SRX2242850|Macrophages	STRING
Faap24	3695.0	4252	1299	4578	4651	0
BC052040	3524.75	3973	1587	4256	4283	0
Fam172a	3423.75	4066	1554	4088	3987	0
Trip4	3181.25	3688	983	4135	3919	0
Csnk1g1	3181.25	3688	983	4135	3919	0
Slc39a9	3171.5	3380	1191	4023	4092	0
Erh	3171.5	3380	1191	4023	4092	0
Wdr89	3093.25	3815	848	4165	3545	0
Pramel12	2986.5	3369	976	3971	3630	0
Eif2s1	2929.5	3747	1136	3679	3156	0
Atp6v1d	2929.5	3747	1136	3679	3156	0
Xrcc4	2922.5	3444	848	3901	3497	0
Tmem167	2922.5	3444	848	3901	3497	0
Zfp317	2768.75	3179	788	3744	3364	0
Elf2	2753.75	3048	674	4098	3195	0
Rps19	2725.25	3066	700	4063	3072	0
Lmbr1l	2709.25	3532	806	3740	2759	0
Pin1	2688.0	2860	392	4180	3320	0
Rnf181	2618.75	3166	680	3423	3206	0
Meig1	2616.75	3119	696	3450	3202	0
Dclre1c	2616.75	3119	696	3450	3202	0
Riok2	2582.5	3054	838	3678	2760	0
Tnrc6b	2580.25	2927	479	3623	3292	0
Klhl18	2572.0	2798	817	3615	3058	0
Kif9	2572.0	2798	817	3615	3058	0
Ccdc61	2566.75	2918	605	3563	3181	0
Isoc2b	2564.25	2620	536	3817	3284	0
4833420G17Rik	2561.5	3038	522	3536	3150	0
Prr13	2523.0	3068	685	3532	2807	0
Ltn1	2498.0	3066	590	3585	2751	0
Mib2	2495.25	2424	726	3622	3209	0
Acbd5	2463.5	2967	683	3511	2693	0
Rmnd1	2437.0	2513	544	3566	3125	0
Armt1	2437.0	2513	544	3566	3125	0
Stk11ip	2434.25	2734	854	3500	2649	0
Slc38a10	2415.25	3391	1112	3374	1784	0
Ap1g2	2413.75	2677	627	3519	2832	0
Hjurp	2409.5	3084	604	3514	2436	0
A730008H23Rik	2409.5	3084	604	3514	2436	0
Zfp513	2407.5	2772	832	3238	2788	0
Zfp87	2377.75	2740	592	3318	2861	0
Vta1	2371.0	3372	719	3342	2051	0
Cirbp	2369.5	2899	725	3007	2847	0
Zfand3	2368.5	2765	901	3111	2697	0
Pigf	2367.0	2691	776	3314	2687	0
Cript	2367.0	2691	776	3314	2687	0
Wwox	2364.25	2549	575	3559	2774	0
Flad1	2364.25	2460	674	3536	2787	0
Rbm42	2335.25	2457	553	3553	2778	0
Miip	2325.25	2677	523	3553	2548	0
Fv1	2325.25	2677	523	3553	2548	0
BC031181	2322.5	3351	1045	3082	1812	0
Eif2ak3	2322.25	2527	399	3545	2818	0
Pex2	2316.0	3910	1047	2400	1907	0
Rps26	2313.25	1939	606	3648	3060	0
Sugct	2310.25	2559	574	3430	2678	0
Mplkip	2310.25	2559	574	3430	2678	0
Katnb1	2308.25	2370	500	3395	2968	0
Atp6v1e1	2306.75	2693	674	3344	2516	0
Chmp5	2296.5	2517	875	3159	2635	0
Bag1	2296.5	2517	875	3159	2635	0
Zfp51	2278.5	2686	574	3430	2424	0
Gabpb2	2274.25	2167	576	3171	3183	0
Vps33b	2271.75	2787	675	2835	2790	0
Mon1b	2260.5	2628	574	3308	2532	0
2310011J03Rik	2252.0	2792	712	3045	2459	0
Ldah	2236.5	2655	584	3165	2542	0
Cep63	2236.25	3014	804	2807	2320	0
Anapc13	2236.25	3014	804	2807	2320	0
Ubl5	2232.0	2341	757	3021	2809	0
Glyctk	2232.0	2215	584	3064	3065	0
Fbxl12	2232.0	2341	757	3021	2809	0
Fyco1	2230.5	2377	580	3098	2867	0
Lsg1	2229.75	2071	557	3269	3022	0
Tedc1	2222.25	3268	782	2842	1997	0
Crip1	2222.25	3268	782	2842	1997	0
Spsb3	2204.75	2551	474	3194	2600	0
Nubp2	2204.75	2551	474	3194	2600	0
Use1	2190.25	2361	579	3163	2658	0
Ocel1	2190.25	2361	579	3163	2658	0
Tgds	2189.0	2983	855	2845	2073	0
Gpr180	2189.0	2983	855	2845	2073	0
Erich1	2180.75	2644	582	3149	2348	0
Kif14	2165.75	2975	478	3192	2018	0
Zfp668	2158.25	2310	481	2981	2861	0
Zfp646	2158.25	2310	481	2981	2861	0
Vps41	2153.0	2855	719	2852	2186	0
Urm1	2146.5	2236	720	3054	2576	0
Nlrp1a	2146.25	2501	551	3020	2513	0
Xab2	2140.5	2118	761	2889	2794	0
Pet100	2140.5	2118	761	2889	2794	0
Pcp2	2140.5	2118	761	2889	2794	0
Mark2	2138.0	2734	788	2728	2302	0
Ulk4	2130.0	2415	413	2863	2829	0
Utp23	2124.75	2472	572	2977	2478	0
Stt3a	2121.5	2519	474	3098	2395	0
Lman2	2102.75	2736	854	2706	2115	0
Ppp1r10	2100.0	3280	701	2829	1590	0
Mrps18b	2100.0	3280	701	2829	1590	0
Dctn3	2081.25	2739	526	3042	2018	0
Cdk7	2074.5	2576	739	2805	2178	0
Tcp1	2069.0	2513	418	3031	2314	0
Mrpl18	2069.0	2513	418	3031	2314	0
Dpp3	2064.0	2441	421	3065	2329	0
Ppp4r3b	2061.25	2823	520	2959	1943	0
Zfp180	2060.5	1882	679	2817	2864	0
Pde6a	2056.75	2352	284	2939	2652	0
Zfp84	2055.0	2275	610	2666	2669	0
Zmynd10	2051.75	2285	799	2921	2202	0
Nprl2	2051.75	2285	799	2921	2202	0
Cyb561d2	2051.75	2285	799	2921	2202	0
Thg1l	2041.5	2562	682	2975	1947	0
Zfp330	2037.75	2844	555	2609	2143	0
Tln1	2035.0	2407	626	2985	2122	0
Creb3	2035.0	2407	626	2985	2122	0
Atp23	2031.75	1963	515	2982	2667	0
Ino80c	2028.5	2535	513	2969	2097	0
Vps4b	2024.0	2486	458	2927	2225	0
Alyref2	2021.75	2258	429	2812	2588	0
Pigm	2021.25	2502	632	2822	2129	0
Arpc1b	2019.25	1980	340	3186	2571	0
Nuf2	2019.0	2330	431	2691	2624	0
Scnm1	2008.25	2276	626	2679	2452	0
Lysmd1	2008.25	2276	626	2679	2452	0
Trnt1	1999.5	3245	788	2925	1040	0
Acyp1	1992.5	2327	525	2694	2424	0
Bcl7b	1982.25	2808	615	2834	1672	0
Nostrin	1976.5	2300	294	3053	2259	0
Cybc1	1969.5	2258	370	2817	2433	0
Commd6	1967.25	2215	509	2883	2262	0
Rps14	1963.25	2067	591	2954	2241	0
Hsd17b12	1957.0	2262	434	3006	2126	0
Mospd3	1956.75	2235	549	2670	2373	0
Kxd1	1954.25	2358	533	2577	2349	0
Fkbp8	1954.25	2358	533	2577	2349	0
