Target_genes	Etv5|Average	SRX3775849|Alveolar_type_II_cells	SRX23761407|Ependymoma	SRX4988100|ES_cells	SRX4988101|ES_cells	SRX4988102|ES_cells	SRX4988103|ES_cells	SRX4988104|ES_cells	SRX4988105|ES_cells	STRING
Tcstv3	1145.25	826	734	1280	1297	1265	1292	1228	1240	0
Cldn34d	613.125	164	1946	538	381	489	503	496	388	0
Olfr806	566.375	266	0	643	668	707	770	724	753	0
Abhd6	565.5	370	0	725	605	751	701	722	650	0
Kpna1	544.0	708	505	599	441	604	640	508	347	0
Brox	504.125	1175	540	380	331	425	420	390	372	0
Aida	504.125	1175	540	380	331	425	420	390	372	0
Il31ra	460.0	1012	304	440	219	422	439	407	437	0
Specc1	451.0	339	0	375	282	646	504	806	656	0
Dohh	401.625	2778	435	0	0	0	0	0	0	0
Ptcd2	395.125	2925	236	0	0	0	0	0	0	0
Mrps27	395.125	2925	236	0	0	0	0	0	0	0
Tjp3	391.625	3133	0	0	0	0	0	0	0	0
Pip5k1c	391.625	3133	0	0	0	0	0	0	0	0
Wwox	377.875	456	0	420	404	361	464	470	448	0
Bcl6	376.625	3013	0	0	0	0	0	0	0	0
Tut7	376.25	2747	263	0	0	0	0	0	0	0
Psmd12	369.5	2633	323	0	0	0	0	0	0	0
Wasl	364.0	2724	188	0	0	0	0	0	0	0
Gm3448	362.25	2457	362	0	0	0	79	0	0	0
Gm3417	362.25	2457	362	0	0	0	79	0	0	0
Tcte3	358.625	2437	362	0	0	0	70	0	0	0
Gm3435	358.625	2437	362	0	0	0	70	0	0	0
Fus	355.625	2845	0	0	0	0	0	0	0	0
Psip1	355.25	2842	0	0	0	0	0	0	0	0
Bzw1	348.375	2599	188	0	0	0	0	0	0	0
9030025P20Rik	347.375	2457	243	0	0	0	79	0	0	0
Ly6g6f	341.625	2733	0	0	0	0	0	0	0	0
Abhd16a	341.625	2733	0	0	0	0	0	0	0	0
Mob2	339.125	2713	0	0	0	0	0	0	0	0
Hdac2	337.25	2698	0	0	0	0	0	0	0	0
Atrnl1	336.5	2692	0	0	0	0	0	0	0	0
Noct	336.375	2691	0	0	0	0	0	0	0	0
Wdr78	335.0	2440	240	0	0	0	0	0	0	0
Mier1	335.0	2440	240	0	0	0	0	0	0	0
Exoc5	331.375	2315	336	0	0	0	0	0	0	0
Ap5m1	331.375	2315	336	0	0	0	0	0	0	0
Ermard	328.875	2325	306	0	0	0	0	0	0	0
Smc3	327.25	2618	0	0	0	0	0	0	0	0
Oxr1	326.0	2608	0	0	0	0	0	0	0	0
Ppm1l	324.125	2593	0	0	0	0	0	0	0	0
Mia2	322.875	2583	0	0	0	0	0	0	0	0
Tex10	322.125	2115	462	0	0	0	0	0	0	0
Ube2b	319.25	2403	151	0	0	0	0	0	0	0
Cdkl3	319.25	2403	151	0	0	0	0	0	0	0
Prpf40a	318.625	2251	298	0	0	0	0	0	0	0
Arl6ip6	318.625	2251	298	0	0	0	0	0	0	0
Map7d1	317.875	2543	0	0	0	0	0	0	0	0
Smg7	316.625	2366	167	0	0	0	0	0	0	0
Abtb1	313.375	2507	0	0	0	0	0	0	0	0
Ss18	312.875	2503	0	0	0	0	0	0	0	0
Cadm2	311.25	2490	0	0	0	0	0	0	0	0
Myl12a	308.625	2263	206	0	0	0	0	0	0	0
Cmc2	305.25	2442	0	0	0	0	0	0	0	0
Cenpn	305.25	2442	0	0	0	0	0	0	0	0
Shprh	304.25	2048	386	0	0	0	0	0	0	0
Cep41	304.0	2162	270	0	0	0	0	0	0	0
Slbp	303.5	2300	128	0	0	0	0	0	0	0
