Target_genes	Fos|Average	SRX10247302|ASZ001	SRX10247303|ASZ001	SRX671652|Cortical_neuron	SRX671653|Cortical_neuron	SRX671656|Cortical_neuron	SRX671657|Cortical_neuron	SRX671660|Cortical_neuron	SRX671661|Cortical_neuron	SRX671665|Cortical_neuron	SRX671666|Cortical_neuron	SRX671670|Cortical_neuron	SRX671673|Cortical_neuron	SRX671677|Cortical_neuron	SRX671680|Cortical_neuron	SRX2901285|Macrophages	SRX2901286|Macrophages	SRX2901287|Macrophages	SRX2901288|Macrophages	SRX2901289|Macrophages	SRX310209|Mast_Cells	SRX13792898|MEF	SRX13792899|MEF	SRX13792924|MEF	SRX13792925|MEF	SRX13792950|MEF	SRX13792951|MEF	SRX13792980|MEF	SRX13792981|MEF	SRX13792982|MEF	SRX1839213|MEF	SRX1839214|MEF	SRX1839215|MEF	SRX1839216|MEF	SRX1839217|MEF	SRX1839218|MEF	SRX1839269|MEF	SRX1839270|MEF	SRX2254725|Mesenchymal_stem_cells	SRX18326690|Microglia	SRX18326692|Microglia	SRX18326694|Microglia	SRX18326696|Microglia	SRX3730270|Trophoblast_stem_cells	SRX3730288|Trophoblast_stem_cells	STRING
Cldn34d	1487.477273	1849	1689	563	555	635	666	1091	766	1186	1195	548	508	1149	1056	1208	1135	1314	1104	810	756	3496	3633	3348	2886	1426	1864	2176	3159	2658	1354	773	1188	1143	1518	1458	1898	2607	2612	1540	1299	1190	1379	865	196	0
Brox	955.613636	989	263	965	874	728	752	895	327	803	734	831	830	685	843	939	741	742	658	521	373	2574	3159	2548	2539	1555	975	595	2373	1095	863	407	712	510	803	683	0	93	1476	1313	871	850	1255	305	0	0
Aida	955.613636	989	263	965	874	728	752	895	327	803	734	831	830	685	843	939	741	742	658	521	373	2574	3159	2548	2539	1555	975	595	2373	1095	863	407	712	510	803	683	0	93	1476	1313	871	850	1255	305	0	0
Tcstv3	931.022727	1740	1860	1290	1144	1248	1385	1755	966	1649	1487	1619	1747	1628	1801	1214	1056	1109	932	911	1350	0	0	0	0	0	0	0	0	0	1413	817	1456	1206	0	0	0	0	188	1822	1849	1779	1834	134	576	0
Zfp869	717.977273	0	0	1678	225	2089	412	2100	0	2008	212	2932	3227	2397	2061	344	325	561	421	669	473	539	353	342	722	963	1076	0	0	304	1547	181	845	464	0	130	0	89	408	297	509	414	274	0	0	0
Sharpin	593.772727	211	0	1777	352	2139	359	2001	0	1973	0	2826	3268	2871	2679	0	146	0	0	0	131	168	192	378	545	154	893	0	0	0	1501	0	457	0	0	0	0	0	0	241	398	284	182	0	0	0
Maf1	593.772727	211	0	1777	352	2139	359	2001	0	1973	0	2826	3268	2871	2679	0	146	0	0	0	131	168	192	378	545	154	893	0	0	0	1501	0	457	0	0	0	0	0	0	241	398	284	182	0	0	0
Gm35339	593.772727	211	0	1777	352	2139	359	2001	0	1973	0	2826	3268	2871	2679	0	146	0	0	0	131	168	192	378	545	154	893	0	0	0	1501	0	457	0	0	0	0	0	0	241	398	284	182	0	0	0
Sp2	589.772727	0	0	1331	142	1861	222	1456	0	1605	0	2715	2857	2329	2277	288	151	467	341	328	0	197	303	507	431	337	923	0	0	336	856	0	186	124	0	0	0	197	161	456	792	530	314	315	615	0
Hrob	588.795455	0	0	0	0	655	777	0	0	259	492	606	0	227	0	1163	1424	1442	1017	1054	1012	954	779	530	935	1062	1166	0	0	1794	0	0	777	755	0	0	188	1143	431	545	795	863	415	1163	1484	0
Tepsin	585.477273	0	0	1939	242	2287	444	1925	0	2000	0	3006	3226	2343	2443	0	0	0	0	0	0	344	232	494	501	334	1003	0	0	0	1677	0	339	132	0	73	0	0	0	136	245	241	155	0	0	0
Ndufaf8	585.477273	0	0	1939	242	2287	444	1925	0	2000	0	3006	3226	2343	2443	0	0	0	0	0	0	344	232	494	501	334	1003	0	0	0	1677	0	339	132	0	73	0	0	0	136	245	241	155	0	0	0
Paip2b	584.886364	0	0	1482	167	2242	249	1376	0	1184	0	2199	2838	1202	1924	855	714	939	745	828	614	238	106	258	431	556	550	0	0	548	1673	106	333	207	0	0	0	246	328	125	136	144	0	0	192	0
G3bp1	578.909091	0	0	1310	201	1784	323	1433	0	1448	0	2411	2879	1793	1870	174	228	311	223	181	101	382	513	953	954	617	1571	0	0	170	1730	106	418	206	113	140	0	0	0	200	259	231	239	0	0	0
Npas4	565.181818	0	110	0	0	728	1058	0	0	435	682	716	179	552	0	1293	1214	1711	1354	1031	1566	520	639	440	933	976	784	0	0	1272	188	0	1090	865	0	0	171	913	492	203	288	474	210	1255	526	0
Hnrnpc	563.159091	0	0	1447	187	1961	155	1541	0	1542	0	2662	3013	2398	2073	194	162	274	458	427	0	224	363	434	509	320	828	0	0	151	1156	0	196	171	0	67	0	313	0	333	549	411	260	0	0	0
Rtn4	562.954545	0	0	327	0	481	410	337	0	453	0	863	1172	509	604	1284	1285	1243	1039	982	1218	739	676	440	704	871	869	0	0	1446	320	0	1143	964	0	0	100	1075	450	116	322	206	162	834	1126	0
Arrdc4	555.340909	0	0	1480	142	1814	194	1843	0	1630	0	2557	3012	2585	2069	0	0	155	244	160	0	488	381	382	715	554	966	0	0	131	1038	117	403	168	0	0	0	232	0	227	363	253	132	0	0	0
Ank1	551.704545	0	0	0	0	530	655	0	0	270	340	697	0	685	0	1454	1269	1466	1334	1090	0	1050	1091	800	1081	1235	1212	0	0	1847	193	0	931	651	0	0	153	1355	477	0	165	180	131	836	1097	0
Traf2	528.159091	0	0	1115	197	1505	130	1243	0	1146	0	1913	2422	1173	1473	377	680	849	755	735	0	397	308	683	742	356	1242	0	0	423	1465	0	210	159	0	72	0	318	0	187	348	318	132	0	166	0
Sun1	526.25	0	0	256	0	296	249	151	0	0	126	382	769	0	242	117	0	489	920	998	0	1014	1106	992	1286	1594	1593	0	0	2247	411	0	1208	988	0	0	288	1657	618	0	148	0	0	870	2140	0
Atp5b	518.113636	0	0	1426	204	1669	202	1766	0	1687	0	2570	3117	2319	2075	0	0	0	0	0	0	250	652	744	753	311	1640	0	0	0	696	0	232	0	0	0	0	0	0	0	211	142	131	0	0	0
Tnrc6b	512.363636	0	0	1301	208	1749	173	1328	0	1293	0	1918	2524	2000	1836	227	360	485	373	328	0	0	162	307	546	337	635	0	0	320	1409	0	359	152	0	0	0	123	254	227	424	491	324	152	219	0
Ap3m2	510.795455	0	0	1491	136	2144	211	1815	0	1606	0	2362	2773	2064	2011	0	0	172	153	190	0	247	277	346	475	403	759	0	0	126	1419	119	264	0	0	0	0	0	0	218	305	237	152	0	0	0
Arid4a	499.613636	0	0	1222	159	1816	198	1729	0	1665	0	2467	2863	2654	1889	0	0	0	0	0	0	268	246	400	491	301	755	0	0	0	1282	0	402	113	0	0	0	0	0	236	321	324	182	0	0	0
Opa3	498.75	0	0	831	117	830	433	1214	0	770	261	1114	1858	1273	1219	178	400	944	983	589	102	724	618	293	729	871	741	0	0	1167	777	0	465	468	0	0	169	786	0	139	415	281	186	0	0	0
Emp3	498.295455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895	973	1432	992	969	650	817	736	699	1136	1333	1131	0	0	1813	219	0	1214	1027	0	0	163	1198	775	349	460	379	268	875	1422	0
Ccdc114	498.295455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895	973	1432	992	969	650	817	736	699	1136	1333	1131	0	0	1813	219	0	1214	1027	0	0	163	1198	775	349	460	379	268	875	1422	0
Dot1l	495.227273	0	0	0	0	315	452	0	0	0	333	343	0	162	0	881	724	1048	765	840	138	779	734	724	1461	1060	1026	0	0	1654	0	0	906	891	0	0	156	1259	160	1007	1299	1117	912	181	463	0
