Target_genes	Fosl1|Average	SRX142533|C2C12	SRX2396480|MEF	SRX2396481|MEF	SRX2396482|MEF	SRX6437838|Pancreatic_adenocarcinoma	STRING
Sun1	1495.2	864	1695	1019	1192	2706	0
Nacc2	1431.4	179	1633	2075	1752	1518	0
Adipor2	1423.8	297	1633	1841	2372	976	0
Atp13a3	1315.6	571	1899	1463	1940	705	0
Gpr152	1277.2	0	1529	1932	2384	541	0
Cabp4	1277.2	0	1529	1932	2384	541	0
Sp2	1199.0	0	1362	2052	1903	678	0
Tcstv3	1184.8	1066	1918	1638	1302	0	0
Sfxn3	1177.8	143	1802	1460	2052	432	0
Pdzd7	1177.8	143	1802	1460	2052	432	0
Liph	1163.4	0	831	2286	2261	439	0
Serbp1	1147.0	0	605	2327	2634	169	0
Kdm3a	1132.6	0	544	2290	2401	428	0
Gdf3	1122.6	0	530	2479	2604	0	0
Tyk2	1113.8	383	1920	420	1097	1749	0
Msln	1104.6	232	1630	1183	1530	948	0
Emp3	1100.2	668	1848	142	556	2287	0
Ccdc114	1100.2	668	1848	142	556	2287	0
S100a3	1097.8	309	1592	466	1035	2087	0
Cd47	1091.0	117	366	1161	1409	2402	0
Arhgap28	1087.6	0	465	2352	2621	0	0
Ap1m2	1077.6	0	597	1987	2093	711	0
Egln2	1071.4	0	739	2063	2197	358	0
Anln	1069.6	219	1804	1160	1714	451	0
9530077C05Rik	1069.6	219	1804	1160	1714	451	0
Ly6c1	1068.6	494	1223	1600	1795	231	0
Spag9	1061.2	269	1380	1693	997	967	0
Gm11634	1059.8	0	722	2100	2477	0	0
Trim13	1059.4	0	1000	2149	2148	0	0
Kcnrg	1059.4	0	1000	2149	2148	0	0
Npas4	1059.0	619	2072	0	152	2452	0
Gid8	1054.4	0	208	2458	2439	167	0
Dido1	1054.4	0	208	2458	2439	167	0
Rara	1037.0	461	1390	600	743	1991	0
S100a2	1033.4	309	1592	268	911	2087	0
Myo10	1032.2	0	498	2108	2399	156	0
Rnh1	1022.0	687	1402	337	500	2184	0
Cldn34d	1022.0	528	1671	1526	1385	0	0
Esrra	1019.6	0	296	2224	2578	0	0
Catsperz	1019.6	0	296	2224	2578	0	0
Nop53	1017.4	294	1825	704	1250	1014	0
Nt5c3	992.4	0	1210	1531	1712	509	0
Spop	991.2	0	1001	1426	2356	173	0
Rbpj	988.8	386	1103	1349	1283	823	0
Nedd4l	985.4	0	443	1840	2145	499	0
Etv5	984.0	0	914	1968	1813	225	0
Cfh	983.6	0	421	1968	2529	0	0
Ank1	983.6	524	1838	136	110	2310	0
P4ha3	982.6	187	1421	1193	2028	84	0
Mideas	981.4	215	1387	1298	767	1240	0
Itgbl1	980.2	0	1659	1198	2044	0	0
Pde1a	979.4	0	906	1630	2361	0	0
Tent5b	978.0	151	1427	1195	1664	453	0
1700019D03Rik	967.0	0	185	2219	2431	0	0
Slc39a14	965.0	0	411	2001	2413	0	0
Lmna	956.0	405	1544	680	888	1263	0
Slc25a45	955.0	199	1712	650	563	1651	0
Frmd8	955.0	199	1712	650	563	1651	0
Pmpcb	951.8	0	143	1972	2530	114	0
Anxa1	948.0	434	1400	168	611	2127	0
Ablim1	948.0	205	962	1088	1836	649	0
Cavin1	941.6	833	1905	213	542	1215	0
Dpy19l4	938.2	177	1335	1182	1640	357	0
Sh3bp4	928.8	304	1517	1123	1109	591	0
Slc44a2	926.8	0	310	1987	2093	244	0
Ptpn3	926.8	174	1014	1436	1452	558	0
Hrob	925.2	453	1756	413	521	1483	0
Trib1	922.6	466	1277	325	297	2248	0
Ahnak2	918.6	360	1112	889	929	1303	0
Ube2h	917.4	0	1195	1006	1419	967	0
Atl3	912.6	0	1333	1276	1624	330	0
Utrn	907.8	278	1920	1282	1059	0	0
Rab32	903.2	162	1415	852	1417	670	0
Il34	902.4	0	1113	1450	1841	108	0
Vim	902.0	318	1508	272	1062	1350	0
Paip2	901.0	0	798	1382	2176	149	0
Tax1bp3	900.6	0	1209	1065	1384	845	0
Emc6	900.6	0	1209	1065	1384	845	0
Plppr2	899.4	0	202	2303	1992	0	0
Uba3	898.8	0	538	1445	1919	592	0
Fam107b	898.0	159	1323	1069	1074	865	0
Bmper	895.4	167	1121	555	773	1861	0
Tnfaip3	893.8	230	1238	298	455	2248	0
Stk38	892.8	0	274	1966	2224	0	0
Ptx3	890.6	0	1133	1402	1918	0	0
Ntn5	883.4	292	1673	163	510	1779	0
Gsg1	883.0	302	1228	643	1268	974	0
Dusp14	882.6	0	789	1598	1671	355	0
Prune1	881.6	0	173	1945	2028	262	0
Mindy1	881.6	0	173	1945	2028	262	0
Kctd9	881.0	0	1154	1232	1773	246	0
Cdca2	881.0	0	1154	1232	1773	246	0
Arl14epl	881.0	0	602	1715	2088	0	0
Mfn2	878.8	412	2033	459	1013	477	0
Iqcn	878.2	0	1523	1375	1030	463	0
Ly6a	877.4	350	1176	1312	1258	291	0
Plec	876.8	620	1262	278	695	1529	0
Wnt7b	874.4	1403	205	0	0	2764	0
Gstt3	873.0	0	133	2209	2023	0	0
Tacc2	871.8	0	331	1696	2185	147	0
Slco5a1	871.4	0	1154	1509	1694	0	0
Atg9b	867.4	302	615	955	1549	916	0
Abcb8	867.4	302	615	955	1549	916	0
Otud7b	861.6	0	348	1766	2040	154	0
Dhrs9	860.2	592	1551	0	218	1940	0
Fstl1	860.0	0	1110	1455	1735	0	0
Cemip	860.0	0	963	1250	1730	357	0
Fam227a	859.2	0	739	1593	1820	144	0
Cby1	859.2	0	739	1593	1820	144	0
Ppp3r2	857.2	0	859	1402	2025	0	0
Pik3ip1	855.8	225	1642	641	1061	710	0
Dot1l	853.0	366	1503	318	1028	1050	0
Rabgef1	851.8	0	902	1300	1690	367	0
Ackr3	850.0	0	0	1616	2219	415	0
Rap1gap	846.4	0	1189	1720	971	352	0
Gm3448	840.0	0	1068	236	479	2417	0
Gm3417	840.0	0	1068	236	479	2417	0
Eif1ad	839.4	0	1102	1372	1360	363	0
Banf1	839.4	0	1102	1372	1360	363	0
Ezh1	833.2	0	909	1574	1683	0	0
Sbspon	832.6	0	1080	1500	1583	0	0
Gcnt2	830.8	183	1012	1365	1155	439	0
Plaur	828.6	0	658	1327	979	1179	0
Cd109	828.2	0	717	1344	1723	357	0
Ddx6	826.2	0	286	1848	1997	0	0
Zfp710	822.8	0	1191	1167	1602	154	0
Cyfip1	822.4	0	1420	689	1244	759	0
Cobl	822.4	0	498	1455	2032	127	0
Plcd3	822.0	0	432	1629	1463	586	0
Adamtsl4	817.0	232	1335	755	1210	553	0
Lrpap1	816.8	0	0	1971	2113	0	0
Emp1	815.4	213	1052	541	1205	1066	0
Sbno2	813.4	0	932	859	1189	1087	0
Josd1	811.0	136	618	1617	1033	651	0
Gda	810.8	0	1128	1118	1641	167	0
Mok	810.0	0	89	1711	2087	163	0
Tcf19	801.4	0	1094	1314	1541	58	0
Cchcr1	801.4	0	1094	1314	1541	58	0
Mbnl2	800.6	267	880	1291	1123	442	0
Mavs	799.2	0	255	1808	1846	87	0
Tcte3	798.8	0	1068	236	479	2211	0
Rufy1	798.6	0	1083	1120	1790	0	0
Acot9	793.0	139	621	1492	1314	399	0
Gm3435	792.0	0	1068	202	479	2211	0
Zfp493	791.6	0	666	1530	1762	0	0
Ttc39b	790.4	0	171	1649	2132	0	0
Nbr1	790.2	0	120	1720	1978	133	0
Brca1	790.2	0	120	1720	1978	133	0
Pou5f1	789.8	0	1094	1314	1541	0	0
Nt5dc3	789.2	245	1438	221	544	1498	0
Rasl10a	787.8	0	1529	153	750	1507	0
Olfr16	787.8	530	1449	747	1002	211	0
Gas2l1	787.8	0	1529	153	750	1507	0
Acad9	786.2	0	557	1170	2047	157	0
Ifi204	786.0	307	1415	567	919	722	0
Mroh6	785.8	0	819	1449	1212	449	0
Wdfy2	783.4	160	1706	183	467	1401	0
9030025P20Rik	783.4	0	968	167	365	2417	0
Rbm25	782.8	248	1835	347	389	1095	0
Kbtbd7	782.0	137	2057	221	747	748	0
Aqp2	781.4	0	166	1845	1896	0	0
Bnip5	778.0	0	1442	830	647	971	0
Ndst1	775.2	433	1936	165	324	1018	0
Tspo	774.0	389	1421	236	481	1343	0
Pacsin2	773.8	167	1134	636	896	1036	0
Psmc6	773.0	0	1308	1328	825	404	0
C1qtnf1	773.0	131	1101	424	638	1571	0
Cdh13	772.8	180	1353	580	1230	521	0
Clu	770.8	0	1518	0	189	2147	0
Fam110c	768.8	0	602	1326	1652	264	0
Ifrd1	768.2	179	1706	129	812	1015	0
Ccl9	767.2	0	451	1100	1411	874	0
Dock5	765.4	0	248	1793	1556	230	0
Txnl4a	765.0	0	150	1683	1992	0	0
Gm16286	765.0	0	150	1683	1992	0	0
Tnks1bp1	761.6	0	411	1851	1444	102	0
Cables2	761.0	0	0	1592	1655	558	0
Lfng	760.6	170	1557	729	821	526	0
Fam91a1	760.6	0	488	1321	1572	422	0
Acbd4	760.0	0	122	1629	1463	586	0
Slc35g3	759.0	0	517	1688	1329	261	0
Polr2a	759.0	0	517	1688	1329	261	0
Tet3	758.2	278	1369	998	947	199	0
Pptc7	756.2	0	1188	942	1510	141	0
Ippk	756.0	0	1295	351	462	1672	0
Fam149b	755.6	184	845	0	278	2471	0
Ecd	755.6	184	845	0	278	2471	0
Htatip2	754.0	329	1566	101	186	1588	0
Plekhs1	753.2	0	413	1392	1961	0	0
Myof	751.0	221	1397	0	871	1266	0
Insc	750.2	0	659	1489	1603	0	0
Zc3h4	749.0	0	1389	868	741	747	0
Prickle2	747.4	0	394	1669	1674	0	0
Lefty2	747.0	0	182	1627	1926	0	0
Lrp1	746.2	198	927	838	1092	676	0
Cryba2	745.2	0	1258	1126	1342	0	0
Specc1	744.8	159	893	1100	1282	290	0
AI413582	744.6	546	1356	0	128	1693	0
Metrnl	743.2	0	1299	896	815	706	0
Myl12a	743.0	0	1006	964	1232	513	0
