Target_genes	Fosl2|Average	SRX515671|3T3-L1	SRX520195|3T3-L1	SRX17156736|Bone_Marrow_Cells	SRX17156737|Bone_Marrow_Cells	SRX17156738|Bone_Marrow_Cells	SRX17156739|Bone_Marrow_Cells	SRX216284|Embryonic_brains	SRX216285|Embryonic_brains	SRX22541704|Macrophages	SRX22541705|Macrophages	SRX22541706|Macrophages	SRX22541707|Macrophages	SRX1839221|MEF	SRX1839222|MEF	SRX1839223|MEF	SRX1839224|MEF	SRX187213|Th0	SRX187214|Th17_Cells	SRX187215|Th17_Cells	STRING
Tcstv3	1267.947368	1615	204	2339	2179	1113	1332	1259	1316	1901	2008	1518	1472	0	0	0	0	1991	2042	1802	0
Sun1	974.894737	862	251	0	0	1153	1129	2267	2734	0	0	0	643	847	531	504	1117	1961	2099	2425	0
Cldn34d	952.315789	642	0	379	712	491	444	1194	782	244	162	0	185	2138	2327	2598	2377	1192	929	1298	0
Npas4	914.052632	1205	1321	0	0	337	214	2269	2613	256	383	0	492	1330	1107	378	708	1187	1643	1924	0
Ank1	846.473684	1308	185	0	0	896	610	2012	2294	210	202	0	437	1172	1008	343	748	1185	1434	2039	0
Prss56	826.526316	260	181	0	0	1235	819	1630	1458	475	728	408	1350	829	611	272	575	1118	1668	2087	0
Anxa1	773.263158	1065	205	0	0	228	139	2452	2548	123	239	0	204	1153	1152	512	723	1062	1272	1615	0
Nudt13	770.105263	1887	211	0	0	781	528	1757	2063	558	477	161	1097	1050	818	338	940	768	505	693	0
Emp3	768.894737	972	338	0	0	556	444	1872	1759	0	0	0	278	1262	772	525	1054	1159	1667	1951	0
Ccdc114	768.894737	972	338	0	0	556	444	1872	1759	0	0	0	278	1262	772	525	1054	1159	1667	1951	0
Plec	758.789474	703	163	0	0	1078	712	1815	1717	230	356	171	454	603	642	247	595	1368	1604	1959	0
Stk40	750.052632	1919	270	0	0	423	326	1438	1885	161	292	101	596	839	818	337	681	909	1381	1875	0
Hrob	741.157895	267	0	0	0	435	389	1865	2310	396	492	273	1011	905	739	442	635	698	1350	1875	0
Kpna1	729.736842	676	399	458	284	154	0	962	856	0	0	0	0	1305	951	1535	1706	1590	1458	1531	0
Dhrs9	724.210526	1353	204	0	0	702	718	1197	2093	438	405	0	352	461	264	310	488	1165	1572	2038	0
Rnh1	704.210526	991	268	0	0	880	818	1994	2218	518	484	235	776	807	498	479	598	472	546	798	0
AI413582	703.368421	1271	330	0	0	852	768	1837	1689	347	354	0	515	580	815	181	497	589	1139	1600	0
S100a3	696.157895	1365	151	0	0	562	673	1893	1890	148	304	0	208	975	870	170	487	991	1226	1314	0
Lmna	689.210526	603	0	0	0	678	401	1691	2046	588	564	180	749	765	1131	363	698	556	850	1232	0
Slc17a8	678.526316	649	0	0	0	607	593	1742	1878	526	314	397	1448	483	460	299	404	329	1247	1516	0
Spag9	678.421053	583	175	0	0	1061	779	1696	1721	577	515	302	1174	474	457	185	437	549	933	1272	0
Ninj2	678.052632	1341	294	0	0	533	766	1372	1289	298	290	0	527	671	661	431	774	872	1201	1563	0
Trib1	666.368421	1533	332	0	0	763	499	2146	2364	273	201	0	332	570	442	309	733	626	755	783	0
Cavin1	665.631579	1548	261	0	0	567	553	2129	2239	0	0	0	544	872	724	377	834	799	507	693	0
Thy1	662.421053	289	0	0	0	504	415	1769	2204	0	0	0	0	1327	1075	406	630	665	1557	1745	0
Ndst1	656.842105	340	208	0	0	626	588	1896	1950	521	429	0	309	540	446	300	685	638	1386	1618	0
S100a2	649.578947	480	151	0	0	562	673	1893	1890	148	304	0	208	975	870	170	487	991	1226	1314	0
Wdfy2	647.105263	1821	254	0	0	125	0	1225	1883	226	186	0	141	906	928	399	570	757	1151	1723	0
Dot1l	637.263158	436	0	0	0	982	1004	1014	1028	554	497	248	824	488	582	271	516	1018	1158	1488	0
Rtn4	637.157895	440	196	0	0	519	598	1565	1856	155	89	0	196	1204	904	417	661	510	1269	1527	0
Ticam1	634.052632	1334	0	0	0	276	167	1755	1548	294	260	134	458	685	658	333	496	756	1299	1594	0
Mideas	629.157895	1642	310	0	0	0	92	1722	1690	258	193	0	445	683	591	278	578	749	1297	1426	0
Emp1	620.157895	439	196	0	0	1220	1278	1042	1177	479	631	118	597	400	460	243	300	416	1229	1558	0
Mtmr11	617.842105	775	0	0	0	374	316	1568	1775	295	265	0	449	702	796	154	468	678	1288	1836	0
Rara	614.368421	1248	0	0	0	575	372	1736	1688	327	315	231	641	238	198	219	484	878	1094	1429	0
Htra4	605.473684	661	0	0	0	230	236	1580	1422	256	244	0	307	571	348	341	616	1224	1563	1905	0
Dynlt1b	587.315789	1181	0	0	0	0	0	2170	2161	0	0	0	237	1506	1816	672	1111	0	0	305	0
Rbm25	584.684211	1238	0	0	0	102	0	1256	996	158	212	0	417	583	506	408	487	1139	1593	2014	0
Nt5dc3	582.736842	1105	0	0	0	285	108	2389	2203	160	142	0	0	877	829	213	438	494	723	1106	0
