Target_genes	Glis3|Average	SRX1175992|Pancreatic_alpha_cells	SRX3146272|Thyroid_Gland	STRING
Cldn34d	492.5	559	426	0
Tcstv3	439.0	406	472	0
Oasl1	315.0	630	0	0
Olfr806	221.0	442	0	0
Brox	207.0	297	117	0
Aida	207.0	297	117	0
Gm20594	198.0	396	0	0
Vmn2r102	195.5	391	0	0
Asmt	183.0	0	366	0
Wwox	176.0	352	0	0
Abhd6	176.0	352	0	0
Esr1	141.5	283	0	0
Csf2ra	141.5	283	0	0
Tmem125	132.0	158	106	0
Cdh12	132.0	264	0	0
Erdr1	115.5	231	0	0
Kpna1	109.0	218	0	0
Ankar	91.0	182	0	0
Vmn2r4	84.5	169	0	0
Neurog3	0.0	0	0	155
