Target_genes	Hes1|Average	SRX1550525|Macrophages	SRX1550526|Macrophages	STRING
Brox	1866.5	1899	1834	0
Aida	1866.5	1899	1834	0
Tcstv3	1593.0	1513	1673	0
Il6ra	1565.0	1472	1658	0
Mbd3	1508.0	1452	1564	0
Cldn34d	1400.0	1374	1426	0
Angptl6	1372.0	1422	1322	0
Maf	1326.5	1349	1304	0
Prep	1316.5	1645	988	0
Ddhd2	1305.5	1053	1558	0
Trim36	1293.0	1540	1046	0
Sh2b3	1280.5	1251	1310	0
Mapk6	1264.0	1076	1452	0
Spred2	1263.5	1152	1375	0
Fam3c	1258.5	1518	999	0
Rab6a	1249.0	1150	1348	0
Clptm1l	1227.5	1087	1368	0
Smad1	1213.5	1219	1208	0
Slc25a32	1213.5	1252	1175	0
Dcaf13	1213.5	1252	1175	0
Azin1	1213.0	1139	1287	0
Tigd5	1210.5	1047	1374	0
Eef1d	1210.5	1047	1374	0
Rnf19b	1204.0	1384	1024	0
Ppp1r3e	1191.0	1172	1210	0
Tmem42	1188.5	1109	1268	0
Slc16a6	1188.5	1264	1113	0
Arsg	1188.5	1264	1113	0
Utf1	1178.0	1149	1207	0
Ascc3	1175.0	1179	1171	0
Myo1b	1157.0	1058	1256	0
Fbxl4	1157.0	1112	1202	0
Stambpl1	1155.0	1207	1103	0
Cyth1	1147.5	1572	723	0
Enc1	1145.5	1101	1190	0
Tmem65	1139.5	1112	1167	0
Polg	1127.5	1147	1108	0
Trim37	1127.0	1099	1155	0
Mcur1	1123.0	1380	866	0
Slc25a25	1117.5	1136	1099	0
Naif1	1117.5	1136	1099	0
H1f0	1103.5	1056	1151	0
Gcat	1103.5	1056	1151	0
Fbxl22	1095.0	1007	1183	0
Trim65	1082.0	1115	1049	0
Pdia3	1072.5	998	1147	0
Catsper2	1072.5	998	1147	0
Rc3h1	1071.5	1165	978	0
Smarca2	1056.5	990	1123	0
Trpm7	1054.5	971	1138	0
Plekho1	1054.0	1184	924	0
Rpl10a	1045.5	983	1108	0
Phospho1	1043.0	980	1106	0
Nampt	1038.5	1064	1013	0
Runx3	1024.0	1166	882	0
Mef2a	1023.5	1044	1003	0
Gne	1013.5	924	1103	0
Cbfb	1006.0	1084	928	0
Foxe3	1005.5	1434	577	0
Map3k2	1001.5	858	1145	0
Usp34	1000.5	1042	959	0
Elf2	997.5	1006	989	0
Ccny	991.5	1247	736	0
Ier5	990.0	1064	916	0
Tmem165	989.0	1054	924	0
Pim1	989.0	1137	841	0
Itgav	989.0	991	987	0
Lrrc8b	988.0	1037	939	0
Atp1b3	983.0	949	1017	0
Mbnl1	981.5	930	1033	0
Ciart	979.0	916	1042	0
Hes7	974.5	996	953	0
Aloxe3	974.5	996	953	0
Arpc2	968.5	969	968	0
Ppp1r9b	966.5	849	1084	0
Noxo1	966.5	1007	926	0
Gfer	966.5	1007	926	0
Klhl21	964.5	997	932	0
Ywhah	957.0	1516	398	0
Mios	957.0	964	950	0
Fam162a	953.5	1047	860	0
Ccdc58	953.5	1047	860	0
Crtc1	952.5	856	1049	0
Ldb1	951.0	916	986	0
Rbpj	949.0	1139	759	0
Ivns1abp	946.0	850	1042	0
Ddi2	945.5	1208	683	0
Tob1	943.5	971	916	0
Ankle2	943.5	951	936	0
Tprkb	938.5	917	960	0
Nat8f1	938.5	917	960	0
Trmt2a	928.0	1000	856	0
Ranbp1	928.0	1000	856	0
Raly	923.5	926	921	0
Ern1	922.5	1439	406	0
Shld2	921.0	1057	785	0
Glud1	921.0	1057	785	0
Nfatc1	916.0	966	866	0
Bcar3	906.5	984	829	0
Birc2	905.5	862	949	0
Trim35	901.5	853	950	0
Map4k5	900.5	777	1024	0
Atl1	900.5	777	1024	0
Lrrfip2	898.0	877	919	0
Sh3glb1	897.0	934	860	0
Znrf1	895.5	872	919	0
Piezo1	891.0	1061	721	0
Fbxo6	891.0	869	913	0
Colgalt1	890.0	987	793	0
Pgrmc2	881.0	810	952	0
Abr	881.0	993	769	0
Gtf3a	876.5	814	939	0
Wdhd1	873.0	759	987	0
Socs4	873.0	759	987	0
