Target_genes	Hoxa5|Average	SRX25508380|Spinal_Cord	STRING
Tcstv3	1827.0	1827	0
Cldn34d	1298.0	1298	0
Tmem125	1051.0	1051	0
Brox	972.0	972	0
Aida	972.0	972	0
Gm11567	952.0	952	0
Rimbp3	897.0	897	0
Kpna1	831.0	831	0
Gm11568	810.0	810	0
Krtap9-1	742.0	742	0
Gm11559	708.0	708	0
Asmt	665.0	665	0
Cd163l1	639.0	639	0
Tchh	622.0	622	0
Zfp420	601.0	601	0
Vmn1r2	585.0	585	0
Nkap	554.0	554	0
Gm11569	547.0	547	0
Gm11554	547.0	547	0
Gm10318	511.0	511	0
Krtap1-3	510.0	510	0
Gm11213	501.0	501	0
Sspn	488.0	488	0
Tspear	485.0	485	0
Gm3250	485.0	485	0
Gm19402	485.0	485	0
Il31ra	436.0	436	0
Setd1a	422.0	422	0
Krtap16-1	414.0	414	0
Krtap4-9	406.0	406	0
Krtap4-8	406.0	406	0
Brpf1	389.0	389	0
Gm11563	388.0	388	0
Krtap4-13	368.0	368	0
Ing3	362.0	362	0
Krtap4-6	347.0	347	0
Gm9639	340.0	340	0
Gm19668	340.0	340	0
Gm3238	324.0	324	0
Gm11596	322.0	322	0
Gm11595	311.0	311	0
Calm3	305.0	305	0
Slc37a1	276.0	276	0
Krtap4-2	271.0	271	0
Gm11564	264.0	264	0
Gm3233	260.0	260	0
H2bu2	258.0	258	0
Fcgr3	257.0	257	0
Abhd6	254.0	254	0
Gm3285	251.0	251	0
Krtap9-5	249.0	249	0
Sfi1	247.0	247	0
1600014C10Rik	247.0	247	0
Coq7	245.0	245	0
H4f16	239.0	239	0
H2aj	239.0	239	0
Fbxl5	239.0	239	0
Gm2237	237.0	237	0
Baz1b	228.0	228	0
Krtap4-7	224.0	224	0
Gm9508	224.0	224	0
Smarca5	222.0	222	0
Tbc1d8	221.0	221	0
Osgin1	218.0	218	0
Krtap10-4	213.0	213	0
Ccng1	213.0	213	0
Gm9507	212.0	212	0
Gm2696	212.0	212	0
Gm4559	211.0	211	0
Zfp397	206.0	206	0
Krtap5-1	206.0	206	0
Pdp1	203.0	203	0
Adnp	203.0	203	0
Col16a1	201.0	201	0
Bcl7a	201.0	201	0
Tia1	198.0	198	0
Ccar1	197.0	197	0
Ttc3	196.0	196	0
Pigp	196.0	196	0
Ube2cbp	193.0	193	0
Rfc4	193.0	193	0
Dop1a	193.0	193	0
Ccdc171	191.0	191	0
Wdr12	190.0	190	0
Krt8	190.0	190	0
Carf	190.0	190	0
Shq1	189.0	189	0
Gm4981	188.0	188	0
Dux	188.0	188	0
Gm4307	187.0	187	0
Gm4305	187.0	187	0
Gm4303	187.0	187	0
Narf	185.0	185	0
Sox11	184.0	184	0
Paip2	184.0	184	0
H3f3b	184.0	184	0
Trmo	183.0	183	0
Rap2a	181.0	181	0
Eef1a1	181.0	181	0
Eif4a1	180.0	180	0
2300003K06Rik	180.0	180	0
Trim8	179.0	179	0
Sox2	179.0	179	0
Snrnp70	179.0	179	0
8030462N17Rik	179.0	179	0
Zfp963	178.0	178	0
Tcerg1	177.0	177	0
Pcbp1	174.0	174	0
Sptbn2	173.0	173	0
Pggt1b	173.0	173	0
Dcaf11	173.0	173	0
Dipk2a	172.0	172	0
Krtap10-10	171.0	171	0
Morf4l1	170.0	170	0
Fbxl20	170.0	170	0
Cutc	170.0	170	0
Cox15	170.0	170	0
Lrig2	169.0	169	0
Krtap9-3	169.0	169	0
H4c18	169.0	169	0
H4bc24	169.0	169	0
H2bc23	169.0	169	0
H2ac24	169.0	169	0
H2ac23	169.0	169	0
Gm11938	169.0	169	0
Hnrnpm	167.0	167	0
Rtn4	165.0	165	0
H3c7	163.0	163	0
H2bc9	163.0	163	0
Rbm33	162.0	162	0
Gtf2i	162.0	162	0
Nf1	161.0	161	0
Hoxb2	161.0	161	0
Gpr142	161.0	161	0
Gm3448	161.0	161	0
Gm3417	161.0	161	0
Calm1	161.0	161	0
Btbd17	161.0	161	0
9030025P20Rik	161.0	161	0
Ss18l2	160.0	160	0
Osbpl9	160.0	160	0
Lck	160.0	160	0
Fam167b	160.0	160	0
Calm2	160.0	160	0
Slc10a7	159.0	159	0
Rbmxl1	159.0	159	0
Tcte3	158.0	158	0
Mpp7	158.0	158	0
Gm3435	158.0	158	0
Ebag9	158.0	158	0
H4c3	156.0	156	0
H1f6	156.0	156	0
Sh3bp5	155.0	155	0
Sfswap	154.0	154	0
Abhd18	154.0	154	0
Mphosph9	153.0	153	0
2810006K23Rik	153.0	153	0
Hlcs	152.0	152	0
Insig2	151.0	151	0
Rbm39	150.0	150	0
Jpt1	150.0	150	0
Pkm	149.0	149	0
Kansl2	149.0	149	0
Txndc16	148.0	148	0
Gpr137c	148.0	148	0
Gm51573	148.0	148	0
Snx11	147.0	147	0
Phyhipl	147.0	147	0
Ikbip	147.0	147	0
Cyb561d1	147.0	147	0
Calr	147.0	147	0
Bicd1	147.0	147	0
Apaf1	147.0	147	0
Ankrd40	145.0	145	0
Serac1	144.0	144	0
Gtf2h5	144.0	144	0
Elp1	144.0	144	0
Ankrd52	144.0	144	0
Abitram	144.0	144	0
Tuba1a	143.0	143	0
Rhobtb3	143.0	143	0
Mapk8ip3	143.0	143	0
Ifrd1	143.0	143	0
Fbxl14	143.0	143	0
Rpl23	142.0	142	0
Prr36	142.0	142	0
Pnpla7	142.0	142	0
Mrpl41	142.0	142	0
Naca	141.0	141	0
Kcnj12	141.0	141	0
Gm9736	141.0	141	0
Fubp1	141.0	141	0
Dnajb4	141.0	141	0
Cltc	141.0	141	0
Tnrc6c	140.0	140	0
Gm10710	140.0	140	0
Dchs2	140.0	140	0
Tmem94	139.0	139	0
Krt85	139.0	139	0
Krt83	139.0	139	0
Kmt5b	139.0	139	0
Zfp346	138.0	138	0
Uimc1	138.0	138	0
Zfp821	137.0	137	0
Vgll3	137.0	137	0
Rrm2b	137.0	137	0
Rmi1	137.0	137	0
Plpp1	137.0	137	0
Ist1	137.0	137	0
Hnrnpk	137.0	137	0
Hjurp	137.0	137	0
Apba1	137.0	137	0
A730008H23Rik	137.0	137	0
Kansl1	136.0	136	0
Megf9	135.0	135	0
BC005537	135.0	135	0
Armh4	135.0	135	0
Zfp157	134.0	134	0
Sap30	134.0	134	0
H4c11	134.0	134	0
Trim35	133.0	133	0
Trap1	133.0	133	0
Scrt1	133.0	133	0
Ivns1abp	133.0	133	0
Ddx50	133.0	133	0
Ctss	133.0	133	0
Mrps36	131.0	131	0
Hmgb2	131.0	131	0
Epc1	131.0	131	0
Tuba1c	130.0	130	0
Ppia	130.0	130	0
Hoxb4	130.0	130	0
Cds2	130.0	130	0
Anapc5	130.0	130	0
Slirp	129.0	129	0
Nrp	129.0	129	0
Nr2f1	129.0	129	0
Nfx1	129.0	129	0
H4c8	129.0	129	0
H3c8	129.0	129	0
H2ac10	129.0	129	0
Cat	129.0	129	0
Alkbh1	129.0	129	0
Sv2c	128.0	128	0
Rhob	128.0	128	0
Ap3m1	128.0	128	0
Adk	128.0	128	0
Zfp60	127.0	127	0
Sorcs1	127.0	127	0
Rpl21	127.0	127	0
Pcmtd1	127.0	127	0
Nefl	127.0	127	0
Mex3b	127.0	127	0
Med17	127.0	127	0
Mboat2	127.0	127	0
Krtap5-4	127.0	127	0
Hagh	127.0	127	0
Gtf2b	127.0	127	0
Gm3636	127.0	127	0
Gar1	127.0	127	0
Fahd1	127.0	127	0
Chd9	127.0	127	0
Cabp1	127.0	127	0
Atp5e	127.0	127	0
Armc8	127.0	127	0
Rbm20	126.0	126	0
Jund	126.0	126	0
Iqcn	126.0	126	0
Fchsd2	126.0	126	0
Arnt	126.0	126	0
Zbtb21	125.0	125	0
Mrps18a	125.0	125	0
L3hypdh	125.0	125	0
Jkamp	125.0	125	0
Gid4	125.0	125	0
Clk4	125.0	125	0
BC049762	125.0	125	0
Arhgap19	125.0	125	0
Prcp	124.0	124	0
Kdm8	124.0	124	0
Hexim2	124.0	124	0
Gas2	124.0	124	0
Fancf	124.0	124	0
Ddias	124.0	124	0
Cwc22	124.0	124	0
Caprin1	124.0	124	0
Atf4	124.0	124	0
Chn1	123.0	123	0
Lnpep	122.0	122	0
Lemd3	122.0	122	0
Actr8	122.0	122	0
Washc2	121.0	121	0
Tspyl4	121.0	121	0
Rpl27	121.0	121	0
Mrgpre	121.0	121	0
Lmnb1	121.0	121	0
Kmt2e	121.0	121	0
Ddx17	121.0	121	0
Ywhaz	120.0	120	0
Stard6	120.0	120	0
Snrnp35	120.0	120	0
Rrp15	120.0	120	0
Rilpl2	120.0	120	0
Psmd12	120.0	120	0
Cdh2	120.0	120	0
4930503L19Rik	120.0	120	0
Pop7	119.0	119	0
Mapre2	119.0	119	0
Hoxb8	119.0	119	0
Hoxb7	119.0	119	0
H2bc4	119.0	119	0
H2ac6	119.0	119	0
Dock9	119.0	119	0
Cntrl	119.0	119	0
Arhgap20	119.0	119	0
Trit1	118.0	118	0
Sh3gl2	118.0	118	0
Sap130	118.0	118	0
Gtpbp8	118.0	118	0
Grin2b	118.0	118	0
Edrf1	118.0	118	0
Bcl2l1	118.0	118	0
Uqcrh	117.0	117	0
Spred1	117.0	117	0
Pou3f2	117.0	117	0
Pafah1b1	117.0	117	0
Mex3a	117.0	117	0
Lrrc41	117.0	117	0
Kctd8	117.0	117	0
Emb	117.0	117	0
Cd47	117.0	117	0
C2cd5	117.0	117	0
Anapc10	117.0	117	0
Abce1	117.0	117	0
1700066M21Rik	117.0	117	0
Tmem267	116.0	116	0
Stpg2	116.0	116	0
Srsf5	116.0	116	0
Mex3d	116.0	116	0
Krtap1-5	116.0	116	0
Krtap1-4	116.0	116	0
Id4	116.0	116	0
Ddit4	116.0	116	0
Cops3	116.0	116	0
Btbd9	116.0	116	0
Xrn2	115.0	115	0
Ubqln2	115.0	115	0
Slc20a1	115.0	115	0
Pou2f1	115.0	115	0
Ddx5	115.0	115	0
Cep95	115.0	115	0
Rbm14	114.0	114	0
Inip	114.0	114	0
Gm21992	114.0	114	0
Adamtsl2	114.0	114	0
Actl6a	114.0	114	0
Cd24a	113.0	113	401
Tra2b	113.0	113	0
Skap2	113.0	113	0
Selenot	113.0	113	0
Rsrp1	113.0	113	0
Nceh1	113.0	113	0
Lrfn2	113.0	113	0
Hspa8	113.0	113	0
H3c4	113.0	113	0
H2bc8	113.0	113	0
H2bc7	113.0	113	0
H2ac8	113.0	113	0
H2ac7	113.0	113	0
Atoh8	113.0	113	0
Rpl9	112.0	112	0
Pou3f3	112.0	112	0
Mtch2	112.0	112	0
Lias	112.0	112	0
Znhit1	111.0	111	0
Skp2	111.0	111	0
Plod3	111.0	111	0
Msi1	111.0	111	0
Lmbrd2	111.0	111	0
H2bc12	111.0	111	0
H2ac12	111.0	111	0
Gdap1l1	111.0	111	0
Copb2	111.0	111	0
Cep68	111.0	111	0
Atxn10	111.0	111	0
Tubb4b	110.0	110	0
Kmt2d	110.0	110	0
Gm9222	110.0	110	0
Fam120a	110.0	110	0
Efna5	110.0	110	0
Drg1	110.0	110	0
Cdc25a	110.0	110	0
Adam19	110.0	110	0
Gm51598	109.0	109	0
Cdk5r1	109.0	109	0
Ascl1	109.0	109	0
Vgll4	108.0	108	0
Tsc1	108.0	108	0
Stat1	108.0	108	0
Zfp672	107.0	107	0
Vcp	107.0	107	0
Ttc14	107.0	107	0
Septin9	107.0	107	0
Sema4c	107.0	107	0
Rsph3a	107.0	107	0
Rps27a	107.0	107	0
Mturn	107.0	107	0
Mrpl4	107.0	107	0
Mef2a	107.0	107	0
Mctp1	107.0	107	0
Map3k7	107.0	107	0
Ltv1	107.0	107	0
Larp1	107.0	107	0
Kdm4c	107.0	107	0
Kdm3a	107.0	107	0
Heatr6	107.0	107	0
Clhc1	107.0	107	0
Atrx	107.0	107	0
Wdr45b	106.0	106	0
Tubb2a	106.0	106	0
Rps12	106.0	106	0
Ppm1l	106.0	106	0
Nup54	106.0	106	0
Gabarapl1	106.0	106	0
Vps16	105.0	105	0
Trim37	105.0	105	0
Thap1	105.0	105	0
Ptp4a2	105.0	105	0
Pced1a	105.0	105	0
Nudcd3	105.0	105	0
