Target_genes	Hoxc8|Average	SRX7416178|Embryoid_Bodies	SRX7416179|Embryoid_Bodies	STRING
Wt1	3311.5	3741	2882	0
Gpr84	3190.5	3177	3204	0
Hoxc6	3188.0	3465	2911	0
Hoxc5	3188.0	3465	2911	0
Map4k5	3136.0	3517	2755	0
Atl1	3136.0	3517	2755	0
Mmrn1	2968.0	3353	2583	0
Prdm13	2960.0	3487	2433	0
Ackr4	2930.0	3267	2593	0
Pitpnc1	2897.5	3306	2489	0
Hdx	2882.5	3266	2499	0
Tcim	2702.0	3067	2337	0
Hoxa4	2627.5	2898	2357	0
Cdh7	2579.0	2892	2266	0
Slc5a12	2543.0	2974	2112	0
Pdlim5	2495.0	2564	2426	0
D1Pas1	2383.0	2752	2014	0
Slc9a9	2310.5	2794	1827	0
F11r	2280.0	2656	1904	0
Mllt3	2253.0	2431	2075	0
Ptn	2245.5	2661	1830	0
Sox2	2187.0	2850	1524	0
Nkx6-1	2186.5	2829	1544	0
Tle3	2132.5	2605	1660	0
Hif1a	2114.0	2595	1633	0
P4ha3	2100.5	2821	1380	0
Tpbg	2091.0	2933	1249	0
Smad1	2041.5	2720	1363	0
Dcbld2	2037.5	2535	1540	0
Mapre1	2010.5	2568	1453	0
Olfr513	2004.5	2324	1685	0
C1ql3	1979.0	2631	1327	0
Slc37a3	1969.0	2608	1330	0
Phox2b	1968.0	2399	1537	0
Spink1	1919.0	2575	1263	0
Trib2	1907.0	2705	1109	0
Synpo	1896.0	2340	1452	0
Pakap	1892.5	2693	1092	0
Ppp2r2d	1890.5	2146	1635	0
Mapk1ip1	1890.5	2146	1635	0
Hoxc4	1843.5	2090	1597	0
Ezh2	1824.0	2455	1193	0
Fmo2	1821.5	1921	1722	0
Gm973	1801.5	2152	1451	0
Htr3b	1796.5	2300	1293	0
Crybg3	1792.5	2265	1320	0
Skil	1750.5	1944	1557	0
Pgk1	1749.0	3292	206	0
Fau	1724.5	2277	1172	0
Baz2b	1714.0	1826	1602	0
Cemip2	1704.0	2219	1189	0
Atg4c	1703.0	2321	1085	0
Fam181a	1688.0	1829	1547	0
Phc2	1653.5	1983	1324	0
Drd2	1652.5	1752	1553	0
Thrb	1652.0	2151	1153	0
Mylk	1613.5	2016	1211	0
Tmem268	1598.5	1834	1363	0
Mapt	1588.5	1876	1301	0
Ascl1	1569.0	2517	621	0
Mkrn3	1566.5	2034	1099	0
Gnat3	1564.5	1710	1419	0
Ptger2	1563.0	2149	977	0
Elavl4	1557.5	1762	1353	0
Tph2	1556.0	2253	859	0
Dcun1d1	1545.5	1740	1351	0
Cldn34d	1494.5	1322	1667	0
Serpinb8	1489.5	1691	1288	0
Sepsecs	1484.0	2379	589	0
Rprml	1467.0	1944	990	0
Galr3	1448.5	1828	1069	0
Ppp1r15b	1436.0	2375	497	0
Tbpl1	1434.5	1879	990	0
Pbx1	1431.0	1833	1029	0
Tbc1d9	1429.0	1832	1026	0
Nin	1422.0	1569	1275	0
Spp2	1419.0	1743	1095	0
Lrrn3	1366.0	1497	1235	0
Dach1	1349.5	1692	1007	0
Atad2b	1347.5	1528	1167	0
Gpc6	1342.5	1801	884	0
Rab30	1330.0	1709	951	0
Erbin	1321.5	1879	764	0
Hoxb6	1308.5	1545	1072	0
Hoxb5	1308.5	1545	1072	0
Narf	1301.0	1864	738	0
Wdr18	1300.5	1686	915	0
Hapln1	1299.5	1739	860	0
Zfp503	1294.5	1600	989	0
Dnah7a	1289.0	1474	1104	0
B3galt1	1288.0	1695	881	0
Hoxb4	1286.5	1443	1130	0
Hoxb3	1286.5	1443	1130	0
St8sia2	1277.5	1720	835	0
Map6	1276.5	1873	680	0
Ccn1	1276.5	1581	972	0
Notch1	1269.5	1709	830	0
Muc6	1263.5	1079	1448	0
Scube2	1257.0	1492	1022	0
Stxbp5	1256.5	1659	854	0
Bend4	1243.5	1965	522	0
Ormdl3	1242.0	1360	1124	0
Dusp6	1240.5	1462	1019	0
Myh2	1227.0	1774	680	0
Schip1	1225.0	1637	813	0
St8sia4	1213.5	1517	910	0
Hsdl2	1203.0	1632	774	0
Ksr1	1199.5	1549	850	0
Golgb1	1191.5	1630	753	0
Onecut1	1191.0	1486	896	0
Sp9	1183.0	1703	663	0
Epn2	1180.0	1657	703	0
Gm14137	1177.0	1448	906	0
Gchfr	1177.0	1448	906	0
Zc3h12c	1173.5	1325	1022	0
Dph5	1173.0	1436	910	0
Bhlhe22	1171.5	1239	1104	0
Asic5	1171.5	1566	777	0
Exoc6b	1170.5	1577	764	0
Arfip1	1165.5	1862	469	0
Rasal2	1142.0	1280	1004	0
Col4a2	1141.5	1370	913	0
Col4a1	1141.5	1370	913	0
Mbp	1139.0	1475	803	0
Nkx2-9	1137.0	1049	1225	0
Tmem178b	1136.0	1186	1086	0
Ccno	1127.0	1304	950	0
Hoxa6	1126.5	1621	632	0
Hoxa5	1126.5	1621	632	0
Pla2g2d	1125.0	1333	917	0
Rbm20	1124.0	1365	883	0
Crp	1115.5	1678	553	0
Dact2	1103.0	1436	770	0
Gm4791	1101.0	1447	755	0
Rnf220	1099.5	1361	838	0
Vwde	1097.0	1244	950	0
Gja5	1089.5	1092	1087	0
Fam174a	1087.5	1197	978	0
Hibadh	1087.0	1612	562	0
Aven	1087.0	1301	873	0
Hsp90b1	1081.0	1409	753	0
Gm15517	1079.5	1339	820	0
Krt222	1076.5	1440	713	0
Arrdc4	1076.0	1278	874	0
Cul3	1073.5	1523	624	0
Angpt1	1071.0	1298	844	0
Kcne1l	1061.0	1319	803	0
Tcstv3	1058.0	193	1923	0
Zfhx4	1055.0	1462	648	0
Dennd11	1054.0	1222	886	0
Lama5	1050.0	1435	665	0
Prkag2	1045.5	1187	904	0
Hoxd4	1033.5	1576	491	0
Runx1t1	1027.5	1290	765	0
Oacyl	1026.0	1308	744	0
Frem1	1025.5	1448	603	0
Cbfa2t3	1023.0	1475	571	0
LTO1	1017.5	1387	648	0
Shisa3	1017.0	1357	677	0
Dbx1	1016.5	1198	835	0
Arid1b	1015.5	1455	576	0
Degs1	1013.0	1206	820	0
Glrp1	1009.5	1354	665	0
Map4	999.0	1319	679	0
Ank2	996.5	1216	777	0
Fgd4	990.5	1163	818	0
Fbln1	989.5	1291	688	0
Marchf10	976.0	1188	764	0
Sstr2	975.0	1076	874	0
Tmem156	970.5	1389	552	0
Kpna2	968.0	1112	824	0
Epha8	963.0	1405	521	0
Fcrl5	962.5	1445	480	0
Slc39a6	958.0	1351	565	0
Elp2	958.0	1351	565	0
Tle1	955.5	1198	713	0
Rpl3	954.0	1092	816	0
Nedd9	950.5	1067	834	0
Fzd8	935.5	1277	594	0
Tnfsf8	932.5	1314	551	0
Samsn1	928.0	965	891	0
Hhat	923.5	1277	570	0
Elf5	922.5	1000	845	0
Ubn2	920.0	1499	341	0
Mrps33	908.0	1105	711	0
Fam20c	905.0	1076	734	0
1810010H24Rik	903.5	1123	684	0
Pou3f3	901.0	1258	544	0
Rag1	899.5	1163	636	0
Col6a6	898.0	1172	624	0
Dlc1	895.5	1134	657	0
Acot7	895.5	1309	482	0
Map2k6	893.5	1279	508	0
Ntn1	892.5	1122	663	0
Cacna1c	892.0	1012	772	0
Elmod1	889.5	1290	489	0
Plppr1	889.0	888	890	0
Stk32a	882.5	1157	608	0
Bahcc1	882.0	1178	586	0
4430402I18Rik	879.0	1243	515	0
Ssh2	878.5	1139	618	0
Cpvl	875.0	1231	519	0
Abcc4	872.0	1039	705	0
Tmem87b	869.0	1059	679	0
Evpl	865.5	1254	477	0
Dab1	862.5	1246	479	0
Gja10	861.5	979	744	0
Dmxl2	858.0	1233	483	0
Snca	856.5	1198	515	0
Itpk1	856.0	1207	505	0
Entpd5	853.5	1106	601	0
Bbof1	853.5	1106	601	0
Foxp1	852.0	1129	575	0
Esrrg	850.5	1203	498	0
Zdhhc13	847.0	1151	543	0
Xrcc4	841.5	1299	384	0
Tmem167	841.5	1299	384	0
Rragd	839.0	1278	400	0
Hoxa2	839.0	1049	629	0
Hoxa1	839.0	1049	629	0
Nkx1-2	834.5	1161	508	0
Ndnf	834.0	1146	522	0
Uchl4	831.0	1075	587	0
Hhip	829.5	966	693	0
Nfil3	828.0	1292	364	0
Sncb	827.0	1174	480	0
Zkscan1	822.0	1135	509	0
Fam110b	821.5	1318	325	0
Spink7	820.0	1001	639	0
H3c8	817.5	908	727	0
H2bc9	817.5	908	727	0
H2ac10	817.5	908	727	0
Srbd1	814.0	1051	577	0
Usp35	812.0	1185	439	0
Kctd21	812.0	1185	439	0
Alyref2	811.5	902	721	0
Akap6	811.0	1008	614	0
Spag9	810.0	931	689	0
Plxnb2	807.5	834	781	0
Arfgef1	804.0	1087	521	0
Cma1	799.0	951	647	0
Actg1	791.5	1008	575	0
6820408C15Rik	787.5	1126	449	0
Pigk	786.0	1106	466	0
Poglut3	782.0	880	684	0
Cacng4	772.0	1160	384	0
Racgap1	771.5	1007	536	0
Maco1	771.0	1208	334	0
Flrt1	768.5	1184	353	0
Csrnp3	768.0	780	756	0
Asb4	766.5	1061	472	0
Zmynd11	765.5	832	699	0
Nkx2-2	765.5	993	538	0
Brox	763.5	669	858	0
Aida	763.5	669	858	0
Sgpp1	761.5	939	584	0
Mfsd10	761.5	1123	400	0
Tnfsf13b	760.0	1143	377	0
Prdm12	759.5	840	679	0
Rere	758.0	999	517	0
St7	755.0	1129	381	0
Trim2	753.5	1077	430	0
Gm10509	753.0	1017	489	0
Ddx19b	751.0	1082	420	0
Zfp2	749.5	1206	293	0
Cox7a2l	749.5	947	552	0
Dbx2	747.5	1010	485	0
St3gal2	744.0	1070	418	0
Kpna1	738.5	754	723	0
Arpp21	738.0	1166	310	0
Ythdf3	737.5	1093	382	0
Arhgap15	737.5	1025	450	0
Foxa2	727.0	1454	0	0
Kcng4	725.5	1069	382	0
Ppp1ccb	724.0	809	639	0
Scgb2a2	722.0	1054	390	0
Dct	721.5	835	608	0
Gnb5	718.0	896	540	0
Slc14a2	717.5	736	699	0
Slc38a2	710.0	865	555	0
Lmx1b	709.5	1419	0	0
Grpel2	709.0	928	490	0
Ubl4b	705.0	941	469	0
Vmn2r23	704.5	816	593	0
Esrrb	700.0	828	572	0
Uncx	698.5	737	660	0
Snx15	695.0	952	438	0
Sac3d1	695.0	952	438	0
Nt5c2	694.0	814	574	0
Nell2	691.0	858	524	0
Actr3b	687.5	1053	322	0
Xlr3b	685.5	650	721	0
Vta1	683.5	939	428	0
Mprip	683.5	959	408	0
Nup210	683.0	939	427	0
