Target_genes	Isl1|Average	SRX5360103|E8.25-E9_embryos	SRX2408870|Embryonic_gonad	SRX2408872|Embryonic_gonad	SRX1973054|Islets_of_Langerhans	SRX146883|mESCs,_differentiated	SRX1706950|mESCs,_differentiated	SRX1706951|mESCs,_differentiated	SRX1706956|mESCs,_differentiated	SRX1706957|mESCs,_differentiated	SRX1706963|mESCs,_differentiated	SRX1706964|mESCs,_differentiated	SRX1706972|mESCs,_differentiated	SRX1706973|mESCs,_differentiated	SRX1668835|mESC_derived_cardiac_cells	SRX5360257|mESC_derived_cardiac_cells	SRX5360258|mESC_derived_cardiac_cells	SRX092471|mESC_derived_neural_cells	SRX146882|mESC_derived_neural_cells	SRX1659036|mESC_derived_neural_cells	SRX1659037|mESC_derived_neural_cells	SRX1659038|mESC_derived_neural_cells	SRX1659039|mESC_derived_neural_cells	SRX1030299|Sinoatrial_Node	SRX2480228|Sympathetic_neurons	STRING
Tcstv3	1623.125	1181	1765	1773	1263	2035	2110	2144	1996	2092	2145	2063	2047	2136	2280	1318	2268	1550	1842	766	953	1121	961	879	267	0
Kank1	896.791667	0	0	0	0	0	2784	1400	2724	2776	2087	2594	2478	2247	0	0	101	1879	453	0	0	0	0	0	0	0
Snx18	884.041667	0	516	396	0	0	2406	986	2313	2484	2041	2146	2343	1962	586	0	141	2175	388	185	149	0	0	0	0	0
Cldn34d	846.791667	170	1472	1440	837	374	1404	1156	1224	1514	1563	1588	1329	1636	1855	363	245	0	468	162	137	0	0	380	1006	0
Brox	725.541667	127	1217	1262	630	411	1343	1286	1044	1381	1177	1450	902	1200	1712	667	331	0	543	0	0	0	0	193	537	0
Aida	725.541667	127	1217	1262	630	411	1343	1286	1044	1381	1177	1450	902	1200	1712	667	331	0	543	0	0	0	0	193	537	0
Nfe2	713.708333	0	0	0	0	0	1516	558	1779	2286	1492	2407	2683	2004	0	0	0	1864	113	215	109	0	103	0	0	0
Cars	680.375	0	0	0	0	0	1030	307	1628	1888	1700	1886	2781	2097	0	0	0	2488	177	100	117	130	0	0	0	0
Mcf2	629.125	0	0	0	0	0	2452	1018	1891	2350	815	1999	1827	1639	0	0	0	1026	0	82	0	0	0	0	0	0
Gm4791	625.625	145	0	0	0	981	1126	393	1845	2146	833	1759	2042	1264	0	0	152	918	1152	177	82	0	0	0	0	0
Kcng3	571.333333	0	100	217	0	215	2228	706	1734	2101	877	1920	1406	1275	0	0	208	620	105	0	0	0	0	0	0	0
Krt8	569.333333	164	153	0	0	0	2243	627	1476	2264	422	1766	1460	1011	1389	0	140	549	0	0	0	0	0	0	0	0
Ubxn10	558.0	0	0	0	0	0	1915	871	2149	2424	911	1574	1654	1124	0	0	0	439	331	0	0	0	0	0	0	0
Pla2g2c	558.0	0	0	0	0	0	1915	871	2149	2424	911	1574	1654	1124	0	0	0	439	331	0	0	0	0	0	0	0
Alkbh5	557.791667	0	0	0	0	171	2151	792	1812	2242	453	1850	1891	1452	0	0	147	426	0	0	0	0	0	0	0	0
Abhd6	555.541667	693	682	631	1178	557	323	436	357	302	426	326	353	322	344	1266	884	548	486	666	648	510	771	341	283	0
Olfr806	539.791667	857	684	726	657	530	340	348	341	341	347	324	330	336	272	1439	934	655	527	642	740	543	795	247	0	0
Asf1b	520.333333	0	0	0	0	0	1269	310	1409	2392	449	1805	1950	2001	0	0	0	803	0	100	0	0	0	0	0	0
Frmd4a	507.833333	0	0	0	0	0	1600	503	1565	2096	809	1278	1763	1132	0	0	139	1138	165	0	0	0	0	0	0	0
Kpna1	497.791667	127	1137	1184	814	435	763	480	463	775	939	637	701	671	905	220	254	0	202	129	0	0	0	644	467	0
Sipa1l1	493.375	0	0	0	0	0	628	271	1385	1928	1316	1714	1513	1570	0	0	197	1090	229	0	0	0	0	0	0	0
Nhsl1	467.958333	0	226	346	0	0	2338	752	2216	2401	478	1409	491	339	0	0	0	235	0	0	0	0	0	0	0	0
Zfp879	467.875	0	0	0	0	0	736	200	1310	1568	1273	1372	1822	1789	0	0	0	1159	0	0	0	0	0	0	0	0
Eml1	465.583333	256	0	0	0	0	1580	469	1245	1876	275	1253	1612	1016	0	0	219	802	488	83	0	0	0	0	0	0
Lmo4	461.0	0	206	147	0	132	1462	454	1346	1381	640	1106	902	666	0	0	133	500	144	424	498	462	461	0	0	0
Sepsecs	438.583333	0	191	160	0	0	2346	567	1772	2264	332	1547	675	320	0	0	102	250	0	0	0	0	0	0	0	0
Ypel1	428.875	0	0	0	0	0	1679	618	1078	1813	562	1307	1468	1001	0	0	180	398	189	0	0	0	0	0	0	0
Wwox	424.708333	466	1047	903	323	411	0	180	0	111	0	0	0	79	1855	778	509	540	393	629	697	464	547	261	0	0
Bin2	412.083333	0	0	0	0	0	1823	429	1414	2242	314	1557	852	807	0	0	0	452	0	0	0	0	0	0	0	0
Il31ra	411.25	151	827	848	609	394	651	418	670	773	699	553	541	536	654	300	758	120	165	0	0	0	0	0	203	0
Nt5c2	402.333333	0	287	292	0	623	878	299	973	1151	182	781	1091	776	593	0	270	1041	245	174	0	0	0	0	0	0
Lix1	399.375	0	0	0	0	400	1516	355	1226	1787	229	1142	1347	1009	0	0	0	574	0	0	0	0	0	0	0	0
Shisa5	399.125	0	0	0	0	0	1670	473	1271	1925	285	1612	1228	746	0	0	105	264	0	0	0	0	0	0	0	0
