Target_genes	Klf15|Average	SRX10012505|Liver	SRX10012506|Liver	STRING
Pim3	2832.5	2657	3008	0
Cldn34d	2722.0	2527	2917	0
Mocs1	2480.5	2212	2749	0
Trnt1	2474.0	2238	2710	0
Mat1a	2435.0	2185	2685	0
Brox	2423.0	2351	2495	0
Aida	2423.0	2351	2495	0
Acot1	2377.0	1969	2785	0
Ten1	2262.5	2060	2465	0
Acox1	2262.5	2060	2465	0
Lin52	2254.5	1965	2544	0
Aldh6a1	2254.5	1965	2544	0
Agxt	2207.5	1818	2597	0
Echs1	2192.0	1966	2418	0
Asf1b	2068.5	1913	2224	0
Cbs	2038.0	1704	2372	0
Hspe1	1974.5	1758	2191	0
Hspd1	1974.5	1758	2191	0
Mmut	1965.0	1698	2232	0
Cenpq	1965.0	1698	2232	0
Eef1g	1949.0	1678	2220	0
Hibadh	1937.5	1726	2149	0
Sptssa	1881.5	1727	2036	0
Cth	1842.5	1397	2288	0
Naxd	1839.5	1389	2290	0
Aldh4a1	1812.5	1622	2003	0
Rbm8a	1792.5	1473	2112	0
Kyat3	1791.0	1480	2102	0
Tango2	1780.0	1475	2085	0
Abat	1765.0	1676	1854	0
Gstz1	1763.0	1488	2038	0
Suv39h1	1759.5	1456	2063	0
Rab10	1750.5	1517	1984	0
Aldh2	1745.5	1536	1955	0
Sephs2	1735.5	1470	2001	0
Slc16a5	1707.5	1387	2028	0
Gchfr	1694.5	1504	1885	0
Hint3	1693.5	1364	2023	0
4931414P19Rik	1678.5	1428	1929	0
H2bc21	1659.0	1269	2049	0
H2ac21	1659.0	1269	2049	0
H2ac20	1659.0	1269	2049	0
Gnmt	1639.5	1345	1934	0
Sys1	1630.0	1382	1878	0
Ndrg2	1626.0	1451	1801	0
Bckdhb	1625.5	1397	1854	0
Zfp775	1620.0	1370	1870	0
Slc25a29	1601.0	1411	1791	0
Pcca	1588.0	1358	1818	0
Fah	1577.0	1195	1959	0
Pank1	1576.5	1296	1857	0
Ttc38	1570.5	1239	1902	0
Sfxn2	1564.5	1384	1745	0
Arl3	1564.5	1384	1745	0
Lzts3	1548.0	1066	2030	0
Sesn3	1545.5	1224	1867	0
Ppara	1545.0	1484	1606	0
Arhgef19	1529.0	1240	1818	0
Bcat2	1524.5	1298	1751	0
Lipg	1512.0	1412	1612	0
Acot7	1500.0	1300	1700	0
Ccdc85c	1496.5	1334	1659	0
Gpt	1489.5	1224	1755	0
Gstm1	1472.5	1269	1676	0
Slc25a42	1470.5	1254	1687	0
Os9	1456.0	1320	1592	0
Zfyve21	1452.5	1241	1664	0
Xrcc3	1452.5	1241	1664	0
Cphx3	1432.5	1120	1745	0
Cphx2	1432.5	1120	1745	0
Cphx1	1432.5	1120	1745	0
Polg	1427.5	1289	1566	0
Acy1	1427.0	1257	1597	0
Sphk2	1422.5	1317	1528	0
Rpl18	1422.5	1317	1528	0
Car5a	1416.0	1330	1502	0
Sp4	1404.0	1142	1666	0
Dcxr	1404.0	1242	1566	0
Cbr2	1404.0	1242	1566	0
Nradd	1400.0	1256	1544	0
Tat	1399.0	1279	1519	0
Azgp1	1398.5	1050	1747	0
Ppa1	1393.0	1112	1674	0
Cdk13	1393.0	1041	1745	0
Tmem256	1390.0	1120	1660	0
Nlgn2	1390.0	1120	1660	0
Clpx	1382.5	1069	1696	0
Tef	1350.0	1155	1545	0
Etfa	1350.0	1147	1553	0
Clcc1	1346.0	1033	1659	0
Ppfia1	1336.5	1037	1636	0
Lsm14b	1331.0	1022	1640	0
Rbm4b	1327.0	987	1667	0
Serpina1d	1323.0	1137	1509	0
Slc25a38	1316.5	1022	1611	0
Gatd3a	1312.5	1265	1360	0
Isoc2a	1308.5	1111	1506	0
Rnf7	1301.0	932	1670	0
Pxmp2	1294.5	962	1627	0
Pole	1294.5	962	1627	0
Ccno	1292.0	1096	1488	0
Gstk1	1289.5	1032	1547	0
Apol9b	1281.0	1015	1547	0
Pitpnm1	1280.5	1141	1420	0
