Target_genes	Klf2|Average	SRX20851841|CD8+_T_cells	SRX20851842|CD8+_T_cells	SRX14009274|Heart_endothelial_cells	SRX14009275|Heart_endothelial_cells	SRX14009278|Lung_endothelial_cells	SRX14009279|Lung_endothelial_cells	STRING
Tmem125	1093.0	551	478	1821	896	982	1830	0
Cldn34d	1054.5	776	890	1401	895	857	1508	0
Tcstv3	1009.0	1407	1578	810	582	749	928	0
Brox	882.666667	769	853	1184	513	518	1459	0
Aida	882.666667	769	853	1184	513	518	1459	0
Zfp664	337.666667	997	1029	0	0	0	0	0
Ccdc92	337.666667	997	1029	0	0	0	0	0
Sdf4	335.833333	988	1027	0	0	0	0	0
B3galt6	335.833333	988	1027	0	0	0	0	0
Vkorc1l1	319.166667	987	928	0	0	0	0	0
Psma2	314.0	917	967	0	0	0	0	0
Mrpl32	314.0	917	967	0	0	0	0	0
Mpp7	312.833333	964	913	0	0	0	0	0
Ppp1cb	307.833333	918	929	0	0	0	0	0
Nup50	303.0	905	913	0	0	0	0	0
Cdc34	302.333333	913	901	0	0	0	0	0
Rab18	301.0	931	875	0	0	0	0	0
Pds5b	301.0	876	930	0	0	0	0	0
Ehmt1	299.333333	885	911	0	0	0	0	0
Tmem116	297.5	803	982	0	0	0	0	0
Erp29	297.5	803	982	0	0	0	0	0
Tubd1	295.166667	842	929	0	0	0	0	0
Rps6kb1	295.166667	842	929	0	0	0	0	0
Safb2	294.666667	891	877	0	0	0	0	0
Safb	294.666667	891	877	0	0	0	0	0
Wdr18	294.166667	843	922	0	0	0	0	0
Tsga10	294.166667	838	927	0	0	0	0	0
Ranbp3	293.833333	885	878	0	0	0	0	0
Rad21	292.666667	854	902	0	0	0	0	0
Hsp90aa1	291.5	887	862	0	0	0	0	0
Smarca4	291.0	811	935	0	0	0	0	0
Rab35	290.166667	894	847	0	0	0	0	0
Herc4	289.666667	888	850	0	0	0	0	0
Pou2f1	289.0	930	804	0	0	0	0	0
Parp6	289.0	871	863	0	0	0	0	0
Mrpl45	288.833333	917	816	0	0	0	0	0
Upf1	288.0	890	838	0	0	0	0	0
Nup62	287.333333	863	861	0	0	0	0	0
Il4i1b	287.333333	863	861	0	0	0	0	0
Hnrnph1	287.333333	894	830	0	0	0	0	0
Atf5	287.333333	863	861	0	0	0	0	0
Sugp2	286.5	837	882	0	0	0	0	0
Armc6	286.5	837	882	0	0	0	0	0
Cep85	285.666667	839	875	0	0	0	0	0
