Target_genes	Klf3|Average	SRX248398|MEF	STRING
S100a14	2422.0	2422	0
Tmem210	2373.0	2373	0
Lrrc26	2373.0	2373	0
Usp31	2313.0	2313	0
Tcstv3	2248.0	2248	0
Ech1	2194.0	2194	0
Tob2	2133.0	2133	0
Kmt2a	2116.0	2116	0
Rangap1	2096.0	2096	0
Usp12	2029.0	2029	0
Prph	1976.0	1976	0
Trmt1l	1957.0	1957	0
Swt1	1957.0	1957	0
Lrrc1	1917.0	1917	0
Osbpl2	1881.0	1881	0
Ncoa3	1806.0	1806	0
Ttc13	1768.0	1768	0
Arv1	1768.0	1768	0
Zfp654	1733.0	1733	0
Cggbp1	1733.0	1733	0
Btbd8	1727.0	1727	0
Txnrd2	1719.0	1719	0
Comt	1719.0	1719	0
Ahctf1	1687.0	1687	0
Ass1	1682.0	1682	0
Rin1	1658.0	1658	0
Ppp2r5b	1648.0	1648	0
Rwdd1	1638.0	1638	0
Hsp90ab1	1636.0	1636	0
Apba1	1623.0	1623	0
Rsrc2	1613.0	1613	0
Kntc1	1613.0	1613	0
Ccnl1	1611.0	1611	0
Rc3h1	1591.0	1591	0
Ccsap	1588.0	1588	0
Lamb2	1586.0	1586	0
Zfp438	1580.0	1580	0
Gale	1573.0	1573	0
Thpo	1568.0	1568	0
Ppp1r10	1553.0	1553	0
Mrps18b	1553.0	1553	0
Pdp1	1552.0	1552	0
Erlin2	1536.0	1536	0
Add1	1528.0	1528	0
Bmper	1516.0	1516	0
Syncrip	1514.0	1514	0
Serinc1	1514.0	1514	0
4931428F04Rik	1501.0	1501	0
Gatad2a	1500.0	1500	0
Prox2	1496.0	1496	0
Lmnb1	1493.0	1493	0
Slc35e4	1491.0	1491	0
Mrpl19	1487.0	1487	0
Washc5	1470.0	1470	0
Nsmce2	1470.0	1470	0
Nde1	1462.0	1462	0
Myo1c	1462.0	1462	0
Marf1	1462.0	1462	0
Immt	1445.0	1445	0
Atl2	1445.0	1445	0
Nptxr	1441.0	1441	0
Pramel12	1433.0	1433	0
Mfn2	1433.0	1433	0
Urod	1428.0	1428	0
Hectd3	1428.0	1428	0
Uhrf1	1420.0	1420	0
Arrdc5	1420.0	1420	0
Lnpep	1414.0	1414	0
Sowahc	1399.0	1399	0
Septin10	1399.0	1399	0
Anapc11	1372.0	1372	0
Alyref	1372.0	1372	0
Shoc2	1364.0	1364	0
Bbip1	1364.0	1364	0
Ifrd2	1357.0	1357	0
Hspe1	1355.0	1355	0
Hspd1	1355.0	1355	0
Slc29a3	1342.0	1342	0
Aktip	1342.0	1342	0
Heatr5a	1340.0	1340	0
Pafah2	1336.0	1336	0
Rrp8	1332.0	1332	0
Ilk	1332.0	1332	0
Tcf3	1325.0	1325	0
Sde2	1323.0	1323	0
Smpd4	1312.0	1312	0
Anxa5	1312.0	1312	0
1810062G17Rik	1312.0	1312	0
Fbxw8	1310.0	1310	0
Fer	1307.0	1307	0
Bud13	1307.0	1307	0
Slc25a23	1297.0	1297	0
Crb3	1297.0	1297	0
Csnk2a1	1289.0	1289	0
Zfp28	1286.0	1286	0
Uck2	1282.0	1282	0
Ldlrap1	1278.0	1278	0
Nectin3	1270.0	1270	0
Cfl1	1268.0	1268	0
Fdxacb1	1267.0	1267	0
1110032A03Rik	1267.0	1267	0
Dync1i2	1264.0	1264	0
Zfp821	1259.0	1259	0
