Target_genes	Klf9|Average	SRX2185047|Unclassified	SRX2185048|Unclassified	SRX2185049|Unclassified	SRX2185050|Unclassified	SRX2185051|Unclassified	STRING
Cldn34d	929.6	590	933	1165	1307	653	0
Smyd5	623.2	0	579	1002	684	851	0
Anxa2	611.6	0	536	901	763	858	0
Armc7	588.6	0	460	887	728	868	0
Ccdc90b	580.2	0	486	858	747	810	0
Pole4	576.4	0	617	888	837	540	0
Brox	537.8	310	706	671	596	406	0
Aida	537.8	310	706	671	596	406	0
Smarcb1	492.6	0	420	853	630	560	0
Ctdsp2	491.0	0	573	674	581	627	0
Brd3os	475.4	0	494	678	581	624	0
H4bc24	461.0	0	441	739	602	523	0
H2bc23	461.0	0	441	739	602	523	0
H2ac24	461.0	0	441	739	602	523	0
H2ac23	461.0	0	441	739	602	523	0
Dcakd	440.8	0	410	635	511	648	0
H4c18	440.4	0	441	739	602	420	0
Arhgap28	405.8	0	342	673	492	522	0
Sccpdh	403.8	0	405	498	585	531	0
Tfip11	376.2	0	302	576	481	522	0
Prmt2	376.0	0	385	552	446	497	0
Acads	375.6	0	275	674	384	545	0
Ndrg1	374.8	0	343	536	435	560	0
Tmem125	369.6	455	408	329	430	226	0
Anapc7	369.2	0	321	599	534	392	0
Fam104a	361.2	0	337	505	571	393	0
D11Wsu47e	361.2	0	337	505	571	393	0
Nectin2	360.0	0	318	454	437	591	0
H4c17	357.4	0	260	586	418	523	0
Smpd4	348.0	0	188	481	413	658	0
Riok1	337.6	0	328	395	338	627	0
Cage1	337.6	0	328	395	338	627	0
Kpna1	335.0	243	405	340	433	254	0
Agl	334.6	0	236	503	453	481	0
Lrr1	331.4	0	222	544	423	468	0
Fbxw8	324.8	0	302	539	298	485	0
Primpol	324.2	0	305	545	251	520	0
Casp3	324.2	0	305	545	251	520	0
Arid4a	319.6	0	285	468	334	511	0
Psmb10	318.2	0	300	456	421	414	0
Lcat	318.2	0	300	456	421	414	0
Ctrl	318.2	0	300	456	421	414	0
Unc50	312.2	0	243	497	366	455	0
Coa5	312.2	0	243	497	366	455	0
Mbd6	310.4	0	267	582	328	375	0
Ddit3	310.4	0	267	582	328	375	0
Xrcc6	310.0	0	310	423	347	470	0
Desi1	310.0	0	310	423	347	470	0
Zfp622	309.2	0	393	342	294	517	0
Klf13	308.6	0	287	586	404	266	0
Tcstv3	307.4	379	153	278	330	397	0
Fam13b	306.6	0	234	401	468	430	0
Adora2b	305.0	0	247	433	452	393	0
Pdik1l	304.0	0	289	393	404	434	0
Spata5	303.0	0	393	460	279	383	0
Nudt6	303.0	0	393	460	279	383	0
Numa1	302.0	0	287	607	360	256	0
Ttc3	300.2	0	247	481	339	434	0
Pigp	300.2	0	247	481	339	434	0
Slc6a9	300.0	0	223	375	464	438	0
Il31ra	297.6	212	457	312	343	164	0
Rfc3	295.4	0	292	424	369	392	0
Zbed5	292.2	0	362	358	384	357	0
Sft2d1	292.0	0	211	428	330	491	0
Med11	290.6	0	265	377	310	501	0
Rabep2	288.4	0	365	348	281	448	0
Atad3a	286.6	0	264	463	319	387	0
Fam89b	285.6	0	260	458	386	324	0
Znrd2	284.8	0	260	458	386	320	0
Kmt5a	284.8	0	312	491	333	288	0
Ercc2	283.2	0	276	364	385	391	0
Klf16	276.8	0	269	426	336	353	0
Smarcc1	276.0	0	344	397	348	291	0
Fbxw9	275.2	0	307	364	381	324	0
Uba5	275.0	0	199	452	386	338	0
Acad11	275.0	0	199	452	386	338	0
Mthfd2	274.4	0	313	452	307	300	0
Czib	273.2	0	244	433	244	445	0
Mrpl48	272.8	0	224	478	270	392	0
Coprs	268.6	0	204	368	440	331	0
Mrpl52	265.2	0	184	450	356	336	0
Mmp14	265.2	0	184	450	356	336	0
Dscc1	264.2	0	212	396	329	384	0
Ing5	262.6	0	184	451	326	352	0
Dtymk	262.6	0	184	451	326	352	0
Csk	262.6	0	235	468	312	298	0
