Target_genes	Mafb|Average	SRX1465586|Macrophages	STRING
Mybph	3316.0	3316	0
Snrpc	3177.0	3177	0
Neurl1a	3166.0	3166	0
Cd276	2886.0	2886	0
Blmh	2787.0	2787	0
C1qb	2767.0	2767	0
Ppbp	2763.0	2763	0
Pf4	2763.0	2763	0
Slc66a1	2696.0	2696	0
Akr7a5	2696.0	2696	0
Tifab	2693.0	2693	0
Far1	2686.0	2686	0
Fmn1	2674.0	2674	0
C1qc	2606.0	2606	0
Arrb2	2599.0	2599	0
Kcnk6	2462.0	2462	0
Ppp4r1	2459.0	2459	0
Csf1r	2458.0	2458	0
2300009A05Rik	2440.0	2440	0
Ulk1	2364.0	2364	0
Snrpa	2330.0	2330	0
BC024978	2330.0	2330	0
Aif1	2288.0	2288	0
Slc15a3	2273.0	2273	0
Ccl24	2268.0	2268	0
4930444G20Rik	2262.0	2262	0
Poln	2232.0	2232	0
Haus3	2232.0	2232	0
Acp2	2228.0	2228	0
Pepd	2208.0	2208	0
Tma7-ps	2199.0	2199	0
1700008O03Rik	2198.0	2198	0
Olfr368	2184.0	2184	0
Loxl3	2170.0	2170	0
Dok1	2170.0	2170	0
Itgam	2167.0	2167	0
Tbk1	2162.0	2162	0
Ifi204	2157.0	2157	0
Lmo2	2125.0	2125	0
C5ar2	2116.0	2116	0
Tlr4	2104.0	2104	0
E230025N22Rik	2088.0	2088	0
Tmem37	2073.0	2073	0
Arhgap17	2069.0	2069	0
Slc36a1	2063.0	2063	0
Slc38a7	2024.0	2024	0
Zfat	2023.0	2023	0
Dmxl1	1996.0	1996	0
Ufl1	1991.0	1991	0
Cabyr	1984.0	1984	0
Fez2	1979.0	1979	0
P2rx4	1978.0	1978	0
Gbp7	1972.0	1972	0
Aldh9a1	1972.0	1972	0
Ftl1	1968.0	1968	0
Gm44805	1961.0	1961	0
Bcl2l11	1961.0	1961	0
Apoc4	1961.0	1961	0
Clptm1	1957.0	1957	0
Snx8	1950.0	1950	0
Mtpap	1934.0	1934	0
Dclre1c	1928.0	1928	0
C1qa	1922.0	1922	0
Cdk18	1921.0	1921	0
Znrf3	1920.0	1920	0
Igfbp4	1913.0	1913	0
Scrt2	1909.0	1909	0
2610524H06Rik	1909.0	1909	0
Pik3ap1	1899.0	1899	0
Nop2	1892.0	1892	0
Rnase4	1875.0	1875	0
Ang	1875.0	1875	0
Lrrk1	1870.0	1870	0
Plekhh3	1850.0	1850	0
Cntnap1	1850.0	1850	0
Ccr10	1850.0	1850	0
Sash1	1848.0	1848	0
Rbfa	1832.0	1832	0
Arap1	1831.0	1831	0
Adgre1	1827.0	1827	0
Abcc5	1827.0	1827	0
Apobec1	1818.0	1818	0
Cfap45	1812.0	1812	0
Rmnd5a	1811.0	1811	0
Wdfy3	1795.0	1795	0
Lacc1	1791.0	1791	0
Ccdc122	1791.0	1791	0
Abhd12	1783.0	1783	0
Slc48a1	1781.0	1781	0
Slc17a5	1780.0	1780	0
C9orf72	1775.0	1775	0
C5ar1	1775.0	1775	0
Ap2m1	1770.0	1770	0
Ankrd13d	1770.0	1770	0
Sh3bp2	1768.0	1768	0
Selenop	1767.0	1767	0
Fcgr1	1766.0	1766	0
Akt2	1764.0	1764	0
Gstm4	1750.0	1750	0
Il1b	1747.0	1747	0
Kctd12	1746.0	1746	0
Nt5c2	1744.0	1744	0
Arrdc3	1732.0	1732	0
Fam110b	1728.0	1728	0
4930519G04Rik	1724.0	1724	0
Rhoh	1708.0	1708	0
Pla2g6	1702.0	1702	0
Wdr62	1700.0	1700	0
Dnajc18	1696.0	1696	0
Tbc1d22a	1685.0	1685	0
Hacd4	1675.0	1675	0
Cxcl10	1675.0	1675	0
Ppp1r12c	1674.0	1674	0
Akirin2	1673.0	1673	0
Naa80	1672.0	1672	0
Hyal3	1672.0	1672	0
Hyal1	1672.0	1672	0
2610001J05Rik	1671.0	1671	0
Arhgef2	1665.0	1665	0
Ssbp4	1663.0	1663	0
Prr5l	1662.0	1662	0
Tcstv3	1640.0	1640	0
Ppip5k2	1628.0	1628	0
Gin1	1628.0	1628	0
Nmt1	1627.0	1627	0
Casp1	1627.0	1627	0
Exoc3l	1620.0	1620	0
E2f4	1620.0	1620	0
Dse	1613.0	1613	0
