Target_genes	Mef2c|Average	SRX1287946|B_cells	SRX1287948|B_cells	SRX5846336|Cardiac_fibroblasts	SRX5846337|Cardiac_fibroblasts	SRX5846338|Cardiac_fibroblasts	SRX5846339|Cardiac_fibroblasts	SRX5846348|Cardiac_fibroblasts	SRX5846349|Cardiac_fibroblasts	SRX5846350|Cardiac_fibroblasts	SRX2497449|Cardiomyocytes	SRX2497450|Cardiomyocytes	SRX2497458|Cardiomyocytes	SRX2497459|Cardiomyocytes	SRX10616116|Cerebellum	SRX10616117|Cerebellum	SRX13554136|MEF	SRX13554137|MEF	SRX13554148|MEF	SRX13554149|MEF	SRX13554160|MEF	SRX13554161|MEF	SRX13554164|MEF	SRX13554165|MEF	SRX3845111|MEF	SRX3845116|MEF	SRX3845122|MEF	SRX4933820|MEF	SRX10616112|Prefrontal_Cortex	SRX10616113|Prefrontal_Cortex	STRING
Gata4	1194.517241	0	0	0	1046	1294	1837	927	1256	1135	0	0	0	0	0	0	2033	1856	2432	2334	2372	2495	3119	3219	1443	2377	3466	0	0	0	0
Cldn34d	1177.724138	2182	883	2550	2503	2288	2332	1771	1851	1715	1269	1921	1309	1059	500	658	548	596	489	454	585	472	526	553	1108	465	490	2419	224	434	0
Dot1l	1014.551724	475	0	914	3390	3559	3356	3729	4086	4122	0	0	0	0	251	131	0	0	529	246	361	543	1144	767	739	568	512	0	0	0	0
Npas4	1010.172414	928	127	842	2980	3180	3154	3080	3470	3466	0	0	0	0	0	0	0	0	494	418	418	654	990	889	1489	1550	1166	0	0	0	0
Prkag3	995.103448	0	0	495	3387	3903	4014	3940	3827	3916	0	0	0	0	0	0	0	0	684	343	837	920	1312	1050	126	0	104	0	0	0	0
Brox	946.724138	1575	546	1882	2292	1827	2447	1252	1517	1390	1290	2131	1105	1533	641	619	502	628	413	375	293	330	131	150	205	270	221	832	371	687	0
Aida	946.724138	1575	546	1882	2292	1827	2447	1252	1517	1390	1290	2131	1105	1533	641	619	502	628	413	375	293	330	131	150	205	270	221	832	371	687	0
Lmod3	872.241379	0	0	647	2831	3678	3176	3186	3564	3397	0	0	0	0	0	0	0	0	430	317	400	613	1290	928	284	328	226	0	0	0	0
Snx16	846.793103	0	0	819	3153	3751	3543	3687	3533	4014	0	0	0	0	349	331	0	0	0	0	0	0	282	175	118	374	428	0	0	0	0
Dguok	827.758621	152	0	946	2925	3249	3120	2779	3386	3192	0	0	0	0	247	225	0	0	286	130	156	301	616	516	836	551	392	0	0	0	0
Calhm5	824.827586	0	0	215	2192	3452	3102	3524	3729	3564	0	0	0	0	0	0	0	0	455	345	490	724	1067	666	147	136	112	0	0	0	0
Cldn4	818.931034	0	0	266	2185	3214	3200	3613	3834	3842	0	0	0	0	0	0	0	0	349	354	476	721	1070	625	0	0	0	0	0	0	0
Antxr1	812.068966	0	0	757	3030	3738	3573	3883	3537	3605	0	0	0	0	0	0	0	0	0	0	201	296	408	409	0	113	0	0	0	0	0
