Target_genes	Nr3c1|Average	SRX697682|3134	SRX697683|3134	SRX697684|3134	SRX697685|3134	SRX3523138|3617	SRX3523139|3617	SRX3523140|3617	SRX3523141|3617	SRX3523142|3617	SRX3523143|3617	SRX3523144|3617	SRX3523145|3617	SRX3523146|3617	SRX3523147|3617	SRX3523148|3617	SRX3523149|3617	SRX3523174|3617	SRX3523175|3617	SRX3523176|3617	SRX3523177|3617	SRX4579738|3617	SRX4579739|3617	SRX4579740|3617	SRX4579741|3617	SRX4579752|3617	SRX4579753|3617	SRX4579754|3617	SRX4579755|3617	SRX020954|3T3-L1	SRX047646|3T3-L1	SRX268233|7438	SRX268234|7438	SRX268235|7438	SRX268236|7438	SRX268237|7438	SRX268238|7438	SRX268239|7438	SRX268240|7438	SRX268255|7438	SRX268256|7438	SRX268257|7438	SRX268258|7438	SRX268259|7438	SRX268260|7438	SRX268261|7438	SRX268262|7438	SRX2182953|AtT-20	SRX2182954|AtT-20	SRX1521000|Brown_preadipocytes	SRX1521001|Brown_preadipocytes	SRX1521002|Brown_preadipocytes	SRX1521003|Brown_preadipocytes	SRX745822|Burst-forming_unit_erythroids	SRX745824|Burst-forming_unit_erythroids	SRX745826|Burst-forming_unit_erythroids	SRX5141286|BWTG3	SRX5141287|BWTG3	SRX5141288|BWTG3	SRX5141289|BWTG3	SRX5141290|BWTG3	SRX5141291|BWTG3	SRX5141292|BWTG3	SRX5141293|BWTG3	SRX5141294|BWTG3	SRX5141295|BWTG3	SRX5141297|BWTG3	SRX6034572|C127	SRX6034573|C127	SRX6034574|C127	SRX6034575|C127	SRX145800|Corticotrophs	SRX145801|Corticotrophs	SRX23145926|Heart	SRX23145927|Heart	SRX23145928|Heart	SRX23145929|Heart	SRX23145930|Heart	SRX23145931|Heart	SRX13183619|Hepatocytes	SRX13183620|Hepatocytes	SRX13183621|Hepatocytes	SRX13183622|Hepatocytes	SRX13183623|Hepatocytes	SRX13183624|Hepatocytes	SRX13183625|Hepatocytes	SRX13183626|Hepatocytes	SRX1688364|Hepatocytes	SRX1688365|Hepatocytes	SRX4169602|Kidney	SRX4169603|Kidney	SRX4169608|Kidney	SRX4169609|Kidney	SRX7502310|Kidney	SRX7502311|Kidney	SRX7502322|Kidney	SRX7502323|Kidney	SRX10754479|Liver	SRX10754480|Liver	SRX10754481|Liver	SRX10754482|Liver	SRX1426216|Liver	SRX1426217|Liver	SRX1426218|Liver	SRX1426219|Liver	SRX23120828|Liver	SRX23120829|Liver	SRX23120830|Liver	SRX23120831|Liver	SRX23120832|Liver	SRX23120833|Liver	SRX23120834|Liver	SRX23120835|Liver	SRX257623|Liver	SRX265306|Liver	SRX265307|Liver	SRX265308|Liver	SRX265309|Liver	SRX265322|Liver	SRX265323|Liver	SRX265328|Liver	SRX265329|Liver	SRX3582904|Liver	SRX3582905|Liver	SRX3582906|Liver	SRX3582907|Liver	SRX3582908|Liver	SRX3582909|Liver	SRX3582910|Liver	SRX3582911|Liver	SRX3582912|Liver	SRX3582913|Liver	SRX3582914|Liver	SRX3582915|Liver	SRX3582916|Liver	SRX3582917|Liver	SRX3582918|Liver	SRX3582919|Liver	SRX3582920|Liver	SRX3582921|Liver	SRX3582922|Liver	SRX3582923|Liver	SRX3582924|Liver	SRX3582925|Liver	SRX3582926|Liver	SRX3582927|Liver	SRX3582938|Liver	SRX3771845|Liver	SRX3771846|Liver	SRX661408|Liver	SRX661409|Liver	SRX661410|Liver	SRX661411|Liver	SRX661412|Liver	SRX661413|Liver	SRX661417|Liver	SRX661418|Liver	SRX661419|Liver	SRX661420|Liver	SRX661421|Liver	SRX661422|Liver	SRX6902799|Liver	SRX6902800|Liver	SRX6902801|Liver	SRX6902802|Liver	SRX6902803|Liver	SRX6902804|Liver	SRX6902805|Liver	SRX6902806|Liver	SRX6902807|Liver	SRX6902808|Liver	SRX6902809|Liver	SRX6902810|Liver	SRX9470302|Liver	SRX9470303|Liver	SRX9470304|Liver	SRX9470305|Liver	SRX9470306|Liver	SRX9470307|Liver	SRX9470308|Liver	SRX9470309|Liver	SRX9470310|Liver	SRX9470311|Liver	SRX9470312|Liver	SRX9470313|Liver	SRX9686865|Liver	SRX9686866|Liver	SRX9686867|Liver	SRX9686868|Liver	SRX9686869|Liver	SRX9686870|Liver	SRX9686871|Liver	SRX9686872|Liver	SRX9686873|Liver	SRX9686874|Liver	SRX9686875|Liver	SRX9686876|Liver	SRX9686879|Liver	SRX9686880|Liver	SRX9686882|Liver	SRX9686883|Liver	SRX9686884|Liver	SRX9686885|Liver	SRX4615040|Lung_endothelial_cells	SRX4615041|Lung_endothelial_cells	SRX4615042|Lung_endothelial_cells	SRX4615043|Lung_endothelial_cells	SRX4615044|Lung_endothelial_cells	SRX096385|Macrophages	SRX096386|Macrophages	SRX12765348|Macrophages	SRX12765353|Macrophages	SRX2498793|Macrophages	SRX2498794|Macrophages	SRX2900597|Macrophages	SRX2900598|Macrophages	SRX2900599|Macrophages	SRX3557039|Macrophages	SRX3557040|Macrophages	SRX3557041|Macrophages	SRX3557042|Macrophages	SRX3557043|Macrophages	SRX3557044|Macrophages	SRX3557045|Macrophages	SRX3557046|Macrophages	SRX661495|Macrophages	SRX661496|Macrophages	SRX661497|Macrophages	SRX6818872|Macrophages	SRX716927|Macrophages	SRX716928|Macrophages	SRX716931|Macrophages	SRX716932|Macrophages	SRX1672011|Mammary_glands	SRX1672012|Mammary_glands	SRX1672025|Mammary_glands	SRX1672026|Mammary_glands	SRX1672038|Mammary_glands	SRX1672043|Mammary_glands	SRX1672048|Mammary_glands	SRX1672052|Mammary_glands	SRX1672057|Mammary_glands	SRX1821195|Mammary_glands	SRX1949770|Mammary_glands	SRX1949771|Mammary_glands	SRX1949776|Mammary_glands	SRX1949777|Mammary_glands	SRX20177819|Mammary_glands	SRX20177820|Mammary_glands	SRX20177827|Mammary_glands	SRX20177828|Mammary_glands	SRX20177833|Mammary_glands	SRX20177834|Mammary_glands	SRX20177843|Mammary_glands	SRX20177844|Mammary_glands	SRX20177852|Mammary_glands	SRX20177853|Mammary_glands	SRX20177867|Mammary_glands	SRX20177868|Mammary_glands	SRX20177885|Mammary_glands	SRX20177886|Mammary_glands	SRX20177893|Mammary_glands	SRX20177894|Mammary_glands	SRX20177911|Mammary_glands	SRX20177918|Mammary_glands	SRX20177919|Mammary_glands	SRX20177921|Mammary_glands	SRX20177922|Mammary_glands	SRX20177931|Mammary_glands	SRX20177932|Mammary_glands	SRX2088111|Mammary_glands	SRX2088112|Mammary_glands	SRX2088113|Mammary_glands	SRX2088114|Mammary_glands	SRX2088115|Mammary_glands	SRX2088116|Mammary_glands	SRX2436115|Mammary_glands	SRX2436116|Mammary_glands	SRX2564301|Mammary_glands	SRX2564302|Mammary_glands	SRX4169540|Mammary_glands	SRX4169541|Mammary_glands	SRX4169546|Mammary_glands	SRX4169547|Mammary_glands	SRX4169552|Mammary_glands	SRX4169557|Mammary_glands	SRX4169558|Mammary_glands	SRX4169563|Mammary_glands	SRX4169564|Mammary_glands	SRX4169569|Mammary_glands	SRX4169570|Mammary_glands	SRX4169572|Mammary_glands	SRX4169577|Mammary_glands	SRX4169578|Mammary_glands	SRX4169579|Mammary_glands	SRX5426672|Mammary_glands	SRX5426673|Mammary_glands	SRX5426678|Mammary_glands	SRX5426679|Mammary_glands	SRX7655616|Mammary_glands	SRX7655617|Mammary_glands	SRX7673149|Mammary_glands	SRX7673150|Mammary_glands	SRX7673155|Mammary_glands	SRX7673156|Mammary_glands	SRX7673159|Mammary_glands	SRX7673160|Mammary_glands	SRX7673167|Mammary_glands	SRX7673168|Mammary_glands	SRX1060613|MEF	SRX1060614|MEF	SRX1060615|MEF	SRX1060616|MEF	SRX1060617|MEF	SRX1060618|MEF	SRX1060619|MEF	SRX3523193|MEF	SRX3523196|MEF	SRX3523197|MEF	SRX3523198|MEF	SRX3523199|MEF	SRX3523200|MEF	SRX3523201|MEF	SRX5383711|MEF	SRX5383712|MEF	SRX5383713|MEF	SRX5383714|MEF	SRX5383715|MEF	SRX5383716|MEF	SRX5383717|MEF	SRX5383718|MEF	SRX5383719|MEF	SRX8291037|MEF	SRX8291038|MEF	SRX8291039|MEF	SRX8291040|MEF	SRX11033188|mESC_derived_neural_cells	SRX11033189|mESC_derived_neural_cells	SRX11033190|mESC_derived_neural_cells	SRX11033191|mESC_derived_neural_cells	SRX11033192|mESC_derived_neural_cells	SRX11033193|mESC_derived_neural_cells	SRX6902416|RAW_264.7	SRX6902417|RAW_264.7	SRX6902418|RAW_264.7	SRX7433058|Skeletal_muscle	SRX9820277|Skeletal_muscle	SRX12123136|Treg	SRX12123138|Treg	SRX821802|White_adipose_tissue	SRX821803|White_adipose_tissue	SRX821804|White_adipose_tissue	SRX821805|White_adipose_tissue	STRING
Cldn34d	1265.53125	245	644	683	786	1488	1451	1535	1482	1460	1392	2368	1910	1442	1406	1890	1522	1481	632	2420	2361	1538	1336	1958	2388	1376	1514	2321	1545	511	290	601	599	1208	922	135	597	1193	1088	750	896	1598	1468	975	945	2165	1528	1797	1710	380	333	428	418	471	258	356	1097	1401	1058	1739	1686	1886	1781	1831	1797	1687	1035	1398	2630	2467	1423	1796	1837	619	375	1162	851	317	678	1408	1462	1444	1266	2369	1744	2346	2545	1802	1133	1516	993	1642	1388	1402	1621	1042	266	432	435	0	0	862	0	1549	0	1228	1156	1245	1689	1343	1286	1561	1291	1347	0	0	909	893	644	981	0	0	2907	2996	2653	1894	2505	1978	1854	1947	2775	3047	2915	2897	3180	3076	2600	2797	2590	3001	1492	2815	1417	2247	2616	2572	2299	2129	2294	1802	1738	1786	1612	1506	1696	608	792	611	598	723	588	1467	2107	1664	1518	1857	1485	1864	1672	2237	2433	2592	2239	177	389	151	114	163	0	96	164	206	0	0	133	0	0	192	149	0	140	275	219	215	191	0	136	277	181	148	526	177	0	844	1483	1791	1036	2136	891	1340	1909	1296	1722	1585	1076	2029	1096	2010	1590	1022	1127	1942	1814	1077	1359	1480	1556	999	2960	2054	2052	2399	1781	936	489	1029	175	890	503	1158	1522	1487	534	602	1205	982	1323	1654	1080	1285	1279	1082	126	1204	1279	1676	1874	856	633	742	917	952	1331	1315	1581	1303	1328	1829	1368	1355	555	1542	1045	1556	478	719	890	1242	858	378	1902	1757	1687	1553	1715	1478	1604	1716	890	1660	501	1179	878	1106	1464	1102	1132	977	1037	1464	1072	1193	1300	1084	1508	1454	1834	1632	1548	1077	817	1073	713	976	1172	1149	2079	1269	395	275	425	1031	507	1710	1888	1492	1907	1053	1836	1506	2500	2566	1831	1089	647	2128	1370	1366	1389	1557	1618	1837	1161	733	2021	1149	105	1378	1364	1241	451	0	494	0
Brox	1096.605114	0	190	73	117	310	205	456	423	413	141	608	262	393	182	467	402	394	926	1081	524	308	321	762	621	183	255	335	276	464	179	152	135	326	302	392	161	448	416	154	272	637	469	324	319	684	347	1593	1775	278	405	480	349	361	216	249	585	748	500	1125	1002	1273	1192	1332	1285	1053	438	697	1388	1336	799	1477	1084	269	116	967	629	213	724	808	1116	815	793	1398	1263	1804	1926	378	203	1037	719	1280	1059	1388	968	962	201	613	354	182	220	185	209	339	207	772	901	842	947	1271	1262	1156	1232	1104	0	0	499	488	625	720	493	496	1528	1858	1980	1184	1696	1729	1411	1283	1510	1576	1659	1991	2048	2848	1216	1651	1945	1834	1405	2045	736	2725	2575	3005	1103	1357	2357	1988	1941	1983	1809	1973	1881	523	606	550	544	634	504	1876	1679	2078	1615	1963	1404	2017	1823	2473	2343	2513	2511	2530	2296	2355	2242	2276	2578	2408	2011	2556	2612	2479	2320	2754	953	2261	2559	2688	2493	2225	2321	2330	2385	2335	1980	2145	2292	2429	2219	1869	2789	795	1306	838	769	1221	565	1135	1443	1005	1604	1430	411	1042	377	1040	1019	369	460	722	979	411	684	673	1471	929	3445	2373	2476	2162	1691	982	281	696	254	1120	293	843	1162	1008	494	647	1331	733	1088	1413	994	1474	2042	1272	1307	1445	1383	1789	1639	979	1190	560	630	693	1467	1228	1900	1351	1207	1891	1202	995	148	988	644	1264	393	394	659	1131	641	344	1585	1568	1915	1345	1697	1732	2155	1741	604	1248	538	1313	982	704	1822	1106	807	774	807	1044	889	653	779	838	1213	1236	1880	1269	1481	689	524	523	226	314	305	347	955	705	732	1397	298	628	165	936	658	636	592	307	677	629	1330	1970	1355	521	285	1438	1052	682	708	748	857	864	1842	1393	3043	1223	121	557	641	727	213	270	605	0
Aida	1096.605114	0	190	73	117	310	205	456	423	413	141	608	262	393	182	467	402	394	926	1081	524	308	321	762	621	183	255	335	276	464	179	152	135	326	302	392	161	448	416	154	272	637	469	324	319	684	347	1593	1775	278	405	480	349	361	216	249	585	748	500	1125	1002	1273	1192	1332	1285	1053	438	697	1388	1336	799	1477	1084	269	116	967	629	213	724	808	1116	815	793	1398	1263	1804	1926	378	203	1037	719	1280	1059	1388	968	962	201	613	354	182	220	185	209	339	207	772	901	842	947	1271	1262	1156	1232	1104	0	0	499	488	625	720	493	496	1528	1858	1980	1184	1696	1729	1411	1283	1510	1576	1659	1991	2048	2848	1216	1651	1945	1834	1405	2045	736	2725	2575	3005	1103	1357	2357	1988	1941	1983	1809	1973	1881	523	606	550	544	634	504	1876	1679	2078	1615	1963	1404	2017	1823	2473	2343	2513	2511	2530	2296	2355	2242	2276	2578	2408	2011	2556	2612	2479	2320	2754	953	2261	2559	2688	2493	2225	2321	2330	2385	2335	1980	2145	2292	2429	2219	1869	2789	795	1306	838	769	1221	565	1135	1443	1005	1604	1430	411	1042	377	1040	1019	369	460	722	979	411	684	673	1471	929	3445	2373	2476	2162	1691	982	281	696	254	1120	293	843	1162	1008	494	647	1331	733	1088	1413	994	1474	2042	1272	1307	1445	1383	1789	1639	979	1190	560	630	693	1467	1228	1900	1351	1207	1891	1202	995	148	988	644	1264	393	394	659	1131	641	344	1585	1568	1915	1345	1697	1732	2155	1741	604	1248	538	1313	982	704	1822	1106	807	774	807	1044	889	653	779	838	1213	1236	1880	1269	1481	689	524	523	226	314	305	347	955	705	732	1397	298	628	165	936	658	636	592	307	677	629	1330	1970	1355	521	285	1438	1052	682	708	748	857	864	1842	1393	3043	1223	121	557	641	727	213	270	605	0
Tcstv3	985.196023	348	1261	1125	957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	341	166	68	263	268	559	133	406	375	337	486	709	292	515	368	720	745	269	280	1078	1101	1493	567	283	327	306	231	329	332	584	522	492	349	729	655	369	326	0	0	0	0	195	142	1103	756	1526	1291	944	1238	655	881	726	601	399	1140	657	1001	144	0	916	933	1016	812	1333	1477	1304	227	1857	1288	723	732	1012	236	1657	1250	625	584	610	617	732	552	705	584	1703	1861	826	1749	1497	1747	1903	966	1111	2043	2130	2070	1881	2093	0	0	2154	2089	2077	2032	2127	1834	1832	2074	2110	2155	1844	1905	1975	1509	2109	2254	2161	1566	2177	2032	2216	2232	2201	2287	2134	2231	1097	1085	951	869	1343	826	1660	1738	1777	1578	1994	1855	1851	1727	1832	1925	1997	1978	611	878	617	151	617	248	265	362	899	333	568	628	154	209	309	424	270	432	345	263	189	558	320	266	439	312	269	1002	220	283	884	1862	1281	1552	1278	1053	1874	1149	959	1513	817	0	0	0	0	0	0	0	0	0	0	0	1813	2323	1641	1811	1749	1885	2176	1976	2373	1018	1980	1592	2325	2366	1525	1715	2274	1675	1231	1045	1850	836	1278	875	975	1165	1146	676	1202	1270	1350	1476	766	739	1021	818	844	875	748	1133	640	982	1549	966	1113	1296	2331	2111	1489	1318	1419	832	1128	782	283	1218	1370	917	1317	1322	1406	1194	1223	743	855	165	1176	682	231	838	1771	696	669	749	800	595	959	723	837	1433	1376	1582	777	913	1631	1303	1586	1023	1350	1287	1367	1772	0	0	0	0	0	0	1801	1799	1715	2026	1485	1810	1662	2291	2322	2095	2088	1916	2224	759	211	356	415	346	493	235	269	573	2316	1205	1838	1959	2239	1401	819	2288	0
Per1	949.286932	0	1657	1360	1605	0	0	0	0	0	0	1304	1253	0	0	407	157	0	0	2342	2191	0	0	661	497	0	0	83	0	209	224	0	0	1865	1711	0	0	1863	1746	0	0	1486	1192	0	0	1575	1466	2740	2832	0	0	171	0	0	0	0	0	0	0	1691	2075	2091	2229	1687	2230	0	0	0	2218	1830	0	1047	1334	184	0	0	0	0	146	0	0	0	0	808	426	1155	1256	746	577	1095	314	1922	1241	1534	1314	1425	392	0	2247	716	0	0	0	362	286	1608	1698	1656	1469	1692	1392	1298	1537	1508	1202	278	1536	1889	2137	1983	2085	2029	637	556	583	576	149	776	1181	1163	1027	627	942	652	734	1666	350	1029	476	1340	733	1068	0	1112	1141	1446	511	1593	1407	1619	1863	1086	2088	1930	1900	691	535	520	414	602	385	926	1301	1173	632	301	879	506	575	634	354	285	830	1997	1785	1821	1709	1155	1079	2019	1895	1900	1476	1746	1108	2103	1494	1805	1987	2072	2201	1857	1615	2162	2275	1845	1899	1938	1743	2179	1500	1576	2245	586	212	103	553	0	229	774	1970	1074	959	1072	0	1514	0	1518	955	0	0	1296	1118	0	0	514	0	0	1251	1011	0	602	0	999	1277	1482	1486	1573	1303	473	945	1104	1321	1358	1360	1334	887	1118	1692	1939	1675	1492	1340	1135	895	1986	1866	1385	1273	139	108	0	1381	2025	1788	1732	645	835	1682	1614	1241	1065	1621	1058	608	816	1007	896	139	1145	1411	639	1629	1732	1571	1753	1687	300	0	831	976	1135	1658	1126	1610	1970	1740	1796	1540	1401	1796	1723	488	1871	1558	484	833	1436	1400	0	649	884	0	0	790	816	1655	977	2474	0	0	1250	3139	1396	1131	1441	0	0	0	0	0	0	336	0	0	321	0	0	0	695	489	1124	714	0	178	1248	0	1562	0	593	898	1072	807	0
Ccnd3	834.644886	0	2188	956	2228	0	0	0	0	0	0	854	446	0	0	270	0	0	0	3074	3524	0	0	0	0	0	0	0	0	218	333	0	0	1525	1834	0	0	1726	1484	0	0	1672	1158	0	0	1732	1646	3005	2551	0	0	321	165	0	0	0	0	0	0	1726	1769	1617	1532	1253	1847	0	0	0	2739	2097	0	658	608	0	0	0	0	0	0	0	0	0	0	784	329	667	778	246	211	724	185	1654	1396	707	254	584	0	103	2387	683	0	0	0	245	0	1212	1814	1891	1615	1233	1098	1297	1101	1516	1255	0	215	2183	1922	1859	2597	2484	112	0	138	217	0	177	938	657	285	349	158	180	362	865	0	419	0	875	390	1071	0	303	340	359	237	766	465	297	725	280	2181	2214	2276	113	288	190	523	791	504	622	1167	816	674	285	624	368	604	364	184	157	415	2125	2132	1631	944	800	851	2254	1875	2156	897	1312	515	1849	1436	1697	729	1458	1769	1466	1546	2047	1010	591	380	1834	1734	2017	690	589	1010	1300	517	396	1126	0	246	1023	2897	1585	791	1852	0	1064	0	1059	902	0	0	1624	1014	0	0	366	169	0	1889	747	0	905	0	971	1090	1980	1333	1642	1681	308	661	1019	1385	1633	907	1853	485	1147	1512	1691	1640	1086	915	426	287	2059	2107	1100	645	0	95	0	697	1679	2131	1005	511	693	2140	1504	1158	868	2097	612	380	843	996	488	135	1324	2031	491	1889	2256	1768	1961	1932	250	89	725	600	1383	1386	1152	1614	2465	2094	2061	1573	1170	1685	1817	769	1488	2083	370	689	1751	886	0	1304	1131	0	0	1405	1249	1999	249	701	0	0	1547	1967	590	733	840	0	0	0	0	0	0	0	0	0	171	0	0	0	280	360	535	1960	453	1001	986	461	2366	0	974	1200	1593	1267	0
Serinc3	779.025568	0	205	0	582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1359	1134	0	0	0	0	0	0	0	0	0	0	0	0	897	1054	166	0	636	638	0	0	1080	593	0	0	1308	818	3217	3206	0	0	0	0	0	0	0	0	0	83	2010	2149	2362	2283	2007	2349	140	152	0	2099	1197	0	1020	1152	0	0	0	0	0	0	0	0	0	0	383	193	313	276	173	180	385	74	1381	830	465	158	115	0	0	1899	322	0	0	0	0	112	598	1106	1430	1134	759	565	1421	985	1316	1149	0	0	1999	1475	1321	2426	2519	0	0	104	105	0	0	609	336	0	198	66	0	166	339	0	0	0	448	390	1224	0	166	231	208	467	288	384	0	133	0	1619	2038	1995	0	160	93	561	847	482	1199	1742	1242	1073	616	979	770	876	735	384	266	736	2673	2266	185	1049	885	1089	2762	2521	2218	624	1183	372	2293	1930	2233	283	1895	1288	2052	1931	2702	292	189	0	2455	2138	2471	251	292	364	1380	361	273	1062	0	252	182	1654	544	358	720	0	1564	0	1570	868	0	0	1524	903	0	0	0	0	0	311	471	0	411	0	896	1431	1693	1230	1991	1930	383	1162	1374	1329	1622	1335	1714	902	1703	2127	2571	2295	1405	1675	942	736	2630	2490	1741	1404	191	278	98	1525	2689	2462	2054	1598	1613	2396	2136	1365	1249	2142	1230	332	1024	1040	1070	0	2019	2032	1214	2758	2599	0	2191	2970	868	140	1479	1487	1708	2748	2399	2895	2879	2844	2796	2649	1897	2250	1071	754	775	1555	680	1577	2241	1734	0	0	0	0	0	0	0	0	0	114	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	375	0	1514	0	1280	430	1542	990	0
Tmem125	687.264205	69	117	103	221	366	408	398	438	362	259	491	251	387	434	505	443	324	400	380	294	278	427	353	327	421	535	341	374	0	128	225	162	858	173	1314	272	723	377	361	367	615	421	405	364	655	440	1219	1233	97	173	0	0	202	155	136	580	917	519	1090	1209	1231	1209	1164	1188	1065	556	595	801	838	846	1382	1170	344	315	708	583	160	435	534	733	638	575	581	846	739	1045	264	0	580	524	855	530	550	553	601	137	1202	307	639	621	330	0	411	592	612	499	423	716	789	862	831	668	528	170	131	881	489	542	586	357	510	1380	1286	1401	1277	1354	328	458	1427	1411	1340	1698	1420	1673	1689	1419	1251	1240	1464	1283	1434	869	1503	1776	1758	1480	883	1525	412	382	344	236	481	314	308	286	370	345	273	214	945	1197	1114	960	1093	972	1143	861	1445	1492	1481	1513	1082	1040	1175	924	1035	1076	894	728	1239	892	1110	1116	1107	427	1145	960	846	1339	861	877	1085	959	1004	1152	781	961	1216	1146	787	1069	1102	1247	1210	1373	1100	227	621	689	634	500	272	699	613	494	608	0	639	0	365	0	683	224	779	688	770	708	1231	1721	967	995	392	274	484	290	778	540	488	568	678	416	371	481	385	645	818	649	858	1109	712	717	764	654	973	1117	616	538	461	470	512	937	890	826	708	588	1161	588	634	261	572	363	662	257	435	248	510	176	171	842	474	912	625	704	719	1253	540	385	491	0	616	303	263	523	849	373	552	332	633	571	303	296	487	635	699	1203	618	430	443	287	331	370	309	414	322	706	0	149	104	312	0	244	1482	1444	1452	1559	776	1465	1284	1807	1912	1379	601	405	1566	786	528	413	556	660	521	283	0	348	721	110	522	636	782	0	338	147	0
Zfp36	658.417614	0	979	0	1046	0	0	0	0	0	0	219	112	0	0	0	0	0	0	1337	1205	0	0	166	120	0	0	0	0	106	0	0	0	1550	1730	0	0	1715	1842	0	0	1463	831	0	0	2133	1700	2686	1441	0	0	0	0	0	0	0	0	0	0	2088	2072	2516	2237	2005	2440	0	0	0	1277	642	0	140	142	0	0	0	0	0	0	0	0	0	0	560	341	827	732	151	189	1230	113	1450	1843	724	744	1121	128	0	2230	991	0	0	0	235	0	1731	2289	2568	1686	1017	1219	1785	1796	1547	1132	0	377	1935	2055	2221	1869	1884	154	386	590	195	189	805	1600	923	675	857	396	469	314	821	197	642	323	1530	1059	1407	0	1098	1089	1339	610	1883	927	544	1222	509	1871	1799	1653	339	398	260	368	549	330	1529	2305	1842	1105	730	1312	1011	1003	1356	832	747	1538	1994	1919	1758	1014	782	882	2110	2211	2381	1423	1951	1157	2518	2633	2229	771	2263	2243	2320	2512	2324	1624	1261	905	2235	2359	2295	810	1242	1520	537	132	113	353	0	0	0	303	183	117	158	0	258	0	257	141	0	0	222	157	0	0	0	0	0	0	0	0	0	0	340	202	833	483	574	1031	0	419	130	314	273	180	873	184	400	667	993	1173	400	475	326	0	1231	1203	552	332	0	0	0	296	753	1416	537	228	403	1081	656	469	344	824	0	0	128	283	0	0	280	950	0	2049	1727	639	1746	1824	99	0	455	601	555	947	632	572	1319	1101	997	813	488	566	812	0	600	1242	212	400	930	169	0	0	0	0	0	0	0	355	0	302	0	0	153	1296	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1248	406	362	0	636	877	660	762	0
Cdkn1a	656.298295	0	1154	0	1792	0	0	0	0	0	0	1312	806	0	0	317	0	0	0	3106	3157	0	0	113	0	0	0	0	0	0	0	0	0	1985	2095	0	0	2093	2124	0	0	2097	1495	0	0	2511	2060	2674	932	0	0	0	0	0	0	0	0	0	0	1901	1858	2186	1945	1782	2299	0	0	0	2673	1278	0	132	169	0	0	0	0	0	0	0	0	0	0	997	547	1090	1110	437	301	195	0	1005	515	674	188	570	0	0	1787	378	0	0	0	205	0	1153	1608	2242	1528	1141	1020	1796	1607	1250	1394	0	290	2383	2435	2541	2595	2471	110	315	375	258	0	131	1146	790	459	751	349	501	517	1142	0	277	0	847	688	1012	0	836	1027	1128	210	904	671	654	642	210	2372	2523	2443	236	259	188	592	888	488	1072	1906	1610	1278	545	1359	941	939	945	901	508	1337	2471	2543	2021	1274	1048	1671	2730	2317	2615	840	2175	711	2890	2674	2753	539	2479	1861	2587	2843	2802	1494	1320	844	2833	2648	2959	1208	1005	1905	741	183	167	624	0	0	0	206	144	165	0	0	117	0	116	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	281	298	1256	646	272	745	0	523	0	415	341	514	783	1039	201	441	682	869	148	200	0	0	703	633	212	0	0	0	0	174	602	512	347	0	185	452	171	467	477	946	99	0	0	173	0	0	328	435	0	1198	1416	226	662	863	0	0	252	500	125	353	151	441	829	623	481	399	168	475	464	0	574	1065	0	186	632	0	0	186	218	0	0	215	222	271	151	635	0	0	621	2845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	306	607	0	0	0	1333	119	317	0	1301	1669	1800	1675	0
