Target_genes	Pou3f1|Average	SRX1410923|EpiSC	SRX1410928|EpiSC	SRX1056349|ES_cells	SRX3196478|MEF	SRX3196480|MEF	SRX5534183|MEF	SRX3730260|Trophoblast_stem_cells	SRX3730285|Trophoblast_stem_cells	STRING
Cldn34d	863.625	1339	614	198	788	578	2264	771	357	0
Pou3f1	724.25	1627	2952	0	0	0	1215	0	0	0
Tcstv3	707.125	755	600	2628	774	335	565	0	0	0
Brox	455.0	529	254	157	343	202	1943	212	0	0
Aida	455.0	529	254	157	343	202	1943	212	0	0
Kdm2b	254.375	0	0	0	685	544	0	806	0	0
Il31ra	235.25	202	518	833	0	0	0	329	0	0
Tmem125	214.0	159	0	0	163	162	1228	0	0	0
Crlf2	202.0	250	428	0	590	348	0	0	0	0
Bmt2	198.0	390	810	0	384	0	0	0	0	0
Tom1l1	180.75	0	0	0	1186	260	0	0	0	0
Kpna1	179.5	0	504	696	0	0	0	236	0	0
Cdhr2	164.875	437	882	0	0	0	0	0	0	0
Pbx3	162.5	313	987	0	0	0	0	0	0	0
G6pc2	162.5	304	996	0	0	0	0	0	0	0
Yju2	158.25	412	854	0	0	0	0	0	0	0
Ebi3	158.25	412	854	0	0	0	0	0	0	0
Mcc	155.625	237	554	0	454	0	0	0	0	0
C1qtnf7	153.5	297	931	0	0	0	0	0	0	0
Fam71e1	149.75	0	0	180	451	175	0	392	0	0
Emc10	149.75	0	0	180	451	175	0	392	0	0
Lrrc9	148.375	395	792	0	0	0	0	0	0	0
Efcab10	148.25	407	779	0	0	0	0	0	0	0
Samd12	143.25	259	887	0	0	0	0	0	0	0
Arid5b	142.375	297	842	0	0	0	0	0	0	0
Shoc1	139.125	390	723	0	0	0	0	0	0	0
Pou2f1	138.125	265	840	0	0	0	0	0	0	0
Lmo3	137.5	371	729	0	0	0	0	0	0	0
Col9a1	132.875	366	697	0	0	0	0	0	0	0
Gm14393	132.25	532	526	0	0	0	0	0	0	0
Angpt1	131.75	325	729	0	0	0	0	0	0	0
Vmn2r1	129.125	232	801	0	0	0	0	0	0	0
Sass6	123.625	259	730	0	0	0	0	0	0	0
Tenm4	122.75	192	790	0	0	0	0	0	0	0
Hmga2	122.375	364	615	0	0	0	0	0	0	0
Steap4	120.875	171	796	0	0	0	0	0	0	0
Adar	120.875	199	768	0	0	0	0	0	0	0
Klrb1a	119.5	328	451	177	0	0	0	0	0	0
Mid2	119.25	236	718	0	0	0	0	0	0	0
Lyrm4	118.5	322	626	0	0	0	0	0	0	0
Fars2	118.5	322	626	0	0	0	0	0	0	0
Sema3e	116.0	313	615	0	0	0	0	0	0	0
Coro1b	115.25	0	0	165	494	263	0	0	0	0
Zeb2	115.125	214	707	0	0	0	0	0	0	0
Ubac1	115.0	340	580	0	0	0	0	0	0	0
