Target_genes	Sox5|Average	SRX104233|Limbs_and_tails	SRX104234|Limbs_and_tails	STRING
Olfr806	906.0	787	1025	0
Tcstv3	883.0	860	906	0
Abhd6	871.0	877	865	0
Wwox	803.5	720	887	0
Kpna1	630.5	736	525	0
Cldn34d	597.5	552	643	0
Esr1	550.0	514	586	0
Oasl1	513.5	502	525	0
Znhit1	431.0	404	458	0
Plod3	431.0	404	458	0
Tent5c	389.0	277	501	0
Cbr3	389.0	398	380	0
Il31ra	388.0	418	358	0
Csf2ra	386.5	393	380	0
Brox	340.0	291	389	0
Aida	340.0	291	389	0
Asmt	325.0	305	345	0
Tmem125	324.0	357	291	0
Crebzf	300.5	236	365	0
Fnbp1	297.0	343	251	0
Vmn2r102	275.5	330	221	0
Fam227b	274.5	378	171	0
Dtwd1	274.5	378	171	0
Cdrt4	263.5	271	256	0
Cdh12	263.5	271	256	0
Vmn2r4	259.0	0	518	0
Rps29	244.0	257	231	0
Zfp563	228.5	236	221	0
Exo5	226.0	219	233	0
Sbno2	223.5	153	294	0
Sox5	214.0	202	226	0
Plekhg1	211.5	219	204	0
Gpsm3	207.0	0	414	0
Trrap	206.5	202	211	0
Prkdc	203.5	236	171	0
Plk1	202.0	233	171	0
Itih5	195.5	236	155	0
Ptpn6	186.5	202	171	0
Alg9	175.5	169	182	0
Zrsr1	175.0	168	182	0
Commd1	175.0	168	182	0
Dchs2	166.0	122	210	0
Gcgr	160.0	0	320	0
Copz1	155.0	0	310	0
Rasip1	146.0	292	0	0
Izumo1	146.0	292	0	0
Sspn	139.0	137	141	0
Nemf	131.5	263	0	0
Tmem115	124.0	0	248	0
Scn8a	110.0	0	220	0
Tmem267	105.0	0	210	0
Stap2	102.0	0	204	0
Mpnd	102.0	0	204	0
Klrb1b	101.0	202	0	0
Zfp598	92.5	185	0	0
Naa50	92.5	185	0	0
Ifna13	92.5	185	0	0
D5Ertd579e	92.5	185	0	0
Unc45b	90.5	181	0	0
Nle1	90.5	181	0	0
Bmyc	88.0	176	0	0
S100a6	85.5	0	171	0
Stk19	84.5	169	0	0
Dxo	84.5	169	0	0
Zfp143	80.0	0	160	0
Fbxl19	78.5	0	157	0
Cplx4	77.5	0	155	0
Mtres1	76.5	153	0	0
Hdlbp	76.5	153	0	0
Grid2ip	76.5	153	0	0
Ftsj1	76.5	153	0	0
Rpl23a	76.0	0	152	0
Rab34	76.0	0	152	0
Cd163l1	46.5	0	93	0
Tnfsf11	0.0	0	0	426
Mmp9	0.0	0	0	418
