Target_genes	Sp1|Average	SRX12298596|B_cells	SRX7799915|CH12	SRX7799916|CH12	SRX7799920|CH12	SRX7799921|CH12	SRX5371688|ES_cells	SRX5371689|ES_cells	SRX5371690|ES_cells	SRX5371691|ES_cells	SRX5371692|ES_cells	SRX5371698|ES_cells	SRX5371699|ES_cells	SRX5371700|ES_cells	SRX5371701|ES_cells	SRX5850139|ES_cells	SRX5850140|ES_cells	SRX5850141|ES_cells	SRX5850142|ES_cells	SRX5850143|ES_cells	SRX5850144|ES_cells	SRX5850145|ES_cells	SRX5850146|ES_cells	SRX5850147|ES_cells	SRX5850148|ES_cells	SRX5850149|ES_cells	SRX9162528|External_genitalia	SRX9162532|External_genitalia	SRX378972|mESCs,_differentiated	SRX378973|mESC_derived_haematopoietic_progenitor	SRX5818135|Neural_Stem_Cells	SRX5818139|Neural_Stem_Cells	SRX1898479|Striatal_neurons	SRX160414|Trophoblast_stem_cells	STRING
Cldn34d	1366.666667	2054	2100	2166	2070	2001	456	290	846	1053	808	685	824	886	1289	1982	1789	2333	1515	1707	1564	2043	2552	2378	1782	2404	1039	899	701	691	0	155	845	1193	0
Tcstv3	1256.151515	2433	1391	1239	1424	1561	0	0	0	150	118	0	0	0	0	2103	2344	2426	2355	2315	2203	2396	2219	2219	2212	2242	309	335	2138	2077	271	339	1137	1497	0
Calcoco1	1188.0	1382	2686	2768	2818	2990	2317	1702	2387	232	0	3084	0	1066	1139	1517	505	1039	881	1217	1718	1418	204	1304	457	410	0	0	2780	935	0	0	0	248	0
Ube2b	1108.909091	1665	2072	2099	2394	2312	1320	988	1510	188	0	2267	0	971	988	1509	1517	1173	1718	1713	2172	1928	573	1718	1011	1176	486	320	442	0	0	0	0	364	0
Cdkl3	1108.909091	1665	2072	2099	2394	2312	1320	988	1510	188	0	2267	0	971	988	1509	1517	1173	1718	1713	2172	1928	573	1718	1011	1176	486	320	442	0	0	0	0	364	0
Zfp821	1017.30303	2029	2642	2649	2697	2774	1499	861	1466	0	0	2721	0	1104	1148	959	569	529	733	884	1335	1072	292	715	320	414	976	1177	1424	404	0	0	178	0	0
Gatad2a	999.727273	1632	2515	2489	2183	2437	1880	1129	1642	202	0	2358	0	660	782	923	318	546	795	464	1256	731	694	562	637	422	1404	1754	2062	443	0	0	0	71	0
Ccdc85c	994.727273	1543	2076	2125	2187	2142	1496	1198	1599	0	85	2238	0	732	696	938	662	826	1325	931	1827	1358	597	966	973	652	1171	1275	908	0	0	0	0	300	0
Cenpu	975.0	1747	2494	2607	2534	2656	1650	1003	1851	152	0	2610	0	1074	825	732	617	603	1111	859	1381	1024	372	842	331	515	0	0	1849	561	0	0	0	175	0
Plag1	963.848485	1614	2155	2237	2228	2294	952	440	940	0	0	1932	0	422	288	1179	703	759	1541	627	1553	1157	1198	1024	1411	794	817	790	2115	432	0	0	86	119	0
Zdhhc20	959.30303	1733	2122	2181	2233	2160	1532	884	1213	117	0	2505	0	706	660	1609	661	1008	1650	550	488	852	1550	1189	1400	882	692	877	203	0	0	0	0	0	0
Ist1	955.151515	2029	2642	2649	2697	2774	1499	861	1466	0	0	2721	0	1104	1148	959	569	529	733	884	1335	1072	292	715	320	414	155	125	1424	404	0	0	0	0	0
Fam20b	953.575758	1379	2390	2425	2386	2512	1307	830	1380	0	0	2058	0	986	660	1061	466	621	993	595	1346	1117	522	988	544	662	1382	1626	1232	0	0	0	0	0	0
Tmem87b	952.636364	1383	2129	2053	2379	2329	2702	1919	2710	370	133	2571	0	1209	1013	747	306	491	1102	356	620	551	872	493	1057	390	488	574	490	0	0	0	0	0	0
Dynlt1b	919.30303	1617	2430	2436	2178	2236	1866	1314	1596	169	0	2625	0	981	870	1295	273	942	1156	788	709	856	681	632	836	628	190	222	550	261	0	0	0	0	0
Usp12	918.727273	1696	2431	2470	2387	2663	1024	534	919	0	0	2437	0	478	657	1292	530	766	1015	520	777	803	1224	739	1169	446	1189	1413	739	0	0	0	0	0	0
Mtch1	898.545455	1409	2658	2726	2391	2665	1229	903	1384	0	0	2545	0	879	939	1023	328	499	791	342	591	379	684	398	640	465	1513	1835	436	0	0	0	0	0	0
Rbx1	894.272727	1739	2405	2385	2596	2667	1250	788	1479	155	0	2404	0	909	627	1280	550	544	769	582	1128	793	811	868	837	374	0	0	1320	251	0	0	0	0	0
Ppp2r3a	892.060606	1641	2160	2390	2153	2377	1021	565	1301	131	0	2159	0	677	634	1222	530	872	1061	610	749	951	1004	837	922	598	979	1339	555	0	0	0	0	0	0
Fmnl3	887.393939	1384	2513	2598	2483	2505	1113	804	1204	0	0	2391	0	770	428	1023	446	408	530	569	1254	773	430	719	604	318	1027	1118	1363	0	0	0	356	153	0
Pim1	886.151515	1757	2044	2019	2228	2085	1140	675	935	0	0	1857	0	512	484	1505	876	641	1258	715	1563	908	975	957	1205	644	775	924	406	0	0	0	155	0	0
Mien1	869.969697	1454	2510	2584	2627	2868	1868	1307	2021	114	0	2758	0	1178	927	586	235	481	601	362	875	761	276	569	304	234	144	174	699	192	0	0	0	0	0
Wdr59	866.393939	960	2368	2300	2144	2519	1795	1271	1592	0	0	2507	0	674	890	891	332	458	342	646	1102	787	283	788	405	165	316	391	2229	436	0	0	0	0	0
Prpf40b	862.636364	1617	2354	2393	2390	2450	1484	833	1316	235	0	1965	0	601	546	888	407	267	730	353	993	540	540	604	874	379	1161	1520	928	0	0	0	99	0	0
Acly	862.060606	1339	2426	2443	2264	2428	1927	1186	1651	0	70	2486	0	1031	952	761	185	475	597	393	865	578	429	531	396	320	96	0	2072	383	0	0	164	0	0
Map2k4	856.060606	1627	2443	2443	2023	2314	1212	497	1166	0	0	1780	0	333	406	1341	492	1169	860	638	639	981	838	844	983	614	1166	1242	199	0	0	0	0	0	0
Chaf1b	850.69697	1786	2440	2413	2315	2438	1561	968	1495	0	0	2565	0	813	768	1062	405	497	1080	500	658	579	722	511	969	430	391	340	367	0	0	0	0	0	0
Usp35	850.30303	1018	2319	2247	2063	2266	1352	719	1339	93	0	2307	0	784	685	1102	487	685	789	653	985	767	628	664	769	398	249	262	2071	250	0	0	0	109	0
Kctd21	850.30303	1018	2319	2247	2063	2266	1352	719	1339	93	0	2307	0	784	685	1102	487	685	789	653	985	767	628	664	769	398	249	262	2071	250	0	0	0	109	0
Rassf8	843.727273	1261	724	930	859	1108	1510	1026	1525	0	0	2528	0	862	733	1475	679	893	1357	875	1882	1249	1167	814	1281	632	993	1144	336	0	0	0	0	0	0
Paqr3	841.848485	1779	2370	2416	2456	2533	923	581	705	0	0	1823	0	329	290	1139	635	766	1332	488	669	858	1048	555	1177	770	931	985	223	0	0	0	0	0	0
Ctnnb1	838.818182	1441	2549	2510	2590	2703	1152	738	1220	172	0	2180	0	616	603	750	640	490	951	636	917	851	406	627	420	423	806	973	219	0	0	0	98	0	0
