Target_genes	Srebf2|Average	SRX7671896|NLPCs	SRX7671897|NLPCs	SRX7671884|Oligodendrocytes	SRX7671885|Oligodendrocytes	STRING
Hmgcs1	1863.25	2527	1673	2109	1144	0
Srebf2	1751.0	3084	1767	1193	960	0
Msmo1	1666.25	1838	1155	2493	1179	0
Sqle	1408.75	2476	842	1547	770	0
Ralgapb	1361.5	3060	1814	0	572	0
Cldn34d	1243.75	639	950	1507	1879	0
Kifap3	1169.0	2901	1510	0	265	0
Fdft1	1163.5	1851	918	1200	685	0
Tti1	1063.75	2660	1303	0	292	0
Rprd1b	1063.75	2660	1303	0	292	0
Insig1	1029.0	1681	835	1117	483	0
Cct5	989.25	2595	1163	0	199	0
Atpsckmt	989.25	2595	1163	0	199	0
Tmem125	987.25	591	570	1463	1325	0
Patl1	958.25	2282	1288	0	263	0
Aga	933.75	2256	1245	0	234	0
Idi1	933.5	1635	615	966	518	0
Hmgcr	913.75	1636	674	937	408	474
Gmeb2	892.25	2237	1119	0	213	0
Zfp653	819.0	2094	915	0	267	0
Ythdf1	756.25	1990	1035	0	0	0
Cyp51	753.75	1295	547	820	353	0
Brox	748.25	436	509	941	1107	0
Aida	748.25	436	509	941	1107	0
Chd4	682.75	1881	850	0	0	0
Chmp7	639.75	1903	656	0	0	0
Tcstv3	625.75	605	596	611	691	0
Hsd17b7	625.5	1105	526	627	244	0
Sf3a2	607.0	1393	897	0	138	0
Plekhj1	607.0	1393	897	0	138	0
Ppip5k2	542.5	1590	580	0	0	0
Gin1	542.5	1590	580	0	0	0
Fdps	502.75	1028	351	482	150	0
Kifc1	470.5	1381	501	0	0	0
Etnk1	426.25	1243	309	0	153	0
Stard4	417.75	830	320	354	167	0
Lss	404.75	820	354	445	0	0
Pank3	400.5	676	327	419	180	0
Ldlr	394.75	631	230	472	246	517
Nip7	382.25	1124	405	0	0	0
Cog8	382.25	1124	405	0	0	0
Adk	374.75	1054	445	0	0	0
Atf4	370.5	663	275	402	142	0
Fasn	367.5	580	364	347	179	153
Hjurp	365.5	988	474	0	0	0
A730008H23Rik	365.5	988	474	0	0	0
Oaz1	360.0	955	485	0	0	0
Enho	353.75	1175	240	0	0	0
Nme7	349.5	995	403	0	0	0
Blzf1	349.5	995	403	0	0	0
Krt10	348.25	977	416	0	0	0
Rpl37	341.5	1020	346	0	0	0
Pmvk	333.75	314	204	605	212	0
Dhcr24	333.75	766	257	170	142	0
Acat2	331.25	397	333	454	141	0
Mrpl36	327.0	916	392	0	0	0
Rbm10	323.25	721	572	0	0	0
Ndufb11	323.25	721	572	0	0	0
Thumpd3	319.5	1063	215	0	0	0
Snrpe	314.25	939	318	0	0	0
Rps21	311.5	867	379	0	0	0
Tmem97	302.0	840	190	178	0	0
Cops7a	290.5	872	290	0	0	0
Sc5d	289.5	672	233	253	0	0
Acly	289.5	605	258	295	0	0
Stk11ip	287.25	919	230	0	0	0
Exoc3	282.75	868	263	0	0	0
Ppih	279.5	792	326	0	0	0
Mvk	278.75	857	258	0	0	0
Mmab	278.75	857	258	0	0	0
Ing4	265.5	755	307	0	0	0
Rrs1	264.5	817	241	0	0	0
Adhfe1	264.5	817	241	0	0	0
Csnk1g2	263.0	481	376	195	0	0
Map4k1	259.5	745	293	0	0	0
Eif3k	259.5	745	293	0	0	0
Psma6	259.25	757	280	0	0	0
Canx	258.5	766	85	183	0	0
Utp14b	258.25	695	202	136	0	0
Acsl3	258.25	695	202	136	0	0
Rps26	256.0	697	327	0	0	0
Pdap1	250.5	754	248	0	0	0
Bud31	250.5	754	248	0	0	0
Rer1	249.0	768	228	0	0	0
Morn1	249.0	768	228	0	0	0
Zbtb22	248.25	682	311	0	0	0
Tapbp	248.25	682	311	0	0	0
Rars	242.75	707	264	0	0	0
Nup107	236.25	751	194	0	0	0
Pigm	236.0	694	250	0	0	0
Ube2g2	230.0	655	265	0	0	0
Tmco1	230.0	647	273	0	0	0
Usp36	229.5	740	178	0	0	0
Rpf1	228.25	545	368	0	0	0
Elovl6	226.5	516	215	175	0	0
Klhdc8b	225.75	649	254	0	0	0
Ccdc71	225.75	649	254	0	0	0
Supt16	223.25	725	168	0	0	0
Dnpep	221.25	348	181	356	0	0
Mrpl27	220.25	651	230	0	0	0
Eme1	220.25	651	230	0	0	0
Bbs10	218.25	681	192	0	0	0
Pramel12	217.0	684	184	0	0	0
Eif2s1	216.75	666	201	0	0	0
Atp6v1d	216.75	666	201	0	0	0
Ngrn	215.5	710	152	0	0	0
Tmem170b	214.75	313	299	247	0	0
Kti12	213.5	638	216	0	0	0
Echdc1	212.75	493	193	165	0	0
Epn1	212.25	643	206	0	0	0
Rps14	209.75	570	269	0	0	0
Derl1	209.25	547	290	0	0	0
Myg1	208.25	622	211	0	0	0
Tatdn1	207.25	671	158	0	0	0
Ndufb9	207.25	671	158	0	0	0
Scrn3	206.25	649	176	0	0	0
Cir1	206.25	649	176	0	0	0
Cers2	206.0	597	103	0	124	0
Anxa9	206.0	597	103	0	124	0
Trmt112	203.75	598	217	0	0	0
Prdx5	203.75	598	217	0	0	0
Zc3h10	202.5	589	221	0	0	0
Rpl41	202.5	589	221	0	0	0
Ippk	202.25	627	182	0	0	0
Atg2a	199.5	518	280	0	0	0
Ppp4c	199.25	560	237	0	0	0
Leng8	198.5	247	207	340	0	0
Cops9	198.5	540	254	0	0	0
Mtf1	194.75	578	201	0	0	0
Mcrs1	193.75	502	273	0	0	0
Csnk2a1	193.25	562	211	0	0	0
Ubc	192.5	515	130	0	125	0
Bzw2	192.5	678	92	0	0	0
Ankmy2	192.5	678	92	0	0	0
Pold1	192.25	547	222	0	0	0
Nr1h2	192.25	547	222	0	0	0
Trmt6	192.0	623	145	0	0	0
Mcm8	192.0	623	145	0	0	0
Cox5b	192.0	591	177	0	0	0
Mettl6	191.25	487	278	0	0	0
Imp4	191.25	511	254	0	0	0
H4c3	191.25	449	316	0	0	0
H1f6	191.25	449	316	0	0	0
Eaf1	191.25	487	278	0	0	0
Ccdc115	191.25	511	254	0	0	0
Mthfr	191.0	431	204	129	0	0
Ebf3	191.0	523	241	0	0	0
Clcn6	191.0	431	204	129	0	0
Eif1ad	190.5	570	192	0	0	0
Banf1	190.5	570	192	0	0	0
Mcts2	189.0	577	179	0	0	0
Atg16l1	186.5	484	262	0	0	0
Ggt7	185.5	228	167	228	119	0
Acss2	185.5	228	167	228	119	0
Pomp	184.5	551	187	0	0	0
Mrps31	183.25	517	216	0	0	0
Pex12	182.75	547	184	0	0	0
Ap2b1	182.75	547	184	0	0	0
Mocs3	182.25	575	154	0	0	0
Dpm1	182.25	575	154	0	0	0
Ebna1bp2	181.0	488	236	0	0	0
Cfap57	181.0	488	236	0	0	0
Cd2bp2	178.75	551	164	0	0	0
Tomm22	176.75	491	216	0	0	0
Srp54a	176.75	473	234	0	0	0
Pcyt2	175.5	232	143	327	0	0
Snu13	175.25	540	161	0	0	0
Ubr7	173.25	513	180	0	0	0
Gon7	173.25	513	180	0	0	0
Gm20604	173.25	513	180	0	0	0
Nifk	172.5	549	141	0	0	0
Supt4a	172.0	493	195	0	0	0
Tnrc6a	171.0	519	165	0	0	0
Tfip11	171.0	579	105	0	0	0
Fubp3	170.75	478	205	0	0	0
Gbe1	170.5	499	183	0	0	0
Exoc1	170.5	506	176	0	0	0
Zfp384	170.25	507	174	0	0	0
Zfp598	169.5	483	195	0	0	0
Cox7a2	169.5	517	161	0	0	0
Tent2	168.25	405	268	0	0	0
Ltn1	167.75	504	167	0	0	0
Scd2	167.5	556	114	0	0	0
Kdm5a	167.0	531	137	0	0	0
Ndufs1	166.75	538	129	0	0	0
Eef1b2	166.75	538	129	0	0	0
Hccs	166.5	533	133	0	0	0
Gm15246	166.5	533	133	0	0	0
Pcmtd1	166.25	229	200	236	0	0
Ccdc9	165.0	462	198	0	0	0
Zfp780b	164.0	459	197	0	0	0
Yrdc	163.75	464	191	0	0	0
Snrnp200	163.75	482	173	0	0	0
1810024B03Rik	163.75	482	173	0	0	0
1110065P20Rik	163.75	464	191	0	0	0
Anapc15	163.0	515	137	0	0	0
Txnl4b	161.25	484	161	0	0	0
Dhx38	161.25	484	161	0	0	0
Prkab1	161.0	464	180	0	0	0
Smug1	160.75	643	0	0	0	0
Ppid	160.0	493	147	0	0	0
Itpa	160.0	477	163	0	0	0
Ddrgk1	160.0	477	163	0	0	0
Tmem198b	159.5	522	116	0	0	0
Dnajc14	159.5	522	116	0	0	0
Ttc30b	159.0	475	161	0	0	0
Taf1a	159.0	500	136	0	0	0
Gle1	158.75	479	156	0	0	0
Exoc3l	158.75	635	0	0	0	0
E2f4	158.75	635	0	0	0	0
Mettl17	158.5	634	0	0	0	0
Slirp	158.25	460	173	0	0	0
Nrp	158.25	460	173	0	0	0
Alkbh1	158.25	460	173	0	0	0
Tmed10	157.0	447	181	0	0	0
Colgalt1	156.75	462	165	0	0	0
Actr3	156.0	417	207	0	0	0
Mvd	155.75	294	0	329	0	0
Fam91a1	154.75	369	250	0	0	0
AW549877	154.25	217	151	249	0	0
Dpysl2	154.0	358	170	88	0	0
Ttc33	153.75	437	178	0	0	0
Pip4p1	153.5	206	119	173	116	0
H4c18	153.25	310	198	0	105	0
H4bc24	153.25	310	198	0	105	0
H2bc23	153.25	310	198	0	105	0
H2ac24	153.25	310	198	0	105	0
H2ac23	153.25	310	198	0	105	0
Zfp26	153.0	420	192	0	0	0
Spink10	152.25	468	141	0	0	0
Fbxo38	152.25	468	141	0	0	0
Spata2	151.75	496	111	0	0	0
Rnf114	151.75	496	111	0	0	0
Endov	151.75	477	130	0	0	0
Traf7	151.5	524	82	0	0	0
Rps19	151.25	381	224	0	0	0
Tufm	150.75	483	120	0	0	0
Prkag1	150.5	480	122	0	0	0
Tsc2	150.25	365	236	0	0	0
Nthl1	150.25	365	236	0	0	0
Zwilch	149.5	414	184	0	0	0
Rpl4	149.5	414	184	0	0	0
Herc2	149.5	325	110	163	0	0
Tkt	149.25	492	105	0	0	0
Adipor2	148.75	484	111	0	0	0
Ubac2	148.0	400	192	0	0	0
Ddx18	147.75	388	203	0	0	0
Capn10	147.5	444	146	0	0	0
Tiprl	147.25	432	157	0	0	0
Gcdh	147.25	589	0	0	0	0
Zfp865	146.5	345	241	0	0	0
Zfp524	146.5	345	241	0	0	0
Urm1	146.0	430	154	0	0	0
Cars	145.5	433	149	0	0	0
Lrrc51	144.25	416	161	0	0	0
Vmp1	142.75	392	179	0	0	0
Trip13	142.75	457	114	0	0	0
Ptrh2	142.75	392	179	0	0	0
Brd9	142.75	457	114	0	0	0
Tnfaip1	142.5	438	132	0	0	0
Ift20	142.5	438	132	0	0	0
Rps3	141.5	454	112	0	0	0
Rpl35	141.0	350	214	0	0	0
Arpc5l	141.0	350	214	0	0	0
Sar1a	140.75	344	219	0	0	0
Lbr	140.75	327	69	167	0	0
Sf3b6	140.5	422	140	0	0	0
Kat8	140.25	432	129	0	0	0
Tmem161b	140.0	378	182	0	0	0
Timm10	139.5	428	130	0	0	0
Smtnl1	139.5	428	130	0	0	0
Phrf1	139.0	441	115	0	0	0
Phb2	138.75	435	120	0	0	0
Emg1	138.75	435	120	0	0	0
Zfp626	138.5	395	159	0	0	0
Cacybp	138.25	394	159	0	0	0
Vps52	138.0	400	152	0	0	0
Rps18	138.0	400	152	0	0	0
Llph	138.0	399	153	0	0	0
Gtf2a2	138.0	328	224	0	0	0
B3galt4	138.0	400	152	0	0	0
Uba2	137.5	465	85	0	0	0
Shld1	137.5	448	102	0	0	0
Mfsd14a	137.5	431	119	0	0	0
Dhx8	137.25	549	0	0	0	0
Appl2	137.25	549	0	0	0	0
Ube2i	136.75	342	205	0	0	0
Rnf20	136.75	547	0	0	0	0
Zfp420	136.0	410	134	0	0	0
Prr3	135.75	372	171	0	0	0
H4c4	135.75	383	160	0	0	0
H2bc6	135.75	383	160	0	0	0
Gnl1	135.75	372	171	0	0	0
Gps2	135.5	319	223	0	0	0
Srp19	134.5	399	139	0	0	0
4833420G17Rik	134.5	420	118	0	0	0
Hspe1	134.0	348	188	0	0	0
Hspd1	134.0	348	188	0	0	0
Mpc2	133.75	413	122	0	0	0
Dcaf6	133.75	413	122	0	0	0
Slu7	133.5	397	137	0	0	0
Pgam5	133.5	430	104	0	0	0
Spata17	133.25	332	201	0	0	0
Rad51	133.25	533	0	0	0	0
Ndufb3	133.25	309	224	0	0	0
Gpatch2	133.25	332	201	0	0	0
Fam126b	133.25	309	224	0	0	0
Tfb2m	133.0	418	114	0	0	0
Cnst	133.0	418	114	0	0	0
Larp4	132.75	411	120	0	0	0
