Target_genes	Tcf4|Average	SRX22670268|Cortex	SRX22670269|Cortex	SRX22670285|Cortex	SRX22670286|Cortex	SRX9641192|EpiLC	SRX9641193|EpiLC	SRX9641194|EpiLC	SRX9641205|EpiLC	SRX9641206|EpiLC	SRX9641207|EpiLC	SRX9641221|EpiLC	SRX9641222|EpiLC	SRX9641223|EpiLC	SRX9641173|ES_cells	SRX9641174|ES_cells	SRX9641175|ES_cells	SRX323584|Hair_follicle_stem_cells	SRX116907|Hepatocytes	SRX116909|Hepatocytes	SRX856962|Intestinal_crypt	SRX856963|Intestinal_crypt	SRX1141903|Intestinal_stem_cells	SRX1141904|Intestinal_stem_cells	SRX14986811|MC-38	SRX14986813|MC-38	SRX6818037|Mesenchymal_stem_cells	SRX6818038|Mesenchymal_stem_cells	SRX6818039|Mesenchymal_stem_cells	SRX6818040|Mesenchymal_stem_cells	STRING
Tcstv3	1762.758621	2060	2118	2024	2026	2310	2300	2385	2122	2129	2342	2409	2193	2399	2353	2511	2408	751	1151	759	1248	1412	561	1207	709	806	1559	1846	1458	1564	0
Denr	1024.413793	322	283	340	307	1931	1994	2242	2174	2237	1889	2894	2040	2154	2102	2461	2035	2034	130	0	0	0	0	0	0	0	139	0	0	0	0
Ddx20	973.896552	384	378	434	530	573	1188	988	690	1429	627	1097	778	1158	774	1249	474	889	650	0	0	1750	0	457	0	0	4598	2613	2465	2070	0
Qrich1	971.137931	198	114	215	138	1860	2054	2078	1997	2343	1849	2618	2040	2315	2108	2288	1814	1883	174	0	0	0	0	0	0	0	0	77	0	0	0
Mcts2	962.206897	0	0	91	0	1340	1891	1963	2004	2195	1624	1745	1444	1556	1749	2073	1277	591	136	0	0	0	0	0	0	0	1250	552	2778	1645	0
Cdk12	929.62069	228	206	257	251	1524	1971	2011	1662	2108	1782	2578	2101	1990	1989	2220	1955	1968	0	0	0	0	0	0	0	0	158	0	0	0	0
Supt5	908.551724	151	104	156	117	1688	2049	2065	1839	2196	1735	2607	2025	2122	1951	2413	1727	1037	261	0	0	0	0	0	0	0	0	105	0	0	0
Zzz3	898.0	217	280	282	189	1567	1986	2072	1863	2237	1813	2346	1970	2132	1825	2349	1780	799	243	0	0	0	0	0	0	0	92	0	0	0	0
Banp	893.724138	136	105	89	160	1582	1837	2021	1947	2021	1923	2558	1902	1898	1846	2280	1829	1270	212	175	0	0	0	0	0	0	127	0	0	0	0
Wdr77	884.965517	184	152	165	200	1609	1846	2030	1695	2093	1819	2530	1865	1945	1885	2058	1570	1871	147	0	0	0	0	0	0	0	0	0	0	0	0
Atp5pb	884.965517	184	152	165	200	1609	1846	2030	1695	2093	1819	2530	1865	1945	1885	2058	1570	1871	147	0	0	0	0	0	0	0	0	0	0	0	0
Smim10l1	874.448276	220	158	125	150	1146	1703	1822	1552	1933	1291	1709	1107	1737	1140	1815	863	724	200	0	0	0	0	0	0	0	628	402	2952	1982	0
