Target_genes	Tcf7l2|Average	SRX9806209|Embryonic_intestinal_epithelial_cells	SRX2734776|Heart_Ventricles	SRX2734777|Heart_Ventricles	SRX2734782|Heart_Ventricles	SRX4891751|Heart_Ventricles	SRX14259589|Liver	SRX14259591|Liver	SRX14259606|Liver	SRX14259607|Liver	SRX14259608|Liver	SRX14259609|Liver	SRX14259610|Liver	SRX14259611|Liver	SRX5825956|Nephron_progenitor	SRX5825957|Nephron_progenitor	SRX5825978|Nephron_progenitor	SRX5825979|Nephron_progenitor	SRX5826000|Nephron_progenitor	SRX5826001|Nephron_progenitor	SRX5647947|Preadiocytes	SRX5647948|Preadiocytes	SRX5647950|Preadiocytes	SRX5647951|Preadiocytes	STRING
Cyb5r4	978.130435	1794	90	302	0	199	746	988	564	874	605	959	750	822	2373	2015	546	813	0	3160	136	598	2072	2091	0
Cldn34d	897.478261	873	465	716	757	657	1125	1012	936	1046	907	888	951	785	852	1018	981	746	0	1275	805	1029	1511	1307	0
Zfp142	794.173913	2440	179	211	0	498	449	628	374	519	316	557	420	542	1686	1306	923	1110	0	2871	0	96	1509	1632	0
Bcs1l	794.173913	2440	179	211	0	498	449	628	374	519	316	557	420	542	1686	1306	923	1110	0	2871	0	96	1509	1632	0
Znrf3	724.956522	1777	0	0	0	0	126	318	131	258	0	203	249	341	1534	1192	1277	1463	2563	3274	0	169	893	906	0
Kpna1	718.652174	767	465	708	577	749	802	956	502	662	493	668	608	511	465	450	540	369	833	1105	931	1067	1141	1160	0
Tcf7	671.304348	1325	0	0	0	0	508	727	409	545	366	647	398	527	1287	898	903	1051	2283	2719	0	218	326	303	0
Axin2	668.695652	1690	0	164	118	247	307	466	268	445	185	378	301	476	1375	1244	867	1008	1447	1564	0	197	1368	1265	0
Ddx20	601.391304	1969	70	237	0	332	312	693	460	536	246	500	494	533	943	698	479	548	0	2537	0	140	994	1111	0
Bahcc1	582.086957	1599	0	87	0	182	144	202	190	251	0	216	169	211	1262	1091	839	738	2380	2642	0	0	532	653	0
Zfp703	580.130435	1522	87	140	0	172	346	515	251	385	195	330	235	490	1207	951	666	765	0	2500	0	244	1287	1055	0
Brox	576.391304	819	170	262	442	468	736	806	387	380	736	564	320	256	775	623	657	337	0	600	728	787	1371	1033	0
Aida	576.391304	819	170	262	442	468	736	806	387	380	736	564	320	256	775	623	657	337	0	600	728	787	1371	1033	0
Lgr5	512.782609	1410	0	0	0	0	666	875	611	700	509	674	544	638	534	470	832	878	841	1612	0	0	0	0	0
Snx17	497.478261	1563	0	0	0	123	318	479	337	450	173	351	196	345	1056	740	863	838	0	2359	0	0	538	713	0
Eif2b4	497.478261	1563	0	0	0	123	318	479	337	450	173	351	196	345	1056	740	863	838	0	2359	0	0	538	713	0
Coq2	495.913043	2414	0	0	0	128	314	564	240	492	334	410	281	373	815	486	287	244	0	2320	0	138	772	794	0
Zfp503	483.869565	1673	0	0	0	83	0	124	0	0	0	0	0	0	671	707	1503	1283	1475	1885	0	0	732	993	0
Lef1	471.826087	2397	0	156	0	0	168	457	225	244	196	218	127	252	634	483	1178	1235	0	2276	0	0	336	270	0
Il31ra	458.695652	340	0	420	457	416	369	714	280	390	266	315	336	226	308	371	419	270	506	804	701	972	862	808	0
Hoxb4	458.217391	580	0	0	0	0	0	0	0	0	0	0	0	0	1554	1055	1287	1031	2016	2354	0	0	476	186	0
Hoxb3	458.217391	580	0	0	0	0	0	0	0	0	0	0	0	0	1554	1055	1287	1031	2016	2354	0	0	476	186	0
Cuedc2	456.0	1057	113	150	0	389	284	645	271	441	243	458	301	393	441	281	291	332	1175	2095	0	0	529	599	0
Sp5	452.695652	1660	0	109	0	0	372	909	406	646	389	616	481	537	530	337	937	895	0	1459	0	0	0	129	0
Lcor	451.652174	1783	0	0	0	0	517	843	543	824	366	600	367	677	402	297	282	208	761	1326	0	0	328	264	0
Sec31a	443.565217	1117	0	183	0	158	179	337	99	282	103	208	155	297	777	563	596	695	0	2860	0	0	774	819	0
Ormdl3	427.304348	1150	0	0	0	199	248	472	317	425	203	445	220	554	598	400	451	437	645	1571	0	0	693	800	0
Slc25a28	423.826087	723	64	112	0	151	520	801	425	711	209	482	412	462	599	492	251	154	588	1102	0	0	803	687	0
Amotl2	419.565217	876	0	0	0	119	249	317	164	245	162	265	158	261	1004	930	617	415	0	3035	0	0	481	352	0
1190007I07Rik	415.173913	881	0	0	0	0	481	789	443	731	247	551	384	616	394	332	170	0	810	1337	0	0	689	694	0
Phospho1	414.521739	1423	0	0	0	0	0	121	0	170	0	113	0	87	683	508	530	456	1743	2475	0	0	653	572	0
Zfp219	396.652174	1224	0	0	0	181	432	640	366	618	281	552	548	742	381	329	329	220	245	1037	0	0	566	432	0
Tmem253	396.652174	1224	0	0	0	181	432	640	366	618	281	552	548	742	381	329	329	220	245	1037	0	0	566	432	0
Zfp775	391.695652	1249	0	0	0	262	234	549	372	614	284	422	319	585	279	237	307	163	0	1937	0	0	632	564	0
Taf1	367.26087	256	87	70	0	240	371	501	390	402	281	397	366	409	642	467	159	208	0	1294	0	0	958	949	0
Cox20	363.782609	572	79	0	0	202	389	615	376	478	245	483	403	548	403	261	288	310	0	1558	0	0	558	599	0
Mon1b	363.0	1348	0	0	0	0	337	576	289	530	195	460	258	491	392	349	214	373	0	1655	0	0	399	483	0
Tnfrsf19	360.956522	777	0	71	0	261	168	430	246	347	107	217	189	244	553	456	574	505	959	1998	0	0	0	200	0
Tjp3	360.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	623	409	1345	1315	2138	2316	0	0	156	0	0
Pip5k1c	360.956522	0	0	0	0	0	0	0	0	0	0	0	0	0	623	409	1345	1315	2138	2316	0	0	156	0	0
Bcl9l	352.173913	348	0	0	0	0	580	855	665	791	429	868	581	863	290	231	244	291	0	559	0	0	280	225	0
