Target_genes	Tead4|Average	SRX1817464|C2C12	SRX1817465|C2C12	SRX4153289|Carcinoma,_Basal_Cell	SRX3585309|ES_cells	SRX1885932|Liver	SRX1885933|Liver	SRX1885942|Liver	SRX1885943|Liver	SRX3459538|Liver	SRX6924463|Liver	SRX6924464|Liver	SRX6924465|Liver	SRX6924469|Liver	SRX6924470|Liver	SRX6924471|Liver	SRX6924475|Liver	SRX6924476|Liver	SRX6924477|Liver	SRX6924478|Liver	SRX1885856|MEF	SRX1472461|mESC_derived_haematopoietic_progenitor	SRX1639174|mESC_derived_haematopoietic_progenitor	SRX1817470|Muscle_Cells	SRX1884836|Skeletal_muscle	SRX142910|Trophoblast_stem_cells	SRX3585313|Trophoblast_stem_cells	SRX3730265|Trophoblast_stem_cells	SRX3730266|Trophoblast_stem_cells	SRX6605294|Trophoblast_stem_cells	SRX1639172|Unclassified	SRX1639173|Unclassified	STRING
Tcstv3	1276.709677	1690	1570	160	1287	1491	1608	1568	1591	1104	372	1226	1367	2313	1996	1404	1706	456	1045	1006	1687	1399	1664	2282	1195	896	1333	0	0	962	1542	1658	0
Trip6	1153.129032	590	750	1787	0	4165	2216	2471	4176	500	451	763	310	998	1780	2540	1074	742	1000	1610	3387	350	361	119	0	0	237	526	1075	1110	413	246	0
Man2b2	1086.903226	319	248	1848	0	4120	2111	2578	3807	176	290	559	267	874	2180	2740	736	482	676	1291	2965	266	145	340	0	0	127	993	1593	1242	437	284	0
Cldn34d	1081.741935	1436	996	2321	991	1773	1475	1716	1617	358	401	791	1007	1377	1394	1159	1082	397	503	916	1616	543	470	466	783	651	1843	884	468	1448	1257	1395	0
Ska2	1032.032258	339	416	1552	0	4081	3585	2457	3668	201	329	500	243	447	1390	1933	847	439	678	1036	2798	404	339	0	0	0	190	600	1297	1360	568	296	0
Prr11	1032.032258	339	416	1552	0	4081	3585	2457	3668	201	329	500	243	447	1390	1933	847	439	678	1036	2798	404	339	0	0	0	190	600	1297	1360	568	296	0
Creb3l2	987.548387	216	771	1248	0	3438	1179	1963	3791	189	496	585	180	524	2122	3154	1357	805	1344	1734	2633	0	0	0	0	0	165	430	1129	848	194	119	0
Tlcd2	977.096774	575	1117	1008	0	1862	470	918	2671	520	169	305	150	489	1105	2209	2026	1043	1331	1608	2881	0	872	155	0	0	315	596	1396	1208	1828	1463	0
Amotl2	939.903226	840	755	2373	0	1425	452	550	1241	240	147	434	296	678	1258	1814	924	482	673	1167	2202	1142	554	293	0	120	763	1276	1820	2425	1524	1269	0
Tspan4	895.774194	216	0	225	0	2159	2093	2031	3290	1490	284	331	367	914	1914	2049	1386	507	714	1537	2960	270	246	0	0	0	0	208	366	746	833	633	0
Polr2l	895.774194	216	0	225	0	2159	2093	2031	3290	1490	284	331	367	914	1914	2049	1386	507	714	1537	2960	270	246	0	0	0	0	208	366	746	833	633	0
Pelo	894.096774	153	269	335	0	2743	1499	2357	3756	221	203	274	81	496	1613	2704	1399	833	826	1419	2793	249	176	0	0	0	146	249	431	1078	807	607	0
Wwc2	891.612903	337	639	1863	0	3104	2107	2212	3250	489	263	362	95	217	875	1590	879	419	398	918	1907	516	484	178	0	0	136	541	1182	1602	635	442	0
Mrpl22	883.645161	510	762	733	0	2792	784	1425	3441	92	411	367	128	498	1586	2351	1479	931	1115	1706	2817	0	0	0	0	0	393	463	833	1509	267	0	0
Gemin5	883.645161	510	762	733	0	2792	784	1425	3441	92	411	367	128	498	1586	2351	1479	931	1115	1706	2817	0	0	0	0	0	393	463	833	1509	267	0	0
Brox	883.0	481	683	1813	638	1648	1155	1756	1589	108	481	749	667	1410	1828	1084	1393	246	540	1590	1731	103	83	702	807	566	1067	325	174	1255	348	353	0
Aida	883.0	481	683	1813	638	1648	1155	1756	1589	108	481	749	667	1410	1828	1084	1393	246	540	1590	1731	103	83	702	807	566	1067	325	174	1255	348	353	0
Txnrd1	861.193548	461	891	1121	0	2348	928	1133	2480	396	232	260	93	279	983	1671	1166	647	1117	1299	2116	145	346	0	0	0	670	472	1353	2177	1171	742	0
Esrp2	841.806452	216	134	1093	0	3090	904	1010	2704	664	202	296	141	413	921	1783	977	398	590	1130	1415	390	766	0	0	0	485	718	1525	1471	1613	1047	0
Lats2	824.419355	216	530	2489	0	641	235	0	282	351	143	397	125	366	722	1131	743	475	494	880	1926	949	1063	207	0	90	662	1665	2589	2808	1981	1397	0
Tead4	822.645161	279	795	1312	0	1892	560	845	2210	367	0	214	0	263	653	1670	1453	615	567	808	1702	185	375	0	0	78	692	1357	2126	1953	1474	1057	0
Ccn2	803.483871	249	293	731	0	1105	577	1362	3197	615	185	0	0	474	1132	2234	1277	750	908	1357	2415	439	315	0	0	0	270	586	1215	1454	1271	497	0
Myo1c	774.064516	494	1321	1284	0	1298	385	759	1664	811	0	0	0	103	279	1048	1280	712	579	769	2238	221	794	0	0	0	759	674	1044	2448	1742	1290	0
Dnajb5	771.83871	144	353	727	0	2857	1147	1830	3503	0	333	375	136	502	1756	2099	1094	811	781	1330	1721	0	0	0	0	0	259	377	831	804	157	0	0
Mnt	770.322581	395	542	1010	0	2449	817	1228	3094	78	154	347	0	233	1017	1649	881	445	604	1021	2312	283	322	174	0	0	323	545	1373	1639	489	456	0
Ajuba	759.580645	276	393	2436	0	2061	1939	1297	1938	421	133	201	65	430	1057	1472	439	270	321	637	1145	707	309	0	0	0	359	694	1450	1308	929	860	0
Raf1	758.290323	367	581	1585	0	1975	862	1156	2505	92	170	322	138	428	1170	1782	1038	443	562	1120	2142	104	186	0	0	0	205	986	1560	1149	404	475	0
Grn	758.193548	174	529	1619	0	2455	839	1369	3124	0	187	337	152	239	1240	1699	1033	730	552	1276	2362	0	166	0	0	0	0	391	1287	1261	265	218	0
Pkp4	756.290323	373	328	1047	0	2538	1618	1886	2620	291	164	262	194	437	1029	1527	1115	317	645	900	1138	455	301	0	0	0	292	309	831	1027	1016	785	0
Ccdc148	756.290323	373	328	1047	0	2538	1618	1886	2620	291	164	262	194	437	1029	1527	1115	317	645	900	1138	455	301	0	0	0	292	309	831	1027	1016	785	0
Nudcd3	755.322581	0	0	271	0	3699	2034	2073	3309	492	146	432	205	487	1046	1906	1149	647	904	1275	928	0	0	0	0	0	0	260	724	816	375	237	0
Ercc4	742.387097	0	182	658	0	3167	2486	2308	2995	143	312	474	117	521	1477	1904	711	361	460	992	1895	0	0	0	0	0	0	457	788	455	151	0	0
Ccnd1	715.903226	292	439	1813	0	1929	464	763	1852	405	0	198	84	329	879	1607	1069	374	720	867	1293	404	180	0	0	0	216	1195	1861	1376	848	736	0
Arf2	713.677419	228	393	516	0	2729	804	1384	3432	178	323	427	129	300	1134	1785	863	765	790	1114	2409	0	0	0	0	0	144	348	922	812	195	0	0
Myl12b	705.516129	473	662	875	0	3023	2166	2126	3111	190	179	331	100	303	607	1476	462	200	406	569	956	211	170	0	0	0	238	398	761	840	525	513	0
Lax1	690.548387	0	0	160	0	2811	1080	1374	2594	0	190	444	133	795	1303	1730	1014	587	625	1633	329	128	282	0	0	0	341	233	781	934	1024	882	0
Ptpn14	678.419355	564	725	1512	0	999	655	654	613	317	0	0	0	0	367	605	1033	447	397	563	2051	667	444	107	0	0	605	1284	1770	2095	1382	1175	0
Myl6b	672.774194	0	0	450	0	3331	2351	2756	3033	244	169	354	103	325	1076	1917	302	208	364	768	1489	321	285	0	0	0	0	218	464	328	0	0	0
Myl6	672.774194	0	0	450	0	3331	2351	2756	3033	244	169	354	103	325	1076	1917	302	208	364	768	1489	321	285	0	0	0	0	218	464	328	0	0	0
Plekhg2	669.0	284	305	1118	0	2303	680	996	2477	113	263	462	172	302	1291	1952	833	624	604	1391	1970	0	0	0	0	0	0	294	931	778	324	272	0
Unc45b	663.548387	154	134	391	0	3117	1458	1750	3249	0	241	277	115	320	1255	1832	573	261	372	873	2544	0	0	0	0	0	0	371	544	390	349	0	0
Ablim1	660.0	402	567	1212	0	2142	691	1064	2380	188	138	221	123	193	959	1477	969	517	618	678	1605	276	275	0	0	0	0	244	469	387	1592	1073	0
Ect2	654.645161	334	1138	309	0	370	203	453	1445	274	0	0	0	172	507	1292	1238	780	741	944	2498	0	320	0	0	0	572	766	1683	2014	1251	990	0
Faap24	652.322581	0	0	574	0	2548	1347	1466	3189	0	191	278	0	390	1171	1992	869	695	745	1150	1948	0	0	0	0	0	0	235	732	578	124	0	0
Fam160a2	646.387097	0	0	1033	0	2578	1227	1847	3353	116	0	266	138	157	1204	1902	821	514	485	763	1844	0	71	0	0	0	0	284	826	449	94	66	0
Cnga4	646.387097	0	0	1033	0	2578	1227	1847	3353	116	0	266	138	157	1204	1902	821	514	485	763	1844	0	71	0	0	0	0	284	826	449	94	66	0
Ifrd1	646.129032	351	612	1725	0	1797	413	947	2836	220	0	211	0	271	841	1383	1013	519	676	843	1313	90	235	0	0	0	228	431	983	1355	563	174	0
Strn3	634.354839	120	295	514	0	1721	874	1003	2189	168	0	0	0	86	404	856	828	340	439	664	1464	234	641	0	0	0	423	676	1706	1556	1360	1104	0
Ap4s1	634.354839	120	295	514	0	1721	874	1003	2189	168	0	0	0	86	404	856	828	340	439	664	1464	234	641	0	0	0	423	676	1706	1556	1360	1104	0
Msto1	619.387097	0	174	696	0	2708	2394	1928	3102	0	136	209	164	252	763	1225	422	280	366	785	1799	0	0	0	0	0	0	217	609	609	173	190	0
Prkci	617.032258	135	327	796	0	2695	2156	2049	2859	0	209	249	112	131	662	1334	550	275	355	490	1181	0	198	0	0	0	0	343	729	744	317	232	0
Irf2bp2	616.935484	449	519	1578	0	1693	342	855	2092	165	148	286	120	306	900	1115	1019	248	577	996	1630	99	187	151	0	0	195	391	1094	1210	453	307	0
Tmem140	610.677419	177	397	145	0	3112	1015	1273	3102	208	256	327	153	400	1637	2044	761	519	642	1081	365	0	236	0	0	0	0	0	308	0	444	329	0
Snap47	592.193548	0	285	1213	0	2315	1162	820	2343	195	0	130	0	190	301	877	420	332	380	642	1464	252	135	0	0	96	676	547	1024	1923	413	223	0
Jmjd4	592.193548	0	285	1213	0	2315	1162	820	2343	195	0	130	0	190	301	877	420	332	380	642	1464	252	135	0	0	96	676	547	1024	1923	413	223	0
Vgll4	591.483871	0	270	1678	0	1797	790	441	1044	257	0	0	0	124	474	753	473	230	308	305	1627	0	313	0	0	0	393	1117	2162	1274	1292	1214	0
Sec62	589.354839	179	253	719	0	2726	1338	1081	2839	218	0	191	132	239	614	1105	417	367	471	710	656	0	253	0	0	0	178	291	903	523	1030	837	0
Sertad2	584.129032	271	414	488	0	1593	792	903	1262	449	0	0	0	0	131	385	383	261	181	215	2764	456	887	0	0	0	361	550	1359	2002	1114	887	0
Hmox1	583.709677	190	293	629	0	1691	427	1221	2586	201	166	153	0	293	951	1493	1127	659	870	1232	860	0	177	0	0	0	216	0	181	1187	720	572	0
Echdc3	583.387097	154	154	1092	0	2660	1208	1125	2824	248	0	191	90	290	537	1075	735	389	421	754	1380	0	108	0	0	0	257	161	330	1508	247	147	0
Atad2	579.741935	0	0	1075	0	2092	1603	1655	2586	150	168	210	0	137	653	1355	572	262	440	701	2194	109	268	0	0	0	0	194	484	433	341	290	0
Mphosph9	574.451613	0	313	771	0	2646	1450	1442	3075	0	84	157	0	148	520	982	645	297	535	433	1743	162	0	0	0	0	0	443	829	648	282	203	0
2810006K23Rik	574.451613	0	313	771	0	2646	1450	1442	3075	0	84	157	0	148	520	982	645	297	535	433	1743	162	0	0	0	0	0	443	829	648	282	203	0
Mettl21a	573.129032	0	378	1198	0	2160	1226	1216	2385	344	0	191	106	241	726	1190	622	410	355	646	814	98	0	184	0	0	0	558	929	1086	456	248	0
Kpna1	571.258065	0	144	1010	499	631	591	705	497	1219	429	755	1254	979	821	991	581	428	405	630	1028	0	182	340	919	750	236	451	226	636	161	211	0
Fbxo8	567.064516	172	284	508	0	2524	1636	1710	2599	0	0	219	130	111	651	1376	669	476	553	741	1892	0	99	0	0	0	0	277	339	490	123	0	0
Cep44	567.064516	172	284	508	0	2524	1636	1710	2599	0	0	219	130	111	651	1376	669	476	553	741	1892	0	99	0	0	0	0	277	339	490	123	0	0
Phf7	566.935484	224	329	744	0	2391	1305	825	2204	438	0	0	0	0	273	828	633	162	267	427	1237	179	484	0	0	0	195	637	1213	953	1020	607	0
Bap1	566.935484	224	329	744	0	2391	1305	825	2204	438	0	0	0	0	273	828	633	162	267	427	1237	179	484	0	0	0	195	637	1213	953	1020	607	0
Htra2	565.935484	212	241	552	0	1004	340	537	1435	367	168	242	82	424	1242	1874	1008	413	456	887	1818	249	202	0	0	0	0	620	1244	586	779	562	0
Dqx1	565.935484	212	241	552	0	1004	340	537	1435	367	168	242	82	424	1242	1874	1008	413	456	887	1818	249	202	0	0	0	0	620	1244	586	779	562	0
Ascc2	564.0	0	321	1119	0	1912	710	636	2300	177	108	354	125	236	785	1380	785	362	603	782	1348	0	0	0	0	0	169	362	1063	1225	317	305	0
Myh9	557.483871	288	352	449	0	2418	816	1452	2617	230	0	249	0	320	875	1518	880	659	620	1298	1404	0	0	0	0	0	0	0	0	536	194	107	0
Large1	554.322581	0	274	1343	0	1306	437	712	2277	0	158	323	129	384	1001	1434	1466	630	560	1223	1155	0	102	0	0	0	0	324	942	613	246	145	0
Dusp3	550.322581	181	215	178	0	2000	655	1031	2692	0	0	408	0	194	610	1397	617	374	490	785	1469	0	401	0	0	0	0	580	1078	1043	365	297	0
Cfap97d1	550.322581	181	215	178	0	2000	655	1031	2692	0	0	408	0	194	610	1397	617	374	490	785	1469	0	401	0	0	0	0	580	1078	1043	365	297	0
Veph1	548.258065	0	0	241	0	1905	745	1014	2841	682	0	0	0	332	677	1534	1100	580	573	883	1281	248	199	0	0	0	0	0	156	0	1134	871	0
Upf3a	544.580645	0	211	973	0	2525	1464	1704	2594	191	0	161	0	0	455	943	592	249	372	511	1419	0	105	0	0	0	0	475	914	609	243	172	0
Pcyt1a	541.677419	0	343	1124	0	1507	958	1007	2130	0	0	145	112	131	501	1011	514	255	408	506	2346	283	450	0	0	0	0	240	729	706	724	662	0
Prrc2a	541.16129	0	185	841	0	2388	811	1161	2946	145	0	0	0	132	820	1194	830	633	559	850	1061	160	0	0	0	0	0	232	829	644	199	156	0
Wdr90	539.806452	184	0	579	0	2393	603	1073	3006	0	0	218	116	360	731	1342	806	389	509	979	1686	0	0	0	0	0	0	290	755	360	192	163	0
Ndfip2	539.16129	0	0	988	0	1012	478	1484	2782	192	0	0	0	312	1130	1665	1047	717	753	1315	932	0	222	0	0	0	0	0	114	272	940	359	0
Bend3	537.967742	0	0	0	0	567	0	726	2055	490	0	0	0	152	701	1761	1605	1035	852	983	0	0	232	0	0	0	281	931	1746	1481	572	507	0
Tnfaip6	534.903226	0	0	484	0	3035	1073	1705	3081	0	0	222	90	214	646	1497	982	371	404	952	1113	0	0	0	0	0	0	0	0	0	433	280	0
Uvrag	531.290323	0	0	1141	0	1370	854	1210	2117	0	0	401	92	488	1257	1945	1054	745	930	1405	636	0	0	0	0	0	0	0	0	244	282	299	0
Ciao3	531.032258	174	248	1204	0	1419	394	857	2043	135	161	215	155	402	780	1310	734	339	499	658	2032	0	0	0	0	0	0	476	1015	613	346	253	0
Eps8l2	527.774194	0	0	149	0	2205	1093	679	1779	297	141	316	172	230	479	1224	1171	571	671	1024	469	0	0	0	0	0	185	710	1445	1351	0	0	0
Deaf1	527.774194	0	0	149	0	2205	1093	679	1779	297	141	316	172	230	479	1224	1171	571	671	1024	469	0	0	0	0	0	185	710	1445	1351	0	0	0
Tmed1	519.548387	174	237	545	0	2271	1144	856	2485	0	140	222	108	157	550	1272	763	369	361	838	1883	102	168	0	0	0	0	214	513	473	261	0	0
Siva1	519.290323	0	194	622	0	2217	399	937	2135	432	184	415	156	287	860	1176	722	347	435	751	1047	0	0	109	0	0	0	481	811	938	290	153	0
Kdm5a	516.516129	147	149	582	0	2524	1512	1901	2959	0	0	0	0	92	491	987	370	162	303	525	1293	148	145	0	0	0	336	0	302	750	206	128	0
Rnf181	515.967742	124	334	707	0	1989	656	1081	2814	0	0	117	0	200	522	1299	510	275	609	691	1557	0	0	0	0	0	175	324	773	843	304	91	0
Zmynd8	509.967742	0	0	399	0	2907	882	1033	2662	185	0	293	90	431	1124	1545	677	475	438	893	278	0	736	0	0	0	0	0	191	0	272	298	0
2310079G19Rik	509.258065	0	0	0	0	3222	1891	2226	3228	108	264	346	0	306	842	1224	182	314	450	949	0	0	0	0	0	0	0	0	235	0	0	0	0
Tead1	509.096774	0	0	1166	0	609	145	99	446	657	0	0	0	0	170	485	267	177	176	189	421	739	607	0	0	0	528	1428	2184	2373	1589	1327	0
Pinx1	508.16129	0	198	512	0	2095	932	1393	2214	0	123	222	0	358	715	1268	377	353	389	655	1544	0	155	0	0	0	0	385	700	220	481	464	0
Rwdd1	501.580645	0	142	1075	0	1940	854	1144	2324	0	0	146	90	0	746	1411	527	324	494	773	1368	0	0	0	0	0	0	343	993	393	253	209	0
Zfp469	496.322581	0	0	237	0	355	0	894	2523	378	0	0	0	238	901	2014	2099	921	1008	1614	1232	0	155	114	0	0	0	0	0	0	358	345	0
Zscan26	493.903226	0	0	778	0	845	352	619	1217	0	0	0	0	104	0	302	191	0	0	0	861	361	216	0	0	100	419	1337	2414	1673	1806	1716	0
Slc6a6	490.451613	0	285	711	0	1139	152	511	2330	0	0	141	0	0	302	671	1049	436	536	785	832	303	137	0	0	0	338	548	1229	1180	1031	558	0
Il31ra	486.387097	0	164	887	386	600	464	641	554	1615	299	557	1045	649	583	769	455	224	299	500	736	0	238	559	926	450	229	504	234	511	0	0	0
Tns2	483.096774	209	272	212	0	1938	325	1042	1863	464	133	385	120	447	1171	1668	625	409	481	1123	517	0	0	0	0	0	134	237	763	438	0	0	0
Bst2	476.548387	0	0	423	0	1578	900	972	1825	165	0	0	0	154	544	1040	842	456	344	760	607	0	185	0	0	0	256	194	1128	1449	571	380	0
Khdrbs1	473.193548	0	403	1373	0	1671	1158	1185	1806	337	0	0	0	110	459	571	456	191	241	283	1099	264	161	0	0	0	0	449	1023	710	419	300	0
Cic	472.322581	0	0	673	0	2038	1043	1306	3160	151	0	142	0	120	782	1354	509	458	533	688	1236	0	0	0	0	0	0	0	274	175	0	0	0
Tmem128	472.16129	0	0	388	0	2428	1297	1646	2529	77	161	0	0	181	420	857	407	130	211	582	1678	0	0	0	0	0	136	211	381	633	195	89	0
Otud1	471.0	0	0	1908	0	1436	304	546	1618	0	0	252	0	150	911	1192	657	318	446	660	1105	98	192	119	0	0	0	378	949	584	462	316	0
