Target_genes	Thra|Average	SRX14934614|Brown_adipose_tissue	SRX150787|C17-2	SRX22612657|MC3T3-E1	STRING
Cldn34d	939.666667	198	1224	1397	0
Brox	521.333333	194	1056	314	0
Aida	521.333333	194	1056	314	0
Ucp1	504.333333	1513	0	0	0
Tmem125	406.0	189	230	799	0
Klf10	369.666667	1109	0	0	0
Ceacam16	367.666667	1007	96	0	0
Eef2	353.0	585	474	0	0
Bcl6	341.333333	1024	0	0	0
Elmo2	332.666667	908	90	0	0
Dot1l	329.666667	597	392	0	0
Gpcpd1	304.0	912	0	0	0
Akt2	302.666667	908	0	0	0
Nr1d2	293.666667	575	306	0	0
Chd3	291.333333	514	360	0	0
Dyrk1b	287.0	861	0	0	0
Adcy7	286.333333	419	440	0	0
Kdm6b	284.666667	640	214	0	0
Pkn1	275.666667	523	304	0	0
Plin3	270.333333	811	0	0	0
Tcstv3	265.333333	0	189	607	0
H13	262.0	786	0	0	0
Akt1	261.333333	784	0	0	0
Nat8f2	259.0	777	0	0	0
Trp53inp2	256.0	566	202	0	0
Lep	255.666667	767	0	0	0
Ptgds	254.666667	764	0	0	0
Uck1	248.666667	506	240	0	0
Bicral	248.333333	477	268	0	0
Krt4	246.666667	740	0	0	0
Esr1	244.666667	734	0	0	0
Dbp	244.333333	398	335	0	0
Sult5a1	243.0	576	153	0	0
Prss52	234.333333	703	0	0	0
Atp5g3	227.666667	683	0	0	0
Rab3a	225.666667	166	511	0	0
Rnf138	222.666667	668	0	0	0
Bbc3	222.333333	401	266	0	0
Jarid2	218.666667	656	0	0	0
Myd88	217.666667	653	0	0	0
Acaa1a	217.666667	653	0	0	0
Phospho1	216.0	648	0	0	0
Stat5a	213.333333	499	141	0	0
Impdh1	211.666667	635	0	0	0
Esrrg	205.666667	617	0	0	0
Mllt3	204.666667	374	240	0	0
Dglucy	203.0	609	0	0	0
Paox	202.333333	607	0	0	0
Cbfb	202.0	325	281	0	0
Nrp1	199.333333	598	0	0	0
Grk3	198.333333	595	0	0	0
Gbe1	198.333333	595	0	0	0
Coq10a	197.666667	593	0	0	0
Ppp1r9b	194.0	582	0	0	0
Gbp3	189.333333	353	215	0	0
Ccdc130	188.0	284	280	0	0
Slc1a5	187.333333	562	0	0	0
Nrip2	181.666667	545	0	0	0
E030018B13Rik	180.666667	347	195	0	0
Il9	179.0	238	299	0	0
Ucp3	178.0	534	0	0	0
Pgk1	175.666667	527	0	0	0
Tmem186	175.0	407	118	0	0
