Target_genes	Xbp1|Average	SRX4952080|Astrocytes	SRX4952081|Astrocytes	SRX4952082|Astrocytes	SRX4952086|Astrocytes	SRX4952087|Astrocytes	SRX5982666|AtT-20	ERX1585690|CD4+_T_cells	ERX1585691|CD4+_T_cells	ERX1823619|CD4+_T_cells	ERX1823623|CD4+_T_cells	ERX1823631|CD4+_T_cells	ERX1823635|CD4+_T_cells	SRX10989776|Liver	SRX10989777|Liver	SRX10989778|Liver	SRX10989779|Liver	SRX10989780|Liver	SRX10989781|Liver	SRX10989784|Liver	SRX10989785|Liver	SRX10989795|Liver	SRX10989796|Liver	SRX10989797|Liver	SRX10989798|Liver	SRX10989799|Liver	SRX10989800|Liver	SRX2053270|Liver	SRX2053271|Liver	SRX2053272|Liver	SRX2053273|Liver	SRX2053274|Liver	SRX2053275|Liver	SRX2053276|Liver	SRX2053277|Liver	SRX5796531|Liver	SRX5796532|Liver	SRX5796533|Liver	SRX5796534|Liver	SRX5796535|Liver	SRX5796536|Liver	SRX5796537|Liver	SRX5796538|Liver	SRX5796539|Liver	SRX5796540|Liver	SRX5796541|Liver	SRX5796542|Liver	SRX5796543|Liver	SRX8366179|Liver	SRX8366180|Liver	SRX8366181|Liver	SRX8366182|Liver	SRX8366183|Liver	SRX8366184|Liver	SRX8366185|Liver	SRX8366186|Liver	SRX8366187|Liver	SRX8366188|Liver	SRX8366189|Liver	SRX8366191|Liver	SRX8366193|Liver	SRX8366195|Liver	SRX18348085|Natural_killer_cells	SRX18348086|Natural_killer_cells	STRING
Cldn34d	725.84127	143	0	384	297	322	573	422	489	710	0	697	0	428	444	328	393	325	355	878	441	404	402	477	572	509	445	1605	812	1286	1830	2119	898	1742	1377	561	820	584	831	768	737	692	668	669	784	764	727	573	637	716	504	799	582	719	780	599	808	776	543	402	944	1116	2228	2290	0
Tcstv3	668.047619	0	180	383	234	247	0	732	595	1012	1062	946	1144	385	465	415	456	390	361	0	0	430	558	433	445	366	508	1288	845	805	890	1274	1241	1823	803	918	972	1034	1086	974	998	926	941	1020	993	1001	867	0	80	176	177	238	197	175	195	159	136	0	87	2367	1032	1283	1636	1703	0
Brox	605.444444	223	176	469	188	346	291	238	409	515	0	525	0	267	305	181	195	272	232	521	1101	287	355	271	271	309	283	1321	516	1094	2175	2240	522	1893	1470	633	655	617	713	509	613	566	606	507	539	545	547	572	592	540	525	597	539	604	591	502	464	567	558	1032	657	735	1334	1223	0
Aida	605.444444	223	176	469	188	346	291	238	409	515	0	525	0	267	305	181	195	272	232	521	1101	287	355	271	271	309	283	1321	516	1094	2175	2240	522	1893	1470	633	655	617	713	509	613	566	606	507	539	545	547	572	592	540	525	597	539	604	591	502	464	567	558	1032	657	735	1334	1223	0
Snd1	431.634921	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	2705	233	4129	3802	3834	159	3973	3808	128	0	0	125	0	0	185	0	188	102	193	0	0	0	0	0	135	0	0	0	0	0	0	0	109	0	0	1337	1442	0
Tmem125	428.428571	464	539	850	600	671	336	123	96	410	0	390	0	269	135	220	202	258	176	890	338	310	274	193	221	233	215	821	289	1251	604	1038	324	1463	558	247	453	411	458	305	351	376	373	393	297	368	286	323	323	377	373	380	360	324	348	319	333	223	367	981	489	590	852	950	0
Ttc41	426.52381	0	0	0	0	0	398	133	0	91	0	92	0	0	0	0	0	0	0	709	0	0	0	0	0	0	0	3278	336	3784	3625	3403	189	3225	3947	150	0	0	145	0	0	177	0	175	0	210	0	0	0	0	0	151	0	0	0	0	0	0	0	433	0	0	1016	1204	0
Hsp90b1	426.52381	0	0	0	0	0	398	133	0	91	0	92	0	0	0	0	0	0	0	709	0	0	0	0	0	0	0	3278	336	3784	3625	3403	189	3225	3947	150	0	0	145	0	0	177	0	175	0	210	0	0	0	0	0	151	0	0	0	0	0	0	0	433	0	0	1016	1204	0
Hspa5	424.904762	0	0	0	0	0	354	310	173	236	0	273	0	0	0	0	0	0	0	901	0	0	0	0	0	0	0	3165	344	3740	3811	3496	245	3380	3787	0	0	0	0	0	0	0	0	106	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	1091	1050	0
Slc33a1	384.269841	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	603	0	0	0	0	0	0	0	2528	220	4071	3520	3675	145	3893	3217	97	0	0	0	0	0	161	0	187	0	184	0	0	0	0	0	0	0	0	98	0	0	0	0	201	0	0	588	596	0
