Target_genes	Zbtb11|Average	SRX5247619|ES_cells	SRX5247622|ES_cells	SRX5247623|ES_cells	SRX5247624|ES_cells	SRX5247637|ES_cells	SRX5247638|ES_cells	SRX5247639|ES_cells	STRING
Galk2	1796.571429	3521	0	0	0	2683	2700	3672	0
Cops2	1796.571429	3521	0	0	0	2683	2700	3672	0
Tcstv3	1763.857143	2016	1231	1267	1271	2344	2228	1990	0
Mrpl1	1762.285714	3396	0	0	0	2618	2672	3650	0
Mrpl44	1759.857143	3444	0	0	0	2662	2604	3609	0
Nuf2	1757.285714	3362	0	0	0	2589	2674	3676	0
Opa1	1751.0	3385	0	0	0	2610	2590	3672	0
Rab33b	1740.0	3444	0	0	0	2548	2596	3592	0
Mkrn3	1739.142857	3407	0	0	0	2645	2663	3459	0
Trip4	1734.571429	3396	0	0	0	2579	2603	3564	0
Hus1b	1730.714286	3354	0	0	0	2646	2621	3494	0
Exoc2	1730.714286	3354	0	0	0	2646	2621	3494	0
Lrriq3	1726.857143	2922	0	0	0	2730	2707	3729	0
Fpgt	1726.857143	2922	0	0	0	2730	2707	3729	0
Ndufa12	1721.714286	3371	0	0	0	2646	2603	3432	0
Mrpl30	1716.714286	3423	0	0	0	2533	2543	3518	0
Mitd1	1716.714286	3423	0	0	0	2533	2543	3518	0
Wdr31	1716.428571	3359	0	0	0	2595	2601	3460	0
Klhl20	1713.714286	3414	0	0	0	2573	2648	3361	0
Cdk5rap1	1711.0	3421	0	0	0	2593	2581	3382	0
Zfp560	1704.428571	3332	0	0	0	2487	2608	3504	0
Mrpl39	1704.0	3408	0	0	0	2573	2490	3457	0
Ttc4	1703.285714	3399	0	0	0	2506	2521	3497	0
Mtg1	1702.571429	3434	0	0	0	2523	2507	3454	0
Rbm28	1701.0	3227	0	0	0	2568	2602	3510	0
Nup54	1699.571429	3344	0	0	0	2543	2519	3491	0
Nlrp10	1699.571429	3400	0	0	0	2556	2599	3342	0
Eif3f	1699.571429	3400	0	0	0	2556	2599	3342	0
Mrps18c	1699.428571	3301	0	0	0	2544	2581	3470	0
Helq	1699.428571	3301	0	0	0	2544	2581	3470	0
Sec22b	1699.285714	3234	0	0	0	2596	2657	3408	0
Ap1g1	1698.857143	3379	0	0	0	2461	2578	3474	0
Las1l	1698.142857	2764	0	0	0	2729	2638	3756	0
Nkap	1697.0	3127	0	0	0	2614	2621	3517	0
Dcp1a	1692.857143	3412	0	0	0	2460	2481	3497	0
Rps19bp1	1690.142857	3274	0	0	0	2469	2561	3527	0
Ddost	1689.0	3351	0	0	0	2531	2520	3421	0
Mterf4	1688.714286	3391	0	0	0	2546	2554	3330	0
Mrpl3	1686.571429	3265	0	0	0	2607	2596	3338	0
Ndufs7	1685.571429	3485	0	0	0	2455	2493	3366	0
Btbd8	1685.571429	3234	0	0	0	2527	2535	3503	0
Golga3	1684.857143	3298	0	0	0	2533	2509	3454	0
Ubac2	1684.571429	3030	0	0	0	2518	2562	3682	0
Ppp1r11	1683.0	3296	0	0	0	2506	2571	3408	0
Dguok	1680.0	3233	0	0	0	2498	2540	3489	0
Mkrn2	1679.428571	3353	0	0	0	2506	2465	3432	0
Snrnp27	1675.714286	3301	0	0	0	2515	2561	3353	0
Dpy19l4	1673.285714	3390	0	0	0	2476	2483	3364	0
Slc33a1	1672.857143	3390	0	0	0	2424	2513	3383	0
Tsen15	1672.285714	2749	0	0	0	2680	2652	3625	0
Fam118a	1668.0	2725	0	0	0	2559	2655	3737	0
Krr1	1667.428571	3359	0	0	0	2408	2463	3442	0
Them4	1666.571429	3051	0	0	0	2583	2605	3427	0
Agk	1666.0	3187	0	0	0	2558	2599	3318	0
Zfp433	1665.857143	2898	0	0	0	2518	2489	3756	0
Tatdn3	1665.857143	3324	0	0	0	2487	2585	3265	0
Nsl1	1665.857143	3324	0	0	0	2487	2585	3265	0
