Target_genes	Zfp407|Average	SRX22153387|3T3-L1	STRING
Dnajc16	3589.0	3589	0
Casp9	3589.0	3589	0
Btrc	3559.0	3559	0
Ccnt1	3429.0	3429	0
4930415O20Rik	3429.0	3429	0
Gtpbp2	3420.0	3420	0
Mmachc	3411.0	3411	0
Ccdc163	3411.0	3411	0
Fyco1	3398.0	3398	0
Tmem104	3395.0	3395	0
Nat9	3395.0	3395	0
Gorasp2	3360.0	3360	0
Map2k7	3350.0	3350	0
Rab5if	3325.0	3325	0
Fbxw11	3325.0	3325	0
Ep400	3295.0	3295	0
Tmed2	3290.0	3290	0
Bod1l	3290.0	3290	0
Erc1	3284.0	3284	0
Mtmr10	3269.0	3269	0
Fra10ac1	3269.0	3269	0
Zfp846	3264.0	3264	0
Crebl2	3261.0	3261	0
Rnf7	3252.0	3252	0
Pop7	3241.0	3241	0
Ap4e1	3235.0	3235	0
Pafah2	3227.0	3227	0
Asb7	3221.0	3221	0
Rab1a	3207.0	3207	0
Calcoco1	3206.0	3206	0
Car5a	3201.0	3201	0
Banp	3201.0	3201	0
9430015G10Rik	3198.0	3198	0
Slc25a32	3194.0	3194	0
Dcaf13	3194.0	3194	0
Opa1	3187.0	3187	0
Stk32c	3176.0	3176	0
Lrrc27	3176.0	3176	0
Rpia	3166.0	3166	0
Get1	3157.0	3157	0
Josd2	3150.0	3150	0
Aspdh	3150.0	3150	0
Fitm2	3147.0	3147	0
Armc1	3147.0	3147	0
Ifrd2	3140.0	3140	0
Cox5a	3131.0	3131	0
Ttc14	3130.0	3130	0
Dhx16	3117.0	3117	0
Wbp4	3106.0	3106	0
Elf1	3106.0	3106	0
Ciz1	3096.0	3096	0
Mccc1	3092.0	3092	0
Snrpc	3078.0	3078	0
Cog7	3072.0	3072	0
Mvk	3059.0	3059	0
Mmab	3059.0	3059	0
Bbs5	3054.0	3054	0
Ccpg1os	3042.0	3042	0
Ccpg1	3042.0	3042	0
Ddx41	3036.0	3036	0
Nop14	3032.0	3032	0
Grk4	3032.0	3032	0
Ddx23	3018.0	3018	0
Timm13	3017.0	3017	0
N4bp2l2	3017.0	3017	0
Lars	3016.0	3016	0
Nedd8	3014.0	3014	0
Gmpr2	3014.0	3014	0
St3gal2	3010.0	3010	0
Nup205	2997.0	2997	0
M6pr	2992.0	2992	0
Tpp2	2990.0	2990	0
Aaas	2986.0	2986	0
Lcorl	2983.0	2983	0
Zcwpw2	2979.0	2979	0
Azi2	2979.0	2979	0
Zfyve1	2978.0	2978	0
Med6	2977.0	2977	0
Borcs7	2977.0	2977	0
Gpn3	2970.0	2970	0
Fam216a	2970.0	2970	0
Dis3l2	2970.0	2970	0
Tsnaxip1	2967.0	2967	0
Ranbp10	2967.0	2967	0
Pemt	2961.0	2961	0
Xpc	2958.0	2958	0
Lsm3	2958.0	2958	0
Tmtc3	2954.0	2954	0
Cep290	2954.0	2954	0
Sass6	2952.0	2952	0
Atg4c	2952.0	2952	0
Otud4	2950.0	2950	0
Zfp511	2938.0	2938	0
Tubgcp2	2938.0	2938	0
Scrib	2938.0	2938	0
Nudt5	2936.0	2936	0
Cdc123	2936.0	2936	0
Prcc	2934.0	2934	0
Cluh	2928.0	2928	0
Klhl18	2925.0	2925	0
Kif9	2925.0	2925	0
Vta1	2918.0	2918	0
Mff	2917.0	2917	0
Atp6v1h	2916.0	2916	0
Tmem248	2910.0	2910	0
Chmp4b	2909.0	2909	0
Rps24	2907.0	2907	0
Polr3a	2907.0	2907	0
Rps12	2905.0	2905	0
Slc4a2	2903.0	2903	0
Cdk5	2903.0	2903	0
Epg5	2898.0	2898	0
Ufl1	2897.0	2897	0
Erlec1	2895.0	2895	0
Asb3	2895.0	2895	0
Cul2	2894.0	2894	0
Nutf2	2893.0	2893	0
Rptor	2892.0	2892	0
Gtf2b	2887.0	2887	0
Nudcd1	2886.0	2886	0
Eny2	2886.0	2886	0
Htra2	2882.0	2882	0
Dqx1	2882.0	2882	0
Tchp	2877.0	2877	0
Retsat	2877.0	2877	0
Elmod3	2877.0	2877	0
Ppp4r3b	2875.0	2875	0
Pyroxd1	2874.0	2874	0
Tmed5	2867.0	2867	0
Ccdc18	2867.0	2867	0
Max	2866.0	2866	0
Cep128	2865.0	2865	0
Stxbp4	2863.0	2863	0
Cox11	2863.0	2863	0
Ppp1r15b	2862.0	2862	0
Dgat1	2861.0	2861	0
Tmem39b	2859.0	2859	0
Mapkbp1	2859.0	2859	0
Cdk7	2856.0	2856	0
Wdpcp	2855.0	2855	0
Mdh1	2855.0	2855	0
Sepsecs	2854.0	2854	0
Zbtb26	2848.0	2848	0
Rabgap1	2848.0	2848	0
Ppp6c	2843.0	2843	0
Ndc1	2842.0	2842	0
Srr	2841.0	2841	0
Smg6	2841.0	2841	0
Invs	2838.0	2838	0
Gmfb	2838.0	2838	0
Erp44	2838.0	2838	0
Capn15	2830.0	2830	0
Ier3ip1	2822.0	2822	0
Mrpl35	2820.0	2820	0
Zfp91	2818.0	2818	0
Lpxn	2818.0	2818	0
Slc35b4	2813.0	2813	0
Pigu	2811.0	2811	0
Tnpo3	2809.0	2809	0
Psmd9	2806.0	2806	0
Rfk	2802.0	2802	0
Birc5	2801.0	2801	0
Gspt1	2800.0	2800	0
Cops6	2800.0	2800	0
Ralbp1	2794.0	2794	0
Zcchc8	2791.0	2791	0
Usp5	2787.0	2787	0
Cdca3	2787.0	2787	0
Pa2g4	2786.0	2786	0
Commd1	2785.0	2785	0
Ubxn1	2784.0	2784	0
Snx17	2784.0	2784	0
Eif2b4	2784.0	2784	0
Pold3	2783.0	2783	0
Ndufaf5	2783.0	2783	0
Esf1	2783.0	2783	0
Unk	2780.0	2780	0
Mrps35	2775.0	2775	0
Ccdc77	2775.0	2775	0
Lrch4	2774.0	2774	0
Fbxo24	2774.0	2774	0
Timm21	2772.0	2772	0
Tbcd	2772.0	2772	0
Fbxo15	2772.0	2772	0
Trappc8	2767.0	2767	0
Ap2s1	2766.0	2766	0
Vrk1	2762.0	2762	0
Riok1	2761.0	2761	0
Dus2	2761.0	2761	0
Ddx28	2761.0	2761	0
Cage1	2761.0	2761	0
Stk25	2753.0	2753	0
Kif16b	2752.0	2752	0
Tyw3	2749.0	2749	0
Strn	2749.0	2749	0
Cryz	2749.0	2749	0
Med18	2748.0	2748	0
Tmem115	2742.0	2742	0
Ing3	2742.0	2742	0
1110004F10Rik	2742.0	2742	0
Ikzf5	2740.0	2740	0
Acadsb	2740.0	2740	0
Rad1	2737.0	2737	0
Pprc1	2737.0	2737	0
Brix1	2737.0	2737	0
Vcpip1	2736.0	2736	0
Wdr43	2735.0	2735	0
Smarcal1	2731.0	2731	0
LTO1	2731.0	2731	0
Clpb	2730.0	2730	0
Rpl3	2727.0	2727	0
Coil	2727.0	2727	0
Cenps	2727.0	2727	0
Zfyve19	2724.0	2724	0
Slmap	2724.0	2724	0
Dnajc17	2724.0	2724	0
Phf13	2721.0	2721	0
Terf2	2720.0	2720	0
Ppm1l	2719.0	2719	0
Pml	2719.0	2719	0
Ly6g5b	2712.0	2712	0
Gpank1	2712.0	2712	0
D17H6S53E	2712.0	2712	0
Csnk2b	2712.0	2712	0
Rpp30	2711.0	2711	0
Tmem11	2707.0	2707	0
Obi1	2705.0	2705	0
Kbtbd8	2703.0	2703	0
Prr22	2700.0	2700	0
Dus3l	2700.0	2700	0
Clcn7	2700.0	2700	0
Aak1	2700.0	2700	0
Atad3a	2699.0	2699	0
Mettl8	2696.0	2696	0
Dcaf17	2696.0	2696	0
Tmem43	2694.0	2694	0
Chchd4	2694.0	2694	0
C9orf72	2694.0	2694	0
Fbxo48	2692.0	2692	0
Repin1	2682.0	2682	0
Gm5111	2682.0	2682	0
Smn1	2681.0	2681	0
Katnal1	2681.0	2681	0
Zfp407	2680.0	2680	0
Sbf1	2679.0	2679	0
Bicd2	2670.0	2670	0
Coa6	2667.0	2667	0
Leng8	2665.0	2665	0
Zdhhc7	2664.0	2664	0
Tnpo2	2662.0	2662	0
Pdcd2l	2662.0	2662	0
Sugp2	2659.0	2659	0
Armc6	2659.0	2659	0
Prmt7	2658.0	2658	0
S1pr4	2657.0	2657	0
Ncln	2657.0	2657	0
Plekha1	2652.0	2652	0
Tgfbr3l	2651.0	2651	0
Snapc2	2651.0	2651	0
Gtf2f2	2651.0	2651	0
Lgals8	2650.0	2650	0
Ttc32	2647.0	2647	0
Timm50	2647.0	2647	0
Ifrd1	2645.0	2645	0
Rpgrip1l	2643.0	2643	0
Fto	2643.0	2643	0
Zbtb7a	2641.0	2641	0
Frg1	2635.0	2635	0
Ap1s1	2634.0	2634	0
Trrap	2631.0	2631	0
Scnm1	2631.0	2631	0
Lysmd1	2631.0	2631	0
Tars	2630.0	2630	0
Atf2	2621.0	2621	0
Tarbp2	2617.0	2617	0
Map3k12	2617.0	2617	0
Timm22	2616.0	2616	0
Ap2m1	2615.0	2615	0
Tsfm	2613.0	2613	0
Ppp1r35	2613.0	2613	0
Cdk5rap2	2613.0	2613	0
Phf12	2612.0	2612	0
Nudt15	2612.0	2612	0
Lamtor5	2606.0	2606	0
Rexo2	2603.0	2603	0
Ddx5	2602.0	2602	0
Cep95	2602.0	2602	0
Ccnt2	2595.0	2595	0
Nbr1	2592.0	2592	0
Brca1	2592.0	2592	0
Ankzf1	2591.0	2591	0
Copb1	2587.0	2587	0
Dync1i2	2585.0	2585	0
Atf6	2584.0	2584	0
