Target_genes	Zfp57|Average	SRX10265156|ES_cells	SRX10265157|ES_cells	SRX1421936|ES_cells	SRX1421939|ES_cells	SRX14394947|ES_cells	SRX14394948|ES_cells	SRX14394949|ES_cells	SRX14394950|ES_cells	SRX1556082|ES_cells	SRX1556086|ES_cells	SRX1556090|ES_cells	SRX476210|ES_cells	SRX476211|ES_cells	SRX5140866|ES_cells	SRX5140867|ES_cells	SRX5140868|ES_cells	SRX5140869|ES_cells	SRX5140870|ES_cells	STRING
Tcstv3	1855.222222	2021	2552	1332	1139	2215	2245	2304	2156	1288	621	898	2503	1822	2167	1817	2047	2186	2081	0
Brox	1471.0	1460	1959	781	698	1712	2293	2150	1970	520	497	419	1065	1826	2304	2145	1728	1580	1371	0
Aida	1471.0	1460	1959	781	698	1712	2293	2150	1970	520	497	419	1065	1826	2304	2145	1728	1580	1371	0
Cldn34d	1321.055556	2506	2091	848	924	1159	796	269	250	955	952	910	1211	655	2226	2188	1928	2103	1808	0
Nefm	1285.944444	1391	620	219	781	3602	2938	3408	3204	343	0	297	1720	2289	585	1054	696	0	0	0
Nhlrc1	1012.611111	1195	1726	190	233	2906	2265	2907	2586	179	0	0	2346	620	337	334	403	0	0	0
Cep83	925.611111	417	750	0	205	2734	3211	2195	2825	0	0	0	1309	1016	596	610	793	0	0	0
Inpp5f	899.222222	0	0	0	221	3100	2733	2915	2533	0	0	113	2200	2195	0	0	176	0	0	0
Nap1l5	898.444444	0	0	158	169	3128	2988	2894	2956	0	0	0	2176	1703	0	0	0	0	0	0
Tmem181a	833.833333	732	447	0	250	2441	2624	2134	2571	0	0	166	2352	821	212	0	259	0	0	0
Trim80	818.722222	737	1000	98	131	1637	2381	1481	2128	0	0	51	2454	1710	240	283	406	0	0	0
Trim50	810.833333	1084	1367	200	343	1483	3040	1011	2415	75	0	140	2394	818	0	0	225	0	0	0
Fkbp6	804.722222	1084	1367	165	343	1483	3040	1011	2415	0	0	140	2394	818	0	0	225	0	0	0
Trpt1	802.388889	1026	1089	0	298	2159	2423	1591	2370	0	0	0	1846	995	191	197	258	0	0	0
Nudt22	802.388889	1026	1089	0	298	2159	2423	1591	2370	0	0	0	1846	995	191	197	258	0	0	0
Plagl1	789.277778	0	0	117	148	2862	2630	2795	2458	0	0	152	1777	1268	0	0	0	0	0	403
Tmem125	765.833333	1801	2114	328	327	360	574	286	233	113	113	0	1075	963	1021	1314	1105	951	1107	0
Grb10	756.555556	0	0	0	0	2790	2741	2265	2442	0	0	0	1775	689	203	269	444	0	0	0
Usp29	704.222222	0	0	169	280	2515	2390	2321	2335	100	0	0	1501	526	161	152	226	0	0	0
Peg3	704.222222	0	0	169	280	2515	2390	2321	2335	100	0	0	1501	526	161	152	226	0	0	0
Nnat	699.555556	0	433	0	0	2410	2111	2142	2032	127	0	210	1770	1205	0	0	152	0	0	0
Snurf	697.388889	0	0	842	174	2213	2282	1689	2083	0	0	0	1547	948	178	362	235	0	0	0
Snrpn	697.388889	0	0	842	174	2213	2282	1689	2083	0	0	0	1547	948	178	362	235	0	0	0
Zfp629	683.111111	1012	978	182	256	1954	1783	1811	1825	0	0	90	1627	600	0	0	178	0	0	0
Sgce	675.055556	0	0	0	131	2222	2535	1793	2216	0	0	0	1518	1383	128	0	225	0	0	0
Peg10	675.055556	0	0	0	131	2222	2535	1793	2216	0	0	0	1518	1383	128	0	225	0	0	0
Zrsr1	665.833333	0	0	0	100	2509	2243	2254	2282	0	0	0	1552	1045	0	0	0	0	0	0
Commd1	665.833333	0	0	0	100	2509	2243	2254	2282	0	0	0	1552	1045	0	0	0	0	0	0
Gm4981	651.333333	779	1151	280	448	914	1757	889	1804	0	0	185	787	577	653	509	602	207	182	0
Dux	644.111111	779	1151	280	448	914	1757	889	1804	0	0	185	787	577	653	509	602	82	177	0
Gnas	644.055556	0	0	0	86	2399	1806	2108	2029	312	0	87	1281	877	186	130	292	0	0	0
Fscn2	638.5	296	708	0	0	1267	2778	1009	2339	0	0	0	2179	539	239	0	139	0	0	0
Impact	625.388889	0	0	0	0	2314	2229	1894	2116	0	0	0	1510	1015	0	0	179	0	0	0
Lima1	624.555556	113	936	0	0	1941	3308	1627	2900	0	0	141	276	0	0	0	0	0	0	0
Prss54	603.611111	346	248	108	0	1613	2455	1269	2119	0	0	0	1510	935	164	0	98	0	0	0
Wdr92	592.833333	286	1451	0	97	1005	3048	908	2192	0	0	0	1438	135	0	0	111	0	0	0
Pno1	592.833333	286	1451	0	97	1005	3048	908	2192	0	0	0	1438	135	0	0	111	0	0	0
Zfp553	559.333333	0	0	0	178	1865	2237	1697	1823	0	0	0	1561	707	0	0	0	0	0	0
Mest	546.944444	0	0	100	190	1616	1594	1510	1585	0	0	0	1794	831	219	168	238	0	0	0
Ifrd2	539.888889	165	824	0	0	1176	2777	947	2421	0	0	0	1022	255	131	0	0	0	0	0
Fbxl4	529.611111	607	499	0	0	1480	2265	1271	1644	0	0	0	282	457	312	311	405	0	0	0
Pnpla1	474.111111	144	363	0	0	1337	2493	1088	2013	0	0	0	665	209	0	0	222	0	0	0
Neto2	454.722222	253	199	0	0	1393	2442	1103	1863	0	0	0	236	171	239	160	126	0	0	0
Nanog	397.666667	0	0	0	0	959	2482	509	2297	0	0	0	586	325	0	0	0	0	0	0
Plekhm3	367.666667	454	0	0	0	1151	1895	867	1707	0	0	0	225	0	134	185	0	0	0	0
Ttll4	345.555556	408	148	0	0	934	1641	621	1202	0	0	0	1021	245	0	0	0	0	0	0
Pcdhgb4	342.5	212	1375	0	0	520	1646	346	1251	0	0	0	668	147	0	0	0	0	0	0
Pcdhga8	342.5	212	1375	0	0	520	1646	346	1251	0	0	0	668	147	0	0	0	0	0	0
Mtmr2	339.166667	294	211	0	0	1075	1760	904	1398	0	0	0	357	0	0	106	0	0	0	0
Atp9a	335.166667	0	0	0	0	405	2696	312	2398	0	0	0	222	0	0	0	0	0	0	0
Bglap3	323.0	233	221	0	0	877	1759	484	1210	0	0	0	286	147	268	172	157	0	0	0
Pxk	319.277778	0	0	0	0	806	2433	418	1946	0	0	0	144	0	0	0	0	0	0	0
Pcdha8	318.444444	598	165	0	0	502	1381	408	914	0	0	0	1332	432	0	0	0	0	0	0
Erdr1	308.5	0	417	233	0	556	1465	497	1015	0	189	0	894	287	0	0	0	0	0	0
Olfr938	306.166667	149	0	0	0	424	1331	211	961	0	0	0	993	556	362	263	261	0	0	0
Asmt	305.222222	195	104	362	473	195	377	218	178	343	363	229	527	892	197	189	286	197	169	0
Sfi1	298.833333	416	166	0	0	480	552	592	435	0	0	0	1059	762	355	315	247	0	0	0
Gm9507	292.666667	0	0	0	131	759	1692	584	1071	0	0	0	464	109	142	216	100	0	0	0
Gm32856	286.444444	0	0	0	0	774	1440	632	892	0	0	0	796	300	0	162	160	0	0	0
Pxt1	272.888889	125	157	0	81	1054	1316	732	1037	0	0	0	271	0	0	0	139	0	0	0
Defb22	270.666667	0	0	0	0	1046	1352	582	786	0	0	0	994	112	0	0	0	0	0	0
Prpf39	268.888889	201	143	0	0	631	1322	376	867	0	0	0	887	289	0	124	0	0	0	0
Spin1	265.055556	170	147	0	0	1050	1518	690	872	0	0	0	155	169	0	0	0	0	0	0
Zfp575	263.388889	321	136	0	0	698	1393	437	1019	0	0	0	441	148	0	0	148	0	0	0
Ethe1	263.388889	321	136	0	0	698	1393	437	1019	0	0	0	441	148	0	0	148	0	0	0
Fam98a	259.611111	235	0	0	97	888	1336	644	859	0	0	0	357	137	0	0	120	0	0	0
Dnah17	258.944444	184	123	0	0	809	1745	527	1166	0	0	0	107	0	0	0	0	0	0	0
Lhx9	254.611111	295	223	0	0	0	0	0	0	0	0	0	2092	1235	357	263	118	0	0	0
Eml2	253.277778	0	0	0	0	470	1594	270	827	0	0	0	1244	154	0	0	0	0	0	0
Reps2	247.777778	193	121	0	218	139	862	189	642	0	0	0	1473	541	0	0	82	0	0	0
Ercc4	246.833333	172	175	0	0	427	1001	354	597	0	0	0	1244	473	0	0	0	0	0	0
Wfdc16	242.166667	0	0	0	0	284	1214	195	908	0	0	0	1246	317	0	0	195	0	0	0
Gm2696	240.833333	0	0	0	0	759	1692	0	1071	0	0	0	464	349	0	0	0	0	0	0
Nalcn	236.888889	155	0	0	0	624	1420	508	910	0	0	0	246	183	107	111	0	0	0	0
Tmem94	232.666667	294	0	0	0	541	1357	376	933	0	0	0	319	0	160	208	0	0	0	0
Zfp872	232.388889	154	126	0	0	467	894	280	624	0	0	0	1270	368	0	0	0	0	0	0
Pde3b	231.111111	308	0	0	0	552	1370	603	955	0	0	0	213	0	0	159	0	0	0	0
Mmp23	225.055556	0	393	0	0	466	1637	259	1126	0	0	0	170	0	0	0	0	0	0	0
Dpep3	223.388889	274	0	0	0	294	1301	96	965	0	0	0	571	0	189	146	185	0	0	0
Clcn4	223.277778	0	0	0	0	488	1163	592	917	0	0	0	489	370	0	0	0	0	0	0
Il31ra	222.0	0	0	739	543	210	508	387	538	135	0	0	379	557	0	0	0	0	0	0
Oasl1	220.0	0	0	537	550	0	0	0	0	566	587	452	1105	163	0	0	0	0	0	0
Cfap97d2	215.444444	266	0	0	0	606	1161	431	1031	0	0	0	0	0	158	225	0	0	0	0
Gng10	215.222222	0	0	0	0	622	1384	565	997	0	0	0	306	0	0	0	0	0	0	0
Ogfod2	214.777778	0	0	0	0	620	1281	554	1097	0	0	0	314	0	0	0	0	0	0	0
Tmbim7	205.5	0	0	0	0	636	1320	424	846	0	0	0	336	137	0	0	0	0	0	0
Sspn	203.666667	208	327	421	192	251	637	392	388	0	0	0	459	391	0	0	0	0	0	0
Fads1	199.444444	0	0	0	0	431	1727	404	831	0	0	0	197	0	0	0	0	0	0	0
Lipt1	199.166667	0	313	0	0	190	1902	0	1012	0	0	0	168	0	0	0	0	0	0	0
Olfr806	197.666667	0	0	608	582	0	0	0	0	473	0	422	916	557	0	0	0	0	0	0
Polr2m	197.388889	160	0	0	0	454	1305	300	972	0	0	0	236	0	0	126	0	0	0	0
Coro1c	196.277778	0	0	0	0	814	808	799	777	0	0	0	335	0	0	0	0	0	0	0
Armc9	194.0	0	0	0	0	698	1203	554	798	0	0	0	239	0	0	0	0	0	0	0
Zdbf2	192.5	0	0	92	198	184	1509	0	843	0	0	0	277	362	0	0	0	0	0	0
Rcvrn	191.611111	0	0	0	0	167	1540	0	887	0	0	0	756	99	0	0	0	0	0	0
Gstp2	189.555556	0	0	0	0	302	1473	234	1193	0	0	0	210	0	0	0	0	0	0	0
Gstp1	189.555556	0	0	0	0	302	1473	234	1193	0	0	0	210	0	0	0	0	0	0	0
Rtp2	187.388889	0	0	0	0	335	630	222	432	0	0	0	1201	553	0	0	0	0	0	0
Poc1b	186.722222	0	0	0	0	520	1215	323	748	0	0	0	404	151	0	0	0	0	0	0
Abhd6	185.277778	0	0	539	630	0	0	0	0	506	218	491	606	345	0	0	0	0	0	0
Pbk	184.944444	0	0	0	0	451	1570	500	808	0	0	0	0	0	0	0	0	0	0	0
Dusp21	179.944444	104	0	0	0	0	978	0	442	0	0	0	1033	682	0	0	0	0	0	0
Miox	179.055556	0	0	0	0	641	1170	494	918	0	0	0	0	0	0	0	0	0	0	0
Pink1	176.611111	0	0	0	0	584	1201	308	750	0	0	0	214	122	0	0	0	0	0	0
Mcts2	176.611111	0	0	0	0	0	0	0	0	0	0	0	2755	275	0	0	149	0	0	0
Atoh7	176.444444	192	0	0	0	615	1200	392	670	0	0	0	107	0	0	0	0	0	0	0
Kpna1	176.333333	0	0	1053	504	0	0	0	0	439	0	242	483	453	0	0	0	0	0	0
Zfp775	176.0	461	915	0	0	84	989	0	414	0	0	0	305	0	0	0	0	0	0	0
Repin1	176.0	461	915	0	0	84	989	0	414	0	0	0	305	0	0	0	0	0	0	0
Psmg4	175.666667	128	0	0	0	601	957	384	881	0	0	0	119	0	92	0	0	0	0	0
Sncb	174.5	0	0	0	0	664	1046	378	768	0	0	0	285	0	0	0	0	0	0	0
Usp10	173.888889	0	0	0	0	382	1356	217	922	0	0	0	253	0	0	0	0	0	0	0
Hikeshi	172.888889	0	0	0	0	469	1128	351	706	0	0	0	353	105	0	0	0	0	0	0
Olfr1388	169.444444	268	299	0	0	272	892	122	475	0	0	0	115	341	0	153	113	0	0	0
Mrpl11	168.111111	0	0	0	0	426	1161	361	767	0	0	0	0	0	115	94	102	0	0	0
Hmox2	167.666667	145	0	0	0	587	1061	346	636	0	0	0	243	0	0	0	0	0	0	0
Proc	166.777778	0	174	0	0	143	1449	0	796	0	0	0	330	110	0	0	0	0	0	0
Cyp4a32	166.277778	0	0	0	0	472	1208	460	627	0	0	0	104	122	0	0	0	0	0	0
Tasor2	165.833333	0	0	0	0	615	1109	392	792	0	0	0	77	0	0	0	0	0	0	0
Slc39a12	165.277778	0	0	0	0	580	966	348	557	0	0	0	429	95	0	0	0	0	0	0
Endou	165.277778	0	0	0	0	653	1104	408	810	0	0	0	0	0	0	0	0	0	0	0
Galnt4	164.888889	0	0	0	0	520	1215	323	748	0	0	0	162	0	0	0	0	0	0	0
9230019H11Rik	164.5	344	437	0	110	0	0	0	0	0	0	0	130	218	487	371	330	322	212	0
Lrrc8b	163.666667	0	0	0	0	599	1007	447	660	0	0	0	233	0	0	0	0	0	0	0
Olfr1152	162.166667	254	0	0	0	476	843	323	658	0	0	0	158	207	0	0	0	0	0	0
Atf7ip2	159.555556	0	0	0	0	0	2714	0	0	0	0	0	158	0	0	0	0	0	0	0
Zfp236	158.666667	296	449	0	119	107	685	0	342	0	0	0	635	223	0	0	0	0	0	0
Tmem86a	157.333333	0	0	0	0	0	661	0	362	0	0	0	1404	405	0	0	0	0	0	0
Olfr761	151.555556	0	0	0	0	400	857	260	503	0	0	0	550	158	0	0	0	0	0	0
Chrac1	151.166667	137	0	0	0	308	874	235	528	0	0	0	488	151	0	0	0	0	0	0
Gm6713	150.888889	0	0	0	0	396	1008	375	597	0	0	0	206	134	0	0	0	0	0	0
Gm33887	150.666667	327	428	0	126	109	378	87	249	0	0	0	677	152	0	179	0	0	0	0
Zfp982	150.611111	0	0	0	0	474	787	401	238	0	0	0	515	296	0	0	0	0	0	0
Cdh12	148.111111	0	0	363	369	0	0	0	0	557	587	440	350	0	0	0	0	0	0	0
