	source	target	weight	PMID
0	Myc	Tert	1	10022128;10491298;10606235;10637317;10723141;10786671;10914736;11274400;11279234;11287602;11435602;11606399;11916966;12044867;12646176;12695333;12802280;12807729;12821782;12941894;12970752;14519204;14563552;14611815;14612409;14744757;15226182;15371341;15595642;15655249;15665468;15958520;16205635;16287840;16402390;16489011;16785237;16880523;17070091;17141225;17706770;17934056;17942561;17967894;18093727;18158869;18226852;18365874;18367227;18586674;18754863;18818322;19003324;19047367;19148473;19360348;19649288;19762557;19787269;19806010;19912441;20454512;20723213;21132266;21553143;21627565;21807113;21855630;21995449;22207128;23759068;23860446;24705139;9988278
1	Spi1	Bglap	1	10022617
2	Spi1	Bglap3	1	10022617
3	Spi1	Bglap2	1	10022617
4	Smad3	Jun	1	10022869;12374795
5	Smad4	Jun	1	10022869;12374795
6	Stat5a	Il2	1	10022878;11435608;17182565;17911616;22854263;24550509;24587342;7479881;8683106;8943338;9121484;9817603
7	Stat5b	Il2	1	10022878
8	Rela	Fas	1	10022897;10871852;11290773;11473033;16317104;16784892;19628709;22669972;23604035;9733827
9	Wt1	Nr0b1	1	10022915;12151099
10	Nr0b2	Casp1	1	10022928
11	Sp1	Aldoa	1	10023068;8524331
12	Tp53	Igf1r	-1	10023442;11001824;12089352;12444079;15131018;16181796;17014845;17097318;17600529;20633551;22033326;24205274;8710868
13	Zbtb16	Ccna2	-1	10023668;11920165;14527952;18504436;20731660
14	Runx1	Rhd	1	10023677
15	Stat3	Cdkn1a	1	10023678;11114718;11773079;12438313;15063116;15286705;16923815;18320073;19329556;19372587;20654581;21184768;22328012;23178160;9694869
16	Tp53	Poli	1	10023689;10913176
17	Etv4	Ggt1	1	10026114;9209098
18	Mtf1	Mcat	1	10026134;10605938;11551972;12716893;15378601;16423564;17363595;18023887;18230604;20979157;21870250;23374901
19	Creb1	Hmgcs2	1	10026135
20	Foxa2	Gcg	1	10026208;11773447;11875061;15828872;21824254;7776982;8164696;9121428
21	Nfatc2	Gcg	1	10026208
22	Cebpb	Pck1	1	10026211;10224054;10681569;10854692;11453665;12070172;12560325;15793235;20797423;20930553;22955269;8093246;8928898;9867832
23	Fos	Abcb1a	1	10026303
24	Rela	Abcb1a	1	10026303;12527911;18234965;19763573;21054339;22927901
25	Plag1	Plag1	1	10029085;11284386
26	Tp53	Cdkn1a	1	10029406;10037739;10072388;10094833;10101800;10321740;10327058;10348346;10435630;10498892;10499591;10522058;10559267;10566557;10597242;10625687;10660101;10749849;10753197;10777217;10792001;10799578;10910098;10935506;11021966;11032828;11152513;11162506;11162600;11175333;11278953;11313463;11313928;11375890;11384995;11395510;11429705;11444825;11514734;11557753;11668476;11739748;11748232;11890931;11892838;11895854;11922774;11973611;12007564;12045203;12080472;12168779;12173040;12203124;12226108;12239594;12379483;12384701;12392301;12420214;12433990;12560513;12573582;12609999;12640112;12665570;12681065;12716906;12717415;12748190;12782287;12806965;12851404;12869419;12889596;12902982;12925527;12934105;14517211;14522900;14580351;14612423;14614448;14614455;14635196;14722112;14743206;15007388;15009091;15024021;15051477;15067082;15082782;15136035;15184659;15208672;15248906;15259070;15302882;15339933;15371422;15489892;15492238;15496412;15509808;15539944;15566940;15586362;15660129;15710329;15728246;15738655;15741235;15790310;15851483;15856024;15860260;15872011;15882981;15897882;15985438;15988033;16061648;16103882;16107883;16131836;16204065;16230382;16261158;16288208;16317118;16341121;16343438;16410722;16434701;16458891;16488074;16537920;16540664;16557594;16574813;16581545;16601686;16733561;16778203;16778363;16894028;16931520;16970927;17101782;17108107;17121856;17145718;17146435;17158927;17167174;17224908;17280505;17307334;17317670;17339230;17344317;17404570;17509529;17569660;17592775;17610896;17646389;17678435;17685229;17721438;17762884;17786325;17878219;17903248;17916908;17938176;17942917;17977830;17996705;17997002;18059034;18094076;18172861;18193090;18208621;18225552;18269916;18272192;18419600;18446786;18451802;18483411;18505818;18521083;18573881;18593586;18615633;18628250;18644983;18645003;18645021;18656471;18690848;18719376;18755897;18757425;18769160;18840648;18951877;19067706;19118657;19243472;19244234;19383287;19394332;19435914;19472317;19501055;19608464;19630958;19713748;19723072;19738071;19749793;19789303;19843844;19846554;19882681;19954840;20036872;20124454;20153576;20187950;20190809;20331637;20448457;20473858;20511722;20531308;20673369;20696891;20797428;20814747;20817677;20843368;20885946;20962589;21084835;21093383;21242964;21245169;21295542;21317932;21325288;21524151;21528307;21541551;21546904;21552844;21557991;21606339;21642427;21715977;21733196;21791610;21858218;21900401;21903579;21957244;21969549;22001409;22086179;22172947;22190353;22244155;22253232;22266186;22266868;22270849;22279545;22290440;22427654;22480684;22503977;22514644;22532570;22611192;22713239;22732402;22894933;22948151;22989750;23017582;23066038;23100276;23146670;23149933;23159636;23187802;23208500;23329847;23349794;23474493;23650552;23665236;23759594;23874636;24074410;24096481;24134839;24189165;24205274;24289924;24356969;24379401;24384472;24559687;24584189;24599959;24821727;24821728;24835508;25024194;7478511;7566157;7624134;7624148;7696178;7753560;7774811;7777546;7970699;8242752;8547219;8557703;8603071;8616838;8632901;8641969;8647846;8691637;8749722;8752276;8799837;8816885;8878553;8910340;9108440;9154806;9183012;9191059;9207798;9216067;9223430;9224526;9233781;9268365;9268733;9288775;9349504;9360984;9405685;9440695;9472102;9519881;9525742;9535786;9582019;9588214;9614553;9652736;9707425;9714336;9816061;9816111;9895308;9916993;9920903;9926942
27	Tp53	Rb1	-1	10029406;11121443;11244564;11818069;11850820;12444079;12749855;15618023;15827088;1608930;16931621;21496227;22729911;22894933;23474762;8119988;8270002;8355507;8720930;8845569;9774636
28	E2f1	Cdkn1a	1	10030670;10702805;15048076;16923815;17008321;17167174;9191053;9748148
29	E2f3	Cdkn1a	1	10030670;15855772;17008321;17167174;22894933
30	Hbp1	Cdkn1a	-1	10030670;11748232
31	Yy1	Nr3c1	1	10030686;12039077
32	Esr1	Mapk8	1	10037172
33	Jun	Mapk8	1	10037172;10092525;10764760;10954918;12162804;12183409;12441106;12637567;15122763;15225883;15483136;15582605;15950217;16397260;16452190;16611996;17932215;18374905;18457359;18535250;18607069;19010898;19016586;19289495;19324081;20353950;20813260;21216243;21710359;21719561;21739277;22344299;22353755;22802261;23608488;23939952;24123203;8610116;9295358;9427647;9691914;9743233;9746785;9867853;9878062
34	Mafk	Hbb-b1	1	10037736;14747657;18308612;9478996
35	Nfe2l3	Hbb-b1	1	10037736
36	Tp53	Acta1	1	10037739
37	Tp53	Bcl2	-1	10037739;10329733;10744634;10953306;11193470;11313951;11713302;11782367;14684736;15326476;15767042;16294215;16738310;17592775;17693666;18397889;18487508;18682598;19137013;19411072;19521340;19555669;19714248;20428827;20501806;20530667;20840522;21656028;21666495;21859835;22266868;22869582;23638218;24098340;24155778;24814047;8174112;8183578;8205530;9000137;9649502
38	Phox2a	Dbh	1	10037744;10644760;11034547;11948255;12609984;14512028;16280598;21241805;9341190;9763470;9798905
39	Stat4	Il12b	1	10037767;12893768
40	Stat4	Irf1	1	10037767;10068671;10358173
41	Irf1	Irf1	1	10037767;10321737;10358173;11238639;12493643;1431317;14656743;15467738;15560761;15659847;1614874;17016442;18079498;18497060;18694960;20435892;20825659;21219575;22002246;7507207;7678055;8015552;8885869;8990383;9307237
42	Atf2	Il6	1	10037779;20086235
43	Wt1	Odc1	1	10047468;8604351
44	Nr2c2	Ccnd1	1	10048449
45	Tfap2a	Ccl2	1	10049733
46	Fos	Fos	-1	10050039;10082538;10319324;10381381;10891373;11145955;11389180;11557580;11701448;11850800;11950097;12137955;12506135;12510024;12658630;1431315;15123357;16242410;1668889;16785536;17182846;1722028;1822246;18502516;18557893;18725523;18757399;1900040;1903195;1915270;19196971;1922053;1944274;19581295;20682780;2104799;2110922;2119495;21655091;21692876;21914770;21920361;23562910;24220339;2498646;2498806;2511006;2513130;2850250;3355549;7857636;7935406;7942278;8031467;8114761;8230424;8348687;8468462;8589450;8593588;8681975;8793851;8810350;8816505;8846788;8874187;8890955;8939609;8970980;9000503;9019156;9159206;9368758;9413158;9452499;9515031;9813041;9822695;9858538
47	Hnf1a	Igf1	1	10050749;11544200;12031966;15933209;17210751;7836361;8584026;8943227
48	Stat5a	Igf1	1	10050749;14532269;15677453;17509524;18276757;19920132;20372799;20378540;21651786;23071812
49	Ets1	Timp1	1	10051488;8557686
50	Etv4	Timp1	1	10051488;10692475;1420363
51	Cebpb	Adra1d	1	10051504;10796884;10871045;11058951;11481261;16431954
52	Arnt	Cyp1b1	1	10051545;12376470;12801909;16115918;19255421;19287966;19376845;21742528;24299737
53	Ahr	Cyp1b1	1	10051545;12213569;12376470;12801909;12859982;14728982;16115918;17012224;17511620;17709388;17785579;18059014;19126602;19287966;19376845;19789301;19805408;21703235;21742528;22138065;22187486;23275542;24299737;9478971
54	Tp53	Ccnb1	-1	10051609;11071927;11162602;11313928;11522645;11892838;12379461;12874009;14627709;15710382;15737644;17942917;19470724;20395210
55	Pax6	L1cam	1	10051657;7917011
56	Carf	Crebbp	1	10064599
57	Stat5a	Ccnd1	1	10064602;14645506;15885880;16155412;18024957;18927468;19426693;20372799;21719533;23223023;23504816
58	Cebpb	Vldlr	1	10064725
59	Nfya	Vldlr	1	10064725
60	Cebpg	Vldlr	1	10064725
61	Tp53	Mdm2	1	10065155;10072445;10208414;10321740;10348346;10469568;10562557;10566557;10688649;10718212;10777217;10788589;10856296;10871862;10891494;10914734;10949923;11046142;11085543;11127813;11179471;11245471;11313463;11328884;11591713;11593391;11714701;11748232;11756653;11840331;11956627;11964305;12080472;12138177;12173040;12208736;12235242;12374749;12606552;12750288;12755686;12851404;12887889;12902982;14514686;14532965;14570892;14602726;14610316;14704432;14743206;14990790;15007388;15024021;15090541;15192123;15361831;15550242;15580300;15592502;15684615;15734740;15735665;15831521;15843377;15851483;15856024;15908423;15917661;1614537;16202543;16337599;16479015;16492744;16501602;16510138;16571800;16585169;16624812;17043642;17139261;17237821;17310983;17318220;17329361;17390010;17690113;17848574;17907153;17936559;18025460;18333294;18336191;18359851;18397889;18566224;18583933;18585004;18632610;18781178;18783169;18814047;18852133;19085961;19428175;19505873;19541936;19590512;19638633;19648117;19649205;19663772;19671680;19837670;19941079;19955655;20036872;20080970;20124454;20156675;20331637;20547751;20588255;20659896;20663877;20703075;20837136;20858413;20948295;21097889;21211512;21217645;21295542;21422812;21451571;21478269;21637567;21750655;21957016;22081073;22085928;22180176;22197810;22223137;22245141;22290440;22301280;22383580;22532570;22787160;22948151;23149414;23150757;23150759;23365201;23483203;23581014;23612020;23874713;23982177;24339722;24389645;25016801;7587074;7624148;7651818;7888679;7936649;7958853;8187772;8247544;8313378;8319905;8413278;8440237;8910340;8957072;9070662;9071998;9135153;9194564;9207798;9267820;9270029;9271120;9294611;9371494;9400998;9405685;9430645;9472631;9486848;9525742;9535786;9645455;9649502;9681831;9707425;9815889;9858609
62	Znf148	Cdkn1a	1	10066455;10899165;12840224;16952553;22214764
63	Nfic	Crebbp	1	10066764
64	Nfic	Src	1	10066764
65	Nfic	Gal	1	10066764
66	Nfic	Nfic	1	10066764;10762365;23407945
67	Rbpj	Myod1	-1	10066785;10079231;12050162
68	Rbpj	Hes1	1	10066785;10205173;10520600;10933396;11120788;11866432;12814948;17611704;21311046;22718343;7566092;9819428
69	Hes1	Hes1	1	10066785;12682059;14722248;15110721;15536134;16916793;18852286;19109490;19124651;19321451;21205878;22167192;22172337;23267012;23990620;24185616;9570134
70	Atf2	Ccnd1	1	10066798;10464245;10500157;10915780;11410592;11739785;11850817;15314161;15691880;16405968;9990041
71	Jun	Ccnd1	1	10066798;10500157;10567390;10790372;11402335;11410592;11432833;11745411;12794082;14672732;15282324;15467760;15574422;15574764;15994313;16393119;16860316;17166846;17278098;17477349;17496887;17501623;17637753;17670745;18084253;19435822;19499154;19622016;20037604;20220142;20482821;21135252;21474819;22550166;22853846;24190040;8917510;9878062
72	Fos	Mapk14	1	10067858
73	Gata4	Inha	1	10067876;12533404;16720723
74	Gata4	Gata4	1	10067876;17098826;17207921;18387357;18591257;19276186;20384792;21059997;21084315;21376121;22174950;23239811
75	Gata4	Gata6	1	14988427;15659482;18816845
76	Gata6	Gata4	1	10067876;14666170;14715527;14988427;21878320
77	E2f3	Rbl1	1	10068462
78	Nfatc2	Il4	1	10069428;10772943;10894164;11687571;11781715;11956291;12218118;12355451;12594266;15048722;15539155;15684054;17645498;18217957;18962896;19915002;21799768;22226971;23612709;25037220;7989759;8284217;8524816;8668213;9133600;9310836;9430230;9845517;9916709
79	Hnf4a	Gucy2c	1	10070050
80	Rxrg	Sftpb	1	10070102;9700083
81	Rara	Sftpb	1	10070102;10617585;11274148;15044588
82	Jun	Cdkn1a	1	10072388;10506225;10733944;11136975;12054510;12717415;18094076;18210215;19628677;21278055
83	Tp53	Jun	1	10427119;18604200;8706975
84	Jun	Tp53	-1	10072388;10348347;12963547;17321721;18604200;20697347;22353755;22859294
85	Tp53	Tp53	1	10072388;10082513;10082525;10097112;10101797;10206959;10207030;10207051;10208414;10213232;10233872;10340750;10400708;10505791;10516715;10557083;10559267;10602486;10602522;10606233;10606650;10698502;10747965;10753945;10890910;10969820;10980602;10990460;11007955;11032029;11072234;11127813;11158615;11169742;11175333;11259619;11313982;11375890;11375983;11382762;11382926;11423978;11429705;11481488;11557753;11591730;11675005;11714700;11781835;11791186;11798189;11807984;11852084;11871818;12024039;12080472;12164786;12170778;12217864;12372430;12374798;12402042;12431761;12433990;12444079;12692266;12748190;12750563;12824528;12918060;12925527;12942774;12944915;14520699;14610316;1465435;14710355;14712090;14722112;14743206;14985507;14990988;15019163;15024021;15044452;15077179;15153330;15242522;15289308;15489892;15496412;15509808;15540784;15548589;15574328;15734740;15798209;15860260;15908423;16107692;16158047;16230375;16244670;16301995;16343438;16462765;16479015;16492744;16557594;16636674;16642213;16738310;16828711;16849542;16855375;16929179;16990849;17072342;17186020;17245118;17264218;17317671;17344317;17377493;17442733;17513613;17533371;17555406;17569660;17634135;17685229;17762884;17805299;17845721;17878219;17909016;17942917;17942928;17993233;18022393;18053811;18303029;18336191;18374905;18377871;18419600;18505928;18555750;18556654;18632613;18698017;18922183;19015127;19037090;19075931;19086036;19107228;19124064;19135161;19147532;19204115;19229245;19244234;19357269;19465063;19558368;19580521;19602589;19638633;19718706;19776115;19776742;19837670;19882681;19930465;20093361;20124454;20139776;20167600;20185821;20190809;20197393;20198350;20225156;20331637;20428765;20505327;20569441;20576604;20588255;20607720;20647772;20659896;20689555;20797428;20805247;20886113;21042410;21042757;21071137;21285512;21348943;21552926;21556530;21617703;21655924;21862876;21887328;21914463;21924287;21941086;22032922;22074401;22075982;22178888;22203497;22266186;22266808;22266868;22391568;22427654;22445862;22498492;22532570;22576012;22611192;22777360;22787161;22796152;22805162;22862424;23035104;23100276;23148227;23165212;23178494;23291986;23967302;23982177;23995788;24040083;24134839;24183724;24231352;24330748;24333671;24696455;24737129;24788519;24799195;24802395;7478511;7494329;7556087;7623839;7651818;7684498;7700629;7824283;7969121;7995520;8051093;8090749;8117626;8242752;8247532;8247545;8299938;8382357;8388491;8405994;8514746;8521821;8570655;8630996;8645424;8647846;8695156;8756654;8892752;8892753;8932384;9105415;9191059;9242687;9268733;9315650;9343394;9449526;9649502;9677410;9707425;9724739;9774662;9839551;9841917;9844738;9858609;9890939;9926927
86	Stat3	Prf1	1	10072525
87	Dbp	Jtb	1	10073576
88	Hlf	Jtb	1	10073576
