ligand	receptor
TGFB1	TGFbR1_R2
TGFB2	TGFbR1_R2
TGFB3	TGFbR1_R2
TGFB1	ACVR1B_TGFbR2
TGFB1	ACVR1C_TGFbR2
TGFB2	ACVR1B_TGFbR2
TGFB2	ACVR1C_TGFbR2
TGFB3	ACVR1B_TGFbR2
TGFB3	ACVR1C_TGFbR2
TGFB1	ACVR1_TGFbR
TGFB2	ACVR1_TGFbR
TGFB3	ACVR1_TGFbR
BMP2	BMPR1A_ACVR2A
BMP2	BMPR1A_ACVR2B
BMP2	BMPR1A_BMPR2
BMP2	BMPR1B_ACVR2A
BMP2	BMPR1B_ACVR2B
BMP2	BMPR1B_BMPR2
BMP4	BMPR1A_ACVR2A
BMP4	BMPR1A_ACVR2B
BMP4	BMPR1A_BMPR2
BMP4	BMPR1B_ACVR2A
BMP4	BMPR1B_ACVR2B
BMP4	BMPR1B_BMPR2
GDF5	BMPR1A_ACVR2A
GDF5	BMPR1A_ACVR2B
GDF5	BMPR1A_BMPR2
GDF5	BMPR1B_ACVR2A
GDF5	BMPR1B_ACVR2B
GDF5	BMPR1B_BMPR2
GDF6	BMPR1A_ACVR2A
GDF6	BMPR1A_ACVR2B
GDF6	BMPR1A_BMPR2
GDF6	BMPR1B_ACVR2A
GDF6	BMPR1B_ACVR2B
GDF6	BMPR1B_BMPR2
GDF7	BMPR1A_ACVR2A
GDF7	BMPR1A_ACVR2B
GDF7	BMPR1A_BMPR2
GDF7	BMPR1B_ACVR2A
GDF7	BMPR1B_ACVR2B
GDF7	BMPR1B_BMPR2
BMP15	BMPR1B_BMPR2
BMP5	ACVR1_ACVR2A
BMP5	ACVR1_ACVR2B
BMP5	ACVR1_BMPR2
BMP5	BMPR1A_ACVR2A
BMP5	BMPR1A_ACVR2B
BMP5	BMPR1A_BMPR2
BMP5	BMPR1B_ACVR2A
BMP5	BMPR1B_ACVR2B
BMP5	BMPR1B_BMPR2
BMP6	ACVR1_ACVR2A
BMP6	ACVR1_ACVR2B
BMP6	ACVR1_BMPR2
BMP6	BMPR1A_ACVR2A
BMP6	BMPR1A_ACVR2B
BMP6	BMPR1A_BMPR2
BMP6	BMPR1B_ACVR2A
BMP6	BMPR1B_ACVR2B
BMP6	BMPR1B_BMPR2
BMP7	ACVR1_ACVR2A
BMP7	ACVR1_ACVR2B
BMP7	ACVR1_BMPR2
BMP7	BMPR1A_ACVR2A
BMP7	BMPR1A_ACVR2B
BMP7	BMPR1A_BMPR2
BMP7	BMPR1B_ACVR2A
BMP7	BMPR1B_ACVR2B
BMP7	BMPR1B_BMPR2
BMP8A	ACVR1_ACVR2A
BMP8A	ACVR1_ACVR2B
BMP8A	ACVR1_BMPR2
BMP8A	BMPR1A_ACVR2A
BMP8A	BMPR1A_ACVR2B
BMP8A	BMPR1A_BMPR2
BMP8A	BMPR1B_ACVR2A
BMP8A	BMPR1B_ACVR2B
BMP8A	BMPR1B_BMPR2
BMP8B	ACVR1_ACVR2A
BMP8B	ACVR1_ACVR2B
BMP8B	ACVR1_BMPR2
BMP8B	BMPR1A_ACVR2A
BMP8B	BMPR1A_ACVR2B
BMP8B	BMPR1A_BMPR2
BMP8B	BMPR1B_ACVR2A
BMP8B	BMPR1B_ACVR2B
BMP8B	BMPR1B_BMPR2
BMP10	ACVRL1_BMPR2
BMP10	ACVRL1_ACVR2A
GDF2	ACVRL1_BMPR2
GDF2	ACVRL1_ACVR2A
GDF9	ACVR1B_BMPR2
GDF10	ACVR1B_ACVR2A
GDF11	TGFBR1_ACVR2A
GDF11	TGFBR1_ACVR2B
GDF11	ACVR1B_ACVR2B
GDF15	TGFBR2
MSTN	TGFBR1_ACVR2B
MSTN	ACVR1B_ACVR2B
MSTN	ACVR1B_ACVR2A
MSTN	TGFBR1_ACVR2A
AMH	AMHR2_ACVR1
AMH	AMHR2_BMPR1A
GDNF	GFRA1_RET
NRTN	GFRA2_RET
ARTN	GFRA3_RET
PSPN	GFRA4_RET
ARTN	GFRA1_RET
NODAL	ACVR1B_ACVR2A_CFC1
NODAL	ACVR1C_ACVR2A_CFC1
NODAL	ACVR1B_ACVR2B_CFC1
NODAL	ACVR1C_ACVR2B_CFC1
GDF1	ACVR1B_ACVR2A_CFC1
GDF1	ACVR1B_ACVR2B_CFC1
GDF1	ACVR1C_ACVR2A_CFC1
GDF1	ACVR1C_ACVR2B_CFC1
GDF3	ACVR1B_ACVR2A_CFC1
GDF3	ACVR1B_ACVR2B_CFC1
GDF3	ACVR1C_ACVR2A_CFC1
GDF3	ACVR1C_ACVR2B_CFC1
INHBA	ACVR1B_ACVR2A
INHBA	ACVR1B_ACVR2B
INHBB	ACVR1B_ACVR2A
INHBB	ACVR1B_ACVR2B
INHBB	ACVR1C_ACVR2A
INHBB	ACVR1C_ACVR2B
INHBC	ACVR1B_ACVR2A
INHBC	ACVR1B_ACVR2B
INHBC	ACVR1C_ACVR2A
INHBC	ACVR1C_ACVR2B
INHBE	ACVR1B_ACVR2A
INHBE	ACVR1B_ACVR2B
INHBE	ACVR1C_ACVR2A
INHBE	ACVR1C_ACVR2B
Activin AB	ACVR1B_ACVR2A
Activin AB	ACVR1B_ACVR2B
Activin AB	ACVR1C_ACVR2A
Activin AB	ACVR1C_ACVR2B
Inhibin A	ACVR2A
Inhibin B	ACVR2B
WNT1	FZD1_LRP5
WNT1	FZD10_LRP5
WNT1	FZD2_LRP5
WNT1	FZD3_LRP5
WNT1	FZD4_LRP5
WNT1	FZD5_LRP5
WNT1	FZD6_LRP5
WNT1	FZD7_LRP5
WNT1	FZD8_LRP5
WNT1	FZD9_LRP5
WNT10A	FZD1_LRP5
WNT10A	FZD10_LRP5
WNT10A	FZD2_LRP5
WNT10A	FZD3_LRP5
WNT10A	FZD4_LRP5
WNT10A	FZD5_LRP5
WNT10A	FZD6_LRP5
WNT10A	FZD7_LRP5
WNT10A	FZD8_LRP5
WNT10A	FZD9_LRP5
WNT10B	FZD1_LRP5
WNT10B	FZD10_LRP5
WNT10B	FZD2_LRP5
WNT10B	FZD3_LRP5
WNT10B	FZD4_LRP5
WNT10B	FZD5_LRP5
WNT10B	FZD6_LRP5
WNT10B	FZD7_LRP5
WNT10B	FZD8_LRP5
WNT10B	FZD9_LRP5
WNT16	FZD1_LRP5
WNT16	FZD10_LRP5
WNT16	FZD2_LRP5
WNT16	FZD3_LRP5
WNT16	FZD4_LRP5
WNT16	FZD5_LRP5
WNT16	FZD6_LRP5
WNT16	FZD7_LRP5
WNT16	FZD8_LRP5
WNT16	FZD9_LRP5
WNT2	FZD1_LRP5
WNT2	FZD10_LRP5
WNT2	FZD2_LRP5
WNT2	FZD3_LRP5
WNT2	FZD4_LRP5
WNT2	FZD5_LRP5
WNT2	FZD6_LRP5
WNT2	FZD7_LRP5
WNT2	FZD8_LRP5
WNT2	FZD9_LRP5
WNT2B	FZD1_LRP5
WNT2B	FZD10_LRP5
WNT2B	FZD2_LRP5
WNT2B	FZD3_LRP5
WNT2B	FZD4_LRP5
WNT2B	FZD5_LRP5
WNT2B	FZD6_LRP5
WNT2B	FZD7_LRP5
WNT2B	FZD8_LRP5
WNT2B	FZD9_LRP5
WNT3	FZD1_LRP5
WNT3	FZD10_LRP5
WNT3	FZD2_LRP5
WNT3	FZD3_LRP5
WNT3	FZD4_LRP5
WNT3	FZD5_LRP5
WNT3	FZD6_LRP5
WNT3	FZD7_LRP5
WNT3	FZD8_LRP5
WNT3	FZD9_LRP5
WNT3A	FZD1_LRP5
WNT3A	FZD10_LRP5
WNT3A	FZD2_LRP5
WNT3A	FZD3_LRP5
WNT3A	FZD4_LRP5
WNT3A	FZD5_LRP5
WNT3A	FZD6_LRP5
WNT3A	FZD7_LRP5
WNT3A	FZD8_LRP5
WNT3A	FZD9_LRP5
WNT4	FZD1_LRP5
WNT4	FZD10_LRP5
WNT4	FZD2_LRP5
WNT4	FZD3_LRP5
WNT4	FZD4_LRP5
WNT4	FZD5_LRP5
WNT4	FZD6_LRP5
WNT4	FZD7_LRP5
WNT4	FZD8_LRP5
WNT4	FZD9_LRP5
WNT6	FZD1_LRP5
WNT6	FZD10_LRP5
WNT6	FZD2_LRP5
