Ligand	Receptor
Adipoq	Adipor1
Adipoq	Adipor2
Adm	Calcr
Adm	Calcrl
Adm	Gpr182
Adm	Mrgprb8
Adm	Ramp2
Ahsg	Insr
Angpt1	Itga5
Angpt1	Itgb1
Angpt1	Tek
Angpt1	Tie1
Angpt2	Tek
Angpt2	Tie1
Angpt4	Tek
Angpt4	Tie1
Angptl1	Tek
Angptl2	Tie1
Angptl3	Itga5
Angptl3	Itgav
Angptl3	Itgb3
Angptl4	Tie1
Apln	Aplnr
Areg	Egfr
Areg	Erbb3
Artn	Gfra1
Artn	Gfra3
Artn	Ret
Bdnf	Ddr1
Bdnf	Drd4
Bdnf	Ngfr
Bdnf	Bex3
Bdnf	Ntrk2
Bdnf	Sort1
Bmp10	Acvr1
Bmp10	Acvr2a
Bmp10	Acvr2b
Bmp10	Acvrl1
Bmp10	Bmpr1a
Bmp10	Bmpr1b
Bmp10	Bmpr2
Bmp10	Eng
Bmp2	Acvr1
Bmp2	Acvr2a
Bmp2	Acvr2b
Bmp2	Bmpr1a
Bmp2	Bmpr1b
Bmp2	Bmpr2
Bmp2	Eng
Bmp2	Hjv
Bmp3	Acvr1
Bmp3	Acvr2a
Bmp3	Acvr2b
Bmp3	Bmpr1a
Bmp3	Bmpr1b
Bmp3	Bmpr2
Bmp4	Acvr1
Bmp4	Acvr2a
Bmp4	Acvr2b
Bmp4	Bmpr1a
Bmp4	Bmpr1b
Bmp4	Bmpr2
Bmp4	Hjv
Bmp5	Acvr1
Bmp5	Acvr2a
Bmp5	Acvr2b
Bmp5	Bmpr1a
Bmp5	Bmpr1b
Bmp5	Bmpr2
Bmp5	Hjv
Bmp7	Acvr1
Bmp7	Acvr2a
Bmp7	Acvr2b
Bmp7	Bmpr1a
Bmp7	Bmpr1b
Bmp7	Bmpr2
Bmp7	Eng
Btc	Egfr
Btc	Erbb2
Btc	Erbb3
Btc	Erbb4
Ccl11	Ackr2
Ccl11	Ackr4
Ccl11	Ccr2
Ccl11	Ccr3
Ccl11	Ccr5
Ccl11	Cxcr3
Ccl2	Ackr2
Ccl2	Ackr4
Ccl2	Ccr1l1
Ccl2	Ccr2
Ccl2	Ccr3
Ccl2	Ccr5
Ccl2	Ccr9
Ccl2	Cxcr3
Ccl25	Ackr2
Ccl25	Ccr1l1
Ccl25	Ccr3
Ccl25	Ccr5
Ccl9	Ccr1l1
Ccl9	Ccr3
Ccl17	Ccr4
Ccl17	Ccr8
Ccl1	Ccr8
Ccl20	Ccr6
Ccl20	Cxcr3
Ccl21b	Ackr2
Ccl21b	Ackr4
Ccl21b	Ccr7
Ccl21b	Cxcr3
Ccl22	Ccr4
Ccl24	Ccr2
Ccl24	Ccr3
Ccl25	Ackr4
Ccl25	Ccr10
Ccl25	Ccr9
Ccl26	Ccr1l1
Ccl26	Ccr2
Ccl26	Ccr3
Ccl28	Ackr2
Ccl28	Ccr10
Ccl28	Ccr3
Ccl2	Ccr10
Ccl2	Ccr4
Ccl3	Ccr1l1
Ccl3	Ccr3
Ccl3	Ccr5
Ccl3	Ackr2
Ccl3	Ccr4
Ccl4	Ackr2
Ccl4	Ccr1l1
Ccl4	Ccr3
Ccl4	Ccr5
Ccl4	Ccr8
Ccl5	Ackr2
Ccl5	Ackr4
Ccl5	Ccr1l1
Ccl5	Ccr3
Ccl5	Ccr4
Ccl5	Ccr5
Ccl5	Cxcr3
Ccl5	Gpr75
Ccl5	Sdc1
Ccl5	Sdc4
Ccl7	Ackr2
Ccl7	Ackr4
Ccl7	Ccr1l1
Ccl7	Ccr10
Ccl7	Ccr2
Ccl7	Ccr3
Ccl7	Ccr5
Ccl7	Cxcr3
Ccl12	Ackr2
Ccl12	Ackr4
Ccl12	Ccr1l1
Ccl12	Ccr2
Ccl12	Ccr3
Ccl12	Ccr5
Cd70	Cd27
Clcf1	Cntfr
Clcf1	Crlf1
Clcf1	Il6st
Clcf1	Lifr
Cntf	Cntfr
Cntf	Il6ra
Cntf	Il6st
Cntf	Lifr
Crp	Olr1
Csf1	Csf1r
Csf2	Csf1r
Csf2	Csf2ra
Csf2	Csf2rb2
Csf2	Csf3r
Csf2	Il3ra
Csf2	Itga9
Csf2	Itgb1
Csf2	Sdc2
Csf3	Csf1r
Csf3	Csf3r
Ctf1	Il6st
Ctf1	Lifr
Ccn2	Erbb4
Ccn2	Itga5
Ccn2	Itgam
Ccn2	Itgb2l
Ccn2	Lrp1
Ccn2	Lrp6
Ccn2	Ntrk1
Cx3cl1	Cx3cr1
Cxcl10	Ccr3
Cxcl10	Cxcr3
Cxcl10	Sdc4
Cxcl11	Ackr3
Cxcl11	Ccr3
Cxcl11	Cxcr3
Cxcl12	Ackr3
Cxcl12	Ccr4
Cxcl12	Cd4
Cxcl12	Cxcr3
Cxcl12	Cxcr4
Cxcl12	Itgb1
Cxcl12	Sdc4
Cxcl13	Ackr4
Cxcl13	Ccr10
Cxcl13	Cxcr3
Cxcl13	Cxcr5
Cxcl13	Htr2a
Cxcl13	Oprd1
Cxcl16	Cxcr6
Cxcl1	Cxcr1
Cxcl1	Cxcr2
Cxcl2	Cxcr1
Cxcl2	Cxcr2
Cxcl2	Xcr1
Cxcl3	Cxcr1
Cxcl3	Cxcr2
Cxcl5	Cxcr1
Cxcl5	Cxcr2
Cxcl9	Ccr3
Cxcl9	Cxcr3
Ccn1	Cav1
Ccn1	Itga5
Ccn1	Itgam
Ccn1	Itgav
Ccn1	Itgb2l
Ccn1	Itgb3
Ccn1	Itgb5
Dkk1	Kremen1
Dkk1	Kremen2
Dkk1	Lrp5
Dkk1	Lrp6
Ebi3	Il27ra
Ebi3	Il6st
Eda	Eda2r
Eda	Edar
Efna1	Epha1
Efna1	Epha2
Efna1	Epha3
Efna1	Epha4
Efna1	Epha5
Efna1	Epha6
Efna1	Epha7
Efna1	Epha8
Efna1	Ephb1
Efna1	Ephb6
Efna2	Epha1
Efna2	Epha2
Efna2	Epha3
Efna2	Epha4
Efna2	Epha5
Efna2	Epha6
Efna2	Epha7
Efna2	Epha8
Efna3	Epha1
Efna3	Epha2
Efna3	Epha3
Efna3	Epha4
Efna3	Epha5
Efna3	Epha6
Efna3	Epha7
Efna3	Epha8
Efna3	Ephb1
Efna3	Ephb6
Efna4	Epha1
Efna4	Epha2
Efna4	Epha3
Efna4	Epha4
Efna4	Epha5
Efna4	Epha6
Efna4	Epha7
Efna4	Epha8
Efna5	Epha1
Efna5	Epha2
Efna5	Epha3
Efna5	Epha4
Efna5	Epha5
Efna5	Epha6
Efna5	Epha7
Efna5	Epha8
Efna5	Ephb1
Efna5	Ephb2
Efna5	Ephb6
Efnb1	Epha4
Efnb1	Epha6
Efnb1	Ephb1
Efnb1	Ephb2
Efnb1	Ephb3
Efnb1	Ephb4
Efnb1	Ephb6
Efnb1	Erbb2
Efnb2	Epha3
Efnb2	Epha4
Efnb2	Epha6
Efnb2	Ephb1
Efnb2	Ephb2
Efnb2	Ephb3
Efnb2	Ephb4
Efnb2	Ephb6
Efnb2	Grm1
Efnb2	Grm5
Efnb2	Pecam1
Efnb2	Rhbdl2
Efnb3	Epha4
Efnb3	Ephb1
Efnb3	Ephb2
Efnb3	Ephb3
Efnb3	Ephb4
Efnb3	Ephb6
Efnb3	Rhbdl2
Egf	Cav1
Egf	Egfr
