	source	target	weight	p_value
0	Androgen	Tmprss2	11.490631	0.0
1	Androgen	Nkx3-1	10.622551	2.2e-44
2	Androgen	Mboat2	10.472733	4.6e-44
3	Androgen	Sarg	11.386852	2.79021e-40
4	Androgen	Slc38a4	7.363805	1.253072e-39
5	Androgen	Mtmr9	6.1306458	2.534403e-38
6	Androgen	Oprk1	-5.6260734	1.11424474e-35
7	Androgen	Adam7	3.1117454	3.1144558e-32
8	Androgen	Abcc4	9.374285	2.0095212e-31
9	Androgen	Eaf2	6.944907	7.8419645e-31
10	Androgen	Klk1b27	14.606841	9.196045e-31
11	Androgen	Klk1b9	14.606841	9.196045e-31
12	Androgen	Klk1b16	14.606841	9.196045e-31
13	Androgen	Klk1b3	14.606841	9.196045e-31
14	Androgen	Klk1b26	14.606841	9.196045e-31
15	Androgen	Klk1b8	14.606841	9.196045e-31
16	Androgen	Klk1b4	14.606841	9.196045e-31
17	Androgen	Klk1b21	14.606841	9.196045e-31
18	Androgen	Klk1b22	14.606841	9.196045e-31
19	Androgen	Klk1	14.606841	9.196045e-31
20	Androgen	Klk1b24	14.606841	9.196045e-31
21	Androgen	Klk1b5	14.606841	9.196045e-31
22	Androgen	Klk1b1	14.606841	9.196045e-31
23	Androgen	Klk1b11	14.606841	9.196045e-31
24	Androgen	Otulinl	7.7082176	3.9372027e-30
25	Androgen	Pex10	5.74946	1.4105707e-29
26	Androgen	Snai2	19.821508	8.1523886e-29
27	Androgen	Camkk2	3.739544	2.59013e-28
28	Androgen	Bmpr1b	4.6340847	6.182863e-28
29	Androgen	F5	6.087826	1.2047765e-27
30	Androgen	Lifr	8.6125145	1.1334487e-26
31	Androgen	Mak	5.313673	4.1768647e-26
32	Androgen	Gnmt	5.6726384	9.326385e-25
33	Androgen	Mpc2	5.8883133	1.2205344e-24
34	Androgen	Cldn8	7.8261633	3.2981616e-24
35	Androgen	Lpar3	5.8482785	6.07584e-23
36	Androgen	Ell2	6.5675774	1.363369e-22
37	Androgen	Lrig1	6.626072	3.9930896e-21
38	Androgen	Slitrk3	-3.3206437	1.5034623e-20
39	Androgen	Nppc	4.046116	7.793352e-20
40	Androgen	Elk4	2.733172	6.213062e-19
41	Androgen	Cbll1	5.3254375	1.0845261e-18
42	Androgen	Aff3	2.4800925	1.6895339e-18
