Target_genes	Rel|Average	SRX14226822|B_cells	SRX14226823|B_cells	SRX14226824|B_cells	SRX14226825|B_cells	SRX14226826|B_cells	SRX14226827|B_cells	SRX122495|Dendritic_Cells	SRX122496|Dendritic_Cells	SRX122497|Dendritic_Cells	SRX122498|Dendritic_Cells	SRX122574|Dendritic_Cells	SRX122575|Dendritic_Cells	SRX3380944|Dendritic_Cells	SRX3380945|Dendritic_Cells	SRX3380946|Dendritic_Cells	STRING
Tcstv3	885.066667	750	988	904	864	1173	1320	821	1600	881	1016	544	0	928	1047	440	0
Cldn34d	663.400000	450	656	525	464	975	952	319	514	284	394	515	0	1527	1500	876	0
Brox	591.200000	388	363	453	392	704	645	234	462	175	226	685	0	1827	1744	570	0
Aida	591.200000	388	363	453	392	704	645	234	462	175	226	685	0	1827	1744	570	0
Olfr806	352.933333	329	332	187	286	434	473	803	632	837	981	0	0	0	0	0	0
Abhd6	341.400000	270	438	349	301	513	463	716	613	690	768	0	0	0	0	0	0
Wwox	311.933333	378	278	304	244	302	302	711	585	746	829	0	0	0	0	0	0
Asmt	304.733333	293	295	374	314	682	592	246	373	253	404	0	0	242	323	180	0
Oasl1	287.066667	201	240	313	313	482	468	316	355	322	343	0	0	351	212	390	0
Kpna1	280.333333	442	392	279	239	518	544	172	163	265	226	0	0	344	277	344	0
Tmem125	277.400000	205	277	224	175	389	383	151	358	198	217	468	0	531	405	180	0
Ccl22	238.600000	0	0	0	0	0	0	0	0	0	0	0	0	1741	1838	0	0
Mab21l3	214.133333	0	0	0	0	0	0	0	0	0	0	0	0	2015	1197	0	0
Tnfaip3	212.133333	0	0	169	0	129	185	0	220	0	0	0	0	1339	1140	0	0
Cdh12	194.266667	220	170	217	246	398	581	113	0	0	0	0	0	278	266	425	0
Itga5	191.800000	0	0	0	0	0	0	0	0	0	0	0	0	1508	1369	0	0
Fam89a	190.266667	0	0	0	0	0	0	0	0	0	0	0	0	1650	1204	0	0
Etv3	184.400000	0	0	0	0	0	0	0	0	0	0	0	0	1632	1134	0	0
Nfkbia	177.800000	0	0	0	0	144	148	0	0	0	0	0	0	1295	1080	0	0
Asb2	175.600000	0	0	0	0	0	0	0	0	0	0	0	0	1651	983	0	0
Slc25a44	174.866667	0	0	0	0	0	0	0	0	0	0	0	0	1250	1373	0	0
Mefv	164.733333	0	0	0	0	0	0	0	0	0	0	0	0	1507	964	0	0
Sbno2	164.200000	0	0	0	0	0	0	0	0	0	181	0	0	1579	703	0	0
Med21	161.600000	0	0	0	0	0	0	0	0	0	0	0	0	1262	1162	0	0
Uts2b	161.333333	0	0	0	0	0	0	0	0	0	0	0	0	1116	1304	0	0
Nedd4	155.466667	0	0	0	0	75	111	0	0	0	0	0	0	1289	857	0	0
Myo1g	154.400000	0	0	0	0	0	100	0	0	0	0	0	0	1372	844	0	0
Dst	151.133333	0	0	0	0	0	0	0	0	0	0	0	0	1370	897	0	0
Bend6	151.133333	0	0	0	0	0	0	0	0	0	0	0	0	1370	897	0	0
Grk3	145.733333	0	0	0	0	0	0	0	0	0	0	0	0	1336	850	0	0
Trim35	144.266667	0	0	0	0	0	0	0	0	0	0	0	0	1210	954	0	0
Il6ra	142.600000	0	0	0	0	0	0	0	0	0	0	0	0	1229	910	0	0
Slc25a19	142.333333	0	0	0	0	91	131	0	0	0	0	0	0	1391	522	0	0
Tbc1d9	141.933333	0	0	0	0	0	0	0	0	0	0	0	0	1437	692	0	0
Cnpy3	140.933333	0	0	0	0	0	86	0	0	0	0	0	0	1139	889	0	0
Cxcl9	138.733333	0	0	0	0	0	0	0	0	0	0	0	0	1302	779	0	0
Art3	138.733333	0	0	0	0	0	0	0	0	0	0	0	0	1302	779	0	0
Dennd4b	137.133333	0	0	0	0	0	0	0	0	0	0	0	0	999	1058	0	0
Gsap	136.666667	0	0	0	0	0	0	0	0	0	0	0	0	1124	926	0	0
Shtn1	136.000000	0	0	0	0	0	0	0	0	0	0	0	0	1213	827	0	0
Rin3	135.400000	0	0	0	0	0	0	0	0	0	0	0	0	1018	1013	0	0
Tyk2	135.200000	0	0	0	0	0	0	0	0	0	0	0	0	1260	768	0	0
Map10	134.466667	0	0	0	0	0	0	0	0	0	0	0	0	1436	581	0	0
Rabep2	134.266667	0	0	0	0	0	0	0	0	0	0	0	0	1304	710	0	0
Hsd17b11	132.466667	0	0	0	0	0	0	0	0	0	0	0	0	1351	636	0	0
Dennd4a	131.600000	0	0	0	0	0	0	0	0	0	0	0	0	1395	579	0	0
Fam177a2	128.466667	0	0	0	0	0	0	0	0	0	0	0	0	1206	721	0	0
Fam177a	128.466667	0	0	0	0	0	0	0	0	0	0	0	0	1206	721	0	0
Grn	127.866667	0	0	0	0	0	0	0	0	0	0	0	0	1139	779	0	0
N4bp2l1	127.666667	0	0	0	0	0	0	0	0	0	0	0	0	1237	678	0	0
Pgs1	127.133333	0	0	0	0	0	0	0	0	0	0	0	0	1238	669	0	0
Dlx1	127.000000	0	0	0	0	0	0	0	0	0	0	0	0	968	937	0	0
Slc14a1	126.400000	0	0	0	0	0	0	0	0	0	0	0	0	1125	771	0	0
Bcl2a1a	126.266667	0	0	0	0	0	0	0	0	0	0	0	0	1188	706	0	0
Rab43	126.200000	0	0	0	0	0	0	0	0	0	0	0	0	1288	605	0	0
Plpp1	125.533333	0	0	0	0	0	0	0	0	0	0	0	0	997	886	0	0
Maff	125.400000	0	0	0	0	0	0	0	0	0	0	0	0	826	1055	0	0
N4bp1	125.200000	0	0	0	0	0	0	0	0	0	0	0	0	1054	824	0	0
Hax1	124.600000	0	0	0	0	0	0	0	0	0	0	0	0	1387	482	0	0
Birc3	124.066667	0	0	82	0	115	143	0	0	0	0	0	0	961	560	0	0
Furin	121.666667	0	0	0	0	0	0	0	0	0	0	0	0	1371	454	0	0
Pltp	121.000000	0	0	0	0	0	0	0	0	0	0	0	0	1136	679	0	0
Zfp740	120.666667	0	0	0	0	0	0	0	0	0	0	0	0	1036	774	0	0
Csad	120.666667	0	0	0	0	0	0	0	0	0	0	0	0	1036	774	0	0
Neurl1a	120.200000	0	0	0	0	0	0	0	0	0	0	0	0	1091	712	0	0
Igsf9	119.200000	0	0	0	0	0	0	0	0	0	0	0	0	1018	770	0	0
Mfsd6	119.000000	0	0	0	0	0	0	0	0	0	0	0	0	999	786	0	0
Smim14	118.866667	0	0	0	0	0	0	0	0	0	0	0	0	960	823	0	0
Ptprj	118.400000	0	0	0	0	0	0	0	0	0	0	0	0	1046	730	0	0
Il31ra	117.800000	176	153	169	151	516	461	141	0	0	0	0	0	0	0	0	0
Skil	117.533333	0	0	0	0	0	137	0	159	0	0	0	0	959	508	0	0
Smim19	117.200000	0	0	0	0	0	0	0	0	0	0	0	0	1010	748	0	0
Slc20a2	117.200000	0	0	0	0	0	0	0	0	0	0	0	0	1010	748	0	0
Psap	116.933333	0	0	0	0	0	0	0	0	0	0	0	0	1173	581	0	0
Slc11a2	116.866667	0	0	0	0	0	0	0	0	0	0	0	0	1405	348	0	0
Inf2	115.933333	0	0	0	0	0	0	0	0	0	0	0	0	1001	738	0	0
Ncf4	115.266667	0	0	0	0	0	0	0	0	0	0	0	0	975	754	0	0
Mcpt9	115.266667	0	0	0	0	0	0	0	0	0	0	0	0	1225	504	0	0
Clec2i	115.266667	0	0	0	0	0	0	0	0	0	0	0	0	864	865	0	0
BC035044	115.266667	0	0	0	0	0	0	0	0	0	0	0	0	864	865	0	0
Itgax	115.133333	0	0	0	0	0	0	0	0	0	0	0	0	1047	680	0	0
Apol7c	114.466667	0	0	0	0	0	0	0	0	0	0	0	0	796	921	0	0
Tmtc2	114.066667	0	0	0	0	0	0	0	0	0	0	0	0	1097	614	0	0
Cfap45	114.066667	0	0	0	0	0	0	0	0	0	0	0	0	836	875	0	0
H2-Q9	114.000000	0	0	0	0	87	0	0	0	0	0	0	0	799	824	0	0
H2-Q7	114.000000	0	0	0	0	87	0	0	0	0	0	0	0	799	824	0	0
Ier5	112.800000	0	0	0	0	0	0	0	0	0	0	0	0	932	760	0	0
Cxcl10	112.333333	0	0	0	0	0	0	0	0	0	0	0	0	1112	573	0	0
Nup160	111.933333	0	0	0	0	0	0	0	0	0	0	0	0	806	873	0	0
Zfp91	111.333333	0	0	0	0	0	0	0	0	0	0	0	0	900	770	0	0
Lpxn	111.333333	0	0	0	0	0	0	0	0	0	0	0	0	900	770	0	0
Kcna2	110.333333	0	0	0	0	0	0	0	120	0	0	0	0	846	689	0	0
Mamstr	110.200000	0	0	0	0	0	0	0	0	0	0	0	0	863	790	0	0
Slc46a3	108.066667	0	0	0	0	0	0	0	0	0	0	0	0	774	847	0	0
Kif5b	107.866667	0	0	0	0	0	0	0	0	0	0	0	0	844	774	0	0
Agpat3	107.600000	0	0	0	0	0	0	0	0	0	0	0	0	1208	406	0	0
Cd40	106.666667	0	0	0	0	0	0	0	0	0	0	0	0	1039	561	0	0
Il27	106.200000	0	0	0	0	0	0	0	0	0	0	0	0	1001	592	0	0
Dhx33	105.266667	0	0	0	0	0	0	0	0	0	0	0	0	714	865	0	0
Cep350	103.733333	0	0	0	0	0	0	0	0	0	0	0	0	750	806	0	0
Il15	103.666667	0	0	0	0	0	0	0	0	0	0	0	0	785	770	0	0
Bcl2a1d	102.866667	0	0	0	0	0	0	0	0	0	0	0	0	941	602	0	0
Gm10634	102.600000	0	0	0	0	0	0	0	0	0	0	0	0	925	614	0	0
Lrrc25	101.866667	0	0	0	0	0	0	0	0	0	0	0	0	1168	360	0	0
Esr1	101.666667	0	0	0	0	0	0	429	262	379	455	0	0	0	0	0	0
Rnf38	101.533333	0	0	0	0	0	0	0	0	0	0	0	0	826	697	0	0
Gpr152	101.333333	0	0	0	0	0	0	0	0	0	0	0	0	995	525	0	0
Cabp4	101.333333	0	0	0	0	0	0	0	0	0	0	0	0	995	525	0	0
Mpeg1	100.933333	0	0	0	0	0	120	0	0	0	0	0	0	948	446	0	0
Gbp2b	100.933333	0	0	0	0	0	0	0	537	0	115	0	0	514	348	0	0
Bcl2a1b	100.133333	0	0	0	0	0	0	0	0	0	0	0	0	981	521	0	0
St3gal1	100.066667	0	0	0	0	0	0	0	0	0	0	0	0	1087	414	0	0
M6pr	100.066667	0	0	0	0	0	0	0	0	0	0	0	0	946	555	0	0
Mycl	100.000000	0	0	0	0	0	0	0	0	0	0	0	0	902	598	0	0
Kcnn1	99.600000	0	0	0	0	100	77	0	0	0	0	0	0	661	656	0	0
Gadd45b	99.200000	0	0	0	0	0	0	0	0	0	0	0	0	971	517	0	0
Clec4a1	99.200000	0	0	0	0	0	0	0	0	0	0	0	0	1178	310	0	0
Gpr31b	99.000000	0	0	0	0	0	0	0	0	0	0	0	0	1225	260	0	0
Tyw1	97.600000	0	0	0	0	0	0	0	0	0	0	0	0	667	797	0	0
Sbds	97.600000	0	0	0	0	0	0	0	0	0	0	0	0	667	797	0	0
Stx11	97.466667	0	0	0	0	0	0	0	0	0	0	0	0	883	579	0	0
Ms4a7	96.666667	0	0	0	0	0	0	0	0	0	0	0	0	788	662	0	0
Tnfaip2	96.000000	0	0	0	0	0	0	0	0	0	0	0	0	981	459	0	0
Cd74	94.066667	0	0	0	0	112	0	0	0	0	0	0	0	943	356	0	0
Denr	93.466667	0	0	0	0	0	0	0	0	0	0	0	0	969	433	0	0
Map3k8	92.866667	0	0	0	0	0	0	0	0	0	0	0	0	715	678	0	0
Elmod2	92.866667	0	0	0	0	0	0	0	0	0	0	0	0	809	584	0	0
Mtmr14	92.266667	0	0	0	0	0	0	0	0	0	0	0	0	928	456	0	0
Slc26a8	92.200000	0	0	0	0	0	0	0	0	0	0	0	0	686	697	0	0
Mapk14	92.200000	0	0	0	0	0	0	0	0	0	0	0	0	686	697	0	0
Gm45521	91.733333	0	0	0	0	0	0	0	0	0	0	0	0	923	453	0	0
Fyb	90.600000	0	0	0	0	0	0	0	0	0	0	0	0	768	591	0	0
Sqstm1	90.400000	0	0	0	0	0	0	0	0	0	0	0	0	906	450	0	0
Zmiz2	89.933333	0	0	0	0	0	0	0	0	0	0	0	0	779	570	0	0
Rxfp4	89.600000	0	0	0	0	0	0	0	0	0	0	0	0	894	450	0	0
Cbfa2t3	89.400000	0	0	0	0	0	0	0	0	0	0	0	0	832	509	0	0
Zfhx2	89.266667	0	0	0	0	0	0	0	0	0	0	0	0	527	812	0	0
Rgs12	89.133333	0	0	0	0	0	0	0	0	0	0	0	0	645	692	0	0
Spns3	88.866667	0	0	0	0	0	0	0	0	0	0	0	0	703	630	0	0
Junb	88.733333	0	0	0	0	0	0	0	0	0	0	0	0	733	598	0	0
Vmn2r4	88.600000	186	196	0	0	263	0	227	0	0	201	0	0	256	0	0	0
Atp13a2	88.400000	0	0	0	0	0	0	0	0	0	0	0	0	922	404	0	0
Cetn4	88.066667	0	0	0	0	0	0	0	0	0	0	0	0	708	613	0	0
Bbs12	88.066667	0	0	0	0	0	0	0	0	0	0	0	0	708	613	0	0
Tmem79	88.000000	0	0	0	0	0	0	0	0	0	0	0	0	603	717	0	0
Ssbp4	88.000000	0	0	0	0	0	0	0	0	0	0	0	0	742	578	0	0
Smg5	88.000000	0	0	0	0	0	0	0	0	0	0	0	0	603	717	0	0
Acad9	87.933333	0	0	0	0	0	0	0	0	0	0	0	0	920	399	0	0
Ttc24	87.733333	0	0	0	0	0	0	0	0	0	0	0	0	763	553	0	0
Iqgap3	87.733333	0	0	0	0	0	0	0	0	0	0	0	0	763	553	0	0
Dusp2	87.266667	0	0	0	0	97	95	0	0	0	0	0	0	791	326	0	0
Astl	87.266667	0	0	0	0	97	95	0	0	0	0	0	0	791	326	0	0
Syce1l	87.133333	0	0	0	0	0	0	0	0	0	0	0	0	889	418	0	0
Prcp	86.866667	0	0	0	0	0	0	0	0	0	0	0	0	723	580	0	0
