Target_genes	Pitx1|Average	SRX195355|Hindlimb	SRX195357|Hindlimb	SRX2978809|Hindlimb	SRX3205484|Squamous_cell_carcinoma	SRX3205486|Squamous_cell_carcinoma	SRX3205490|Squamous_cell_carcinoma	SRX3205491|Squamous_cell_carcinoma	SRX5283003|Squamous_cell_carcinoma	STRING
Tcstv3	1680.750000	1829	1913	2033	1881	1883	1824	1398	685	0
Brox	1176.125000	838	997	2868	1787	1731	554	296	338	0
Aida	1176.125000	838	997	2868	1787	1731	554	296	338	0
Gtf2ird1	1044.625000	1640	1430	2122	1226	209	1730	0	0	0
Eif1ad	628.750000	188	579	2589	544	323	807	0	0	0
Banf1	628.750000	188	579	2589	544	323	807	0	0	0
Cldn34d	582.875000	1078	1199	1768	0	143	0	0	475	0
Kpna1	571.625000	1699	1479	0	0	0	449	470	476	0
Asmt	560.875000	222	417	621	765	650	807	1005	0	0
Tmem125	542.125000	203	215	542	1035	1009	734	396	203	0
Il31ra	521.625000	1186	1318	178	0	215	349	660	267	0
Cdc42ep4	480.125000	572	667	566	597	425	1014	0	0	0
Sspn	463.750000	1473	1075	253	0	255	285	215	154	0
Krr1	386.500000	152	535	1128	619	0	658	0	0	0
BC107364	384.750000	132	169	420	1271	306	780	0	0	0
Rmi2	376.875000	0	0	0	1101	898	1016	0	0	0
Eif5a2	365.500000	214	403	1890	246	0	171	0	0	0
Prcp	345.250000	199	319	824	835	126	459	0	0	0
Ddias	345.250000	199	319	824	835	126	459	0	0	0
Taf12	343.875000	722	415	1614	0	0	0	0	0	0
F830045P16Rik	330.625000	583	816	1246	0	0	0	0	0	0
Gja8	325.000000	546	779	1275	0	0	0	0	0	0
Mettl3	314.125000	156	241	1899	0	0	217	0	0	0
Stat5b	310.625000	515	782	1188	0	0	0	0	0	0
Olfr806	304.250000	435	375	261	253	253	251	418	188	0
Nfyc	302.500000	346	641	1433	0	0	0	0	0	0
Ska2	286.000000	268	161	1039	294	0	526	0	0	0
Prr11	286.000000	268	161	1039	294	0	526	0	0	0
Hoxa9	282.625000	484	436	1167	174	0	0	0	0	0
Stk11ip	282.500000	266	425	1380	0	0	189	0	0	0
Arntl	281.500000	458	285	1351	0	0	158	0	0	0
Slc14a1	276.875000	445	483	1287	0	0	0	0	0	0
Pnkd	274.125000	0	0	2193	0	0	0	0	0	0
Ppp1r27	271.250000	0	0	0	543	218	1409	0	0	0
Tbkbp1	265.125000	153	259	854	405	0	450	0	0	0
Abhd6	264.875000	300	407	321	0	209	241	323	318	0
Gm5165	264.000000	0	199	1440	277	0	196	0	0	0
Tmem132c	263.625000	369	362	1378	0	0	0	0	0	0
Scg2	262.875000	250	473	978	402	0	0	0	0	0
Pus3	253.500000	142	0	1886	0	0	0	0	0	0
