Target_genes	Setdb1|Average	SRX1287761|3T3-L1	SRX1287762|3T3-L1	SRX1287769|3T3-L1	SRX1287777|3T3-L1	SRX1287778|3T3-L1	SRX1287779|3T3-L1	SRX1287780|3T3-L1	SRX1287781|3T3-L1	SRX862739|C2C12	SRX862740|C2C12	SRX862741|C2C12	SRX1287754|C3H/10T1/2	SRX014420|ES_cells	SRX014421|ES_cells	SRX014422|ES_cells	SRX014433|ES_cells	SRX10559946|ES_cells	SRX10559947|ES_cells	SRX1287748|ES_cells	SRX5088232|ES_cells	SRX5088238|ES_cells	SRX5088240|ES_cells	SRX5347749|ES_cells	SRX5347751|ES_cells	SRX8701150|ES_cells	SRX8701151|ES_cells	SRX8722038|ES_cells	SRX8722039|ES_cells	SRX2228738|Hepa_1-6	SRX897398|MEF	SRX897399|MEF	SRX897400|MEF	SRX897401|MEF	SRX897402|MEF	SRX897403|MEF	SRX897404|MEF	SRX897405|MEF	SRX1563803|Pro-B_cells	SRX1563804|Pro-B_cells	SRX10987310|YUMMER1.7	SRX10987311|YUMMER1.7	SRX10987323|YUMMER1.7	SRX10987324|YUMMER1.7	STRING
Tcstv3	1630.186047	966	624	976	959	910	884	821	916	1289	1250	1237	840	1066	982	1068	2281	2237	1475	921	2724	2958	2813	2256	1753	1777	1721	644	606	1166	2706	2775	2734	806	2700	1147	2552	2521	1916	1750	2486	2360	1498	2027	0
Cldn34d	914.627907	397	640	610	614	687	563	711	525	978	914	976	560	151	236	235	848	1349	791	797	1282	1550	556	0	0	613	941	1418	1080	1061	1820	1929	1825	307	1737	860	1759	1705	2156	1275	286	1671	681	235	0
Brox	881.651163	471	562	607	617	615	497	560	446	258	320	379	403	427	388	398	673	2492	933	609	997	439	0	624	820	1546	1979	785	593	906	789	836	804	0	666	443	655	564	1661	897	2016	2836	2414	2986	0
Aida	881.651163	471	562	607	617	615	497	560	446	258	320	379	403	427	388	398	673	2492	933	609	997	439	0	624	820	1546	1979	785	593	906	789	836	804	0	666	443	655	564	1661	897	2016	2836	2414	2986	0
Tmem125	495.418605	233	165	392	492	509	372	490	330	721	650	509	428	115	142	126	0	914	546	380	176	384	202	0	195	0	239	0	0	1228	207	309	303	0	142	0	197	282	1267	651	2169	2026	2043	1769	0
Kpna1	447.395349	705	885	875	1059	994	963	697	468	388	285	713	863	437	257	456	624	1129	1144	921	0	0	0	0	0	0	0	0	0	653	620	656	674	0	307	0	436	328	0	1181	119	277	124	0	0
Sfi1	437.232558	0	0	0	75	0	0	140	0	0	0	0	0	1274	1122	1152	1199	368	123	100	636	259	257	2388	2346	2023	1399	114	0	0	0	0	0	0	0	0	0	0	95	0	1176	836	1032	687	0
Nefm	418.953488	0	0	0	0	0	0	0	0	0	0	0	0	281	0	262	1344	679	139	0	1015	2038	781	2792	3053	1994	3226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	100	171	0
Abhd6	389.883721	938	559	665	789	898	741	482	845	600	633	599	836	334	244	399	679	723	667	920	216	494	298	576	620	409	438	0	0	0	239	274	192	0	0	0	236	0	0	222	0	0	0	0	0
Il31ra	380.325581	519	415	756	810	890	835	426	343	196	285	422	627	176	182	201	146	832	1042	832	0	188	0	0	0	0	0	0	0	721	452	467	446	0	302	0	332	256	755	890	435	268	352	555	0
Asmt	365.093023	207	0	272	165	265	234	152	202	874	921	678	403	191	0	138	296	1029	1015	402	0	487	314	0	0	0	111	0	0	447	0	322	150	0	0	0	208	98	810	517	1227	1104	991	1469	0
Sspn	360.44186	212	300	280	605	633	499	134	110	0	0	177	377	187	102	143	297	601	337	564	225	222	0	0	319	0	265	0	0	850	297	213	317	0	0	0	0	152	1767	843	1105	872	1055	1439	0
Plagl1	316.883721	0	0	0	125	69	0	0	0	0	0	0	0	0	0	0	1116	717	168	0	353	677	200	1387	2777	1201	3284	0	0	825	0	0	0	0	0	0	0	0	0	0	114	123	120	370	0
Olfr806	315.162791	954	423	767	938	1046	674	538	753	636	533	495	960	352	328	445	883	616	934	956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0
Nap1l5	294.27907	144	0	0	193	201	0	0	0	0	0	0	0	186	118	177	1555	1229	388	0	360	628	220	750	1759	813	2608	0	0	712	0	0	0	0	0	0	0	0	0	0	93	131	103	286	0
Nhlrc1	277.953488	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	241	1187	279	0	484	636	233	1861	2154	1028	2731	0	0	529	0	0	0	0	0	0	0	0	0	0	0	152	132	111	0
Gm4981	276.511628	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	232	393	210	128	168	193	122	1644	1987	786	1908	0	0	229	124	138	0	0	0	0	0	0	227	145	381	690	709	1373	0
Stag3	259.674419	0	0	0	0	0	0	0	0	0	0	0	0	502	395	479	865	470	0	218	241	193	621	1655	1922	653	1760	137	0	0	0	0	0	0	0	0	0	0	593	352	0	0	0	110	0
Gpc2	259.674419	0	0	0	0	0	0	0	0	0	0	0	0	502	395	479	865	470	0	218	241	193	621	1655	1922	653	1760	137	0	0	0	0	0	0	0	0	0	0	593	352	0	0	0	110	0
Inpp5f	257.767442	0	0	0	225	161	0	0	0	0	0	0	0	150	164	161	1321	899	216	0	543	337	0	1171	1706	538	2098	0	0	1088	0	0	0	0	0	0	0	0	0	0	0	117	0	189	0
Wwox	257.44186	808	348	720	682	695	615	700	842	342	271	286	864	356	346	531	762	245	419	713	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	0	187	0
Oasl1	251.674419	563	509	591	617	547	534	431	353	778	803	692	652	0	0	0	686	419	482	575	0	0	0	0	0	0	0	0	0	0	286	256	0	0	146	0	292	275	0	335	0	0	0	0	0
Nnat	249.232558	96	0	0	123	117	91	0	0	177	0	131	0	139	128	132	972	659	155	0	541	441	244	815	1525	655	2291	0	0	776	0	0	0	0	0	0	0	0	0	0	127	81	89	212	0
Pgk1	240.534884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	1363	0	0	323	1926	3160	0	0	0	0	216	0	0	77	0	97	212	362	278	0	0	142	1834	0	0	0	0	0
Fcgr3	238.744186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	996	207	0	0	0	86	1893	2207	1112	2048	0	0	0	0	0	0	0	0	0	0	0	92	74	226	436	397	492	0
Dux	225.953488	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	232	183	84	128	0	193	122	1644	1987	786	1908	0	0	0	0	0	0	0	0	0	0	0	0	0	381	690	540	735	0
Tekt2	223.953488	0	0	0	0	0	0	0	0	0	0	0	0	182	152	195	1938	221	0	0	342	391	242	1851	1598	584	994	0	0	0	0	0	0	0	0	0	0	0	302	638	0	0	0	0	0
Adprhl2	223.953488	0	0	0	0	0	0	0	0	0	0	0	0	182	152	195	1938	221	0	0	342	391	242	1851	1598	584	994	0	0	0	0	0	0	0	0	0	0	0	302	638	0	0	0	0	0
Plekhg4	212.348837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2066	320	0	0	251	119	0	2095	2088	616	1576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gnas	211.627907	0	0	0	0	0	0	0	0	0	0	0	0	151	0	152	361	1166	369	76	434	376	117	394	1709	396	2190	0	0	775	0	0	0	0	0	0	0	0	0	0	74	114	0	246	0
Micu2	201.581395	0	0	0	0	0	0	0	0	128	0	0	0	0	157	0	413	874	0	115	0	135	117	1445	1559	395	1666	0	0	0	0	0	0	0	0	0	0	0	603	438	188	238	197	0	0
Pxt1	199.976744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	530	0	0	1035	315	427	1894	1349	962	1686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3glb1	194.860465	0	0	0	0	0	0	0	0	0	0	0	0	187	185	119	1076	204	0	0	174	267	272	2122	1405	354	879	0	0	0	0	0	0	0	0	0	0	0	276	493	105	140	121	0	0
Fbxo46	192.116279	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	203	216	0	105	0	167	230	2159	2101	668	2203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0
Bhmg1	192.116279	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	203	216	0	105	0	167	230	2159	2101	668	2203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0
Trim50	191.534884	0	0	0	0	0	0	0	0	196	161	128	0	0	0	0	425	477	233	0	0	157	159	1540	1661	713	1823	0	0	266	0	0	0	0	0	0	0	0	0	0	0	117	111	69	0
Gdf15	188.813953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2027	157	0	0	226	289	192	1950	1874	454	853	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0
Dchs2	186.232558	659	665	530	710	734	630	263	314	0	0	0	666	0	0	0	158	271	475	703	0	0	0	157	181	0	205	0	0	0	0	0	0	0	0	0	0	0	0	477	0	0	112	98	0
Vmn1r2	184.744186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	222	0	0	204	0	587	574	231	293	0	0	0	477	598	549	0	378	0	321	368	0	0	645	573	818	806	0
Olfr1318	180.883721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	185	0	0	256	0	0	1762	2110	954	1640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	78	227	0
Csf2ra	179.465116	416	446	534	584	631	596	482	491	0	0	0	435	0	0	0	188	345	497	457	0	0	0	144	300	0	238	0	0	0	235	162	0	0	0	0	0	0	0	209	0	84	95	148	0
Fkbp6	174.837209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	477	0	0	0	157	159	1540	1661	713	1823	0	0	266	0	0	0	0	0	0	0	0	0	0	0	117	111	69	0
Gng10	171.674419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	298	0	0	544	383	0	1599	1326	744	1646	0	0	0	0	0	0	0	0	0	0	0	161	117	0	151	109	0	0
Exd1	171.046512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1186	517	0	0	199	158	0	1643	1953	359	1008	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	149	0
