Target_genes	Junb|Average	SRX520196|3T3-L1	SRX10652554|CD4+_T_cells	SRX974255|CD4+_T_cells	SRX974256|CD4+_T_cells	SRX437450|CD8+_T_cells	SRX671663|Cortical_neuron	SRX671668|Cortical_neuron	SRX122410|Dendritic_Cells	SRX122411|Dendritic_Cells	SRX122412|Dendritic_Cells	SRX122413|Dendritic_Cells	SRX122414|Dendritic_Cells	SRX122415|Dendritic_Cells	SRX122416|Dendritic_Cells	SRX122417|Dendritic_Cells	SRX3380971|Dendritic_Cells	SRX3380972|Dendritic_Cells	SRX3380973|Dendritic_Cells	SRX390506|Dendritic_Cells	SRX197289|Macrophages	SRX197290|Macrophages	SRX2417357|Macrophages	SRX2417358|Macrophages	SRX2417359|Macrophages	SRX2901290|Macrophages	SRX2901291|Macrophages	SRX2901292|Macrophages	SRX2901293|Macrophages	SRX2901294|Macrophages	SRX3723668|Neutrophils	SRX3723669|Neutrophils	SRX3723671|Neutrophils	SRX3723672|Neutrophils	SRX6437850|Pancreatic_adenocarcinoma	SRX9344838|RAW_264.7	SRX9344839|RAW_264.7	SRX9344840|RAW_264.7	SRX9344876|RAW_264.7	SRX9344877|RAW_264.7	SRX9344878|RAW_264.7	SRX9344879|RAW_264.7	SRX9344880|RAW_264.7	SRX9344881|RAW_264.7	SRX9344882|RAW_264.7	SRX9344883|RAW_264.7	SRX9344884|RAW_264.7	SRX9344885|RAW_264.7	SRX9344886|RAW_264.7	SRX9344887|RAW_264.7	SRX172345|Th17_Cells	SRX2145549|Th17_Cells	SRX2145550|Th17_Cells	SRX2773918|Th17_Cells	SRX2773920|Th17_Cells	SRX18275256|Th2_Cells	SRX18275258|Th2_Cells	SRX4891576|Treg	STRING
Brox	866.719298	765	0	490	412	641	586	685	0	0	0	0	0	0	0	0	1844	1833	1456	1398	233	328	1813	1380	1417	1612	1762	1916	1481	1162	0	0	0	0	857	1217	1202	1216	1439	1492	2261	2184	550	546	1799	1698	1627	1466	823	759	0	0	0	1826	2012	370	845	0	0
Aida	866.719298	765	0	490	412	641	586	685	0	0	0	0	0	0	0	0	1844	1833	1456	1398	233	328	1813	1380	1417	1612	1762	1916	1481	1162	0	0	0	0	857	1217	1202	1216	1439	1492	2261	2184	550	546	1799	1698	1627	1466	823	759	0	0	0	1826	2012	370	845	0	0
Cldn34d	808.245614	845	437	948	400	942	1074	866	0	0	0	0	0	0	0	0	1590	1693	1446	975	238	439	1569	1252	1634	2016	1842	1977	1695	1699	0	0	0	0	0	1363	1071	1414	993	804	878	611	548	826	1399	1236	1521	1274	888	760	0	0	0	1717	1724	750	716	0	0
Nudt13	777.070175	1759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	371	0	0	1391	3340	2339	1958	1433	1176	1485	2015	2734	2678	0	0	0	0	2655	259	351	675	1915	1832	794	707	2135	2296	265	316	1255	1295	2087	2261	0	0	0	0	212	0	0	0	0
Ank1	734.421053	922	0	0	0	0	0	352	0	0	0	0	0	0	0	0	948	992	572	0	701	2239	1895	872	947	1302	1632	2044	2438	2541	0	0	0	0	3254	260	382	669	1557	1549	661	536	1830	1948	340	456	1219	1097	1957	1838	0	0	0	814	1098	0	0	0	0
Prss56	689.614035	517	166	0	178	0	0	0	0	0	134	156	0	0	0	0	246	262	0	173	686	3579	1110	604	1213	1357	1275	2052	2609	2733	0	0	0	0	2360	265	530	708	1536	1372	494	399	1473	1526	453	406	1254	856	1518	1570	627	0	0	1298	1451	0	162	0	0
Dhrs9	681.964912	581	0	0	398	0	0	0	0	0	0	0	0	0	0	0	855	906	245	191	411	1792	787	1054	678	1001	1011	1790	2360	2048	0	0	0	0	3057	192	481	551	2197	1993	836	601	1597	1691	452	543	1394	1294	1738	1745	350	0	0	746	1192	0	114	0	0
Npas4	657.368421	302	0	0	302	0	0	487	0	0	0	0	0	0	0	0	141	161	0	0	681	2168	1650	1376	1373	987	1375	1325	2185	2310	0	0	0	0	3380	139	236	412	1678	1528	541	347	1324	1492	335	482	1082	983	1681	1648	491	0	0	1236	1432	0	200	0	0
Tcstv3	652.578947	634	466	1438	2083	1046	1566	1533	426	511	422	463	459	506	327	437	809	614	301	186	633	1377	1968	1783	1953	1407	1720	1546	1647	1498	0	0	0	0	207	0	0	0	0	0	95	0	0	0	0	0	132	0	0	0	1418	0	0	1455	1677	1116	1338	0	0
Sun1	631.578947	789	423	0	418	0	0	0	0	0	0	0	0	0	0	0	171	212	0	0	0	2090	0	0	0	634	727	1389	2454	2693	0	0	0	0	3892	478	574	693	1306	954	369	255	1970	1923	398	423	1127	1346	1909	1930	593	0	0	1936	1725	0	199	0	0
Emp3	630.052632	487	0	0	170	0	0	0	0	0	0	0	0	0	0	0	224	306	0	356	347	2120	985	637	816	853	1004	1521	2037	2144	0	0	0	0	3241	135	469	538	1566	1381	457	501	1729	1861	354	501	1131	1049	1890	1930	396	0	0	1095	1538	0	144	0	0
Ccdc114	630.052632	487	0	0	170	0	0	0	0	0	0	0	0	0	0	0	224	306	0	356	347	2120	985	637	816	853	1004	1521	2037	2144	0	0	0	0	3241	135	469	538	1566	1381	457	501	1729	1861	354	501	1131	1049	1890	1930	396	0	0	1095	1538	0	144	0	0
Dot1l	620.0	370	0	0	405	0	0	140	0	0	0	0	0	0	0	0	686	821	109	0	721	1805	1483	1228	1119	1054	948	1544	2300	2234	0	0	0	0	2433	159	287	360	1788	1627	467	378	1370	1619	319	477	910	909	1393	1415	427	0	0	912	956	0	167	0	0
Stk40	580.701754	640	0	0	0	0	0	326	0	0	0	0	0	0	0	0	344	320	0	0	601	2111	1234	1095	902	761	1054	1055	1798	1860	0	0	0	0	1722	296	409	446	2026	1743	690	477	1617	1785	350	582	1157	883	1546	1491	335	0	0	446	881	0	117	0	0
Hrob	579.438596	175	0	0	125	0	0	507	0	0	0	0	0	0	0	0	277	265	0	0	308	1696	726	380	448	874	1116	1664	1934	1572	0	0	0	0	2552	210	474	603	1882	1737	644	392	1566	1553	424	651	1248	1000	1465	1541	448	0	0	1009	1351	0	211	0	0
Rnh1	536.385965	470	118	0	92	0	0	0	0	0	0	0	0	0	0	0	488	329	0	0	562	2404	671	551	585	999	1057	1580	1774	1754	0	0	0	0	3170	142	259	502	1543	1561	378	182	1275	1530	245	365	1064	1102	1419	1350	403	0	0	385	265	0	0	0	0
Dus2	527.54386	1411	374	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	2588	792	620	421	627	774	1372	1682	1815	0	0	0	0	1422	218	355	555	1233	1171	405	277	1365	1441	281	443	765	813	1491	1210	157	0	0	1731	1599	0	162	0	0
Ddx28	527.54386	1411	374	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	2588	792	620	421	627	774	1372	1682	1815	0	0	0	0	1422	218	355	555	1233	1171	405	277	1365	1441	281	443	765	813	1491	1210	157	0	0	1731	1599	0	162	0	0
Mtmr11	509.754386	354	104	0	0	0	0	0	0	0	0	0	0	0	0	0	402	348	0	0	438	1251	898	617	564	1127	1224	1565	2361	2314	0	0	0	0	2418	0	158	377	1354	1357	467	200	1224	1430	132	411	976	867	1323	1318	349	0	0	423	705	0	0	0	0
Tmcc3	503.789474	180	152	0	292	0	0	153	0	0	0	0	0	0	0	0	566	552	0	195	117	2117	378	914	921	384	419	728	3002	2928	0	0	0	0	846	0	113	89	636	465	170	114	1777	1753	205	155	187	335	1731	1672	237	0	0	1769	2174	119	171	0	0
Lmna	497.877193	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	159	0	0	125	1200	422	354	541	885	1008	1388	2177	2086	0	0	0	0	1697	0	272	424	1555	1511	699	485	1597	1836	455	590	1146	1206	1684	1677	0	0	0	295	544	0	0	0	0
Itga5	496.421053	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	840	893	0	0	155	2455	528	424	641	1047	1427	2125	2602	2652	0	0	0	0	440	0	251	237	1037	947	347	365	1391	1593	364	271	800	919	1510	1540	0	0	0	0	164	0	0	0	0
S100a10	484.719298	301	121	0	0	0	0	0	0	0	0	0	0	0	0	0	207	203	0	0	211	569	322	221	0	763	858	1357	1984	1936	0	0	0	0	812	0	214	361	1903	2055	950	540	1316	1628	531	648	1358	1186	1822	1830	0	0	0	626	668	0	128	0	0
S100a3	473.719298	289	0	0	255	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	228	684	459	223	425	800	921	1067	1539	1238	0	0	0	0	2445	0	389	461	1866	1722	748	571	1126	1212	559	742	1319	1130	1110	1162	326	0	0	761	940	0	170	0	0
S100a2	473.719298	289	0	0	255	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	228	684	459	223	425	800	921	1067	1539	1238	0	0	0	0	2445	0	389	461	1866	1722	748	571	1126	1212	559	742	1319	1130	1110	1162	326	0	0	761	940	0	170	0	0
Adssl1	471.684211	0	0	0	589	0	0	268	0	0	0	0	0	0	0	0	583	598	0	0	224	1240	536	500	487	739	1021	1652	1992	2242	0	0	0	0	1040	144	167	418	1286	1351	385	350	1250	1133	268	448	903	834	1462	1432	184	0	0	569	591	0	0	0	0
Slc17a8	470.368421	1098	193	0	0	0	0	147	0	0	0	0	0	0	0	0	418	374	0	0	301	2762	684	389	406	596	1026	1207	2188	2236	0	0	0	0	234	134	99	0	548	521	279	127	1149	1319	212	168	499	384	1478	1287	0	0	0	2017	2204	0	127	0	0
Ndst1	466.315789	358	201	0	0	0	0	0	0	0	0	0	0	0	0	0	341	237	0	0	0	491	73	167	226	453	530	767	1792	1605	0	0	0	0	1765	93	231	424	940	995	510	356	1778	1797	303	281	685	498	2000	2088	678	0	0	1848	1773	114	182	0	0
