Target_genes	Irf9|Average	SRX4178758|Macrophages	SRX4178759|Macrophages	SRX4178764|Macrophages	SRX4178765|Macrophages	SRX4178770|Macrophages	SRX4178771|Macrophages	SRX18239628|MEF	SRX18239631|MEF	SRX5503046|MEF	SRX5503049|MEF	SRX14818053|Naive_T_cells	SRX14818054|Naive_T_cells	SRX14818055|Naive_T_cells	SRX14818056|Naive_T_cells	SRX14818057|Naive_T_cells	SRX14818058|Naive_T_cells	SRX14818065|Naive_T_cells	SRX14818066|Naive_T_cells	SRX14818067|Naive_T_cells	SRX14818068|Naive_T_cells	SRX14818069|Naive_T_cells	SRX14818070|Naive_T_cells	SRX4348502|Natural_killer_cells	SRX4348504|Natural_killer_cells	SRX4348506|Natural_killer_cells	STRING
Cldn34d	1548.8	848	671	767	672	432	537	784	1078	984	519	2351	2574	2530	2501	2533	2442	1795	1690	1716	1875	1800	1776	1842	2027	1976	0
Brox	1231.24	877	339	673	307	364	351	363	829	895	249	2263	2264	2128	2650	2204	1974	1252	1126	1482	1348	1276	1205	1800	1484	1078	0
Aida	1231.24	877	339	673	307	364	351	363	829	895	249	2263	2264	2128	2650	2204	1974	1252	1126	1482	1348	1276	1205	1800	1484	1078	0
Rtp4	905.76	2164	719	3430	2738	1288	2461	817	2383	2174	106	0	0	456	1205	0	0	246	0	1104	993	164	0	196	0	0	0
Usp18	839.76	1017	203	2616	1909	1071	2008	802	2350	1943	117	0	0	1534	1979	196	320	437	242	1159	862	0	0	229	0	0	0
Ifi27	769.56	1516	478	2751	1719	843	1813	392	1920	1188	74	0	112	1102	1560	166	222	831	165	1392	623	167	0	205	0	0	0
Oasl2	747.56	1525	545	3277	2478	1300	2245	571	2195	1676	0	0	0	591	1467	0	180	0	0	255	384	0	0	0	0	0	0
Xaf1	724.28	852	295	3072	2223	1010	1980	487	1689	1590	0	0	0	965	1637	237	320	349	0	737	664	0	0	0	0	0	0
Trim12c	719.8	896	205	3108	1700	974	1791	554	1535	678	0	0	0	1010	2018	147	396	478	0	1071	724	0	0	571	139	0	0
Tcstv3	715.32	579	261	598	129	175	178	934	1427	482	441	517	718	544	549	580	643	1047	659	867	799	769	691	1402	1722	1172	0
Ifit3b	706.08	868	212	2627	2159	1103	2122	636	2135	1651	0	0	0	990	1890	0	301	0	0	235	466	0	0	257	0	0	0
Tor1aip2	690.08	1287	366	2326	1944	754	1985	245	1652	918	0	0	0	1307	1951	206	378	323	0	809	387	0	0	414	0	0	0
Tor1aip1	690.08	1287	366	2326	1944	754	1985	245	1652	918	0	0	0	1307	1951	206	378	323	0	809	387	0	0	414	0	0	0
Ifi206	667.44	508	0	2708	1784	1065	2154	0	0	470	0	0	0	1390	2255	186	355	663	454	1376	1208	0	0	110	0	0	0
Ifit3	666.48	901	332	2747	2138	827	2039	757	2412	1634	116	0	0	666	1254	0	181	0	0	154	324	0	0	180	0	0	0
Tmem125	663.92	268	194	224	156	0	147	0	0	834	326	1187	1278	1200	1074	1183	1094	570	557	676	656	654	845	1342	1109	1024	0
Parp10	662.6	524	197	3054	2275	1301	2252	354	1512	1420	0	0	0	809	1462	0	232	120	0	475	578	0	0	0	0	0	0
Grina	662.6	524	197	3054	2275	1301	2252	354	1512	1420	0	0	0	809	1462	0	232	120	0	475	578	0	0	0	0	0	0
Irgm1	655.36	894	299	2271	1456	769	1548	426	1829	1059	0	0	0	911	1616	0	355	523	257	1157	869	145	0	0	0	0	0
Trim30a	649.88	938	281	2596	1799	953	1882	0	797	322	0	0	0	1337	1937	226	390	530	0	1247	1012	0	0	0	0	0	0
Ms4a4d	649.44	669	170	3137	2552	1207	2424	0	459	808	0	0	0	881	1361	0	0	425	219	967	867	90	0	0	0	0	0
Gm4951	649.08	276	115	2560	1927	1200	2297	0	1495	838	0	0	0	362	1012	0	0	780	430	1574	1190	171	0	0	0	0	0
Irf9	644.28	1429	460	2332	1358	732	1702	487	1799	1061	157	0	0	559	1144	0	211	536	0	1080	523	0	0	448	0	89	0
Rnf213	641.32	893	294	2704	2008	1041	2082	227	1740	1428	0	0	0	675	1436	0	0	222	0	819	464	0	0	0	0	0	0
Bst2	635.6	629	162	2666	1860	785	1816	569	2368	1552	120	0	0	693	981	0	243	172	166	659	316	0	0	133	0	0	0
Stat2	604.68	926	249	2896	1605	767	1605	322	1640	1445	0	0	0	457	1128	0	171	317	0	750	626	0	0	213	0	0	0
Apof	604.68	926	249	2896	1605	767	1605	322	1640	1445	0	0	0	457	1128	0	171	317	0	750	626	0	0	213	0	0	0
Shisa5	600.48	1069	229	2568	1950	804	1815	457	2013	904	0	0	0	608	1231	0	0	223	0	597	326	0	0	218	0	0	0
Zbp1	594.64	414	0	3047	2108	1197	2313	0	570	1635	0	0	0	702	1364	0	0	160	0	642	392	0	0	322	0	0	0
Trex1	591.76	1069	229	2568	1950	804	1815	457	2013	904	0	0	0	608	1231	0	0	223	0	597	326	0	0	0	0	0	0
Gm12250	587.52	360	129	3280	2442	1372	2498	0	696	889	0	0	0	582	1389	0	264	0	0	340	447	0	0	0	0	0	0
H2-T24	585.76	836	278	2239	1653	759	1654	248	961	918	0	0	0	982	1591	199	458	349	0	835	566	0	0	118	0	0	0
Oas1c	577.28	663	192	2755	1804	772	1190	448	1609	1289	0	0	0	692	993	0	0	404	0	882	591	0	0	148	0	0	0
Oas1b	577.28	663	192	2755	1804	772	1190	448	1609	1289	0	0	0	692	993	0	0	404	0	882	591	0	0	148	0	0	0
Adar	570.52	861	304	1849	1029	562	1142	422	993	957	0	0	0	1229	1866	0	253	541	0	1221	731	0	0	303	0	0	0
Ogfr	567.32	746	0	2885	1444	544	1233	294	1197	1697	113	0	0	901	1375	176	253	200	0	558	457	0	0	110	0	0	0
Ifi204	566.04	814	234	2898	2357	1027	2465	337	1000	1131	0	0	0	316	824	0	0	0	0	292	225	0	0	231	0	0	0
Ifit1bl2	565.12	559	142	2776	2149	787	1548	473	2044	2175	0	0	0	386	891	0	0	0	0	198	0	0	0	0	0	0	0
Ifit1	565.12	559	142	2776	2149	787	1548	473	2044	2175	0	0	0	386	891	0	0	0	0	198	0	0	0	0	0	0	0
Trim34a	559.88	812	264	2808	1904	980	1871	218	1281	970	0	0	0	627	1219	0	171	260	0	380	232	0	0	0	0	0	0
