Target_genes	Nfia|Average	SRX2663110|3T3-F442A	SRX1879656|Brown_adipose_tissue	SRX1879657|Brown_adipose_tissue	SRX7895558|Cerebellum_neural_progenitors	SRX7895559|Cerebellum_neural_progenitors	SRX7815174|Hippocampus	SRX7815175|Hippocampus	SRX7815176|Hippocampus	SRX7815177|Hippocampus	SRX7815178|Hippocampus	SRX4496824|mESC_derived_glial_cells	SRX4496825|mESC_derived_glial_cells	SRX24715252|Neural_tube	SRX7815179|Olfactory_Bulb	SRX7815180|Olfactory_Bulb	SRX7815181|Olfactory_Bulb	SRX7815182|Olfactory_Bulb	SRX7815183|Olfactory_Bulb	SRX7815184|Olfactory_Bulb	SRX7815185|Olfactory_Bulb	SRX7815186|Olfactory_Bulb	SRX7815187|Olfactory_Bulb	SRX7815188|Olfactory_Bulb	SRX7815189|Olfactory_Bulb	SRX7815190|Olfactory_Bulb	SRX7815191|Olfactory_Bulb	SRX7815192|Olfactory_Bulb	SRX11929789|Retina	SRX11929790|Retina	STRING
Cldn34d	1580.137931	795	501	489	424	490	0	0	0	2542	2126	0	0	466	2160	2511	2291	2391	2584	2633	2145	322	2189	2203	2711	3139	2834	2047	2911	2920	0
Brox	912.310345	516	336	966	102	270	0	0	0	1301	844	0	0	355	923	1037	1279	1385	1640	1401	1160	0	1154	1006	1476	1626	1916	916	2117	2731	0
Aida	912.310345	516	336	966	102	270	0	0	0	1301	844	0	0	355	923	1037	1279	1385	1640	1401	1160	0	1154	1006	1476	1626	1916	916	2117	2731	0
Tcstv3	444.793103	954	693	991	1330	1394	0	0	0	0	126	957	1066	1814	0	0	0	0	0	0	0	111	0	0	0	0	0	0	1688	1775	0
Tef	315.137931	0	128	301	1228	1467	0	0	0	0	0	0	0	2962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1730	1323	0
Bahcc1	284.275862	0	0	0	1256	1546	0	0	0	0	0	0	0	2574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1619	1249	0
Pgp	270.137931	0	71	229	652	764	0	0	0	0	0	0	0	2933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020	1165	0
Bricd5	270.137931	0	71	229	652	764	0	0	0	0	0	0	0	2933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020	1165	0
Gstm7	258.241379	0	0	0	822	1225	0	0	0	0	0	0	0	2527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1674	1241	0
Tsc22d4	257.655172	0	118	265	543	653	0	0	0	0	0	0	0	2865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1635	1393	0
Nyap1	257.655172	0	118	265	543	653	0	0	0	0	0	0	0	2865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1635	1393	0
Oasl1	255.965517	494	252	0	712	894	0	0	0	0	0	0	0	2196	0	0	0	0	0	208	0	0	255	0	0	0	0	0	1380	1032	0
Sfswap	252.517241	0	0	0	619	1113	0	0	0	0	0	0	0	2800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1591	1200	0
Pga5	227.62069	0	0	149	576	829	0	0	0	0	0	0	0	2328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1688	1031	0
Tor1aip2	224.655172	67	112	326	527	820	0	0	0	0	0	0	0	795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2236	1632	0
Tor1aip1	224.655172	67	112	326	527	820	0	0	0	0	0	0	0	795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2236	1632	0
Hjurp	223.206897	0	154	104	843	1172	0	0	0	0	0	0	0	1710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1371	1119	0
A730008H23Rik	223.206897	0	154	104	843	1172	0	0	0	0	0	0	0	1710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1371	1119	0
Eef2	206.965517	0	0	180	497	626	0	0	0	0	0	0	0	2214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1427	1058	0
Nrep	202.206897	0	121	170	920	706	0	0	0	0	0	0	0	1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1459	1079	0
Scml4	198.206897	0	0	0	956	1241	0	0	0	0	0	0	0	2180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	842	529	0
Tspan3	196.413793	0	0	0	708	1027	0	0	0	0	0	0	0	2140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1162	659	0
Arid3b	193.068966	0	118	199	312	576	0	0	0	0	0	0	0	1943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1346	1105	0
Cldn12	189.655172	0	0	0	381	649	0	0	0	0	0	0	0	2120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1417	933	0
Crebl2	189.448276	0	167	265	438	729	0	0	0	0	0	0	0	1517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1404	974	0
Snrnp35	186.206897	0	0	147	297	656	0	0	0	0	0	0	0	1978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1306	1016	0
Rilpl2	181.137931	0	0	0	297	656	0	0	0	0	0	0	0	1978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1306	1016	0
Tbcb	176.862069	0	0	117	298	445	0	0	0	0	0	0	0	2248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1230	791	0
Polr2i	176.862069	0	0	117	298	445	0	0	0	0	0	0	0	2248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1230	791	0
Ovol3	176.862069	0	0	117	298	445	0	0	0	0	0	0	0	2248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1230	791	0
