"tf"	"confidence"	"target"	"mor"
"1"	"4932411N23Rik"	"E"	"Smad4"	1
"2"	"4932411N23Rik"	"E"	"0610030E20Rik"	1
"3"	"4932411N23Rik"	"E"	"1700017N19Rik"	1
"4"	"4932411N23Rik"	"E"	"4931428F04Rik"	1
"5"	"4932411N23Rik"	"E"	"4932438A13Rik"	1
"6"	"4932411N23Rik"	"E"	"4933424G06Rik"	1
"7"	"4932411N23Rik"	"E"	"4933427D14Rik"	1
"8"	"4932411N23Rik"	"E"	"9930021J03Rik"	1
"9"	"4932411N23Rik"	"E"	"Aadat"	1
"10"	"4932411N23Rik"	"E"	"Adam32"	1
"11"	"4932411N23Rik"	"E"	"Add3"	1
"12"	"4932411N23Rik"	"E"	"Adpgk"	1
"13"	"4932411N23Rik"	"E"	"Agbl3"	1
"14"	"4932411N23Rik"	"E"	"Ago3"	1
"15"	"4932411N23Rik"	"E"	"Ago4"	1
"16"	"4932411N23Rik"	"E"	"AI597479"	1
"17"	"4932411N23Rik"	"E"	"Alg10b"	1
"18"	"4932411N23Rik"	"E"	"Als2"	1
"19"	"4932411N23Rik"	"E"	"Anapc4"	1
"20"	"4932411N23Rik"	"E"	"Anapc5"	1
"21"	"4932411N23Rik"	"E"	"Ankar"	1
"22"	"4932411N23Rik"	"E"	"Ankra2"	1
"23"	"4932411N23Rik"	"E"	"Ankrd10"	1
"24"	"4932411N23Rik"	"E"	"Ankrd44"	1
"25"	"4932411N23Rik"	"E"	"Ankrd49"	1
"26"	"4932411N23Rik"	"E"	"Apaf1"	1
"27"	"4932411N23Rik"	"E"	"Apbb3"	1
"28"	"4932411N23Rik"	"E"	"Arglu1"	1
"29"	"4932411N23Rik"	"E"	"Arhgap12"	1
"30"	"4932411N23Rik"	"E"	"Arhgap19"	1
"31"	"4932411N23Rik"	"E"	"Arhgap21"	1
"32"	"4932411N23Rik"	"E"	"Arhgef7"	1
"33"	"4932411N23Rik"	"E"	"Arid2"	1
"34"	"4932411N23Rik"	"E"	"Armc2"	1
"35"	"4932411N23Rik"	"E"	"Armcx4"	1
"36"	"4932411N23Rik"	"E"	"Asb3"	1
"37"	"4932411N23Rik"	"E"	"Asxl1"	1
"38"	"4932411N23Rik"	"E"	"Atad2b"	1
"39"	"4932411N23Rik"	"E"	"Atf2"	1
"40"	"4932411N23Rik"	"E"	"Atf7"	1
"41"	"4932411N23Rik"	"E"	"Atg12"	1
"42"	"4932411N23Rik"	"E"	"Atm"	1
"43"	"4932411N23Rik"	"E"	"Atp10d"	1
"44"	"4932411N23Rik"	"E"	"Atp6ap1l"	1
"45"	"4932411N23Rik"	"E"	"Atxn1"	1
"46"	"4932411N23Rik"	"E"	"Atxn3"	1
"47"	"4932411N23Rik"	"E"	"AW554918"	1
"48"	"4932411N23Rik"	"E"	"Baz2b"	1
"49"	"4932411N23Rik"	"E"	"Bbs1"	1
"50"	"4932411N23Rik"	"E"	"Bbs4"	1
"51"	"4932411N23Rik"	"E"	"BC035947"	1
"52"	"4932411N23Rik"	"E"	"Bclaf1"	1
"53"	"4932411N23Rik"	"E"	"Bclaf3"	1
"54"	"4932411N23Rik"	"E"	"Bivm"	1
"55"	"4932411N23Rik"	"E"	"Bptf"	1
"56"	"4932411N23Rik"	"E"	"Braf"	1
"57"	"4932411N23Rik"	"E"	"Brwd1"	1
"58"	"4932411N23Rik"	"E"	"Btaf1"	1
"59"	"4932411N23Rik"	"E"	"C2cd5"	1
"60"	"4932411N23Rik"	"E"	"Capn3"	1
"61"	"4932411N23Rik"	"E"	"Caprin2"	1
"62"	"4932411N23Rik"	"E"	"Caps2"	1
"63"	"4932411N23Rik"	"E"	"Carf"	1
"64"	"4932411N23Rik"	"E"	"Catsper2"	1
"65"	"4932411N23Rik"	"E"	"Catspere1"	1
"66"	"4932411N23Rik"	"E"	"Ccdc14"	1
"67"	"4932411N23Rik"	"E"	"Ccdc146"	1
"68"	"4932411N23Rik"	"E"	"Ccdc180"	1
"69"	"4932411N23Rik"	"E"	"Ccdc191"	1
"70"	"4932411N23Rik"	"E"	"Ccdc30"	1
"71"	"4932411N23Rik"	"E"	"Ccdc39"	1
"72"	"4932411N23Rik"	"E"	"Ccdc66"	1
"73"	"4932411N23Rik"	"E"	"Ccnl1"	1
"74"	"4932411N23Rik"	"E"	"Ccnl2"	1
"75"	"4932411N23Rik"	"E"	"Ccnt2"	1
"76"	"4932411N23Rik"	"E"	"Cdc16"	1
"77"	"4932411N23Rik"	"E"	"Cdk13"	1
"78"	"4932411N23Rik"	"E"	"Cdrt4"	1
"79"	"4932411N23Rik"	"E"	"Celf1"	1
"80"	"4932411N23Rik"	"E"	"Cenpc1"	1
"81"	"4932411N23Rik"	"E"	"Cenpj"	1
"82"	"4932411N23Rik"	"E"	"Cenpt"	1
"83"	"4932411N23Rik"	"E"	"Cep135"	1
"84"	"4932411N23Rik"	"E"	"Cep162"	1
"85"	"4932411N23Rik"	"E"	"Cep164"	1
"86"	"4932411N23Rik"	"E"	"Cep192"	1
"87"	"4932411N23Rik"	"E"	"Cep290"	1
"88"	"4932411N23Rik"	"E"	"Cep295"	1
"89"	"4932411N23Rik"	"E"	"Cep44"	1
"90"	"4932411N23Rik"	"E"	"Cep83"	1
"91"	"4932411N23Rik"	"E"	"Cep85l"	1
"92"	"4932411N23Rik"	"E"	"Cep95"	1
"93"	"4932411N23Rik"	"E"	"Cep97"	1
"94"	"4932411N23Rik"	"E"	"Cfap44"	1
"95"	"4932411N23Rik"	"E"	"Cfap54"	1
"96"	"4932411N23Rik"	"E"	"Cfap70"	1
"97"	"4932411N23Rik"	"E"	"Cflar"	1
"98"	"4932411N23Rik"	"E"	"Cggbp1"	1
"99"	"4932411N23Rik"	"E"	"Chic1"	1
"100"	"4932411N23Rik"	"E"	"Chkb"	1
"101"	"4932411N23Rik"	"E"	"Clec2d"	1
"102"	"4932411N23Rik"	"E"	"Clec2e"	1
"103"	"4932411N23Rik"	"E"	"Clec2g"	1
"104"	"4932411N23Rik"	"E"	"Clec2h"	1
"105"	"4932411N23Rik"	"E"	"Clec2i"	1
"106"	"4932411N23Rik"	"E"	"Clhc1"	1
"107"	"4932411N23Rik"	"E"	"Clk1"	1
"108"	"4932411N23Rik"	"E"	"Clk3"	1
"109"	"4932411N23Rik"	"E"	"Clk4"	1
"110"	"4932411N23Rik"	"E"	"Cnot2"	1
"111"	"4932411N23Rik"	"E"	"Cntrl"	1
"112"	"4932411N23Rik"	"E"	"Cox20"	1
"113"	"4932411N23Rik"	"E"	"Cplane1"	1
"114"	"4932411N23Rik"	"E"	"Cpne1"	1
"115"	"4932411N23Rik"	"E"	"Cpsf6"	1
"116"	"4932411N23Rik"	"E"	"Cpsf7"	1
"117"	"4932411N23Rik"	"E"	"Cramp1l"	1
"118"	"4932411N23Rik"	"E"	"Crbn"	1
"119"	"4932411N23Rik"	"E"	"Creb1"	1
"120"	"4932411N23Rik"	"E"	"Crebzf"	1
"121"	"4932411N23Rik"	"E"	"Cryzl1"	1
"122"	"4932411N23Rik"	"E"	"Csad"	1
"123"	"4932411N23Rik"	"E"	"Cspp1"	1
"124"	"4932411N23Rik"	"E"	"Ctc1"	1
"125"	"4932411N23Rik"	"E"	"Ctps2"	1
"126"	"4932411N23Rik"	"E"	"Cubn"	1
"127"	"4932411N23Rik"	"E"	"Cyp4v3"	1
"128"	"4932411N23Rik"	"E"	"Cysltr1"	1
"129"	"4932411N23Rik"	"E"	"Dcaf17"	1
"130"	"4932411N23Rik"	"E"	"Dcp2"	1
"131"	"4932411N23Rik"	"E"	"Dcun1d4"	1
"132"	"4932411N23Rik"	"E"	"Ddhd1"	1
"133"	"4932411N23Rik"	"E"	"Ddx17"	1
"134"	"4932411N23Rik"	"E"	"Ddx39b"	1
"135"	"4932411N23Rik"	"E"	"Ddx47"	1
"136"	"4932411N23Rik"	"E"	"Ddx5"	1
"137"	"4932411N23Rik"	"E"	"Dgke"	1
"138"	"4932411N23Rik"	"E"	"Dido1"	1
"139"	"4932411N23Rik"	"E"	"Dip2a"	1
"140"	"4932411N23Rik"	"E"	"Dnajb14"	1
"141"	"4932411N23Rik"	"E"	"Dnhd1"	1
"142"	"4932411N23Rik"	"E"	"Dnm3"	1
"143"	"4932411N23Rik"	"E"	"Donson"	1
"144"	"4932411N23Rik"	"E"	"Dop1a"	1
"145"	"4932411N23Rik"	"E"	"Dph7"	1
"146"	"4932411N23Rik"	"E"	"Drc3"	1
"147"	"4932411N23Rik"	"E"	"Dtx3"	1
"148"	"4932411N23Rik"	"E"	"Dut"	1
"149"	"4932411N23Rik"	"E"	"Dync2li1"	1
"150"	"4932411N23Rik"	"E"	"Eed"	1
"151"	"4932411N23Rik"	"E"	"Efhc1"	1
"152"	"4932411N23Rik"	"E"	"Eif2d"	1
"153"	"4932411N23Rik"	"E"	"Elf2"	1
"154"	"4932411N23Rik"	"E"	"Elmod3"	1
"155"	"4932411N23Rik"	"E"	"Elp1"	1
"156"	"4932411N23Rik"	"E"	"Engase"	1
"157"	"4932411N23Rik"	"E"	"Entpd1"	1
"158"	"4932411N23Rik"	"E"	"Epc1"	1
"159"	"4932411N23Rik"	"E"	"Epg5"	1
"160"	"4932411N23Rik"	"E"	"Epm2aip1"	1
"161"	"4932411N23Rik"	"E"	"Ercc3"	1
"162"	"4932411N23Rik"	"E"	"Ercc5"	1
"163"	"4932411N23Rik"	"E"	"Ero1lb"	1
"164"	"4932411N23Rik"	"E"	"Esr1"	1
"165"	"4932411N23Rik"	"E"	"Etnk1"	1
"166"	"4932411N23Rik"	"E"	"Exoc1"	1
"167"	"4932411N23Rik"	"E"	"Ezh1"	1
"168"	"4932411N23Rik"	"E"	"Fam111a"	1
"169"	"4932411N23Rik"	"E"	"Fam122b"	1
"170"	"4932411N23Rik"	"E"	"Fam126b"	1
"171"	"4932411N23Rik"	"E"	"Fam133b"	1
"172"	"4932411N23Rik"	"E"	"Fam13b"	1
"173"	"4932411N23Rik"	"E"	"Fam149b"	1
"174"	"4932411N23Rik"	"E"	"Fam193b"	1
"175"	"4932411N23Rik"	"E"	"Fam219b"	1
"176"	"4932411N23Rik"	"E"	"Fam228b"	1
"177"	"4932411N23Rik"	"E"	"Fam92a"	1
"178"	"4932411N23Rik"	"E"	"Fancl"	1
"179"	"4932411N23Rik"	"E"	"Far1"	1
"180"	"4932411N23Rik"	"E"	"Fbxl2"	1
"181"	"4932411N23Rik"	"E"	"Fbxw7"	1
