Target_genes	Nfatc2|Average	SRX667873|Dendritic_Cells	SRX21547799|ILC2	SRX21547800|ILC2	SRX21547801|ILC2	SRX21547802|ILC2	SRX21547803|ILC2	SRX21547804|ILC2	SRX12418835|Myofibers	SRX12418836|Myofibers	SRX12418837|Myofibers	SRX12418838|Myofibers	SRX24004260|Th2_Cells	STRING
Cldn34d	828.333333	1250	934	784	871	899	635	619	713	664	686	962	923	0
Tcstv3	705.583333	653	1226	922	985	1233	827	926	146	77	137	231	1104	0
Brox	531.250000	659	865	684	667	589	426	509	259	225	352	470	670	0
Aida	531.250000	659	865	684	667	589	426	509	259	225	352	470	670	0
Tmem125	386.083333	441	699	478	572	779	379	529	211	0	0	0	545	0
Kpna1	356.166667	299	233	282	603	0	313	517	403	438	327	336	523	0
Rbks	316.833333	1293	229	167	563	323	296	620	0	0	0	0	311	0
Babam2	316.833333	1293	229	167	563	323	296	620	0	0	0	0	311	0
Asmt	314.416667	670	527	426	388	423	390	402	0	0	0	0	547	0
Nme1	310.000000	1323	150	164	238	374	364	665	0	0	0	0	442	0
Egr1	250.083333	1029	152	123	329	216	234	485	0	0	0	0	433	0
Rheb	242.833333	850	231	118	368	297	259	519	0	0	0	0	272	0
Plec	239.333333	1118	0	0	339	189	233	569	0	0	0	0	424	0
Slc3a2	238.750000	1223	96	0	178	263	336	551	0	0	0	0	218	0
Cd3d	230.833333	420	265	276	438	249	305	489	0	0	0	0	328	0
Atg7	228.083333	2737	0	0	0	0	0	0	0	0	0	0	0	0
Snw1	223.583333	1004	168	0	149	362	294	458	0	0	0	0	248	0
Inpp5b	223.000000	1906	0	0	0	202	142	289	0	0	0	0	137	0
Il31ra	207.916667	0	0	177	467	0	222	518	326	195	0	238	352	0
Bspry	206.750000	450	136	143	373	208	343	531	0	0	0	0	297	0
Oasl1	200.083333	375	208	164	214	0	194	198	386	0	242	249	171	0
Kbtbd7	199.916667	523	209	0	328	284	278	489	0	0	0	0	288	0
Inpp5a	196.583333	625	0	0	160	327	348	572	0	0	0	0	327	0
Kdm2b	196.250000	1387	0	0	88	157	213	368	0	0	0	0	142	0
Frmd4b	190.333333	2171	0	0	0	0	113	0	0	0	0	0	0	0
Ilf3	190.166667	1371	0	0	0	169	264	478	0	0	0	0	0	0
Syne3	188.750000	385	174	109	215	249	266	491	0	0	0	0	376	0
Lrrc43	188.333333	2023	0	0	0	0	92	145	0	0	0	0	0	0
Sars2	186.250000	319	87	0	273	235	360	580	0	0	0	0	381	0
Mrps12	186.250000	319	87	0	273	235	360	580	0	0	0	0	381	0
D930020B18Rik	184.750000	934	0	0	0	244	253	383	0	0	0	0	403	0
Ubox5	183.500000	881	77	0	178	242	189	477	0	0	0	0	158	0
Fastkd5	183.500000	881	77	0	178	242	189	477	0	0	0	0	158	0
Gm12250	182.000000	561	89	0	211	284	215	499	0	0	0	0	325	0
Spcs3	181.750000	348	108	0	183	329	333	614	0	0	0	0	266	0
Hspb7	180.916667	654	0	0	0	277	282	598	0	0	0	0	360	0
Atp2b1	180.333333	0	294	334	405	182	223	476	0	0	0	0	250	0
Dus2	179.416667	693	0	0	208	145	283	529	0	0	0	0	295	0
Ddx28	179.416667	693	0	0	208	145	283	529	0	0	0	0	295	0
Fbxw11	178.416667	665	0	0	160	229	250	475	0	0	0	0	362	0
