Target_genes	Gata2|Average	SRX3014480|3T3-L1	SRX3014481|3T3-L1	SRX1056339|416B	SRX3014484|C3H/10T1/2	SRX3014485|C3H/10T1/2	SRX340953|FDCPmix	SRX340956|FDCPmix	SRX340959|FDCPmix	SRX340964|FDCPmix	SRX340965|FDCPmix	SRX340968|FDCPmix	SRX340969|FDCPmix	SRX079863|G1E	SRX079864|G1E	SRX100313|G1E	SRX145067|G1E	SRX1901617|G1E	SRX1901619|G1E	SRX145068|G1E-ER4+E2	SRX8820362|G1E-ER4+E2	SRX8820363|G1E-ER4+E2	SRX092597|G1ME	SRX035992|Hematopoietic_progenitors	SRX1939440|Lymphoid-primed_multipotent_progenitors	SRX206424|Mast_Cells	SRX310202|Mast_Cells	SRX9030837|Mast_Cells	SRX9030838|Mast_Cells	SRX9030839|Mast_Cells	SRX9030840|Mast_Cells	SRX1035383|mESC_derived_haematopoietic_progenitor	SRX1035394|mESC_derived_haematopoietic_progenitor	SRX2416653|Trophoblast_stem_cells	SRX1297850|Unclassified	SRX183894|Uterus	STRING
Lsm4	1014.285714	192	345	1421	1041	1025	1111	453	897	429	302	712	642	0	243	1779	251	2622	2417	0	2149	851	1815	812	339	2531	2531	1722	1765	2074	366	0	201	0	537	1925	0
Brox	994.771429	616	384	765	1426	1792	1047	898	1040	572	552	453	288	501	489	511	619	1188	945	643	1375	1056	708	194	2151	598	602	2610	2636	2677	3007	263	385	344	893	589	0
Aida	994.771429	616	384	765	1426	1792	1047	898	1040	572	552	453	288	501	489	511	619	1188	945	643	1375	1056	708	194	2151	598	602	2610	2636	2677	3007	263	385	344	893	589	0
Rgs2	989.400000	170	287	1900	535	537	1962	760	1273	639	615	956	1004	0	0	547	105	1975	1745	0	880	227	1754	971	597	2585	2582	2217	2165	2395	539	0	308	0	505	1894	0
Cldn34d	951.628571	942	643	0	1727	1468	498	950	885	528	499	745	251	448	376	384	640	696	545	520	540	911	398	384	1755	551	482	3103	3204	3276	3261	606	571	170	760	590	0
Tcstv3	924.085714	1110	936	0	1434	1121	208	729	473	206	307	165	89	360	785	850	742	1259	1339	820	1221	1157	488	493	1520	940	984	1497	1572	1383	1482	1044	1313	1250	1361	1705	0
Unkl	918.542857	179	360	1919	1017	1013	833	251	799	318	355	506	662	0	0	1451	100	2372	2410	0	1670	797	1178	355	214	2954	2954	1381	1891	1613	0	0	205	0	256	2136	0
Percc1	918.542857	179	360	1919	1017	1013	833	251	799	318	355	506	662	0	0	1451	100	2372	2410	0	1670	797	1178	355	214	2954	2954	1381	1891	1613	0	0	205	0	256	2136	0
BC003965	918.542857	179	360	1919	1017	1013	833	251	799	318	355	506	662	0	0	1451	100	2372	2410	0	1670	797	1178	355	214	2954	2954	1381	1891	1613	0	0	205	0	256	2136	0
Tcf3	914.285714	419	380	1004	1287	718	536	396	741	196	177	583	412	0	0	1772	0	2617	2577	0	1733	1474	1541	553	782	1039	1037	2154	2343	2489	383	0	248	0	401	2008	0
Tnfaip1	894.457143	160	406	1187	732	457	849	366	431	187	179	283	290	0	0	1656	0	2605	2688	0	1582	722	767	682	0	2957	2940	1850	2256	2224	299	0	192	0	220	2139	0
Ift20	894.457143	160	406	1187	732	457	849	366	431	187	179	283	290	0	0	1656	0	2605	2688	0	1582	722	767	682	0	2957	2940	1850	2256	2224	299	0	192	0	220	2139	0
4930503B20Rik	867.828571	0	0	1363	0	0	1234	642	1481	691	641	761	705	0	0	1026	120	2370	2303	0	1159	254	1746	619	0	2615	2615	2262	2402	2375	547	0	0	0	443	0	0
Irf9	853.685714	0	115	197	390	293	1389	540	984	520	532	563	955	0	0	1663	119	2024	2309	0	1673	421	750	326	0	2947	2943	1528	1722	2138	228	0	0	0	280	2330	0
Eif3d	839.514286	0	214	1524	441	617	649	577	213	362	347	1041	955	0	0	1270	0	1726	1963	0	1206	559	410	459	218	3008	3010	1603	1946	2055	374	0	163	0	473	2000	0
Zdhhc24	830.428571	0	0	1518	0	189	1342	530	742	580	567	1373	1415	0	173	1235	181	1473	1730	0	1471	384	549	341	222	3099	3102	1490	1775	2187	366	0	146	0	372	513	0
Actn3	830.428571	0	0	1518	0	189	1342	530	742	580	567	1373	1415	0	173	1235	181	1473	1730	0	1471	384	549	341	222	3099	3102	1490	1775	2187	366	0	146	0	372	513	0
Tox2	827.085714	0	0	2822	0	0	1263	596	985	520	602	791	604	0	0	0	0	1545	948	0	133	0	1084	827	765	2705	2703	2703	2765	2882	1111	0	0	0	594	0	0
Lyl1	815.857143	0	0	1673	0	0	838	352	205	529	334	555	627	0	0	1974	0	2475	2391	0	1985	415	427	1231	107	2016	2018	2078	2123	2087	570	136	158	0	196	1055	0
Rpp25	793.228571	0	0	1154	378	284	513	284	185	108	0	181	167	0	0	2349	0	3122	3083	0	2478	393	445	229	0	2623	2629	1970	2142	2537	509	0	0	0	0	0	0
Fpgs	772.342857	0	0	744	363	290	907	176	309	149	192	234	172	0	227	1354	228	2985	2963	0	1947	562	582	371	0	3194	3190	1338	1347	1830	0	0	237	0	0	1141	0
Stk40	766.314286	237	371	910	797	677	380	238	420	121	91	163	189	0	0	1360	0	2508	2376	0	1381	623	544	514	508	2436	2431	1429	1884	1773	0	0	146	0	193	2121	0
Slc25a23	764.485714	0	90	1469	111	0	1040	116	482	265	154	434	236	0	0	1540	0	2665	2530	0	1771	654	906	433	342	2150	2147	1547	1563	1306	0	0	0	0	570	2236	0
